qid	order	query	bm25.map
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.491
100653	bt_nllb_french	How do I get copies of congratulatory letters sent by the city of San Diego	0.5194
100653	bt_nllb_korean	How do we get compliments from the city of San Diego	0.4978
1015624	-1	What's the Definition of a bloody mary?	0.7116
1015624	bt_nllb_arabic	What is the definition of Bloody Mary	0.7319
1015624	bt_nllb_korean	What is the definition of a bloody Mary	0.7319
1015624	bt_nllb_persian	What is the definition of bloody Mary	0.7319
1015624	bt_nllb_swahili	What is the definition of bloody Mary	0.7319
1015624	bt_nllb_tamil	What is the definition of a bloody Mary	0.7319
1017690	-1	what is the history of indian music?	0.5752
1035857	-1	Why are liberals so quick to defend Saddam?	0.3804
103830	-1	Why do man Arabs hate the west ?	0.496
1063812	-1	How do I grow taller?	0.4152
1063812	bt_nllb_korean	How can you grow taller	0.4528
1077370	-1	Why do only Humans have Finger prints?	0.5316
1082595	-1	what is meant by mobile technology?	0.4871
1082595	bt_nllb_korean	What is mobile technology	0.5777
1082595	bt_nllb_swahili	what is mobile technology	0.5777
1082595	bt_nllb_tamil	What is mobile technology	0.5777
1082595	bt_nllb_arabic	What does mobile technology mean	0.5297
1082595	bt_nllb_chinese_yue	What does mobile technology mean	0.5297
1082595	bt_nllb_french	What does mobile technology mean	0.5297
1082595	bt_nllb_german	What does mobile technology mean	0.5297
1082595	bt_nllb_malay	What does mobile technology mean	0.5297
1082595	bt_nllb_persian	What does mobile technology mean	0.5297
1082595	bt_nllb_russian	What does mobile technology mean	0.5297
1119420	-1	Well the black light is UV light.So if it is "black" how can it be "light" ?	0.5912
1152934	-1	Why don't fat people have to pay more for air travel?	0.2979
1152934	bt_nllb_german	Why don t fat people pay for air travel anymore	0.3925
1152934	bt_nllb_malay	Why don t fat people pay more for air travel	0.3668
1152934	bt_nllb_russian	Why don t fat people pay more for air travel	0.3668
1167882	-1	What are the different types of sins and how are they caused?	0.1912
1199639	-1	How to "LOSE"all body fat ?	0.4968
1254390	-1	how do i deap fry chicken?	0.2462
1254390	bt_nllb_swahili	How do I deap fried chicken	0.3631
1254390	bt_nllb_arabic	How do I feed fried chicken	0.3083
1254390	bt_nllb_malay	How can I fry chicken	0.2561
1254390	bt_nllb_tamil	How do I get the yellow fried chicken	0.2491
1262692	-1	How can I get rid of pimples on my back?	0.2915
1282199	-1	how can I hide the cuts on my wrists?	0.2111
1282199	bt_nllb_french	How do I hide the cuts on my wrists	0.2366
1287437	-1	how can i lose 30 pounds by june3?	0.118
1290612	-1	why do anxiety and depression seem to coexist?	0.5591
1292734	-1	what color you like the most and why?	0.062
1292734	bt_nllb_malay	What color do you like and why	0.1069
1292734	bt_nllb_persian	What color do you like and why	0.1069
1292734	bt_nllb_arabic	What color do you like best and why	0.0688
1292734	bt_nllb_chinese_yue	What color do you like best Why	0.0688
1292734	bt_nllb_german	What color do you like best and why	0.0688
1292734	bt_nllb_korean	What color do you like best Why	0.0688
1292734	bt_nllb_russian	What color do you like best and why	0.0688
1292734	bt_nllb_swahili	What color do you like best and why	0.0688
1340574	-1	Why do some people only go to church on Easter Sunday and never go again until Christmas ?	0.4791
1340574	bt_nllb_malay	Why do some people just go to church on Easter Sunday and not go again until Christmas	0.4809
1351675	-1	Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton?	0.2246
1364894	-1	Why do we need to tell customer service/operator about our sickness in order to make appointment w/ a doctor?	0.2647
1364894	bt_nllb_german	Why do we have to tell the customer service operator about our illness to make an appointment with a doctor	0.3075
1364894	bt_nllb_korean	Why should we tell a customer service businessman about the disease to make an appointment with a doctor	0.2852
1364894	bt_nllb_malay	Why do we have to tell the customer service about our illness to make an appointment with a doctor	0.2717
1373069	-1	Freedom of Speech - why don't people understand how to use it?	0.1981
1373069	bt_nllb_french	Freedom of speech Why do people not understand how to use it	0.2249
1373069	bt_nllb_swahili	Freedom of Speech why do people not understand how to use it	0.2249
1373069	bt_nllb_tamil	Freedom of speech Why do people not understand how to use it	0.2249
143833	-1	What is the difference between coolant and anti-freeze?	0.6399
1459749	-1	Why don't I have an asthma attack during sex?	0.3869
1477322	-1	Why do people say Germans are racists?	0.193
1502604	-1	how do crooks  make  fake   passports  ?	0.4065
1509982	-1	How is th Chemistry is a basic of Science?	0.8358
1582877	-1	why do we go to school if in the real world we dont use most of it?	0.0882
159716	-1	How do I find an Inmate at Southwest Detention Center 30755 Auld Rd., Murrieta, CA 92563?	0.3735
1607728	-1	what causes gray facial hair in men?	0.5956
1623623	-1	How do you improve fuel efficiency of a 2004, Ford Ikon?	0.3144
1663853	-1	what is a wet dream?	0.504
1702151	-1	How patient a driver are you?	0.1294
1702151	bt_nllb_french	Are you a patient driver	0.5981
172731	-1	how for is saturn from the sun?	0.3674
1783010	-1	What is Blaphsemy?	0.0556
1794677	-1	How can I treat my Acne Scars?	0.5808
1794677	bt_nllb_arabic	How can I treat acne scars	0.6178
1794677	bt_nllb_french	How do I treat my acne scars	0.6146
1821193	-1	Why do people feed poison (sugar) to their kids on Easter, and why are there no chocolate Jesuses?	0.1042
1821193	bt_nllb_russian	Why do people feed their children poison sugar at Easter and why is there no chocolate	0.1186
1821193	bt_nllb_french	Why do people feed their children with poison sugar at the Passover and why isn t Jesus in the chocolate	0.1091
1844896	-1	How to cook Angus burgers?	0.4999
1850323	-1	Why some men never wash their hands after using the Urinal/Toilet?	0.3474
1862795	-1	How does spending prolonged time in microgravity affect the bodies of astronauts?	0.2404
1866981	-1	I know how I got here, but how did you?	0.0771
1880028	-1	What does "see Leaflet" mean on Ept Pregnancy test?	0.6156
1937374	-1	how to get 277 V AC ?	0.3178
1944018	-1	Why can't teenagers vote?	0.1495
1957887	-1	How can I hunt down and punch the people that keep spamming me?	0.2304
1964316	-1	What do you mean by "weed"?	0.1772
1968489	-1	Which auto insurance do you use and why?	0.4287
1971899	-1	what is masturbat***?	0.1667
1977054	-1	Couscous is a food from what origin?	0.2547
1977054	bt_nllb_french	What is the origin of couscous	0.2572
2008017	-1	why do black people like fried chicken somuch?	0.4648
2018562	-1	Why does my Black Lab howl to "Law and Order" theme song?	0.6164
204633	-1	Why do you have memories?	0.0636
204963	-1	what does 5 by 5 mean?	0.0
2142044	-1	What do you speculate happened to Natalie Holloway in Aruba?	0.557
2142044	bt_nllb_german	What happened to Natalie Holloway in Aruba	0.6632
2180086	-1	what are mormens?	0.1429
2182052	-1	why is lemonade at restaurants sometimes different?	0.5532
2192891	-1	how are braces put on and do they hurt a lot?	0.4126
224109	-1	what is citriscidal?	0.0
224109	bt_nllb_persian	What is citricidal	0.25
224109	bt_nllb_russian	What is citricidal	0.25
225575	-1	what does 'wet behind the ears' mean?	0.5396
2290758	-1	Why do people ask questions they know?	0.0312
2291272	-1	How is Catholicism not Christianity?	0.4187
2291272	bt_nllb_arabic	How can Catholicism not be Christian	0.4212
229303	-1	Why  is  the   war continuing  in  Afghanistan?	0.5295
2307305	-1	Why do man rape little girls?	0.2896
2307305	bt_nllb_korean	Why does a man rape young girls	0.3392
2307305	bt_nllb_arabic	Why does a man rape little girls	0.3207
2307305	bt_nllb_persian	Why would a man rape a little girl	0.3101
2309774	-1	Why do I keep seeing people on here 'dissing' on the soldiers in Iraq?	0.32
23464	-1	why girls are beautiful?	0.6181
2380990	-1	Why am I alive?	0.1013
2380990	bt_nllb_korean	Why are you alive	0.1418
2382487	-1	what do i do if i have not started my period in like almost 6 months?	0.0337
2418598	-1	why do wisdom varies from person to person?	0.3546
2443586	-1	What is a Bro?	0.3302
2446614	-1	how could u get success?	0.1839
2452795	-1	How can I heat the water within a 150 gal tank that's open to the atmosphere in Feb.?	0.4543
2452795	bt_nllb_german	How do I heat the water in a gal tank that s open to the atmosphere in February	0.4637
2479423	-1	Why is there brail on the keypads at drive up ATM's?	0.7194
2484180	-1	why do people judge a dog by what he looks like?	0.1521
2484180	bt_nllb_chinese_yue	Why would people judge dogs by their looks	0.1891
2528767	-1	How do I determine the charge of the iron ion in FeCl3?	0.3915
2528767	bt_nllb_arabic	How do I find the iron ion charge in Fickle	0.3992
2528767	bt_nllb_russian	How do you determine the iron ion charge in FeCl	0.3954
2529114	-1	since i have premature ejaculation problem, how to satisfy my girl?	0.4487
2539741	-1	what cause the car to have white smoke coming from the muffler and making a kicking or knocking sounds?	0.4476
2551845	-1	Why is GW dogged for not getting OBL yet killing Zarkawi is a non-event?	0.1638
2551845	bt_nllb_korean	Why is it that GW was not charged with OBL and then killed Zarkawi	0.2726
2551845	bt_nllb_malay	Why is GW sued for not getting OBL but killing Zarkawi is not an event	0.1993
2582920	-1	What is the difference in a dried plum and a dried prune?	0.7544
2592121	-1	how to rollover 401k into real estate?	0.456
2619912	-1	How were you saved from sin-and born again as Jesus says "Except you repent, and be born again..." How didYou?	0.5684
2634143	-1	what is direct borrowing, phonological borrowing, linguistic borrowing, cultural borrowing,intimate borrowing?	0.1185
