qid	order	query	bm25.recip_rank
1	-1	obama family tree	0.5
1	bt_nllb_arabic	The Obama family tree	0.5
1	bt_nllb_chinese_yue	The Obama family tree	0.5
1	bt_nllb_french	Obama family tree	0.5
1	bt_nllb_german	Obama family tree	0.5
1	bt_nllb_korean	The Obama family tree	0.5
1	bt_nllb_malay	Obama family tree	0.5
1	bt_nllb_persian	The Obama family tree	0.5
1	bt_nllb_swahili	Obama family tree	0.5
1	bt_nllb_tamil	The Obama Family Tree	0.5
1	rm3.topn10.10.0.5.bm25	obama family tree	0.5
1	rm3.topn10.10.0.5.qld	obama family tree	0.5
1	stem.krovetz	obama family tree	0.5
1	stem.porter	obama famili tree	0.5
1	stem.porter2	obama famili tree	0.5
1	stem.sstemmer	obama family tree	0.5
1	tagmee.topn3	obama family tree Family of Barack Obama	0.5
1	tagmee.topn3.replace	Family of Barack Obama	0.5
1	thesaurus.topn3	obama family tree	0.5
1	thesaurus.topn3.replace	obama family tree	0.5
1	wiki.topn3	obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama	0.5
1	wiki.topn3.replace	stanley armour dunham madelyn dunham barack obama sr family barack obama	0.5
10	-1	cheap internet	0.25
10	word2vec.topn3	cheap internet inexpensive low cost online intenet	1.0
10	word2vec.topn3.replace	inexpensive low cost online intenet	0.5
10	bt_nllb_arabic	The internet is cheap	0.25
10	bt_nllb_chinese_yue	Cheap Internet	0.25
10	bt_nllb_french	The Internet is Cheap	0.25
10	bt_nllb_german	cheap internet	0.25
10	bt_nllb_korean	Cheap Internet	0.25
10	bt_nllb_malay	cheap internet	0.25
10	bt_nllb_persian	The Internet is cheap	0.25
10	bt_nllb_russian	cheap internet	0.25
10	bt_nllb_swahili	cheap internet	0.25
10	bt_nllb_tamil	Cheap Internet	0.25
10	rm3.topn10.10.0.5.bm25	cheap internet	0.25
10	rm3.topn10.10.0.5.qld	cheap internet	0.25
10	sensedisambiguation	cheap internet	0.25
10	sensedisambiguation.replace	cheap internet	0.25
10	stem.krovetz	cheap internet	0.25
10	stem.lovins	cheap internet	0.25
10	stem.paicehusk	cheap internet	0.25
10	stem.porter	cheap internet	0.25
10	stem.porter2	cheap internet	0.25
10	stem.sstemmer	cheap internet	0.25
10	thesaurus.topn3	cheap internet	0.25
10	thesaurus.topn3.replace	cheap internet	0.25
11	-1	gmat prep classes	1.0
11	bertqe.topn10.bm25	studi guid gmat mathprep corpor	1.0
11	bertqe.topn10.qld	mlic manhattan gmat prep class	1.0
11	bt_nllb_korean	Gmat prep class	1.0
11	bt_nllb_tamil	Gmat ready classes	1.0
11	conceptluster.topn5.3.qld	gmat prep classes preschool graduate management admission test social class git object	1.0
11	relevancefeedback.topn10.bm25	gmat prep classes	1.0
11	relevancefeedback.topn10.qld	gmat prep classes	1.0
11	rm3.topn10.10.0.5.bm25	gmat prep classes	1.0
