qid	order	query	qld.map
1	-1	obama family tree	0.0
10	-1	cheap internet	0.0075
11	-1	gmat prep classes	0.1851
11	bt_bing_french	GMAT Prep Courses	0.1162
11	bt_bing_russian	GMAT Preparation Classes	0.1162
11	bt_bing_tamil	GMAT Preparation Classes	0.1162
11	bt_nllb_malay	Gmat preparation class	0.1162
11	bt_nllb_swahili	a preparation class for gmat	0.1162
11	bt_nllb_german	Preparation hours for the Gmat study	0.0799
11	bt_bing_german	GMAT Preparation Courses	0.0744
11	bt_nllb_tamil	Gmat ready classes	0.0591
11	bt_bing_malay	GMAT preparatory classes	0.0408
11	bt_bing_persian	GMAT Preparatory Classes	0.0408
11	bt_nllb_arabic	Teacher preparation classes	0.0
11	bt_nllb_chinese_yue	Pre K through grade	0.0
11	bt_nllb_french	Preparatory courses for secondary education	0.0
11	bt_nllb_persian	Preparatory classes	0.0
11	bt_nllb_russian	Classes on preparation for gymnasium	0.0
12	-1	djs	0.0226
12	bt_bing_chinese_simplified	DJ service	0.0051
12	bt_nllb_arabic	The DGS	0.0
12	bt_nllb_chinese_yue	Other things	0.0
12	bt_nllb_korean	I m not a DJ	0.0
12	bt_nllb_malay	The D J S	0.0
12	bt_nllb_persian	J J	0.0
12	bt_nllb_russian	I m not a jazz player	0.0
12	bt_nllb_swahili	The D J S	0.0
12	bt_nllb_tamil	The Bible is a book of scriptures	0.0
13	-1	map	0.0504
13	bt_nllb_russian	Map of the city	0.0012
13	bt_nllb_korean	Map of the world	0.0
13	bt_nllb_persian	The plan	0.0
14	-1	dinosaurs	0.0098
14	bt_nllb_german	Other animals	0.0
15	-1	espn sports	0.1485
15	bt_nllb_arabic	Sports	0.0
15	bt_nllb_chinese_yue	Exercise	0.0
15	bt_nllb_french	sports	0.0
15	bt_nllb_german	Sports	0.0
15	bt_nllb_korean	Sports	0.0
15	bt_nllb_malay	sports	0.0
15	bt_nllb_persian	Sports	0.0
15	bt_nllb_russian	sports	0.0
15	bt_nllb_swahili	sports spn	0.0
15	bt_nllb_tamil	game	0.0
16	-1	arizona game and fish	0.0906
16	bt_nllb_russian	Arizona and Fish	0.0426
16	bt_nllb_french	Arizona hunting and fishing	0.0339
16	bt_nllb_tamil	Arizona hunting and fishing	0.0339
16	bt_nllb_arabic	Arizona fishing and boating	0.0325
16	bt_nllb_german	Arizona Wild and Fish	0.0185
16	bt_nllb_chinese_yue	Arizona wildlife and fish	0.0109
16	bt_nllb_korean	Arizona wildlife and fish	0.0109
16	bt_bing_french	Arizona Gambling Fishing	0.003
17	-1	poker tournaments	0.0353
17	bt_bing_german	Tournaments	0.0001
17	bt_nllb_chinese_yue	The Cup	0.0
18	-1	wedding budget calculator	0.068
18	bt_nllb_arabic	Accounting for the wedding budget	0.0307
18	bt_nllb_swahili	financial wedding calculator	0.0003
18	bt_nllb_french	marriage budget calculator	0.0002
18	bt_nllb_korean	The marriage budget calculator	0.0002
18	bt_nllb_malay	marriage estimate calculator	0.0
18	bt_nllb_tamil	Marriage budgeting	0.0
19	-1	the current	0.0
2	-1	french lick resort and casino	0.1714
2	bt_bing_malay	France Lick Resorts and Casinos	0.055
2	bt_nllb_persian	French resort and casino	0.0208
2	bt_nllb_russian	French resort and casino	0.0208
2	bt_nllb_tamil	French League Resort and Casino	0.0196
2	bt_bing_arabic	French Lake Resort Casino	0.0044
2	bt_nllb_arabic	French Lake Resort and Casino	0.0044
2	bt_nllb_korean	French Richey Resorts and Casinos	0.0031
2	bt_nllb_chinese_yue	French pubs and casinos	0.0005
2	bt_bing_chinese_simplified	French Lic Cresoté Andercassino Lic Casino Resort France	0.0
20	-1	defender	0.0
21	-1	volvo	0.1711
21	bt_nllb_chinese_yue	Volvo is a car	0.0097
21	bt_nllb_arabic	What	0.0
21	bt_nllb_french	back to	0.0
21	bt_nllb_german	The Commission shall adopt implementing acts in accordance with Article of this Regulation	0.0
21	bt_nllb_korean	Let s see	0.0
22	-1	rick warren	0.213
22	bt_nllb_chinese_yue	Rick Warren is the author of	0.1882
22	bt_nllb_korean	Rick Warren you know what	0.1269
23	-1	yahoo	0.0
24	-1	diversity	0.0572
24	bt_nllb_chinese_yue	Diversity is a big thing	0.0026
24	bt_bing_persian	Variety	0.0
24	bt_bing_russian	variety	0.0
24	bt_bing_swahili	Difference	0.0
24	bt_nllb_swahili	difference	0.0
25	-1	euclid	0.0642
25	bt_nllb_french	Euclidean	0.0002
25	bt_bing_persian	Udclyde	0.0
