qid	order	query	qld.map
301	-1	International Organized Crime	0.0104
301	glove.topn3	international organized crime global which organised criminal	0.0203
301	anchor.topn3	international organized crime confédérat föderat kanusport anti corruption anti econom drug	0.0194
301	word2vec.topn3	international organized crime national global domestic organised criminality	0.0156
301	wiki.topn3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0135
301	wiki.topn3.replace	constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0134
301	docluster.topn10.3.bm25	international organized crime	0.0104
301	docluster.topn10.3.qld	international organized crime	0.0104
301	rm3.topn10.10.0.5.bm25	International Organized Crime	0.0104
301	rm3.topn10.10.0.5.qld	International Organized Crime	0.0104
301	stem.krovetz	international organized crime	0.0104
301	stem.porter2	intern organ crime	0.0104
301	stem.sstemmer	international organized crime	0.0104
301	termluster.topn5.3.bm25	international organized crime	0.0104
301	termluster.topn5.3.qld	international organized crime	0.0104
301	thesaurus.topn3	international organized crime	0.0104
301	thesaurus.topn3.replace	international organized crime	0.0104
302	-1	Poliomyelitis and Post-Polio	0.5115
302	relevancefeedback.topn10.qld	poliomyelitis and post polio case polio i health hi vaccin china percent	0.5762
302	relevancefeedback.topn10.bm25	poliomyelitis and post polio case polio i health vaccin china aid	0.5478
302	wordnet.topn3	poliomyelitis post polio polio acute anterior poliomyelitis	0.5277
302	tagmee.topn3	poliomyelitis post polio Poliomyelitis Post polio syndrome	0.518
302	anchor.topn3	poliomyelitis post polio kentuckyon rwjbarnaba lcmc	0.5115
302	conceptnet.topn3	poliomyelitis post polio	0.5115
302	conceptnet.topn3.replace	poliomyelitis post polio	0.5115
302	docluster.topn10.3.bm25	poliomyelitis and post polio	0.5115
302	docluster.topn10.3.qld	poliomyelitis and post polio	0.5115
302	rm3.topn10.10.0.5.bm25	Poliomyelitis and Post-Polio	0.5115
302	rm3.topn10.10.0.5.qld	Poliomyelitis and Post-Polio	0.5115
302	sensedisambiguation	Poliomyelitis and Post Polio	0.5115
302	sensedisambiguation.replace	poliomyelitis and Post Polio	0.5115
302	stem.krovetz	poliomyeliti and post polio	0.5115
302	stem.porter	poliomyel and post polio	0.5115
302	stem.porter2	poliomyel and post polio	0.5115
302	stem.sstemmer	poliomyeliti and post polio	0.5115
302	termluster.topn5.3.bm25	poliomyelitis post polio	0.5115
302	termluster.topn5.3.qld	poliomyelitis post polio	0.5115
302	thesaurus.topn3	poliomyelitis post polio	0.5115
302	thesaurus.topn3.replace	poliomyelitis post polio	0.5115
303	-1	Hubble Telescope Achievements	0.1915
303	wiki.topn3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.2933
303	wiki.topn3.replace	great observatories program hubble space telescope standard candles hubble space telescope	0.2863
303	wordnet.topn3	hubble telescope achievements Edwin Hubble Edwin Powell Hubble scope accomplishment	0.1966
303	anchor.topn3	hubble telescope achievements	0.1915
303	anchor.topn3.replace	hubble telescope achievements	0.1915
303	docluster.topn10.3.bm25	hubble telescope achievements	0.1915
303	docluster.topn10.3.qld	hubble telescope achievements	0.1915
303	rm3.topn10.10.0.5.bm25	Hubble Telescope Achievements	0.1915
303	rm3.topn10.10.0.5.qld	Hubble Telescope Achievements	0.1915
303	stem.krovetz	hubble telescope achievement	0.1915
303	stem.lovins	hubbl telescop achievement	0.1915
303	stem.paicehusk	hubbl telescop achiev	0.1915
303	stem.porter	hubbl telescop achiev	0.1915
303	stem.porter2	hubbl telescop achiev	0.1915
303	stem.sstemmer	hubble telescope achievement	0.1915
303	termluster.topn5.3.bm25	hubble telescope achievements	0.1915
303	termluster.topn5.3.qld	hubble telescope achievements	0.1915
303	thesaurus.topn3	hubble telescope achievements	0.1915
303	thesaurus.topn3.replace	hubble telescope achievements	0.1915
304	-1	Endangered Species (Mammals)	0.037
304	conceptluster.topn5.3.bm25	endangered species mammals endangered species	0.0471
304	conceptluster.topn5.3.qld	endangered species mammals endangered species	0.0471
304	stem.lovins	endanger speci mam	0.0455
304	stem.paicehusk	endang specy mam	0.0455
304	docluster.topn10.3.bm25	endangered species mammals	0.037
304	docluster.topn10.3.qld	endangered species mammals	0.037
304	rm3.topn10.10.0.5.bm25	Endangered Species (Mammals)	0.037
304	rm3.topn10.10.0.5.qld	Endangered Species (Mammals)	0.037
304	stem.krovetz	endanger species mammal	0.037
304	stem.porter	endang speci mammal	0.037
304	stem.porter2	endang speci mammal	0.037
304	stem.sstemmer	endangered specy mammal	0.037
304	tagmee.topn3	endangered species mammals Endangered species Mammal	0.037
304	tagmee.topn3.replace	Endangered species Mammal	0.037
304	termluster.topn5.3.bm25	endangered species mammals	0.037
304	termluster.topn5.3.qld	endangered species mammals	0.037
304	thesaurus.topn3	endangered species mammals	0.037
304	thesaurus.topn3.replace	endangered species mammals	0.037
305	-1	Most Dangerous Vehicles	0.0044
305	conceptluster.topn5.3.bm25	dangerous vehicles risk	0.0173
305	conceptluster.topn5.3.qld	dangerous vehicles risk	0.0173
305	wordnet.topn3	dangerous vehicles life threatening unsafe fomite	0.0159
305	sensedisambiguation	Most Dangerous Vehicles vehicle	0.0098
305	termluster.topn5.3.bm25	dangerous vehicles	0.0071
305	termluster.topn5.3.qld	dangerous vehicles	0.0071
305	thesaurus.topn3	dangerous vehicles	0.0071
305	thesaurus.topn3.replace	dangerous vehicles	0.0071
305	wiki.topn3	dangerous vehicles risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.006
305	wiki.topn3.replace	risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.0059
305	tagmee.topn3.replace	Risk Vehicle	0.0051
305	tagmee.topn3	dangerous vehicles Risk Vehicle	0.0049
305	docluster.topn10.3.bm25	most dangerous vehicles	0.0044
305	docluster.topn10.3.qld	most dangerous vehicles	0.0044
305	rm3.topn10.10.0.5.bm25	Most Dangerous Vehicles	0.0044
305	rm3.topn10.10.0.5.qld	Most Dangerous Vehicles	0.0044
305	sensedisambiguation.replace	Most dangerous vehicle	0.0044
305	stem.krovetz	most dangerous vehicle	0.0044
305	stem.lovins	most danger vehicl	0.0044
305	stem.porter	most danger vehicl	0.0044
305	stem.porter2	most danger vehicl	0.0044
305	stem.sstemmer	most dangerous vehicle	0.0044
306	-1	African Civilian Deaths	0.0527
306	docluster.topn10.3.bm25	african civilian deaths	0.0527
306	docluster.topn10.3.qld	african civilian deaths	0.0527
306	rm3.topn10.10.0.5.bm25	African Civilian Deaths	0.0527
306	rm3.topn10.10.0.5.qld	African Civilian Deaths	0.0527
306	stem.porter	african civilian death	0.0527
306	stem.porter2	african civilian death	0.0527
306	stem.sstemmer	african civilian death	0.0527
306	termluster.topn5.3.bm25	african civilian deaths	0.0527
306	termluster.topn5.3.qld	african civilian deaths	0.0527
306	thesaurus.topn3	african civilian deaths	0.0527
306	thesaurus.topn3.replace	african civilian deaths	0.0527
307	-1	New Hydroelectric Projects	0.2124
307	tagmee.topn3	new hydroelectric projects Hydroelectricity Project	0.214
307	tagmee.topn3.replace	Hydroelectricity Project	0.2136
307	docluster.topn10.3.bm25	new hydroelectric projects	0.2124
307	docluster.topn10.3.qld	new hydroelectric projects	0.2124
307	rm3.topn10.10.0.5.bm25	New Hydroelectric Projects	0.2124
307	rm3.topn10.10.0.5.qld	New Hydroelectric Projects	0.2124
307	stem.krovetz	new hydroelectric project	0.2124
307	stem.lovins	new hydroelectr project	0.2124
307	stem.porter	new hydroelectric project	0.2124
307	stem.porter2	new hydroelectr project	0.2124
307	stem.sstemmer	new hydroelectric project	0.2124
307	termluster.topn5.3.bm25	new hydroelectric projects	0.2124
307	termluster.topn5.3.qld	new hydroelectric projects	0.2124
307	thesaurus.topn3	new hydroelectric projects	0.2124
307	thesaurus.topn3.replace	new hydroelectric projects	0.2124
308	-1	Implant Dentistry	0.2812
308	conceptluster.topn5.3.bm25	implant dentistry dental implant	0.5
308	conceptluster.topn5.3.qld	implant dentistry dental implant	0.5
308	word2vec.topn3.replace	implant dental dentists	0.5
308	wiki.topn3	implant dentistry soft tissue sinus lift sinus surgery dental implant cardiology physical therapy otolaryngology dentistry	0.3333
308	wiki.topn3.replace	soft tissue sinus lift sinus surgery dental implant cardiology physical therapy otolaryngology dentistry	0.3125
308	wordnet.topn3	implant dentistry embed plant odontology dental medicine	0.3056
308	anchor.topn3	implant dentistry defibrillatorto ketodesogestrel carviovert	0.2812
308	conceptnet.topn3	implant dentistry plant dental medicine dental	0.2812
308	docluster.topn10.3.bm25	implant dentistry	0.2812
308	docluster.topn10.3.qld	implant dentistry	0.2812
308	rm3.topn10.10.0.5.bm25	Implant Dentistry	0.2812
308	rm3.topn10.10.0.5.qld	Implant Dentistry	0.2812
308	stem.krovetz	implant dentistry	0.2812
308	stem.porter	implant dentistri	0.2812
308	stem.porter2	implant dentistri	0.2812
308	stem.sstemmer	implant dentistry	0.2812
308	termluster.topn5.3.bm25	implant dentistry	0.2812
308	termluster.topn5.3.qld	implant dentistry	0.2812
308	thesaurus.topn3	implant dentistry	0.2812
308	thesaurus.topn3.replace	implant dentistry	0.2812
309	-1	Rap and Crime	0.0
309	conceptnet.topn3	rap crime music hip hop	0.0076
309	wiki.topn3	rap crime reggaeton underground hip hop gangsta rap rapping	0.006
309	wiki.topn3.replace	reggaeton underground hip hop gangsta rap rapping	0.006
309	word2vec.topn3	rap crime hip hop hiphop criminality	0.0057
309	conceptnet.topn3.replace	music hip hop crime	0.0048
310	-1	Radio Waves and Brain Cancer	0.1362
310	docluster.topn10.3.bm25	radio waves and brain cancer	0.1362
310	docluster.topn10.3.qld	radio waves and brain cancer	0.1362
310	rm3.topn10.10.0.5.bm25	Radio Waves and Brain Cancer	0.1362
310	rm3.topn10.10.0.5.qld	Radio Waves and Brain Cancer	0.1362
310	stem.krovetz	radio wave and brain cancer	0.1362
310	stem.porter	radio wave and brain cancer	0.1362
310	stem.porter2	radio wave and brain cancer	0.1362
310	stem.sstemmer	radio wave and brain cancer	0.1362
310	termluster.topn5.3.bm25	radio waves brain cancer	0.1362
310	termluster.topn5.3.qld	radio waves brain cancer	0.1362
310	thesaurus.topn3	radio waves brain cancer	0.1362
310	thesaurus.topn3.replace	radio waves brain cancer	0.1362
311	-1	Industrial Espionage	0.2058
311	conceptluster.topn5.3.bm25	industrial espionage industrial espionage	0.2058
311	conceptluster.topn5.3.qld	industrial espionage industrial espionage	0.2058
311	docluster.topn10.3.bm25	industrial espionage	0.2058
311	docluster.topn10.3.qld	industrial espionage	0.2058
311	rm3.topn10.10.0.5.bm25	Industrial Espionage	0.2058
311	rm3.topn10.10.0.5.qld	Industrial Espionage	0.2058
311	sensedisambiguation	Industrial Espionage	0.2058
311	sensedisambiguation.replace	industrial espionage	0.2058
311	stem.krovetz	industrial espionage	0.2058
311	stem.porter	industri espionag	0.2058
311	stem.porter2	industri espionag	0.2058
311	stem.sstemmer	industrial espionage	0.2058
311	tagmee.topn3	industrial espionage Industrial espionage	0.2058
311	tagmee.topn3.replace	Industrial espionage	0.2058
311	termluster.topn5.3.bm25	industrial espionage	0.2058
311	termluster.topn5.3.qld	industrial espionage	0.2058
311	thesaurus.topn3	industrial espionage	0.2058
311	thesaurus.topn3.replace	industrial espionage	0.2058
311	wordnet.topn3	industrial espionage	0.2058
311	wordnet.topn3.replace	industrial espionage	0.2058
312	-1	Hydroponics	0.8553
312	anchor.topn3	hydroponics	0.8553
312	anchor.topn3.replace	hydroponics	0.8553
312	conceptluster.topn5.3.bm25	hydroponics	0.8553
312	conceptluster.topn5.3.qld	hydroponics	0.8553
312	conceptnet.topn3	hydroponics	0.8553
312	conceptnet.topn3.replace	hydroponics	0.8553
312	docluster.topn10.3.bm25	hydroponics	0.8553
312	docluster.topn10.3.qld	hydroponics	0.8553
312	glove.topn3	hydroponics ooooooooooooooooooooooooooooooooooooooo aquaponics	0.8553
312	rm3.topn10.10.0.5.bm25	Hydroponics	0.8553
312	rm3.topn10.10.0.5.qld	Hydroponics	0.8553
312	sensedisambiguation	Hydroponics	0.8553
312	sensedisambiguation.replace	hydroponics	0.8553
312	stem.krovetz	hydroponics	0.8553
312	stem.lovins	hydropon	0.8553
312	stem.paicehusk	hydropon	0.8553
312	stem.porter	hydroponic	0.8553
312	stem.porter2	hydropon	0.8553
312	stem.sstemmer	hydroponic	0.8553
312	tagmee.topn3	hydroponics Hydroponics	0.8553
312	tagmee.topn3.replace	Hydroponics	0.8553
312	termluster.topn5.3.bm25	hydroponics	0.8553
312	termluster.topn5.3.qld	hydroponics	0.8553
312	thesaurus.topn3	hydroponics	0.8553
312	thesaurus.topn3.replace	hydroponics	0.8553
312	word2vec.topn3	hydroponics aeroponic	0.8553
313	-1	Magnetic Levitation-Maglev	0.768
