,qid,order,query,bm25.map
0,301,-1,International Organized Crime,0.0096
1,301,wiki.topn3,international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime,0.0422
2,301,wiki.topn3.replace,constitutional law public international law criminal law international law extortion mafia money laundering organized crime,0.0391
3,301,anchor.topn3,international organized crime confédérat föderat kanusport anti corruption anti econom drug,0.0261
4,301,glove.topn3,international organized crime global which organised criminal,0.0202
5,301,word2vec.topn3,international organized crime national global domestic organised criminality,0.0155
6,302,-1,Poliomyelitis and Post-Polio,0.5026
7,302,relevancefeedback.topn10.qld,poliomyelitis and post polio case polio i health hi vaccin china percent,0.5532
8,302,relevancefeedback.topn10.bm25,poliomyelitis and post polio case polio i health vaccin china aid,0.545
9,302,wordnet.topn3,poliomyelitis post polio polio acute anterior poliomyelitis,0.525
10,302,glove.topn3,poliomyelitis post polio polio measles mangxamba http www kasparovchess com,0.5101
11,302,tagmee.topn3,poliomyelitis post polio Poliomyelitis Post polio syndrome,0.5031
12,303,-1,Hubble Telescope Achievements,0.1663
13,303,wiki.topn3,hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope,0.2914
14,303,wiki.topn3.replace,great observatories program hubble space telescope standard candles hubble space telescope,0.288
15,303,bt_nllb_swahili,The results of the Hubble Telescope,0.2221
16,303,conceptnet.topn3,hubble telescope achievements Edwin Powell Hubble scotland heap,0.1855
17,303,wordnet.topn3,hubble telescope achievements Edwin Hubble Edwin Powell Hubble scope accomplishment,0.1731
18,303,conceptnet.topn3.replace,Edwin Powell Hubble scotland heap telescope achievements,0.1704
19,303,bt_bing_persian,Hubble Telescope,0.1686
20,303,word2vec.topn3,hubble telescope achievements kepler milkyway moon observatory accomplishments successes,0.1678
21,304,-1,Endangered Species (Mammals),0.0591
22,304,bt_nllb_swahili,Endangered Species Animals,0.0698
23,304,conceptluster.topn5.3.bm25,endangered species mammals endangered species,0.0674
24,304,conceptluster.topn5.3.qld,endangered species mammals endangered species,0.0674
25,304,bt_bing_malay,Endangered Species Mamalia,0.0624
26,304,bt_nllb_korean,Endangered species,0.0624
27,304,stem.lovins,endanger speci mam,0.0624
28,304,stem.paicehusk,endang specy mam,0.0624
29,304,bt_nllb_persian,Endangered species clover,0.06
30,305,-1,Most Dangerous Vehicles,0.0013
31,305,tagmee.topn3.replace,Risk Vehicle,0.0071
32,305,wordnet.topn3,dangerous vehicles life threatening unsafe fomite,0.0052
33,305,glove.topn3,dangerous vehicles potentially difficult cars,0.0048
34,305,wiki.topn3.replace,risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle,0.0048
35,305,wiki.topn3,dangerous vehicles risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle,0.004
36,305,glove.topn3.replace,potentially difficult cars,0.0036
37,305,conceptnet.topn3,dangerous vehicles Explosives driving Some people,0.0025
38,305,conceptluster.topn5.3.bm25,dangerous vehicles risk,0.0022
39,305,conceptluster.topn5.3.qld,dangerous vehicles risk,0.0022
40,305,tagmee.topn3,dangerous vehicles Risk Vehicle,0.0022
41,305,sensedisambiguation,Most Dangerous Vehicles vehicle,0.0021
42,305,termluster.topn5.3.bm25,dangerous vehicles,0.0015
43,305,termluster.topn5.3.qld,dangerous vehicles,0.0015
44,305,thesaurus.topn3,dangerous vehicles,0.0015
45,305,thesaurus.topn3.replace,dangerous vehicles,0.0015
46,306,-1,African Civilian Deaths,0.0486
47,306,sensedisambiguation,African Civilian Deaths end,0.055
48,307,-1,New Hydroelectric Projects,0.1656
49,307,tagmee.topn3,new hydroelectric projects Hydroelectricity Project,0.1657
50,307,tagmee.topn3.replace,Hydroelectricity Project,0.1657
51,308,-1,Implant Dentistry,0.2833
52,308,bt_bing_arabic,Dental implants,0.4167
53,308,bt_bing_persian,Dental implant,0.4167
54,308,bt_bing_swahili,Dental implants,0.4167
55,308,bt_nllb_german,Implant teeth,0.4167
56,308,bt_nllb_malay,Dental Implantation,0.4167
57,308,bt_nllb_persian,Dental implant,0.4167
58,308,conceptluster.topn5.3.bm25,implant dentistry dental implant,0.4167
59,308,conceptluster.topn5.3.qld,implant dentistry dental implant,0.4167
60,308,wiki.topn3,implant dentistry soft tissue sinus lift sinus surgery dental implant cardiology physical therapy otolaryngology dentistry,0.375
61,308,wiki.topn3.replace,soft tissue sinus lift sinus surgery dental implant cardiology physical therapy otolaryngology dentistry,0.3
62,309,-1,Rap and Crime,0.0
63,309,conceptnet.topn3,rap crime music hip hop,0.005
64,309,word2vec.topn3,rap crime hip hop hiphop criminality,0.0045
65,309,wiki.topn3.replace,reggaeton underground hip hop gangsta rap rapping,0.0043
66,310,-1,Radio Waves and Brain Cancer,0.1455
67,310,word2vec.topn3,radio waves brain cancer television brain leukemia lymphoma,0.1691
68,310,bt_nllb_chinese_yue,Radiation and brain cancer,0.1576
69,310,bt_nllb_korean,Radiation and Brain Cancer,0.1576
70,311,-1,Industrial Espionage,0.2708
71,311,conceptnet.topn3,industrial espionage factory postindustrial,0.2854
72,312,-1,Hydroponics,0.8553
73,313,-1,Magnetic Levitation-Maglev,0.7034
74,313,relevancefeedback.topn10.qld,magnetic levitation maglev magnet train railwai la said would project,0.7599
75,313,relevancefeedback.topn10.bm25,magnetic levitation maglev magnet la would railwai project train car said,0.7596
76,313,bt_bing_german,Magnetic levitation magnetic levitation train,0.7101
77,314,-1,Marine Vegetation,0.0007
78,314,bt_nllb_persian,Seaweed,0.2075
79,314,bt_nllb_swahili,Seaweed,0.2075
80,314,tagmee.topn3,marine vegetation Ocean Vegetation,0.0379
81,314,conceptluster.topn5.3.bm25,marine vegetation ocean,0.0345
82,314,conceptluster.topn5.3.qld,marine vegetation ocean,0.0345
83,314,tagmee.topn3.replace,Ocean Vegetation,0.0284
84,314,bt_nllb_russian,Sea vegetation,0.0251
85,314,wiki.topn3,marine vegetation ocean current seabed continental shelf ocean ecosystem biome biomes vegetation,0.0241
86,314,bt_bing_korean,Marine Plants,0.0133
87,314,bt_bing_malay,Marine plants,0.0133
88,314,bt_bing_tamil,Marine plants,0.0133
89,314,bt_nllb_arabic,Marine plants,0.0133
90,314,bt_nllb_german,Protection of the seas,0.0114
91,314,wiki.topn3.replace,ocean current seabed continental shelf ocean ecosystem biome biomes vegetation,0.0052
