,qid,order,query,qld.map
0,701,-1,U.S. oil industry history,0.008
1,701,termluster.topn5.3.qld,u s oil industry history industri field oil field state social region,0.0494
2,701,docluster.topn10.3.qld,u s oil industry history industri counti,0.0327
3,701,relevancefeedback.topn10.qld,u s oil industry history industri counti ga,0.0252
4,701,conceptluster.topn5.3.qld,u s oil industry history petroleum,0.0205
5,701,tagmee.topn3,u s oil industry history Petroleum,0.0205
6,701,bt_bing_arabic,History of the American oil industry,0.02
7,701,bt_nllb_arabic,The history of the American oil industry,0.02
8,701,bt_nllb_french,The history of the American oil industry,0.02
9,701,bt_nllb_german,The history of the US oil industry,0.0166
10,701,bt_bing_chinese_simplified,History of the U S oil industry,0.008
11,701,bt_bing_french,History of the U S Oil Industry,0.008
12,701,bt_bing_german,History of the U S Oil Industry,0.008
13,701,bt_bing_korean,History of the U S Oil Industry,0.008
14,701,bt_bing_malay,History of the U S oil industry,0.008
15,701,bt_bing_persian,History of the U S Oil Industry,0.008
16,701,bt_bing_russian,History of the U S Oil Industry,0.008
17,701,bt_bing_swahili,History of the U S oil industry,0.008
18,701,bt_bing_tamil,History of the U S oil industry,0.008
19,701,bt_nllb_chinese_yue,The history of the U S oil industry,0.008
20,701,bt_nllb_korean,The history of the U S oil industry,0.008
21,701,bt_nllb_malay,History of the U S oil industry,0.008
22,701,bt_nllb_persian,The history of the U S oil industry,0.008
23,701,bt_nllb_russian,The history of the U S oil industry,0.008
24,701,bt_nllb_swahili,The history of the U S oil industry,0.008
25,701,bt_nllb_tamil,The history of the U S oil industry,0.008
26,701,original,U S oil industry history,0.008
27,701,stem.krovetz,u s oil industry history,0.008
28,701,stem.porter,u s oil industri histori,0.008
29,701,stem.porter2,u s oil industri histori,0.008
30,701,stem.sstemmer,u s oil industry history,0.008
31,701,thesaurus.topn3,u s oil industry history,0.008
32,701,thesaurus.topn3.replace,u s oil industry history,0.008
33,702,-1,Pearl farming,0.0264
34,702,bt_bing_tamil,Pearl culture,0.1268
35,702,termluster.topn5.3.qld,pearl farming product fish,0.0861
36,702,wiki.topn3,pearl farming pearls jewellery components gemstone pearl,0.0801
37,702,wiki.topn3.replace,pearls jewellery components gemstone pearl,0.0693
38,702,bt_bing_arabic,Pearl cultivation,0.0488
39,702,bt_nllb_french,Cultivation of pearls,0.0488
40,702,tagmee.topn3.replace,Pearl,0.0326
41,702,rm3.topn10.10.0.5.qld,pearl farming farm japan jerri product,0.0312
42,702,tagmee.topn3,pearl farming Pearl,0.0269
43,702,bt_bing_chinese_simplified,Pearl farming,0.0264
44,702,bt_bing_french,Pearl farming,0.0264
45,702,bt_bing_german,Pearl farming,0.0264
46,702,bt_bing_korean,Pearl Farming,0.0264
47,702,bt_bing_malay,Pearl farming,0.0264
48,702,bt_bing_russian,Pearl farming,0.0264
49,702,bt_bing_swahili,Pearl farming,0.0264
50,702,bt_nllb_chinese_yue,Pearl farming,0.0264
51,702,bt_nllb_german,Pearl farming,0.0264
52,702,bt_nllb_korean,Pearl farming,0.0264
53,702,bt_nllb_malay,Pearl farming,0.0264
54,702,bt_nllb_russian,Pearl farming,0.0264
55,702,bt_nllb_swahili,The pearl farm,0.0264
56,702,bt_nllb_tamil,pearl farming,0.0264
57,702,conceptluster.topn5.3.qld,pearl farming,0.0264
58,702,original,Pearl farming,0.0264
59,702,sensedisambiguation,Pearl farming,0.0264
60,702,sensedisambiguation.replace,pearl farming,0.0264
61,702,stem.krovetz,pearl farming,0.0264
62,702,stem.lovins,pearl farm,0.0264
63,702,stem.paicehusk,pearl farm,0.0264
64,702,stem.porter,pearl farm,0.0264
65,702,stem.porter2,pearl farm,0.0264
66,702,stem.sstemmer,pearl farming,0.0264
67,702,thesaurus.topn3,pearl farming,0.0264
68,702,thesaurus.topn3.replace,pearl farming,0.0264
69,704,-1,Green party political views,0.0489
70,704,termluster.topn5.3.qld,green party political views libertarian parti polit state polit nation state parti nation,0.0753
71,704,bt_bing_arabic,Political views of the Green Party,0.0489
72,704,bt_bing_french,Green Party Political Views,0.0489
73,704,bt_bing_korean,Political views of the Green Party,0.0489
74,704,bt_bing_malay,Green party political views,0.0489
75,704,bt_bing_russian,Political views of the Green Party,0.0489
76,704,bt_bing_swahili,Political views of the Green Party,0.0489
77,704,bt_bing_tamil,Green Party political views,0.0489
78,704,bt_nllb_arabic,The political views of the Green Party,0.0489
79,704,bt_nllb_french,The political views of the Green Party,0.0489
80,704,bt_nllb_korean,The political views of the Green Party,0.0489
81,704,bt_nllb_malay,Green Party political views,0.0489
82,704,bt_nllb_persian,The political views of the Green Party,0.0489
83,704,bt_nllb_russian,Political views of the Green Party,0.0489
84,704,bt_nllb_swahili,The political views of the Green Party,0.0489
85,704,bt_nllb_tamil,Green Party political views,0.0489
86,704,original,Green party political views,0.0489
87,704,sensedisambiguation.replace,green party political view,0.0489
88,704,stem.krovetz,green party politics view,0.0489
89,704,stem.paicehusk,green party polit view,0.0489
90,704,stem.porter,green parti polit view,0.0489
91,704,stem.porter2,green parti polit view,0.0489
92,704,stem.sstemmer,green party political view,0.0489
