,qid,order,query,bm25.ndcg
0,701,-1,U.S. oil industry history,0.0338
1,701,bt_nllb_german,The history of the US oil industry,0.1973
2,701,termluster.topn5.3.qld,u s oil industry history industri field oil field state social region,0.1557
3,701,relevancefeedback.topn10.qld,u s oil industry history industri counti ga,0.1247
4,701,docluster.topn10.3.qld,u s oil industry history industri counti,0.1239
5,701,bt_bing_arabic,History of the American oil industry,0.1071
6,701,bt_nllb_arabic,The history of the American oil industry,0.1071
7,701,bt_nllb_french,The history of the American oil industry,0.1071
8,701,conceptluster.topn5.3.qld,u s oil industry history petroleum,0.0527
9,701,tagmee.topn3,u s oil industry history Petroleum,0.0527
10,701,wordnet.topn3,u s oil industry history USA United States United States government rock oil petroleum oil color manufacture diligence account chronicle,0.0466
11,701,bt_bing_chinese_simplified,History of the U S oil industry,0.0338
12,701,bt_bing_french,History of the U S Oil Industry,0.0338
13,701,bt_bing_german,History of the U S Oil Industry,0.0338
14,701,bt_bing_korean,History of the U S Oil Industry,0.0338
15,701,bt_bing_malay,History of the U S oil industry,0.0338
16,701,bt_bing_persian,History of the U S Oil Industry,0.0338
17,701,bt_bing_russian,History of the U S Oil Industry,0.0338
18,701,bt_bing_swahili,History of the U S oil industry,0.0338
19,701,bt_bing_tamil,History of the U S oil industry,0.0338
20,701,bt_nllb_chinese_yue,The history of the U S oil industry,0.0338
21,701,bt_nllb_korean,The history of the U S oil industry,0.0338
22,701,bt_nllb_malay,History of the U S oil industry,0.0338
23,701,bt_nllb_persian,The history of the U S oil industry,0.0338
24,701,bt_nllb_russian,The history of the U S oil industry,0.0338
25,701,bt_nllb_swahili,The history of the U S oil industry,0.0338
26,701,bt_nllb_tamil,The history of the U S oil industry,0.0338
27,701,original,U S oil industry history,0.0338
28,701,stem.krovetz,u s oil industry history,0.0338
29,701,stem.porter,u s oil industri histori,0.0338
30,701,stem.porter2,u s oil industri histori,0.0338
31,701,stem.sstemmer,u s oil industry history,0.0338
32,701,thesaurus.topn3,u s oil industry history,0.0338
33,701,thesaurus.topn3.replace,u s oil industry history,0.0338
34,702,-1,Pearl farming,0.1361
35,702,bt_bing_tamil,Pearl culture,0.385
36,702,termluster.topn5.3.qld,pearl farming product fish,0.2593
37,702,wiki.topn3,pearl farming pearls jewellery components gemstone pearl,0.1863
38,702,tagmee.topn3,pearl farming Pearl,0.1564
39,702,rm3.topn10.10.0.5.qld,pearl farming farm japan jerri product,0.153
40,702,rm3.topn10.10.0.5.bm25,pearl farming coliform cumberland option japan our jerri ocean,0.141
41,702,wiki.topn3.replace,pearls jewellery components gemstone pearl,0.1383
42,702,bt_bing_chinese_simplified,Pearl farming,0.1361
43,702,bt_bing_french,Pearl farming,0.1361
44,702,bt_bing_german,Pearl farming,0.1361
45,702,bt_bing_korean,Pearl Farming,0.1361
46,702,bt_bing_malay,Pearl farming,0.1361
47,702,bt_bing_russian,Pearl farming,0.1361
48,702,bt_bing_swahili,Pearl farming,0.1361
49,702,bt_nllb_chinese_yue,Pearl farming,0.1361
50,702,bt_nllb_german,Pearl farming,0.1361
51,702,bt_nllb_korean,Pearl farming,0.1361
52,702,bt_nllb_malay,Pearl farming,0.1361
53,702,bt_nllb_russian,Pearl farming,0.1361
54,702,bt_nllb_swahili,The pearl farm,0.1361
55,702,bt_nllb_tamil,pearl farming,0.1361
56,702,conceptluster.topn5.3.qld,pearl farming,0.1361
57,702,original,Pearl farming,0.1361
58,702,sensedisambiguation,Pearl farming,0.1361
59,702,sensedisambiguation.replace,pearl farming,0.1361
60,702,stem.krovetz,pearl farming,0.1361
61,702,stem.lovins,pearl farm,0.1361
62,702,stem.paicehusk,pearl farm,0.1361
63,702,stem.porter,pearl farm,0.1361
64,702,stem.porter2,pearl farm,0.1361
65,702,stem.sstemmer,pearl farming,0.1361
66,702,thesaurus.topn3,pearl farming,0.1361
67,702,thesaurus.topn3.replace,pearl farming,0.1361
68,704,-1,Green party political views,0.1912
69,704,docluster.topn10.3.qld,green party political views parti,0.2482
70,704,relevancefeedback.topn10.qld,green party political views parti,0.2482
71,704,rm3.topn10.10.0.5.qld,green party political views parti,0.2482
72,704,termluster.topn5.3.qld,green party political views libertarian parti polit state polit nation state parti nation,0.239
73,704,bt_bing_arabic,Political views of the Green Party,0.1912
74,704,bt_bing_french,Green Party Political Views,0.1912
75,704,bt_bing_korean,Political views of the Green Party,0.1912
76,704,bt_bing_malay,Green party political views,0.1912
77,704,bt_bing_russian,Political views of the Green Party,0.1912
78,704,bt_bing_swahili,Political views of the Green Party,0.1912
79,704,bt_bing_tamil,Green Party political views,0.1912
80,704,bt_nllb_arabic,The political views of the Green Party,0.1912
81,704,bt_nllb_french,The political views of the Green Party,0.1912
82,704,bt_nllb_korean,The political views of the Green Party,0.1912
83,704,bt_nllb_malay,Green Party political views,0.1912
84,704,bt_nllb_persian,The political views of the Green Party,0.1912
85,704,bt_nllb_russian,Political views of the Green Party,0.1912
86,704,bt_nllb_swahili,The political views of the Green Party,0.1912
87,704,bt_nllb_tamil,Green Party political views,0.1912
88,704,original,Green party political views,0.1912
89,704,sensedisambiguation.replace,green party political view,0.1912
90,704,stem.krovetz,green party politics view,0.1912
91,704,stem.paicehusk,green party polit view,0.1912
92,704,stem.porter,green parti polit view,0.1912
93,704,stem.porter2,green parti polit view,0.1912
94,704,stem.sstemmer,green party political view,0.1912
95,704,stem.trunc5,green party polit views,0.1912
96,704,thesaurus.topn3,green party political views,0.1912
97,704,thesaurus.topn3.replace,green party political views,0.1912
98,705,-1,Iraq foreign debt reduction,0.2949
99,705,tagmee.topn3,iraq foreign debt reduction Iraq External debt Debt,0.4538
100,705,bt_nllb_malay,Reduction of external debt to Iraq,0.4394
101,705,tagmee.topn3.replace,Iraq External debt Debt,0.4002
102,705,bt_bing_tamil,Iraqi Foreign Debt Reduction,0.3907
103,705,stem.trunc5,iraq forei debt reduc,0.3806
104,705,bt_bing_arabic,Iraq s external debt reduction,0.3772
105,705,bt_bing_french,Reduction of Iraq s external debt,0.3772
106,705,bt_bing_german,Reduction of Iraq s external debt,0.3772
107,705,bt_bing_russian,Reduction of Iraq s external debt,0.3772
108,705,bt_nllb_french,Reduction of Iraq s external debt,0.3772
109,705,rm3.topn10.10.0.5.bm25,iraq foreign debt reduction develop we,0.3339
110,705,bt_bing_persian,Reducing Iraq s External Debt,0.3242
111,705,bt_nllb_russian,Reducing Iraq s external debt,0.3242
112,705,termluster.topn5.3.qld,iraq foreign debt reduction debt depart state depart iraq state unit state servic,0.3182
113,705,stem.trunc4,iraq fore debt redu,0.3169
114,705,conceptluster.topn5.3.qld,iraq foreign debt reduction debt external debt,0.3117
115,705,bt_nllb_chinese_yue,Iraq s foreign debt is falling,0.2959
116,705,bt_nllb_german,Reduction of foreign debt in Iraq,0.2949
117,705,docluster.topn10.3.qld,iraq foreign debt reduction,0.2949
118,705,original,Iraq foreign debt reduction,0.2949
119,705,sensedisambiguation,Iraq foreign debt reduction,0.2949
120,705,sensedisambiguation.replace,iraq foreign debt reduction,0.2949
121,705,stem.krovetz,iraq foreign debt reduction,0.2949
122,705,stem.porter,iraq foreign debt reduct,0.2949
123,705,stem.porter2,iraq foreign debt reduct,0.2949
124,705,stem.sstemmer,iraq foreign debt reduction,0.2949
125,705,thesaurus.topn3,iraq foreign debt reduction,0.2949
126,705,thesaurus.topn3.replace,iraq foreign debt reduction,0.2949
127,706,-1,Controlling type II diabetes,0.1037
128,706,sensedisambiguation.replace,see type two diabetes,0.1488
129,706,bt_bing_korean,Type Diabetes Control,0.1387
130,706,bt_nllb_arabic,Control of type diabetes,0.1387
131,706,bt_nllb_chinese_yue,Control of type diabetes,0.1387
132,706,bt_nllb_korean,Control of type diabetes,0.1387
133,706,bt_nllb_persian,Control of type diabetes,0.1387
134,706,docluster.topn10.3.qld,controlling type ii diabetes diabet,0.116
135,706,rm3.topn10.10.0.5.bm25,controlling type ii diabetes diabet,0.116
136,706,sensedisambiguation,Controlling see type II two diabetes,0.1132
137,706,bt_bing_arabic,Controlling type II diabetes,0.1037
138,706,bt_bing_chinese_simplified,Control of type II diabetes,0.1037
139,706,bt_bing_french,Controlling Type II Diabetes,0.1037
140,706,bt_bing_german,Control of type II diabetes,0.1037
141,706,bt_bing_malay,Controlling type II diabetes,0.1037
