qid	order	query	qld.ndcg
301	-1	International Organized Crime	0.064
301	glove.topn3	international organized crime global which organised criminal	0.0954
301	anchor.topn3	international organized crime confédérat föderat kanusport anti corruption anti econom drug	0.0859
301	word2vec.topn3	international organized crime national global domestic organised criminality	0.0848
301	wiki.topn3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0727
301	wiki.topn3.replace	constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0723
301	docluster.topn10.3.bm25	international organized crime	0.064
301	docluster.topn10.3.qld	international organized crime	0.064
301	rm3.topn10.10.0.5.bm25	International Organized Crime	0.064
301	rm3.topn10.10.0.5.qld	International Organized Crime	0.064
301	stem.krovetz	international organized crime	0.064
301	stem.porter2	intern organ crime	0.064
301	stem.sstemmer	international organized crime	0.064
301	termluster.topn5.3.bm25	international organized crime	0.064
301	termluster.topn5.3.qld	international organized crime	0.064
301	thesaurus.topn3	international organized crime	0.064
301	thesaurus.topn3.replace	international organized crime	0.064
301	conceptnet.topn3	international organized crime re formed reorganised	0.0621
301	sensedisambiguation	International Organized unionize Crime	0.0505
301	anchor.topn3.replace	confédérat föderat kanusport organized anti corruption anti econom drug	0.0502
301	stem.trunc5	inter organ crime	0.0488
301	conceptluster.topn5.3.bm25	international organized crime international law organized crime	0.0444
301	conceptluster.topn5.3.qld	international organized crime international law organized crime	0.0444
301	tagmee.topn3	international organized crime International law Organized crime	0.0444
301	glove.topn3.replace	global which organised criminal	0.0355
301	wordnet.topn3	international organized crime external unionise prepare unionize criminal offense criminal offence law breaking	0.0333
301	relevancefeedback.topn10.qld	international organized crime protect organ it feder compens intellectu	0.0315
301	tagmee.topn3.replace	International law Organized crime	0.0309
301	word2vec.topn3.replace	national global domestic organised criminality	0.0268
301	sensedisambiguation.replace	international unionize crime	0.0248
301	stem.porter	intern organiz crime	0.0234
301	relevancefeedback.topn10.bm25	international organized crime state trade govern issu japan us	0.0204
301	stem.lovins	intern organ crim	0.0158
301	conceptnet.topn3.replace	international re formed reorganised crime	0.0123
301	bertqe.topn10.qld	intern affair materi from report	0.0075
301	wordnet.topn3.replace	external unionise prepare unionize criminal offense criminal offence law breaking	0.0057
301	bertqe.topn10.bm25	jansatta hindi cso articl chitra	0.0
301	stem.paicehusk	intern org crim	0.0
301	stem.trunc4	inte orga crim	0.0
302	-1	Poliomyelitis and Post-Polio	0.7466
302	relevancefeedback.topn10.qld	poliomyelitis and post polio case polio i health hi vaccin china percent	0.7912
302	relevancefeedback.topn10.bm25	poliomyelitis and post polio case polio i health vaccin china aid	0.7697
302	wordnet.topn3	poliomyelitis post polio polio acute anterior poliomyelitis	0.7613
302	tagmee.topn3	poliomyelitis post polio Poliomyelitis Post polio syndrome	0.7527
302	anchor.topn3	poliomyelitis post polio kentuckyon rwjbarnaba lcmc	0.7466
302	conceptnet.topn3	poliomyelitis post polio	0.7466
302	conceptnet.topn3.replace	poliomyelitis post polio	0.7466
302	docluster.topn10.3.bm25	poliomyelitis and post polio	0.7466
302	docluster.topn10.3.qld	poliomyelitis and post polio	0.7466
302	rm3.topn10.10.0.5.bm25	Poliomyelitis and Post-Polio	0.7466
302	rm3.topn10.10.0.5.qld	Poliomyelitis and Post-Polio	0.7466
302	sensedisambiguation	Poliomyelitis and Post Polio	0.7466
302	sensedisambiguation.replace	poliomyelitis and Post Polio	0.7466
302	stem.krovetz	poliomyeliti and post polio	0.7466
302	stem.porter	poliomyel and post polio	0.7466
302	stem.porter2	poliomyel and post polio	0.7466
302	stem.sstemmer	poliomyeliti and post polio	0.7466
302	termluster.topn5.3.bm25	poliomyelitis post polio	0.7466
302	termluster.topn5.3.qld	poliomyelitis post polio	0.7466
302	thesaurus.topn3	poliomyelitis post polio	0.7466
302	thesaurus.topn3.replace	poliomyelitis post polio	0.7466
302	glove.topn3	poliomyelitis post polio polio measles mangxamba http www kasparovchess com	0.7193
302	conceptluster.topn5.3.bm25	poliomyelitis post polio post polio syndrome	0.6952
302	conceptluster.topn5.3.qld	poliomyelitis post polio post polio syndrome	0.6952
302	wordnet.topn3.replace	polio acute anterior poliomyelitis post polio	0.6807
302	tagmee.topn3.replace	Poliomyelitis Post polio syndrome	0.6799
302	stem.trunc5	polio and post polio	0.6564
302	stem.paicehusk	poliomyelit and post polio	0.6527
302	word2vec.topn3	poliomyelitis post polio polio poliovirus Guillain Barr amyotrophy	0.6488
302	wiki.topn3	poliomyelitis post polio thrombosis encephalitis renal failure poliomyelitis rett syndrome deep brain stimulation national perinatal epidemiology unit post polio syndrome	0.5096
302	glove.topn3.replace	polio measles mangxamba http www kasparovchess com	0.5024
302	word2vec.topn3.replace	polio poliovirus Guillain Barr amyotrophy	0.4626
302	anchor.topn3.replace	poliomyelitis kentuckyon rwjbarnaba lcmc	0.3058
302	wiki.topn3.replace	thrombosis encephalitis renal failure poliomyelitis rett syndrome deep brain stimulation national perinatal epidemiology unit post polio syndrome	0.2265
302	bertqe.topn10.bm25	reflect i m probabl most independ	0.0175
302	bertqe.topn10.qld	franklin roosevelt geoffrei c ward	0.0
302	stem.lovins	poliomyelit and post poli	0.0
302	stem.trunc4	poli and post poli	0.0
303	-1	Hubble Telescope Achievements	0.5359
303	wiki.topn3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.6687
303	wiki.topn3.replace	great observatories program hubble space telescope standard candles hubble space telescope	0.6625
303	anchor.topn3	hubble telescope achievements	0.5359
303	anchor.topn3.replace	hubble telescope achievements	0.5359
303	docluster.topn10.3.bm25	hubble telescope achievements	0.5359
303	docluster.topn10.3.qld	hubble telescope achievements	0.5359
303	rm3.topn10.10.0.5.bm25	Hubble Telescope Achievements	0.5359
303	rm3.topn10.10.0.5.qld	Hubble Telescope Achievements	0.5359
303	stem.krovetz	hubble telescope achievement	0.5359
303	stem.lovins	hubbl telescop achievement	0.5359
303	stem.paicehusk	hubbl telescop achiev	0.5359
303	stem.porter	hubbl telescop achiev	0.5359
303	stem.porter2	hubbl telescop achiev	0.5359
303	stem.sstemmer	hubble telescope achievement	0.5359
303	termluster.topn5.3.bm25	hubble telescope achievements	0.5359
303	termluster.topn5.3.qld	hubble telescope achievements	0.5359
303	thesaurus.topn3	hubble telescope achievements	0.5359
303	thesaurus.topn3.replace	hubble telescope achievements	0.5359
303	sensedisambiguation	Hubble Telescope Achievements accomplishment	0.53
303	conceptluster.topn5.3.bm25	hubble telescope achievements hubble space telescope	0.5196
303	conceptluster.topn5.3.qld	hubble telescope achievements hubble space telescope	0.5196
303	tagmee.topn3	hubble telescope achievements Hubble Space Telescope	0.5196
303	wordnet.topn3	hubble telescope achievements Edwin Hubble Edwin Powell Hubble scope accomplishment	0.5166
303	conceptnet.topn3	hubble telescope achievements Edwin Powell Hubble scotland heap	0.498
303	conceptnet.topn3.replace	Edwin Powell Hubble scotland heap telescope achievements	0.4977
303	relevancefeedback.topn10.qld	hubble telescope achievements telescop have univers hubbl mirror space	0.4938
303	sensedisambiguation.replace	hubble telescope accomplishment	0.4921
303	relevancefeedback.topn10.bm25	hubble telescope achievements launch space mirror have report telescop univers hubbl	0.4765
303	wordnet.topn3.replace	Edwin Hubble Edwin Powell Hubble scope accomplishment	0.4597
303	tagmee.topn3.replace	Hubble Space Telescope	0.4506
303	word2vec.topn3	hubble telescope achievements kepler milkyway moon observatory accomplishments successes	0.4127
303	stem.trunc5	hubbl teles achie	0.398
303	glove.topn3	hubble telescope achievements telescope nasa hubble accomplishments	0.3964
303	glove.topn3.replace	telescope nasa hubble accomplishments	0.3395
303	word2vec.topn3.replace	kepler milkyway moon observatory accomplishments successes	0.0342
303	bertqe.topn10.bm25	see full complex movi like	0.0
303	bertqe.topn10.qld	wednesdai home edit column on	0.0
303	stem.trunc4	hubb tele achi	0.0
304	-1	Endangered Species (Mammals)	0.1457
304	conceptluster.topn5.3.bm25	endangered species mammals endangered species	0.1834
304	conceptluster.topn5.3.qld	endangered species mammals endangered species	0.1834
304	stem.lovins	endanger speci mam	0.18
304	stem.paicehusk	endang specy mam	0.18
304	docluster.topn10.3.bm25	endangered species mammals	0.1457
304	docluster.topn10.3.qld	endangered species mammals	0.1457
304	rm3.topn10.10.0.5.bm25	Endangered Species (Mammals)	0.1457
304	rm3.topn10.10.0.5.qld	Endangered Species (Mammals)	0.1457
304	stem.krovetz	endanger species mammal	0.1457
304	stem.porter	endang speci mammal	0.1457
304	stem.porter2	endang speci mammal	0.1457
304	stem.sstemmer	endangered specy mammal	0.1457
304	tagmee.topn3	endangered species mammals Endangered species Mammal	0.1457
304	tagmee.topn3.replace	Endangered species Mammal	0.1457
