,qid,order,query,bm25.ndcg
0,301,-1,International Organized Crime,0.0586
1,301,anchor.topn3.replace,confédérat föderat kanusport organized anti corruption anti econom drug,0.0531
2,301,conceptluster.topn5.3.bm25,international organized crime international law organized crime,0.0528
3,301,conceptluster.topn5.3.qld,international organized crime international law organized crime,0.0528
4,301,tagmee.topn3,international organized crime International law Organized crime,0.0528
5,301,conceptnet.topn3,international organized crime re formed reorganised,0.0508
6,301,stem.trunc5,inter organ crime,0.0413
7,301,tagmee.topn3.replace,International law Organized crime,0.0383
8,301,wordnet.topn3,international organized crime external unionise prepare unionize criminal offense criminal offence law breaking,0.0381
9,301,bt_bing_malay,International Organised Crime,0.0361
10,301,bt_nllb_german,International organised crime,0.0361
11,301,glove.topn3.replace,global which organised criminal,0.0351
12,301,sensedisambiguation,International Organized unionize Crime,0.0329
13,301,bt_bing_swahili,International Crime,0.0276
14,301,bt_nllb_swahili,International Crime,0.0276
15,301,relevancefeedback.topn10.qld,international organized crime protect organ it feder compens intellectu,0.0234
16,301,sensedisambiguation.replace,international unionize crime,0.02
17,301,word2vec.topn3.replace,national global domestic organised criminality,0.0194
18,301,relevancefeedback.topn10.bm25,international organized crime state trade govern issu japan us,0.0179
19,301,stem.porter,intern organiz crime,0.0166
20,301,stem.lovins,intern organ crim,0.0153
21,301,bt_nllb_malay,Integrated Crime,0.0118
22,301,bertqe.topn10.qld,intern affair materi from report,0.0054
23,301,wordnet.topn3.replace,external unionise prepare unionize criminal offense criminal offence law breaking,0.0041
24,301,conceptnet.topn3.replace,international re formed reorganised crime,0.0025
25,301,bertqe.topn10.bm25,jansatta hindi cso articl chitra,0.0
26,301,stem.paicehusk,intern org crim,0.0
27,301,stem.trunc4,inte orga crim,0.0
28,302,-1,Poliomyelitis and Post-Polio,0.7405
29,302,tagmee.topn3,poliomyelitis post polio Poliomyelitis Post polio syndrome,0.7371
30,302,glove.topn3,poliomyelitis post polio polio measles mangxamba http www kasparovchess com,0.7339
31,302,conceptluster.topn5.3.bm25,poliomyelitis post polio post polio syndrome,0.682
32,302,conceptluster.topn5.3.qld,poliomyelitis post polio post polio syndrome,0.682
33,302,bt_nllb_chinese_yue,After polio and polio,0.6761
34,302,bt_nllb_malay,Polio and after polio,0.6761
35,302,bt_nllb_tamil,After polio and polio,0.6761
36,302,wordnet.topn3.replace,polio acute anterior poliomyelitis post polio,0.6738
37,302,word2vec.topn3,poliomyelitis post polio polio poliovirus Guillain Barr amyotrophy,0.6653
38,302,bt_nllb_arabic,Polio and polio,0.6645
39,302,bt_nllb_german,Polio and postpolio,0.6645
40,302,bt_nllb_russian,Polio and postpolio,0.6645
41,302,bt_nllb_swahili,Polio and Afterpolio,0.6645
42,302,tagmee.topn3.replace,Poliomyelitis Post polio syndrome,0.6622
43,302,bt_bing_malay,Polyomyelitis and Post Polio,0.6559
44,302,stem.paicehusk,poliomyelit and post polio,0.6559
45,302,bt_bing_arabic,Polio and post polio,0.6521
46,302,bt_bing_persian,Polio and post polio,0.6521
47,302,bt_bing_tamil,Polio and post polio,0.6521
48,302,bt_nllb_french,Polio and the Post Polio,0.6521
49,302,stem.trunc5,polio and post polio,0.6521
50,302,bt_bing_korean,Polio and its sequelae,0.6213
51,302,wiki.topn3,poliomyelitis post polio thrombosis encephalitis renal failure poliomyelitis rett syndrome deep brain stimulation national perinatal epidemiology unit post polio syndrome,0.5536
52,302,bt_nllb_persian,Polyamide and then polio,0.5531
53,302,glove.topn3.replace,polio measles mangxamba http www kasparovchess com,0.4849
54,302,word2vec.topn3.replace,polio poliovirus Guillain Barr amyotrophy,0.3388
55,302,anchor.topn3.replace,poliomyelitis kentuckyon rwjbarnaba lcmc,0.3031
56,302,bt_bing_french,Poliomyelitis and post poliomyelitis,0.3031
57,302,bt_bing_russian,Poliomyelitis and post poliomyelitis,0.3031
58,302,wiki.topn3.replace,thrombosis encephalitis renal failure poliomyelitis rett syndrome deep brain stimulation national perinatal epidemiology unit post polio syndrome,0.2246
59,302,bertqe.topn10.bm25,reflect i m probabl most independ,0.0131
60,302,bertqe.topn10.qld,franklin roosevelt geoffrei c ward,0.0
61,302,bt_nllb_korean,Polyamylitis and polyochondrosis,0.0
62,302,stem.lovins,poliomyelit and post poli,0.0
63,302,stem.trunc4,poli and post poli,0.0
64,303,-1,Hubble Telescope Achievements,0.5126
65,303,bt_nllb_tamil,Hubble s telescope achievements,0.5104
