,qid,order,query,bm25.ndcg
0,INEX_LD-2009022,-1,Szechwan dish food cuisine,0.1838
1,INEX_LD-2009022,sensedisambiguation,Szechwan dish serve food cuisine,0.1711
2,INEX_LD-2009022,bt_bing_tamil,Szechwan dish food,0.1682
3,INEX_LD-2009022,bt_nllb_swahili,Szechwan dishes food,0.1682
4,INEX_LD-2009022,bt_nllb_malay,Szechwan cuisine,0.1675
5,INEX_LD-2009022,relevancefeedback.topn10.qld,szechwan dish food cuisine cuisin chines veget pepper rice tabl indian,0.1557
6,INEX_LD-2009022,stem.lovins,szechwan dish food cuis,0.1441
7,INEX_LD-2009022,bt_bing_arabic,Sichuan Platter Food,0.1208
8,INEX_LD-2009022,glove.topn3,szechwan dish food cuisine mangxamba localweather dessert supplies dishes,0.109
9,INEX_LD-2009022,word2vec.topn3.replace,szechwan cuisine dessert foodstuffs cusine,0.1085
10,INEX_LD-2009022,word2vec.topn3,szechwan dish food cuisine cuisine dessert foodstuffs cusine,0.0999
11,INEX_LD-2009022,bertqe.topn10.qld,attribut indian singaporean cuisin refer,0.0347
12,INEX_LD-2009022,bt_nllb_korean,Cooking the dishes,0.0291
13,INEX_LD-2009022,bertqe.topn10.bm25,pot nabeyaki yosenab soup nabe,0.0218
14,INEX_LD-2009022,stem.paicehusk,szechw dish food cuisin,0.0131
15,INEX_LD-2009022,bt_nllb_german,Chequan buffalo cuisine,0.0108
16,INEX_LD-2009022,bt_nllb_arabic,Seizuan food,0.0
17,INEX_LD-2009022,bt_nllb_chinese_yue,The recipe,0.0
18,INEX_LD-2009022,bt_nllb_persian,Cooking Sheep s Meals,0.0
19,INEX_LD-2009022,bt_nllb_russian,The kitchen of the sequoia,0.0
20,INEX_LD-2009022,bt_nllb_tamil,The food is cooked by Tshuang,0.0
21,INEX_LD-2009022,glove.topn3.replace,mangxamba localweather dessert supplies dishes,0.0
22,INEX_LD-2009022,stem.trunc4,szec dish food cuis,0.0
23,INEX_LD-2009022,stem.trunc5,szech dish food cuisi,0.0
24,INEX_LD-2009039,-1,roman architecture,0.2534
