qid	order	query	bm25.map
INEX_LD-2009022	-1	Szechwan dish food cuisine	0.118
INEX_LD-2009022	bt_nllb_swahili	Szechwan dishes food	0.1086
INEX_LD-2009022	bt_nllb_french	Cooking of Szechwan dishes	0.1065
INEX_LD-2009022	bt_nllb_malay	Szechwan cuisine	0.0995
INEX_LD-2009022	bt_nllb_korean	Cooking the dishes	0.0012
INEX_LD-2009022	bt_nllb_german	Chequan buffalo cuisine	0.0004
INEX_LD-2009022	bt_nllb_arabic	Seizuan food	0.0
INEX_LD-2009022	bt_nllb_chinese_yue	The recipe	0.0
INEX_LD-2009022	bt_nllb_persian	Cooking Sheep s Meals	0.0
INEX_LD-2009022	bt_nllb_russian	The kitchen of the sequoia	0.0
INEX_LD-2009022	bt_nllb_tamil	The food is cooked by Tshuang	0.0
INEX_LD-2009039	-1	roman architecture	0.0851
INEX_LD-2009039	bt_nllb_arabic	Roman architecture	0.0851
INEX_LD-2009039	bt_nllb_chinese_yue	Roman architecture	0.0851
INEX_LD-2009039	bt_nllb_french	Roman architecture	0.0851
INEX_LD-2009039	bt_nllb_german	Roman architecture	0.0851
INEX_LD-2009039	bt_nllb_korean	Roman architecture	0.0851
INEX_LD-2009039	bt_nllb_malay	Roman architecture	0.0851
INEX_LD-2009039	bt_nllb_persian	Roman architecture	0.0851
INEX_LD-2009039	bt_nllb_russian	Roman architecture	0.0851
INEX_LD-2009039	bt_nllb_swahili	Roman architecture	0.0851
INEX_LD-2009039	bt_nllb_tamil	Roman architecture	0.0851
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3173
INEX_LD-2009053	bt_nllb_chinese_yue	Finnish car manufacturer Saab sisu	0.2434
INEX_LD-2009053	bt_nllb_french	Finnish car manufacturer saab sisu	0.2434
INEX_LD-2009053	bt_nllb_german	Finnish car manufacturer Saab sisu	0.2434
INEX_LD-2009053	bt_nllb_malay	Finnish car manufacturer saab sisu	0.2434
INEX_LD-2009053	bt_nllb_persian	Finnish car manufacturer Saab sisu	0.2434
INEX_LD-2009053	bt_nllb_swahili	Finnish car manufacturer saab sisu	0.2434
INEX_LD-2009053	bt_nllb_arabic	Finnish car manufacturing plant Sap Sisu	0.1738
INEX_LD-2009053	bt_nllb_russian	Finnish manufacturer of automotive industry Saab Suzi	0.0873
INEX_LD-2009053	bt_nllb_tamil	Sappha Sysu Finnish automotive manufacturer	0.0412
INEX_LD-2009053	bt_nllb_korean	Finnish car manufacturer Sava Saassu	0.0235
INEX_LD-2009061	-1	france second world war normandy	0.204
INEX_LD-2009061	bt_nllb_french	France Second World War Normandy	0.204
INEX_LD-2009061	bt_nllb_german	France Second World War Normandy	0.204
INEX_LD-2009061	bt_nllb_malay	France Second World War Normandy	0.204
INEX_LD-2009061	bt_nllb_persian	France the Second World War Normandy	0.204
INEX_LD-2009061	bt_nllb_russian	France Second World War Normandy	0.204
INEX_LD-2009061	bt_nllb_swahili	France Second World War Normandy	0.204
INEX_LD-2009061	bt_nllb_korean	France during World War II Normandy	0.087
INEX_LD-2009061	bt_nllb_tamil	France World War II Normandy	0.0824
INEX_LD-2009061	bt_nllb_chinese_yue	France World War II Normandy and the French	0.0737
INEX_LD-2009061	bt_nllb_arabic	France World War II Normandy and the French and Indian War	0.0566
INEX_LD-2009062	-1	social network group selection	0.0053
INEX_LD-2009062	bt_nllb_chinese_yue	Social media is a group	0.0061
INEX_LD-2009062	bt_nllb_french	selection of social network group	0.0053
INEX_LD-2009062	bt_nllb_german	Selection of groups in the social network	0.0053
INEX_LD-2009062	bt_nllb_russian	selection of groups in social networks	0.0053
INEX_LD-2009062	bt_nllb_tamil	Social networking group selection	0.0053
INEX_LD-2009062	bt_nllb_arabic	Choosing social network groups	0.0
INEX_LD-2009062	bt_nllb_korean	Choose a social network group	0.0
INEX_LD-2009062	bt_nllb_malay	Choice of social networking group	0.0
INEX_LD-2009062	bt_nllb_persian	Choosing a social media group	0.0
INEX_LD-2009062	bt_nllb_swahili	Choosing a social networking group	0.0
INEX_LD-2009063	-1	D-Day normandy invasion	0.1125
INEX_LD-2009063	bt_nllb_arabic	The Normandy invasion on D Day	0.1125
INEX_LD-2009063	bt_nllb_french	Invasion of Normandy on D Day	0.1125
INEX_LD-2009063	bt_nllb_german	The invasion of Normandy on D Day	0.1125
INEX_LD-2009063	bt_nllb_korean	D Day invasion of Normandy	0.1125
INEX_LD-2009063	bt_nllb_malay	D Day invasion of Normandy	0.1125
INEX_LD-2009063	bt_nllb_russian	The invasion of Normandy on D Day	0.1125
INEX_LD-2009063	bt_nllb_swahili	D Day invasion of Normandy	0.1125
INEX_LD-2009063	bt_nllb_persian	The Normandy attack on D Day	0.0576
INEX_LD-2009063	bt_nllb_chinese_yue	The Norman invasion of D Day	0.0023
INEX_LD-2009063	bt_nllb_tamil	The D Day Norman invasion	0.0023
INEX_LD-2009074	-1	web ranking scoring algorithm	0.1757
INEX_LD-2009074	bt_nllb_french	web ranking algorithm	0.2577
INEX_LD-2009074	bt_nllb_korean	Web ranking algorithm	0.2577
INEX_LD-2009074	bt_nllb_malay	algorithm for ranking the web	0.2577
INEX_LD-2009074	bt_nllb_chinese_yue	The ranking algorithm for websites	0.2323
INEX_LD-2009074	bt_nllb_persian	The algorithm for web ranking scores	0.1757
INEX_LD-2009074	bt_nllb_swahili	web ranking scoring algorithm	0.1757
INEX_LD-2009074	bt_nllb_tamil	Web ranking score algorithm	0.1757
INEX_LD-2009074	bt_nllb_arabic	The algorithm for registering rankings on the Internet	0.1464
INEX_LD-2009074	bt_nllb_russian	algorithm for rating of websites	0.001
INEX_LD-2009074	bt_nllb_german	The following is the list of the categories of users of the service	0.0
INEX_LD-2009096	-1	Eiffel	0.2587
INEX_LD-2009096	bt_nllb_malay	The Eiffel	0.2587
INEX_LD-2009096	bt_nllb_russian	The Eiffel	0.2587
INEX_LD-2009096	bt_nllb_swahili	Eiffel	0.2587
INEX_LD-2009096	bt_nllb_french	The Eiffel fire	0.0862
INEX_LD-2009096	bt_nllb_arabic	I m not	0.0
INEX_LD-2009096	bt_nllb_chinese_yue	I m not sure	0.0
INEX_LD-2009096	bt_nllb_german	Eggs	0.0
INEX_LD-2009096	bt_nllb_korean	The Epel	0.0
INEX_LD-2009096	bt_nllb_persian	I m going to the hospital	0.0
INEX_LD-2009096	bt_nllb_tamil	the ifel	0.0
INEX_LD-2009111	-1	europe solar power facility	0.0582
INEX_LD-2009111	bt_nllb_malay	European solar power facilities	0.1193
INEX_LD-2009111	bt_nllb_korean	European solar power plants	0.1125
INEX_LD-2009111	bt_nllb_persian	European solar power plants	0.1125
INEX_LD-2009111	bt_nllb_russian	European solar power plant	0.1125
INEX_LD-2009111	bt_nllb_chinese_yue	Solar powered plants in Europe	0.0706
INEX_LD-2009111	bt_nllb_german	Europe solar power plant	0.0706
INEX_LD-2009111	bt_nllb_arabic	Europe solar power facility	0.0582
INEX_LD-2009111	bt_nllb_swahili	Europe solar power station	0.0514
INEX_LD-2009111	bt_nllb_tamil	Europe solar powered	0.0354
INEX_LD-2009111	bt_nllb_french	The European Union	0.0
INEX_LD-2009115	-1	virtual museums	0.5854
INEX_LD-2009115	bt_nllb_arabic	Virtual museums	0.5854
INEX_LD-2009115	bt_nllb_chinese_yue	A virtual museum	0.5854
INEX_LD-2009115	bt_nllb_french	virtual museums	0.5854
INEX_LD-2009115	bt_nllb_german	Virtual museums	0.5854
INEX_LD-2009115	bt_nllb_korean	Virtual museum	0.5854
INEX_LD-2009115	bt_nllb_persian	Virtual museums	0.5854
INEX_LD-2009115	bt_nllb_russian	virtual museums	0.5854
INEX_LD-2009115	bt_nllb_swahili	virtual museums	0.5854
INEX_LD-2009115	bt_nllb_tamil	Virtual museums	0.5854
INEX_LD-2009115	bt_nllb_malay	The Mayan Museum	0.0
INEX_LD-2010004	-1	Indian food	0.1679
INEX_LD-2010004	bt_nllb_arabic	Indian food	0.1679
INEX_LD-2010004	bt_nllb_chinese_yue	Indian food	0.1679
INEX_LD-2010004	bt_nllb_french	Indian food	0.1679
INEX_LD-2010004	bt_nllb_german	Indian food	0.1679
INEX_LD-2010004	bt_nllb_korean	Indian food	0.1679
INEX_LD-2010004	bt_nllb_malay	Indian food	0.1679
INEX_LD-2010004	bt_nllb_persian	Indian food	0.1679
INEX_LD-2010004	bt_nllb_russian	Indian food	0.1679
INEX_LD-2010004	bt_nllb_swahili	Indian Food	0.1679
INEX_LD-2010004	bt_nllb_tamil	Indian food	0.1679
INEX_LD-2010014	-1	composer museum	0.0605
INEX_LD-2010014	bt_nllb_french	museum of the composer	0.0605
INEX_LD-2010014	bt_nllb_russian	The Composers Museum	0.0605
INEX_LD-2010014	bt_nllb_persian	The Musical Museum	0.0016
INEX_LD-2010014	bt_nllb_tamil	The Musical Museum	0.0016
INEX_LD-2010014	bt_nllb_arabic	The Museum of the Author	0.0
INEX_LD-2010014	bt_nllb_chinese_yue	The Musicians Museum	0.0
INEX_LD-2010014	bt_nllb_german	The composer s museum	0.0
INEX_LD-2010014	bt_nllb_korean	The composer s museum	0.0
INEX_LD-2010014	bt_nllb_malay	The Composer s Museum	0.0
INEX_LD-2010014	bt_nllb_swahili	museums of the writer	0.0
INEX_LD-2010019	-1	gallo roman architecture in paris	0.0019
INEX_LD-2010019	bt_nllb_chinese_yue	Ancient Roman architecture in Paris	0.0801
INEX_LD-2010019	bt_nllb_french	Gallo Roman architecture in Paris	0.0019
INEX_LD-2010019	bt_nllb_german	Gallo Roman architecture in Paris	0.0019
INEX_LD-2010019	bt_nllb_korean	Gallo Roman architecture in Paris	0.0019
INEX_LD-2010019	bt_nllb_malay	Gallo Roman architecture in Paris	0.0019
INEX_LD-2010019	bt_nllb_russian	Gallo Roman architecture in Paris	0.0019
INEX_LD-2010019	bt_nllb_swahili	Gallo Roman architecture in Paris	0.0019
INEX_LD-2010019	bt_nllb_arabic	Gallo Romanesque architecture in Paris	0.0
INEX_LD-2010019	bt_nllb_persian	The architecture of the Gallo Rome in Paris	0.0
INEX_LD-2010019	bt_nllb_tamil	The architecture of the Calo Romanesque in Paris	0.0
INEX_LD-2010020	-1	electricity source in France	0.0447
INEX_LD-2010020	bt_nllb_tamil	Electricity in France	0.143
INEX_LD-2010020	bt_nllb_french	source of electricity in France	0.0447
INEX_LD-2010020	bt_nllb_german	Source of electricity in France	0.0447
INEX_LD-2010020	bt_nllb_malay	electricity sources in France	0.0447
INEX_LD-2010020	bt_nllb_russian	source of electricity in France	0.0447
INEX_LD-2010020	bt_nllb_swahili	source of electricity in France	0.0447
INEX_LD-2010020	bt_nllb_arabic	Electricity supply in France	0.0032
INEX_LD-2010020	bt_nllb_korean	The electricity supply in France	0.0032
INEX_LD-2010020	bt_nllb_chinese_yue	French power supply	0.0
INEX_LD-2010020	bt_nllb_persian	Power supply in France	0.0
INEX_LD-2010037	-1	social network API	0.1535
INEX_LD-2010037	bt_nllb_arabic	Social networking	0.2418
INEX_LD-2010037	bt_nllb_chinese_yue	The social networking API	0.1535
INEX_LD-2010037	bt_nllb_french	The social networking API	0.1535
INEX_LD-2010037	bt_nllb_german	API for social networks	0.1535
INEX_LD-2010037	bt_nllb_korean	The social network API	0.1535
INEX_LD-2010037	bt_nllb_malay	Social networking API	0.1535
INEX_LD-2010037	bt_nllb_persian	API of social networks	0.1535
INEX_LD-2010037	bt_nllb_swahili	API of social networking	0.1535
INEX_LD-2010037	bt_nllb_tamil	The social networking API	0.1535
INEX_LD-2010037	bt_nllb_russian	API of social media	0.0482
INEX_LD-2010043	-1	List of films from the surrealist category	0.0875
INEX_LD-2010043	bt_nllb_arabic	List of films of the Surrealist category	0.121
INEX_LD-2010043	bt_nllb_french	List of films in the Surrealist category	0.121
INEX_LD-2010043	bt_nllb_german	List of films in the Surrealist category	0.121
INEX_LD-2010043	bt_nllb_korean	List of films in the surrealist category	0.121
INEX_LD-2010043	bt_nllb_persian	List of Surrealist films	0.121
INEX_LD-2010043	bt_nllb_tamil	List of Surrealist films	0.121
INEX_LD-2010043	bt_nllb_malay	List of films from the surrealist category	0.0875
