qid	order	query	qld.ndcg
1	-1	obama family tree	0.0
1	wiki.topn3	obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama	0.5791
1	anchor.topn3	obama family tree barack obama strichnocera mekubetzet tree stern s diatomic sequ ssm a	0.5102
1	tagmee.topn3	obama family tree Family of Barack Obama	0.4961
1	conceptluster.topn5.3.qld	obama family tree family barack obama git object	0.4911
1	conceptluster.topn5.3.bm25	obama family tree family barack obama death cellulos carbon restringido video	0.4871
1	wiki.topn3.replace	stanley armour dunham madelyn dunham barack obama sr family barack obama	0.4777
1	word2vec.topn3	obama family tree bama barack relatives tree	0.4409
1	glove.topn3	obama family tree barack mccain father pine	0.4352
1	anchor.topn3.replace	barack obama strichnocera family mekubetzet tree stern s diatomic sequ ssm a	0.4326
1	conceptnet.topn3	obama family tree Barack Hussein Obama obamaton obamacrat home group branch squirrel wood	0.4114
1	tagmee.topn3.replace	Family of Barack Obama	0.3863
1	word2vec.topn3.replace	bama barack relatives tree	0.0104
1	sensedisambiguation.replace	obama syndicate tree	0.0052
10	-1	cheap internet	0.0925
10	word2vec.topn3	cheap internet inexpensive low cost online intenet	0.2071
10	word2vec.topn3.replace	inexpensive low cost online intenet	0.1977
10	rm3.topn10.10.0.5.bm25	cheap internet	0.0925
10	rm3.topn10.10.0.5.qld	cheap internet	0.0925
10	sensedisambiguation	cheap internet	0.0925
10	sensedisambiguation.replace	cheap internet	0.0925
10	stem.krovetz	cheap internet	0.0925
10	stem.lovins	cheap internet	0.0925
10	stem.paicehusk	cheap internet	0.0925
10	stem.porter	cheap internet	0.0925
10	stem.porter2	cheap internet	0.0925
10	stem.sstemmer	cheap internet	0.0925
10	thesaurus.topn3	cheap internet	0.0925
10	thesaurus.topn3.replace	cheap internet	0.0925
11	-1	gmat prep classes	0.4591
11	termluster.topn5.3.qld	gmat prep classes git object	0.4969
11	docluster.topn10.3.qld	gmat prep classes git object trivia	0.4709
11	relevancefeedback.topn10.bm25	gmat prep classes	0.4591
11	relevancefeedback.topn10.qld	gmat prep classes	0.4591
11	rm3.topn10.10.0.5.bm25	gmat prep classes	0.4591
11	rm3.topn10.10.0.5.qld	gmat prep classes	0.4591
11	stem.krovetz	gmat prep class	0.4591
11	stem.paicehusk	gmat prep class	0.4591
11	stem.porter	gmat prep class	0.4591
11	stem.porter2	gmat prep class	0.4591
11	stem.sstemmer	gmat prep classe	0.4591
11	stem.trunc5	gmat prep class	0.4591
11	thesaurus.topn3	gmat prep classes	0.4591
11	thesaurus.topn3.replace	gmat prep classes	0.4591
12	-1	djs	0.1453
12	anchor.topn3	djs	0.1453
12	anchor.topn3.replace	djs	0.1453
12	rm3.topn10.10.0.5.bm25	djs	0.1453
12	rm3.topn10.10.0.5.qld	djs	0.1453
12	stem.krovetz	djs	0.1453
12	stem.lovins	dj	0.1453
12	stem.paicehusk	djs	0.1453
12	stem.porter	dj	0.1453
12	stem.porter2	djs	0.1453
12	stem.sstemmer	djs	0.1453
12	stem.trunc4	djs	0.1453
12	stem.trunc5	djs	0.1453
