qid	order	query	bm25.map
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.491
1015624	-1	What's the Definition of a bloody mary?	0.7116
1017690	-1	what is the history of indian music?	0.5752
1035857	-1	Why are liberals so quick to defend Saddam?	0.3804
103830	-1	Why do man Arabs hate the west ?	0.496
1063812	-1	How do I grow taller?	0.4152
1077370	-1	Why do only Humans have Finger prints?	0.5316
1082595	-1	what is meant by mobile technology?	0.4871
1119420	-1	Well the black light is UV light.So if it is "black" how can it be "light" ?	0.5912
1152934	-1	Why don't fat people have to pay more for air travel?	0.2979
1167882	-1	What are the different types of sins and how are they caused?	0.1912
1199639	-1	How to "LOSE"all body fat ?	0.4968
1254390	-1	how do i deap fry chicken?	0.2462
1262692	-1	How can I get rid of pimples on my back?	0.2915
1282199	-1	how can I hide the cuts on my wrists?	0.2111
1287437	-1	how can i lose 30 pounds by june3?	0.118
1290612	-1	why do anxiety and depression seem to coexist?	0.5591
1292734	-1	what color you like the most and why?	0.062
1340574	-1	Why do some people only go to church on Easter Sunday and never go again until Christmas ?	0.4791
1351675	-1	Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton?	0.2246
1364894	-1	Why do we need to tell customer service/operator about our sickness in order to make appointment w/ a doctor?	0.2647
1373069	-1	Freedom of Speech - why don't people understand how to use it?	0.1981
143833	-1	What is the difference between coolant and anti-freeze?	0.6399
1459749	-1	Why don't I have an asthma attack during sex?	0.3869
1477322	-1	Why do people say Germans are racists?	0.193
1502604	-1	how do crooks  make  fake   passports  ?	0.4065
1509982	-1	How is th Chemistry is a basic of Science?	0.8358
1582877	-1	why do we go to school if in the real world we dont use most of it?	0.0882
159716	-1	How do I find an Inmate at Southwest Detention Center 30755 Auld Rd., Murrieta, CA 92563?	0.3735
1607728	-1	what causes gray facial hair in men?	0.5956
1623623	-1	How do you improve fuel efficiency of a 2004, Ford Ikon?	0.3144
1663853	-1	what is a wet dream?	0.504
1702151	-1	How patient a driver are you?	0.1294
172731	-1	how for is saturn from the sun?	0.3674
1783010	-1	What is Blaphsemy?	0.0556
1794677	-1	How can I treat my Acne Scars?	0.5808
1821193	-1	Why do people feed poison (sugar) to their kids on Easter, and why are there no chocolate Jesuses?	0.1042
1844896	-1	How to cook Angus burgers?	0.4999
1850323	-1	Why some men never wash their hands after using the Urinal/Toilet?	0.3474
1862795	-1	How does spending prolonged time in microgravity affect the bodies of astronauts?	0.2404
1866981	-1	I know how I got here, but how did you?	0.0771
