,qid,order,query,qld.map
0,701,-1,U.S. oil industry history,0.008
1,701,termluster.topn5.3.qld,u s oil industry history industri field oil field state social region,0.0494
2,701,docluster.topn10.3.qld,u s oil industry history industri counti,0.0327
3,701,relevancefeedback.topn10.qld,u s oil industry history industri counti ga,0.0252
4,701,conceptluster.topn5.3.qld,u s oil industry history petroleum,0.0205
5,701,tagmee.topn3,u s oil industry history Petroleum,0.0205
6,701,bt_bing_arabic,History of the American oil industry,0.02
7,701,bt_nllb_arabic,The history of the American oil industry,0.02
8,701,bt_nllb_french,The history of the American oil industry,0.02
9,701,bt_nllb_german,The history of the US oil industry,0.0166
10,702,-1,Pearl farming,0.0264
11,702,bt_bing_tamil,Pearl culture,0.1268
12,702,termluster.topn5.3.qld,pearl farming product fish,0.0861
13,702,wiki.topn3,pearl farming pearls jewellery components gemstone pearl,0.0801
14,702,wiki.topn3.replace,pearls jewellery components gemstone pearl,0.0693
15,702,bt_bing_arabic,Pearl cultivation,0.0488
16,702,bt_nllb_french,Cultivation of pearls,0.0488
17,702,tagmee.topn3.replace,Pearl,0.0326
18,702,rm3.topn10.10.0.5.qld,pearl farming farm japan jerri product,0.0312
19,702,tagmee.topn3,pearl farming Pearl,0.0269
20,704,-1,Green party political views,0.0489
21,704,termluster.topn5.3.qld,green party political views libertarian parti polit state polit nation state parti nation,0.0753
22,705,-1,Iraq foreign debt reduction,0.1034
23,705,tagmee.topn3,iraq foreign debt reduction Iraq External debt Debt,0.2475
24,705,tagmee.topn3.replace,Iraq External debt Debt,0.2208
25,705,bt_bing_tamil,Iraqi Foreign Debt Reduction,0.1979
26,705,bt_bing_persian,Reducing Iraq s External Debt,0.1946
27,705,bt_nllb_russian,Reducing Iraq s external debt,0.1946
28,705,bt_nllb_malay,Reduction of external debt to Iraq,0.1932
29,705,bt_bing_arabic,Iraq s external debt reduction,0.1766
30,705,bt_bing_french,Reduction of Iraq s external debt,0.1766
31,705,bt_bing_german,Reduction of Iraq s external debt,0.1766
32,705,bt_bing_russian,Reduction of Iraq s external debt,0.1766
33,705,bt_nllb_french,Reduction of Iraq s external debt,0.1766
34,705,bt_nllb_chinese_yue,Iraq s foreign debt is falling,0.1303
35,705,rm3.topn10.10.0.5.bm25,iraq foreign debt reduction develop we,0.1206
36,705,stem.lovins,iraq foreign debt reduc,0.1196
37,705,stem.paicehusk,iraq foreign debt reduc,0.1196
38,706,-1,Controlling type II diabetes,0.0321
39,706,sensedisambiguation.replace,see type two diabetes,0.0363
40,707,-1,Aspirin cancer prevention,0.2795
41,707,tagmee.topn3.replace,Aspirin Cancer Cancer prevention,0.3019
42,707,tagmee.topn3,aspirin cancer prevention Aspirin Cancer Cancer prevention,0.2998
43,708,-1,Decorative slate sources,0.1784
44,708,relevancefeedback.topn10.qld,decorative slate sources stone roof,0.19
45,709,-1,Horse racing jockey weight,0.6158
46,709,sensedisambiguation,Horse sawhorse racing rush jockey weight weight unit,0.6376
47,709,bt_bing_chinese_simplified,Horse jockey weight,0.6262
48,709,bt_bing_swahili,Weight of horse jockey,0.6262
49,709,bt_bing_russian,Weight Jockey Races,0.6161
50,710,-1,Prostate cancer treatments,0.2001
51,711,-1,Train station security measures,0.0419
52,711,relevancefeedback.topn10.qld,train station security measures measur naval amtrak secur transport,0.2481
53,711,rm3.topn10.10.0.5.qld,train station security measures measur transit transport naval amtrak y,0.0751
54,711,rm3.topn10.10.0.5.bm25,train station security measures transport bart y emerg polic secur transit,0.0596
55,711,bt_bing_tamil,Railway Station Security Measures,0.051
56,711,bt_nllb_chinese_yue,Security measures at the railway station,0.051
57,711,bt_nllb_malay,Railway station security measures,0.051
58,711,bt_nllb_tamil,Railway station security measures,0.051
59,711,glove.topn3,train station security measures bus operated adding ensure steps,0.0425
60,712,-1,Pyramid scheme,0.2003
61,712,word2vec.topn3,pyramid scheme pyramid like,0.2086
62,712,word2vec.topn3.replace,pyramid like scheme,0.2072
63,712,sensedisambiguation,Pyramid scheme system,0.2026
64,712,conceptnet.topn3,pyramid scheme programming language,0.2009
65,713,-1,Chesapeake Bay Maryland clean,0.0949
66,713,sensedisambiguation,Chesapeake Bay true laurel Maryland clean clean and jerk,0.1187
67,713,relevancefeedback.topn10.qld,chesapeake bay maryland clean http marina bai,0.1184
68,714,-1,License restrictions older drivers,0.0769
69,714,docluster.topn10.3.qld,license restrictions older drivers renew driver restrict licens,0.1231
70,714,relevancefeedback.topn10.qld,license restrictions older drivers renew licens driver restrict,0.1231
71,714,rm3.topn10.10.0.5.qld,license restrictions older drivers driver renew licens,0.1031
72,715,-1,Schizophrenia drugs,0.0737
73,715,docluster.topn10.3.qld,schizophrenia drugs patient,0.1008
74,716,-1,Spammer arrest sue,0.0532
75,716,bt_bing_arabic,Lawsuit against the arrest of spammers,0.1893
76,716,bt_bing_german,Spammer Arrest Lawsuit,0.1863
77,716,bt_bing_russian,Spammer Arrest Lawsuit,0.1863
78,716,bt_nllb_german,Spammer arrest lawsuit,0.1863
79,716,bt_nllb_korean,Spammers arresting lawsuit,0.1863
