,qid,order,query,bm25.ndcg
0,1,-1,obama family tree,0.4473
1,1,tagmee.topn3,obama family tree Family of Barack Obama,0.5538
2,1,wiki.topn3,obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama,0.4702
3,1,conceptluster.topn5.3.qld,obama family tree family barack obama git object,0.4675
4,1,wiki.topn3.replace,stanley armour dunham madelyn dunham barack obama sr family barack obama,0.4674
5,1,bt_bing_russian,Obama s Family Tree,0.465
6,1,bt_bing_arabic,Obama Family Tree,0.4473
7,1,bt_bing_chinese_simplified,Obama Family Tree,0.4473
8,1,bt_bing_french,Obama Family Tree,0.4473
9,1,bt_bing_german,Obama Family Tree,0.4473
10,1,bt_bing_korean,Obama Family Tree,0.4473
11,1,bt_bing_malay,Obama Family Tree,0.4473
12,1,bt_bing_persian,The Obama Family Tree,0.4473
13,1,bt_bing_swahili,Obama Family Tree,0.4473
14,1,bt_bing_tamil,Obama Family Tree,0.4473
15,1,bt_nllb_arabic,The Obama family tree,0.4473
16,1,bt_nllb_chinese_yue,The Obama family tree,0.4473
17,1,bt_nllb_french,Obama family tree,0.4473
18,1,bt_nllb_german,Obama family tree,0.4473
19,1,bt_nllb_korean,The Obama family tree,0.4473
20,1,bt_nllb_malay,Obama family tree,0.4473
21,1,bt_nllb_persian,The Obama family tree,0.4473
22,1,bt_nllb_swahili,Obama family tree,0.4473
23,1,bt_nllb_tamil,The Obama Family Tree,0.4473
24,1,original,obama family tree,0.4473
25,1,rm3.topn10.10.0.5.bm25,obama family tree,0.4473
26,1,rm3.topn10.10.0.5.qld,obama family tree,0.4473
27,1,stem.krovetz,obama family tree,0.4473
28,1,stem.porter,obama famili tree,0.4473
29,1,stem.porter2,obama famili tree,0.4473
30,1,stem.sstemmer,obama family tree,0.4473
31,1,thesaurus.topn3,obama family tree,0.4473
32,1,thesaurus.topn3.replace,obama family tree,0.4473
33,10,-1,cheap internet,0.1326
34,10,word2vec.topn3,cheap internet inexpensive low cost online intenet,0.2015
35,10,word2vec.topn3.replace,inexpensive low cost online intenet,0.1711
36,10,bt_bing_arabic,Cheap internet,0.1326
37,10,bt_bing_chinese_simplified,Cheap internet,0.1326
38,10,bt_bing_french,Cheap Internet,0.1326
39,10,bt_bing_german,Cheap internet,0.1326
40,10,bt_bing_korean,Cheap Internet,0.1326
41,10,bt_bing_malay,Cheap Internet,0.1326
42,10,bt_bing_persian,Cheap Internet,0.1326
43,10,bt_bing_russian,Cheap internet,0.1326
44,10,bt_bing_swahili,Cheap Internet,0.1326
45,10,bt_bing_tamil,Cheap internet,0.1326
46,10,bt_nllb_arabic,The internet is cheap,0.1326
47,10,bt_nllb_chinese_yue,Cheap Internet,0.1326
48,10,bt_nllb_french,The Internet is Cheap,0.1326
49,10,bt_nllb_german,cheap internet,0.1326
50,10,bt_nllb_korean,Cheap Internet,0.1326
51,10,bt_nllb_malay,cheap internet,0.1326
52,10,bt_nllb_persian,The Internet is cheap,0.1326
53,10,bt_nllb_russian,cheap internet,0.1326
54,10,bt_nllb_swahili,cheap internet,0.1326
55,10,bt_nllb_tamil,Cheap Internet,0.1326
56,10,original,cheap internet,0.1326
57,10,rm3.topn10.10.0.5.bm25,cheap internet,0.1326
58,10,rm3.topn10.10.0.5.qld,cheap internet,0.1326
59,10,sensedisambiguation,cheap internet,0.1326
60,10,sensedisambiguation.replace,cheap internet,0.1326
61,10,stem.krovetz,cheap internet,0.1326
62,10,stem.lovins,cheap internet,0.1326
63,10,stem.paicehusk,cheap internet,0.1326
64,10,stem.porter,cheap internet,0.1326
65,10,stem.porter2,cheap internet,0.1326
66,10,stem.sstemmer,cheap internet,0.1326
67,10,thesaurus.topn3,cheap internet,0.1326
68,10,thesaurus.topn3.replace,cheap internet,0.1326
69,11,-1,gmat prep classes,0.4662
70,11,word2vec.topn3,gmat prep classes courses,0.484
71,11,bt_bing_arabic,GMAT Prep Classes,0.4662
72,11,bt_bing_chinese_simplified,GMAT Prep Class,0.4662
73,11,bt_bing_korean,GMAT Prep Classes,0.4662
74,11,bt_bing_swahili,GMAT Prep Classes,0.4662
75,11,bt_nllb_korean,Gmat prep class,0.4662
76,11,original,gmat prep classes,0.4662
77,11,relevancefeedback.topn10.bm25,gmat prep classes,0.4662
78,11,relevancefeedback.topn10.qld,gmat prep classes,0.4662
79,11,rm3.topn10.10.0.5.bm25,gmat prep classes,0.4662
80,11,rm3.topn10.10.0.5.qld,gmat prep classes,0.4662
81,11,stem.krovetz,gmat prep class,0.4662
82,11,stem.paicehusk,gmat prep class,0.4662
83,11,stem.porter,gmat prep class,0.4662
84,11,stem.porter2,gmat prep class,0.4662
85,11,stem.sstemmer,gmat prep classe,0.4662
86,11,stem.trunc5,gmat prep class,0.4662
87,11,thesaurus.topn3,gmat prep classes,0.4662
88,11,thesaurus.topn3.replace,gmat prep classes,0.4662
89,12,-1,djs,0.1652
90,12,anchor.topn3,djs,0.1652
91,12,anchor.topn3.replace,djs,0.1652
92,12,bt_bing_arabic,Djs,0.1652
93,12,bt_bing_french,Djs,0.1652
94,12,bt_bing_german,Djs,0.1652
95,12,bt_bing_korean,DJ,0.1652
96,12,bt_bing_malay,DJS,0.1652
97,12,bt_bing_persian,Dj,0.1652
98,12,bt_bing_russian,Djs,0.1652
99,12,bt_bing_swahili,DJs,0.1652
100,12,bt_bing_tamil,DJS,0.1652
101,12,bt_nllb_french,DJs,0.1652
