qid	order	query	bm25.ndcg
8293	-1	why do men fantasized about raping women?	0.7256
8293	pred.bt.1	men fantasized raping women	0.8464
8293	pred.bt.10	men fantasized raping women	0.8464
8293	pred.bt.2	men fantasized raping women	0.8464
8293	pred.bt.3	men fantasized raping women	0.8464
8293	pred.bt.4	men fantasized raping women	0.8464
8293	pred.bt.5	men fantasized raping women	0.8464
8293	pred.bt.6	men fantasized raping women	0.8464
8293	pred.bt.7	men fantasized raping women	0.8464
8293	pred.bt.8	men fantasized raping women	0.8464
8293	pred.bt.9	men fantasized raping women	0.8464
23464	-1	why girls are beautiful?	0.7106
23464	pred.bt.1	girls beautiful	0.7432
23464	pred.bt.10	girls beautiful	0.7432
23464	pred.bt.2	girls beautiful	0.7432
23464	pred.bt.3	girls beautiful	0.7432
23464	pred.bt.4	girls beautiful	0.7432
23464	pred.bt.5	girls beautiful	0.7432
23464	pred.bt.6	girls beautiful	0.7432
23464	pred.bt.7	girls beautiful	0.7432
23464	pred.bt.8	girls beautiful	0.7432
23464	pred.bt.9	girls beautiful	0.7432
34041	-1	what are the symptoms of strep throat?	0.8702
34041	pred.bt.1	what are the symptoms of strep throat?	0.8702
34041	pred.bt.10	what are the symptoms of strep throat?	0.8702
34041	pred.bt.2	what are the symptoms of strep throat?	0.8702
34041	pred.bt.3	what are the symptoms of strep throat?	0.8702
34041	pred.bt.4	what are the symptoms of strep throat?	0.8702
34041	pred.bt.5	what are the symptoms of strep throat?	0.8702
34041	pred.bt.6	what are the symptoms of strep throat?	0.8702
34041	pred.bt.7	what are the symptoms of strep throat?	0.8702
34041	pred.bt.8	what are the symptoms of strep throat?	0.8702
34041	pred.bt.9	what are the symptoms of strep throat?	0.8702
78762	-1	why do i have pterofobia?	0.0
100653	-1	how do i go about getting copies of letters of commendation prsented to me from city of san diego?	0.6356
103830	-1	why do man arabs hate the west ?	0.6497
103830	pred.bt.1	man arabs hate west	0.7359
103830	pred.bt.10	man arabs hate west	0.7359
103830	pred.bt.2	man arabs hate west	0.7359
103830	pred.bt.3	man arabs hate west	0.7359
103830	pred.bt.4	man arabs hate west	0.7359
103830	pred.bt.5	man arabs hate west	0.7359
103830	pred.bt.6	man arabs hate west	0.7359
103830	pred.bt.7	man arabs hate west	0.7359
103830	pred.bt.8	man arabs hate west	0.7359
103830	pred.bt.9	man arabs hate west	0.7359
143833	-1	what is the difference between coolant and anti-freeze?	0.6958
143833	pred.bt.1	difference coolant anti freeze	0.7644
143833	pred.bt.10	difference coolant anti freeze	0.7644
143833	pred.bt.2	difference coolant anti freeze	0.7644
143833	pred.bt.3	difference coolant anti freeze	0.7644
143833	pred.bt.4	difference coolant anti freeze	0.7644
143833	pred.bt.5	difference coolant anti freeze	0.7644
143833	pred.bt.6	difference coolant anti freeze	0.7644
