,qid,order,query,bm25.map
0,1,-1,obama family tree,0.2416
1,1,tagmee.topn3.replace,Family of Barack Obama,0.2322
2,1,anchor.topn3,obama family tree barack obama strichnocera mekubetzet tree stern s diatomic sequ ssm a,0.2264
3,1,conceptnet.topn3,obama family tree Barack Hussein Obama obamaton obamacrat home group branch squirrel wood,0.2256
4,1,word2vec.topn3,obama family tree bama barack relatives tree,0.1967
5,1,anchor.topn3.replace,barack obama strichnocera family mekubetzet tree stern s diatomic sequ ssm a,0.0826
6,1,glove.topn3,obama family tree barack mccain father pine,0.0493
7,1,conceptnet.topn3.replace,Barack Hussein Obama obamaton obamacrat home group branch squirrel wood,0.0297
8,1,conceptluster.topn5.3.bm25,obama family tree family barack obama death cellulos carbon restringido video,0.0013
9,1,word2vec.topn3.replace,bama barack relatives tree,0.0003
10,1,sensedisambiguation,obama family syndicate tree,0.0001
11,1,bertqe.topn10.bm25,automobil accid tree messag board,0.0
12,1,bertqe.topn10.qld,master trivia master trivia profil,0.0
13,1,bt_nllb_russian,The Tree of Joy,0.0
14,1,docluster.topn10.3.bm25,obama family tree death cellulos carbon restringido video life trivia organ,0.0
15,1,docluster.topn10.3.qld,obama family tree git object trivia,0.0
16,1,glove.topn3.replace,barack mccain father pine,0.0
17,1,relevancefeedback.topn10.bm25,obama family tree death cellulos carbon restringido video life trivia organ,0.0
18,1,relevancefeedback.topn10.qld,obama family tree git object trivia,0.0
19,1,sensedisambiguation.replace,obama syndicate tree,0.0
20,1,stem.lovins,obam fam tre,0.0
21,1,stem.paicehusk,obam famy tre,0.0
22,1,stem.trunc4,obam fami tree,0.0
23,1,stem.trunc5,obama famil tree,0.0
24,1,termluster.topn5.3.bm25,obama family tree death cellulos carbon restringido video,0.0
25,1,termluster.topn5.3.qld,obama family tree git object,0.0
26,1,wordnet.topn3,obama family tree sept crime syndicate kinsperson corner,0.0
27,1,wordnet.topn3.replace,obama sept crime syndicate kinsperson corner,0.0
28,10,-1,cheap internet,0.0185
29,10,conceptluster.topn5.3.bm25,cheap internet generic top level domain internet death cellulos carbon restringido video,0.0004
30,10,anchor.topn3,cheap internet gar restrictions ot nowiki ot installshield theory censorship,0.0
31,10,anchor.topn3.replace,gar restrictions ot nowiki ot installshield theory censorship,0.0
32,10,bertqe.topn10.bm25,dom tutori dom home dom,0.0
33,10,bertqe.topn10.qld,format rfc txt rfc txt pdf,0.0
34,10,conceptluster.topn5.3.qld,cheap internet generic top level domain internet git object,0.0
