qid	order	query	bm25.ndcg
301	-1	International Organized Crime	0.0586
301	wiki.topn3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.1324
301	wiki.topn3.replace	constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.1232
301	anchor.topn3	international organized crime confédérat föderat kanusport anti corruption anti econom drug	0.1047
301	glove.topn3	international organized crime global which organised criminal	0.091
301	word2vec.topn3	international organized crime national global domestic organised criminality	0.0847
301	docluster.topn10.3.bm25	international organized crime	0.0586
301	docluster.topn10.3.qld	international organized crime	0.0586
301	rm3.topn10.10.0.5.bm25	International Organized Crime	0.0586
301	rm3.topn10.10.0.5.qld	International Organized Crime	0.0586
301	stem.krovetz	international organized crime	0.0586
301	stem.porter2	intern organ crime	0.0586
301	stem.sstemmer	international organized crime	0.0586
301	termluster.topn5.3.bm25	international organized crime	0.0586
301	termluster.topn5.3.qld	international organized crime	0.0586
301	thesaurus.topn3	international organized crime	0.0586
301	thesaurus.topn3.replace	international organized crime	0.0586
302	-1	Poliomyelitis and Post-Polio	0.7405
302	relevancefeedback.topn10.qld	poliomyelitis and post polio case polio i health hi vaccin china percent	0.7535
302	wordnet.topn3	poliomyelitis post polio polio acute anterior poliomyelitis	0.7491
302	relevancefeedback.topn10.bm25	poliomyelitis and post polio case polio i health vaccin china aid	0.7482
302	anchor.topn3	poliomyelitis post polio kentuckyon rwjbarnaba lcmc	0.7405
302	conceptnet.topn3	poliomyelitis post polio	0.7405
302	conceptnet.topn3.replace	poliomyelitis post polio	0.7405
302	docluster.topn10.3.bm25	poliomyelitis and post polio	0.7405
302	docluster.topn10.3.qld	poliomyelitis and post polio	0.7405
302	rm3.topn10.10.0.5.bm25	Poliomyelitis and Post-Polio	0.7405
302	rm3.topn10.10.0.5.qld	Poliomyelitis and Post-Polio	0.7405
302	sensedisambiguation	Poliomyelitis and Post Polio	0.7405
302	sensedisambiguation.replace	poliomyelitis and Post Polio	0.7405
302	stem.krovetz	poliomyeliti and post polio	0.7405
302	stem.porter	poliomyel and post polio	0.7405
302	stem.porter2	poliomyel and post polio	0.7405
302	stem.sstemmer	poliomyeliti and post polio	0.7405
302	termluster.topn5.3.bm25	poliomyelitis post polio	0.7405
302	termluster.topn5.3.qld	poliomyelitis post polio	0.7405
302	thesaurus.topn3	poliomyelitis post polio	0.7405
302	thesaurus.topn3.replace	poliomyelitis post polio	0.7405
303	-1	Hubble Telescope Achievements	0.5126
303	wiki.topn3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.6668
303	wiki.topn3.replace	great observatories program hubble space telescope standard candles hubble space telescope	0.6633
303	conceptnet.topn3	hubble telescope achievements Edwin Powell Hubble scotland heap	0.5226
303	anchor.topn3	hubble telescope achievements	0.5126
303	anchor.topn3.replace	hubble telescope achievements	0.5126
303	docluster.topn10.3.bm25	hubble telescope achievements	0.5126
303	docluster.topn10.3.qld	hubble telescope achievements	0.5126
303	rm3.topn10.10.0.5.bm25	Hubble Telescope Achievements	0.5126
303	rm3.topn10.10.0.5.qld	Hubble Telescope Achievements	0.5126
303	stem.krovetz	hubble telescope achievement	0.5126
303	stem.lovins	hubbl telescop achievement	0.5126
303	stem.paicehusk	hubbl telescop achiev	0.5126
303	stem.porter	hubbl telescop achiev	0.5126
303	stem.porter2	hubbl telescop achiev	0.5126
303	stem.sstemmer	hubble telescope achievement	0.5126
303	termluster.topn5.3.bm25	hubble telescope achievements	0.5126
303	termluster.topn5.3.qld	hubble telescope achievements	0.5126
303	thesaurus.topn3	hubble telescope achievements	0.5126
303	thesaurus.topn3.replace	hubble telescope achievements	0.5126
304	-1	Endangered Species (Mammals)	0.2081
304	conceptluster.topn5.3.bm25	endangered species mammals endangered species	0.2202
304	conceptluster.topn5.3.qld	endangered species mammals endangered species	0.2202
304	docluster.topn10.3.bm25	endangered species mammals	0.2081
304	docluster.topn10.3.qld	endangered species mammals	0.2081
304	rm3.topn10.10.0.5.bm25	Endangered Species (Mammals)	0.2081
304	rm3.topn10.10.0.5.qld	Endangered Species (Mammals)	0.2081
304	stem.krovetz	endanger species mammal	0.2081
304	stem.porter	endang speci mammal	0.2081
304	stem.porter2	endang speci mammal	0.2081
304	stem.sstemmer	endangered specy mammal	0.2081
304	tagmee.topn3	endangered species mammals Endangered species Mammal	0.2081
304	tagmee.topn3.replace	Endangered species Mammal	0.2081
304	termluster.topn5.3.bm25	endangered species mammals	0.2081
304	termluster.topn5.3.qld	endangered species mammals	0.2081
304	thesaurus.topn3	endangered species mammals	0.2081
304	thesaurus.topn3.replace	endangered species mammals	0.2081
305	-1	Most Dangerous Vehicles	0.0323
305	wordnet.topn3	dangerous vehicles life threatening unsafe fomite	0.0493
305	conceptnet.topn3	dangerous vehicles Explosives driving Some people	0.049
305	wiki.topn3.replace	risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.0486
305	wiki.topn3	dangerous vehicles risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.0457
