qid	order	query	bm25.ndcg
301	-1	International Organized Crime	0.0586
301	bt_nllb_arabic	International organized crime	0.0586
301	bt_nllb_chinese_yue	International organized crime	0.0586
301	bt_nllb_french	International organized crime	0.0586
301	bt_nllb_korean	International organized crime	0.0586
301	bt_nllb_persian	International organized crime	0.0586
301	bt_nllb_russian	International organized crime	0.0586
301	bt_nllb_tamil	International organized crime	0.0586
302	-1	Poliomyelitis and Post-Polio	0.7405
303	-1	Hubble Telescope Achievements	0.5126
303	bt_nllb_swahili	The results of the Hubble Telescope	0.5694
303	bt_nllb_arabic	The achievements of the Hubble Telescope	0.5126
303	bt_nllb_french	The achievements of the Hubble Telescope	0.5126
303	bt_nllb_german	Achievements of the Hubble Telescope	0.5126
303	bt_nllb_malay	The achievements of the Hubble Telescope	0.5126
303	bt_nllb_persian	The achievements of the Hubble Telescope	0.5126
303	bt_nllb_russian	The achievements of the Hubble Telescope	0.5126
304	-1	Endangered Species (Mammals)	0.2081
304	bt_nllb_arabic	Endangered species mammals	0.2081
304	bt_nllb_french	Endangered species mammal	0.2081
304	bt_nllb_german	Endangered species mammal	0.2081
304	bt_nllb_malay	Endangered species mammal	0.2081
305	-1	Most Dangerous Vehicles	0.0323
305	bt_nllb_french	The most dangerous vehicles	0.0323
305	bt_nllb_german	Most dangerous vehicles	0.0323
305	bt_nllb_korean	The most dangerous vehicle	0.0323
305	bt_nllb_malay	The Most Dangerous Vehicle	0.0323
305	bt_nllb_persian	The most dangerous vehicles	0.0323
305	bt_nllb_russian	The most dangerous vehicles	0.0323
305	bt_nllb_tamil	The most dangerous vehicles	0.0323
306	-1	African Civilian Deaths	0.1539
306	bt_nllb_french	The deaths of African civilians	0.1539
306	bt_nllb_german	African civilian deaths	0.1539
307	-1	New Hydroelectric Projects	0.3366
307	bt_nllb_chinese_yue	New hydroelectric projects	0.3366
307	bt_nllb_french	New hydroelectric projects	0.3366
307	bt_nllb_malay	New Hydroelectric Project	0.3366
307	bt_nllb_persian	New projects for hydroelectricity	0.3366
307	bt_nllb_russian	New hydroelectric projects	0.3366
307	bt_nllb_tamil	New hydroelectric projects	0.3366
308	-1	Implant Dentistry	0.488
308	bt_nllb_german	Implant teeth	0.5856
308	bt_nllb_malay	Dental Implantation	0.5856
308	bt_nllb_persian	Dental implant	0.5856
308	bt_nllb_chinese_yue	Dentistry of implants	0.488
308	bt_nllb_french	Dentistry by implant	0.488
308	bt_nllb_russian	Dentistry of implants	0.488
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	0.3509
310	bt_nllb_chinese_yue	Radiation and brain cancer	0.3672
310	bt_nllb_korean	Radiation and Brain Cancer	0.3672
310	bt_nllb_arabic	Radio waves and brain cancer	0.3509
310	bt_nllb_french	Radio waves and brain cancer	0.3509
310	bt_nllb_german	Radio waves and brain cancer	0.3509
310	bt_nllb_malay	Radio waves and brain cancer	0.3509
310	bt_nllb_persian	Radio waves and brain cancer	0.3509
310	bt_nllb_russian	Radio waves and brain cancer	0.3509
310	bt_nllb_swahili	Radio Waves and Brain Cancer	0.3509
310	bt_nllb_tamil	Radio waves and brain cancer	0.3509
311	-1	Industrial Espionage	0.4199
311	bt_nllb_arabic	Industrial espionage	0.4199
311	bt_nllb_french	Industrial espionage	0.4199
311	bt_nllb_russian	Industrial espionage	0.4199
312	-1	Hydroponics	0.9559
312	bt_nllb_arabic	The hydroponics	0.9559
312	bt_nllb_french	Hydroponics	0.9559
312	bt_nllb_malay	Hydroponics	0.9559
312	bt_nllb_persian	Hydroponics	0.9559
312	bt_nllb_russian	Hydroponics	0.9559
312	bt_nllb_swahili	Hydroponics	0.9559
313	-1	Magnetic Levitation-Maglev	0.8249
313	bt_nllb_chinese_yue	The magnetic Levitation Maglev	0.8249
313	bt_nllb_german	Magnetic levitation maglev	0.8249
313	bt_nllb_malay	Magnetic levitation of the Maglev	0.8249
313	bt_nllb_russian	Magnetic levitation of the Maglev	0.8249
313	bt_nllb_swahili	Magnetic Levitation Maglev	0.8249
314	-1	Marine Vegetation	0.0168
314	bt_nllb_persian	Seaweed	0.4804
314	bt_nllb_swahili	Seaweed	0.4804
314	bt_nllb_russian	Sea vegetation	0.1041
314	bt_nllb_arabic	Marine plants	0.0716
314	bt_nllb_german	Protection of the seas	0.0534
314	bt_nllb_chinese_yue	Sea plants	0.0312
314	bt_nllb_korean	Sea plants	0.0312
314	bt_nllb_malay	Sea plants	0.0312
314	bt_nllb_tamil	Sea plants	0.0312
314	bt_nllb_french	marine vegetation	0.0168
315	-1	Unexplained Highway Accidents	0.1104
315	bt_nllb_chinese_yue	The cause of the accident is unknown	0.1882
315	bt_nllb_korean	An unexplained highway accident	0.1104
315	bt_nllb_persian	Unexplained highway accidents	0.1104
316	-1	Polygamy Polyandry Polygyny	0.7496
316	bt_nllb_chinese_yue	Polygamy polygamy polygamy and polygamy	0.7715
316	bt_nllb_french	Polygamy and polygamy	0.7715
316	bt_nllb_german	Polygamy and polygamy	0.7715
316	bt_nllb_malay	Polygamy Polygamy	0.7715
317	-1	Unsolicited Faxes	0.7129
318	-1	Best Retirement Country	0.0276
318	bt_nllb_arabic	The best retirement country	0.0276
318	bt_nllb_chinese_yue	The best retired countries	0.0276
318	bt_nllb_french	The best country for retirement	0.0276
318	bt_nllb_german	Best retirement country	0.0276
318	bt_nllb_korean	The best retirement country	0.0276
318	bt_nllb_malay	The Best Retirement Countries	0.0276
318	bt_nllb_persian	The best country is retired	0.0276
318	bt_nllb_russian	The best country to retire	0.0276
319	-1	New Fuel Sources	0.1447
319	bt_nllb_arabic	New fuel sources	0.1447
319	bt_nllb_chinese_yue	The new fuel source	0.1447
319	bt_nllb_french	New sources of fuel	0.1447
319	bt_nllb_korean	A new fuel source	0.1447
319	bt_nllb_malay	New Fuel Sources	0.1447
319	bt_nllb_persian	New fuel sources	0.1447
319	bt_nllb_russian	New Fuel Sources	0.1447
319	bt_nllb_tamil	New sources of fuel	0.1447
320	-1	Undersea Fiber Optic Cable	0.2138
