qid	order	query	qld.ndcg
INEX_LD-2009022	-1	Szechwan dish food cuisine	0.2251
INEX_LD-2009039	-1	roman architecture	0.3549
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.5735
INEX_LD-2009053	bt_nllb_chinese_yue	Finnish car manufacturer Saab sisu	0.5987
INEX_LD-2009053	bt_nllb_french	Finnish car manufacturer saab sisu	0.5987
INEX_LD-2009053	bt_nllb_german	Finnish car manufacturer Saab sisu	0.5987
INEX_LD-2009053	bt_nllb_malay	Finnish car manufacturer saab sisu	0.5987
INEX_LD-2009053	bt_nllb_persian	Finnish car manufacturer Saab sisu	0.5987
INEX_LD-2009053	bt_nllb_swahili	Finnish car manufacturer saab sisu	0.5987
INEX_LD-2009061	-1	france second world war normandy	0.4079
INEX_LD-2009062	-1	social network group selection	0.3438
INEX_LD-2009063	-1	D-Day normandy invasion	0.327
INEX_LD-2009074	-1	web ranking scoring algorithm	0.5827
INEX_LD-2009074	bt_nllb_french	web ranking algorithm	0.6076
INEX_LD-2009074	bt_nllb_korean	Web ranking algorithm	0.6076
INEX_LD-2009074	bt_nllb_malay	algorithm for ranking the web	0.6076
INEX_LD-2009074	bt_nllb_chinese_yue	The ranking algorithm for websites	0.5923
INEX_LD-2009096	-1	Eiffel	0.6355
INEX_LD-2009111	-1	europe solar power facility	0.2883
INEX_LD-2009111	bt_nllb_korean	European solar power plants	0.4551
INEX_LD-2009111	bt_nllb_persian	European solar power plants	0.4551
INEX_LD-2009111	bt_nllb_russian	European solar power plant	0.4551
INEX_LD-2009111	bt_nllb_tamil	Europe solar powered	0.3406
INEX_LD-2009111	bt_nllb_chinese_yue	Solar powered plants in Europe	0.3287
INEX_LD-2009111	bt_nllb_german	Europe solar power plant	0.3287
INEX_LD-2009111	bt_nllb_malay	European solar power facilities	0.3223
INEX_LD-2009115	-1	virtual museums	0.6456
INEX_LD-2010004	-1	Indian food	0.3536
INEX_LD-2010014	-1	composer museum	0.2239
INEX_LD-2010019	-1	gallo roman architecture in paris	0.0536
INEX_LD-2010019	bt_nllb_chinese_yue	Ancient Roman architecture in Paris	0.213
INEX_LD-2010020	-1	electricity source in France	0.1984
INEX_LD-2010020	bt_nllb_tamil	Electricity in France	0.5253
INEX_LD-2010037	-1	social network API	0.5758
INEX_LD-2010043	-1	List of films from the surrealist category	0.4581
INEX_LD-2010043	bt_nllb_persian	List of Surrealist films	0.4785
INEX_LD-2010043	bt_nllb_tamil	List of Surrealist films	0.4785
INEX_LD-2010043	bt_nllb_arabic	List of films of the Surrealist category	0.4646
INEX_LD-2010043	bt_nllb_french	List of films in the Surrealist category	0.4646
INEX_LD-2010043	bt_nllb_german	List of films in the Surrealist category	0.4646
INEX_LD-2010043	bt_nllb_korean	List of films in the surrealist category	0.4646
INEX_LD-2010057	-1	Einstein Relativity theory	0.6154
INEX_LD-2010069	-1	summer flowers	0.0852
INEX_LD-2010100	-1	house concrete wood	0.2998
INEX_LD-2010106	-1	organic food advantages disadvantages	0.0
INEX_LD-2010106	bt_nllb_persian	The benefits of organic food	0.1086
INEX_LD-2010106	bt_nllb_swahili	benefits of organic food loss	0.0656
INEX_LD-2010106	bt_nllb_malay	The excess of organic food weakness	0.0266
INEX_LD-2010106	bt_nllb_french	Benefits of organic food disadvantages	0.0264
INEX_LD-2010106	bt_nllb_german	Benefits of organic food Disadvantages	0.0264
INEX_LD-2010106	bt_nllb_tamil	The benefits of organic food disadvantages	0.0264
INEX_LD-20120111	-1	vietnam war movie	0.5383
INEX_LD-20120111	bt_nllb_german	Vietnam War Film	0.567
INEX_LD-20120111	bt_nllb_tamil	The Vietnam War Film	0.567
INEX_LD-20120112	-1	vietnam war facts	0.3156
INEX_LD-20120121	-1	vietnam food recipes	0.2655
INEX_LD-20120121	bt_nllb_chinese_yue	The Vietnamese food recipe	0.3081
INEX_LD-20120121	bt_nllb_french	Vietnamese food recipes	0.3081
INEX_LD-20120121	bt_nllb_malay	Vietnamese food recipes	0.3081
INEX_LD-20120121	bt_nllb_persian	Vietnamese food recipes	0.3081
INEX_LD-20120121	bt_nllb_swahili	Vietnamese food recipes	0.3081
INEX_LD-20120122	-1	vietnamese food blog	0.2796
INEX_LD-20120131	-1	vietnam travel national park	0.2734
INEX_LD-20120132	-1	vietnam travel airports	0.6812
INEX_LD-20120132	bt_nllb_persian	Airports in Vietnam	0.8777
INEX_LD-20120132	bt_nllb_russian	Airports of Vietnam	0.8777
INEX_LD-20120132	bt_nllb_swahili	Airports in Vietnam	0.8777
INEX_LD-20120132	bt_nllb_tamil	Airports in Vietnam	0.8777
INEX_LD-20120211	-1	guitar chord tuning	0.6585
INEX_LD-20120211	bt_nllb_arabic	The tuning on the guitar	0.7066
INEX_LD-20120212	-1	guitar chord minor	0.5358
INEX_LD-20120221	-1	guitar classical flamenco	0.6115
INEX_LD-20120222	-1	guitar classical bach	0.6441
INEX_LD-20120231	-1	guitar origin Russia	0.216
INEX_LD-20120231	bt_nllb_arabic	The origin of the guitar is Russian	0.4556
INEX_LD-20120231	bt_nllb_malay	Russian guitar origin	0.4556
INEX_LD-20120231	bt_nllb_persian	The origins of the Russian guitar	0.4556
INEX_LD-20120231	bt_nllb_swahili	the origin of the Russian guitar	0.4556
INEX_LD-20120231	bt_nllb_chinese_yue	Guitar is from Russia	0.3648
INEX_LD-20120232	-1	guitar origin blues	0.398
INEX_LD-20120311	-1	tango culture movies	0.3664
INEX_LD-20120311	bt_nllb_arabic	The tango culture films	0.6593
INEX_LD-20120311	bt_nllb_chinese_yue	The tango culture film	0.6593
INEX_LD-20120311	bt_nllb_french	films of tango culture	0.6593
INEX_LD-20120311	bt_nllb_korean	The Tango culture film	0.6593
INEX_LD-20120311	bt_nllb_malay	tango culture film	0.6593
INEX_LD-20120311	bt_nllb_russian	The film of tango culture	0.6593
INEX_LD-20120311	bt_nllb_tamil	The film is about the culture of the Tangos	0.59
INEX_LD-20120311	bt_nllb_german	Other films of tango	0.4748
INEX_LD-20120312	-1	tango culture countries	0.5576
INEX_LD-20120321	-1	tango music  composers	0.5574
INEX_LD-20120321	bt_nllb_french	composers of tango	0.6504
INEX_LD-20120321	bt_nllb_german	Tango composers	0.6504
INEX_LD-20120321	bt_nllb_persian	Tangos are composers	0.6504
INEX_LD-20120321	bt_nllb_russian	The composers of the tango	0.6504
INEX_LD-20120322	-1	tango music instruments	0.6516
INEX_LD-20120331	-1	tango dance styles	0.7199
INEX_LD-20120331	bt_nllb_french	dance of tango	0.7846
INEX_LD-20120332	-1	tango dance history	0.6823
INEX_LD-20120411	-1	bicycle sport races	0.3798
INEX_LD-20120412	-1	bicycle sport disciplines	0.3957
INEX_LD-20120421	-1	bicycle holiday towns	0.1501
INEX_LD-20120422	-1	bicycle holiday nature	0.154
INEX_LD-20120422	bt_nllb_arabic	The nature of the bike holiday	0.1672
INEX_LD-20120422	bt_nllb_persian	The nature of the bike holiday	0.1672
INEX_LD-20120431	-1	bicycle benefits health	0.1846
INEX_LD-20120432	-1	bicycle benefits environment	0.4977
INEX_LD-20120511	-1	female rock singers	0.3961
INEX_LD-20120512	-1	south korean girl groups	0.713
