qid	order	query	bm25.map
INEX_LD-2009022	-1	Szechwan dish food cuisine	0.118
INEX_LD-2009022	bt_bing_tamil	Szechwan dish food	0.1086
INEX_LD-2009022	bt_nllb_swahili	Szechwan dishes food	0.1086
INEX_LD-2009022	bt_bing_persian	Sichuan Food	0.1079
INEX_LD-2009022	bt_nllb_french	Cooking of Szechwan dishes	0.1065
INEX_LD-2009022	bt_nllb_malay	Szechwan cuisine	0.0995
INEX_LD-2009022	bt_bing_swahili	Diet cuisine of Szechwan	0.0942
INEX_LD-2009022	bt_bing_arabic	Sichuan Platter Food	0.0202
INEX_LD-2009022	bt_nllb_korean	Cooking the dishes	0.0012
INEX_LD-2009022	bt_nllb_german	Chequan buffalo cuisine	0.0004
INEX_LD-2009022	bt_nllb_arabic	Seizuan food	0.0
INEX_LD-2009022	bt_nllb_chinese_yue	The recipe	0.0
INEX_LD-2009022	bt_nllb_persian	Cooking Sheep s Meals	0.0
INEX_LD-2009022	bt_nllb_russian	The kitchen of the sequoia	0.0
INEX_LD-2009022	bt_nllb_tamil	The food is cooked by Tshuang	0.0
INEX_LD-2009039	-1	roman architecture	0.0851
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3173
INEX_LD-2009053	bt_bing_arabic	Finland manufacturer Saab Sisu	0.2621
INEX_LD-2009053	bt_bing_french	Finnish car manufacturer Saab Sisu	0.2434
INEX_LD-2009053	bt_bing_german	Finnish car manufacturer Saab Sisu	0.2434
INEX_LD-2009053	bt_nllb_chinese_yue	Finnish car manufacturer Saab sisu	0.2434
INEX_LD-2009053	bt_nllb_french	Finnish car manufacturer saab sisu	0.2434
INEX_LD-2009053	bt_nllb_german	Finnish car manufacturer Saab sisu	0.2434
INEX_LD-2009053	bt_nllb_malay	Finnish car manufacturer saab sisu	0.2434
INEX_LD-2009053	bt_nllb_persian	Finnish car manufacturer Saab sisu	0.2434
INEX_LD-2009053	bt_nllb_swahili	Finnish car manufacturer saab sisu	0.2434
INEX_LD-2009053	bt_bing_malay	Finnish car industry manufacturer Saab Sisu	0.1815
INEX_LD-2009053	bt_nllb_arabic	Finnish car manufacturing plant Sap Sisu	0.1738
INEX_LD-2009053	bt_bing_swahili	Finnish auto industry manufacturer Saab Sisu	0.1555
INEX_LD-2009053	bt_bing_russian	Finnish automotive manufacturer Saab Sisu	0.1523
INEX_LD-2009053	bt_bing_korean	Finnish automotive industry manufacturer Saab Sisu	0.1064
INEX_LD-2009053	bt_bing_persian	Finland subcisso automobile manufacturer	0.0875
INEX_LD-2009053	bt_nllb_russian	Finnish manufacturer of automotive industry Saab Suzi	0.0873
INEX_LD-2009053	bt_nllb_tamil	Sappha Sysu Finnish automotive manufacturer	0.0412
INEX_LD-2009053	bt_bing_chinese_simplified	Sabosisu a Finnish manufacturer of the automotive industry	0.0365
INEX_LD-2009053	bt_nllb_korean	Finnish car manufacturer Sava Saassu	0.0235
INEX_LD-2009061	-1	france second world war normandy	0.204
INEX_LD-2009061	bt_nllb_korean	France during World War II Normandy	0.087
INEX_LD-2009061	bt_bing_arabic	France World War II Normandy	0.0824
INEX_LD-2009061	bt_bing_chinese_simplified	France World War II Normandy	0.0824
INEX_LD-2009061	bt_bing_french	France World War II Normandy	0.0824
INEX_LD-2009061	bt_bing_german	France World War II Normandy	0.0824
INEX_LD-2009061	bt_bing_persian	France World War II Normandy	0.0824
INEX_LD-2009061	bt_bing_russian	France World War II Normandy	0.0824
INEX_LD-2009061	bt_bing_tamil	France World War II Normandy	0.0824
INEX_LD-2009061	bt_nllb_tamil	France World War II Normandy	0.0824
INEX_LD-2009061	bt_nllb_chinese_yue	France World War II Normandy and the French	0.0737
INEX_LD-2009061	bt_bing_korean	French World War II Normandy	0.0712
INEX_LD-2009061	bt_bing_swahili	French World War II Normandy	0.0712
INEX_LD-2009061	bt_nllb_arabic	France World War II Normandy and the French and Indian War	0.0566
INEX_LD-2009062	-1	social network group selection	0.0053
INEX_LD-2009062	bt_bing_arabic	Choosing a social network group	0.0
INEX_LD-2009062	bt_bing_french	Selecting a Social Media Group	0.0
INEX_LD-2009062	bt_bing_korean	Choosing a social network group	0.0
INEX_LD-2009062	bt_bing_russian	Choosing a social media group	0.0
INEX_LD-2009062	bt_nllb_arabic	Choosing social network groups	0.0
INEX_LD-2009062	bt_nllb_korean	Choose a social network group	0.0
INEX_LD-2009062	bt_nllb_malay	Choice of social networking group	0.0
INEX_LD-2009062	bt_nllb_persian	Choosing a social media group	0.0
INEX_LD-2009062	bt_nllb_swahili	Choosing a social networking group	0.0
INEX_LD-2009063	-1	D-Day normandy invasion	0.1125
INEX_LD-2009063	bt_bing_russian	D Day landings in Normandy	0.0769
INEX_LD-2009063	bt_bing_chinese_simplified	Normandy landings	0.0683
INEX_LD-2009063	bt_bing_french	Normandy landings	0.0683
INEX_LD-2009063	bt_nllb_persian	The Normandy attack on D Day	0.0576
INEX_LD-2009063	bt_nllb_chinese_yue	The Norman invasion of D Day	0.0023
INEX_LD-2009063	bt_nllb_tamil	The D Day Norman invasion	0.0023
INEX_LD-2009074	-1	web ranking scoring algorithm	0.1757
INEX_LD-2009074	bt_bing_russian	Web Ranking Evaluation Algorithm	0.1576
INEX_LD-2009074	bt_nllb_arabic	The algorithm for registering rankings on the Internet	0.1464
INEX_LD-2009074	bt_bing_malay	web position scoring algorithm	0.0664
INEX_LD-2009074	bt_bing_chinese_simplified	Network Ranking Scoring Algorithm	0.0354
INEX_LD-2009074	bt_bing_swahili	Web level scoring algorithm	0.0225
INEX_LD-2009074	bt_nllb_russian	algorithm for rating of websites	0.001
INEX_LD-2009074	bt_nllb_german	The following is the list of the categories of users of the service	0.0
INEX_LD-2009096	-1	Eiffel	0.2587
INEX_LD-2009096	bt_bing_french	Eiffel tower	0.1429
INEX_LD-2009096	bt_nllb_french	The Eiffel fire	0.0862
INEX_LD-2009096	bt_nllb_arabic	I m not	0.0
INEX_LD-2009096	bt_nllb_chinese_yue	I m not sure	0.0
INEX_LD-2009096	bt_nllb_german	Eggs	0.0
INEX_LD-2009096	bt_nllb_korean	The Epel	0.0
INEX_LD-2009096	bt_nllb_persian	I m going to the hospital	0.0
INEX_LD-2009096	bt_nllb_tamil	the ifel	0.0
INEX_LD-2009111	-1	europe solar power facility	0.0582
INEX_LD-2009111	bt_nllb_swahili	Europe solar power station	0.0514
INEX_LD-2009111	bt_bing_korean	Solar power generation facilities in Europe	0.0376
INEX_LD-2009111	bt_nllb_tamil	Europe solar powered	0.0354
INEX_LD-2009111	bt_nllb_french	The European Union	0.0
INEX_LD-2009115	-1	virtual museums	0.5854
INEX_LD-2009115	bt_nllb_malay	The Mayan Museum	0.0
INEX_LD-2010004	-1	Indian food	0.1679
INEX_LD-2010004	bt_bing_chinese_simplified	Indian cuisine	0.1296
INEX_LD-2010004	bt_bing_french	Indian Cuisine	0.1296
INEX_LD-2010004	bt_bing_russian	Indian Cuisine	0.1296
INEX_LD-2010014	-1	composer museum	0.0605
INEX_LD-2010014	bt_bing_tamil	Music Composer Museum	0.0588
INEX_LD-2010014	bt_nllb_persian	The Musical Museum	0.0016
INEX_LD-2010014	bt_nllb_tamil	The Musical Museum	0.0016
INEX_LD-2010014	bt_bing_swahili	Composer s Museum	0.0
INEX_LD-2010014	bt_nllb_arabic	The Museum of the Author	0.0
INEX_LD-2010014	bt_nllb_chinese_yue	The Musicians Museum	0.0
INEX_LD-2010014	bt_nllb_german	The composer s museum	0.0
INEX_LD-2010014	bt_nllb_korean	The composer s museum	0.0
INEX_LD-2010014	bt_nllb_malay	The Composer s Museum	0.0
INEX_LD-2010014	bt_nllb_swahili	museums of the writer	0.0
INEX_LD-2010019	-1	gallo roman architecture in paris	0.0019
INEX_LD-2010019	bt_bing_persian	Gallo s Roman architecture in Paris	0.0011
INEX_LD-2010019	bt_nllb_arabic	Gallo Romanesque architecture in Paris	0.0
INEX_LD-2010019	bt_nllb_persian	The architecture of the Gallo Rome in Paris	0.0
INEX_LD-2010019	bt_nllb_tamil	The architecture of the Calo Romanesque in Paris	0.0
INEX_LD-2010020	-1	electricity source in France	0.0447
INEX_LD-2010020	bt_nllb_arabic	Electricity supply in France	0.0032
INEX_LD-2010020	bt_nllb_korean	The electricity supply in France	0.0032
INEX_LD-2010020	bt_nllb_chinese_yue	French power supply	0.0
INEX_LD-2010020	bt_nllb_persian	Power supply in France	0.0
INEX_LD-2010037	-1	social network API	0.1535
INEX_LD-2010037	bt_nllb_russian	API of social media	0.0482
INEX_LD-2010043	-1	List of films from the surrealist category	0.0875
INEX_LD-2010043	bt_bing_swahili	List of films from the surrealist community	0.0479
INEX_LD-2010043	bt_nllb_swahili	List of films from the surrealist community	0.0479
INEX_LD-2010043	bt_bing_tamil	List of films in the Surrealist genre	0.046
INEX_LD-2010043	bt_nllb_chinese_yue	A list of movies in the surrealist category	0.0328
INEX_LD-2010043	bt_bing_german	List of films from the category Surrealism	0.0156
INEX_LD-2010043	bt_bing_russian	List of films from the category Surrealism	0.0156
INEX_LD-2010043	bt_bing_arabic	List of films in the surreal category	0.0148
INEX_LD-2010043	bt_bing_korean	List of films in the category of surrealism	0.0148
INEX_LD-2010057	-1	Einstein Relativity theory	0.3017
