qid	order	query	qld.ndcg
301	-1	International Organized Crime	0.064
301	bt_nllb_arabic	International organized crime	0.064
301	bt_nllb_chinese_yue	International organized crime	0.064
301	bt_nllb_french	International organized crime	0.064
301	bt_nllb_korean	International organized crime	0.064
301	bt_nllb_persian	International organized crime	0.064
301	bt_nllb_russian	International organized crime	0.064
301	bt_nllb_tamil	International organized crime	0.064
302	-1	Poliomyelitis and Post-Polio	0.7466
303	-1	Hubble Telescope Achievements	0.5359
303	bt_nllb_swahili	The results of the Hubble Telescope	0.6248
303	bt_nllb_arabic	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_french	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_german	Achievements of the Hubble Telescope	0.5359
303	bt_nllb_malay	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_persian	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_russian	The achievements of the Hubble Telescope	0.5359
304	-1	Endangered Species (Mammals)	0.1457
304	bt_nllb_swahili	Endangered Species Animals	0.1974
304	bt_nllb_chinese_yue	They are endangered	0.1859
304	bt_nllb_korean	Endangered species	0.1802
304	bt_nllb_persian	Endangered species clover	0.1654
304	bt_nllb_arabic	Endangered species mammals	0.1457
304	bt_nllb_french	Endangered species mammal	0.1457
304	bt_nllb_german	Endangered species mammal	0.1457
304	bt_nllb_malay	Endangered species mammal	0.1457
305	-1	Most Dangerous Vehicles	0.0469
305	bt_nllb_french	The most dangerous vehicles	0.0469
305	bt_nllb_german	Most dangerous vehicles	0.0469
305	bt_nllb_korean	The most dangerous vehicle	0.0469
305	bt_nllb_malay	The Most Dangerous Vehicle	0.0469
305	bt_nllb_persian	The most dangerous vehicles	0.0469
305	bt_nllb_russian	The most dangerous vehicles	0.0469
305	bt_nllb_tamil	The most dangerous vehicles	0.0469
306	-1	African Civilian Deaths	0.1628
306	bt_nllb_french	The deaths of African civilians	0.1628
306	bt_nllb_german	African civilian deaths	0.1628
307	-1	New Hydroelectric Projects	0.384
307	bt_nllb_chinese_yue	New hydroelectric projects	0.384
307	bt_nllb_french	New hydroelectric projects	0.384
307	bt_nllb_malay	New Hydroelectric Project	0.384
307	bt_nllb_persian	New projects for hydroelectricity	0.384
307	bt_nllb_russian	New hydroelectric projects	0.384
307	bt_nllb_tamil	New hydroelectric projects	0.384
308	-1	Implant Dentistry	0.4859
308	bt_nllb_german	Implant teeth	0.6367
308	bt_nllb_malay	Dental Implantation	0.6367
308	bt_nllb_persian	Dental implant	0.6367
308	bt_nllb_chinese_yue	Dentistry of implants	0.4859
308	bt_nllb_french	Dentistry by implant	0.4859
308	bt_nllb_russian	Dentistry of implants	0.4859
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	0.3448
310	bt_nllb_arabic	Radio waves and brain cancer	0.3448
310	bt_nllb_french	Radio waves and brain cancer	0.3448
310	bt_nllb_german	Radio waves and brain cancer	0.3448
310	bt_nllb_malay	Radio waves and brain cancer	0.3448
310	bt_nllb_persian	Radio waves and brain cancer	0.3448
310	bt_nllb_russian	Radio waves and brain cancer	0.3448
310	bt_nllb_swahili	Radio Waves and Brain Cancer	0.3448
310	bt_nllb_tamil	Radio waves and brain cancer	0.3448
311	-1	Industrial Espionage	0.3748
311	bt_nllb_arabic	Industrial espionage	0.3748
311	bt_nllb_french	Industrial espionage	0.3748
311	bt_nllb_russian	Industrial espionage	0.3748
312	-1	Hydroponics	0.9559
312	bt_nllb_arabic	The hydroponics	0.9559
312	bt_nllb_french	Hydroponics	0.9559
312	bt_nllb_malay	Hydroponics	0.9559
312	bt_nllb_persian	Hydroponics	0.9559
312	bt_nllb_russian	Hydroponics	0.9559
312	bt_nllb_swahili	Hydroponics	0.9559
313	-1	Magnetic Levitation-Maglev	0.8784
313	bt_nllb_chinese_yue	The magnetic Levitation Maglev	0.8784
313	bt_nllb_german	Magnetic levitation maglev	0.8784
313	bt_nllb_malay	Magnetic levitation of the Maglev	0.8784
313	bt_nllb_russian	Magnetic levitation of the Maglev	0.8784
313	bt_nllb_swahili	Magnetic Levitation Maglev	0.8784
314	-1	Marine Vegetation	0.0426
314	bt_nllb_persian	Seaweed	0.462
314	bt_nllb_swahili	Seaweed	0.462
314	bt_nllb_russian	Sea vegetation	0.1048
314	bt_nllb_arabic	Marine plants	0.1028
314	bt_nllb_german	Protection of the seas	0.0985
314	bt_nllb_chinese_yue	Sea plants	0.0601
314	bt_nllb_korean	Sea plants	0.0601
314	bt_nllb_malay	Sea plants	0.0601
314	bt_nllb_tamil	Sea plants	0.0601
314	bt_nllb_french	marine vegetation	0.0426
315	-1	Unexplained Highway Accidents	0.0432
315	bt_nllb_chinese_yue	The cause of the accident is unknown	0.0848
315	bt_nllb_tamil	Unidentified road accidents	0.06
315	bt_nllb_korean	An unexplained highway accident	0.0432
315	bt_nllb_persian	Unexplained highway accidents	0.0432
316	-1	Polygamy Polyandry Polygyny	0.7342
316	bt_nllb_chinese_yue	Polygamy polygamy polygamy and polygamy	0.7793
316	bt_nllb_french	Polygamy and polygamy	0.7793
316	bt_nllb_german	Polygamy and polygamy	0.7793
316	bt_nllb_malay	Polygamy Polygamy	0.7793
317	-1	Unsolicited Faxes	0.7038
318	-1	Best Retirement Country	0.053
318	bt_nllb_arabic	The best retirement country	0.053
318	bt_nllb_chinese_yue	The best retired countries	0.053
318	bt_nllb_french	The best country for retirement	0.053
318	bt_nllb_german	Best retirement country	0.053
318	bt_nllb_korean	The best retirement country	0.053
318	bt_nllb_malay	The Best Retirement Countries	0.053
318	bt_nllb_persian	The best country is retired	0.053
318	bt_nllb_russian	The best country to retire	0.053
319	-1	New Fuel Sources	0.1826
319	bt_nllb_german	New fuels	0.1841
319	bt_nllb_arabic	New fuel sources	0.1826
319	bt_nllb_chinese_yue	The new fuel source	0.1826
319	bt_nllb_french	New sources of fuel	0.1826
319	bt_nllb_korean	A new fuel source	0.1826
319	bt_nllb_malay	New Fuel Sources	0.1826
319	bt_nllb_persian	New fuel sources	0.1826
319	bt_nllb_russian	New Fuel Sources	0.1826
319	bt_nllb_tamil	New sources of fuel	0.1826
320	-1	Undersea Fiber Optic Cable	0.2511
320	bt_nllb_french	Submarine fibre optic cable	0.286
320	bt_nllb_korean	Undersea fiber optic cable	0.2511
321	-1	Women in Parliaments	0.3181
321	bt_nllb_arabic	Women in parliaments	0.3181
321	bt_nllb_chinese_yue	Women in the Parliament	0.3181
321	bt_nllb_french	Women in Parliament	0.3181
321	bt_nllb_german	Women in Parliament	0.3181
321	bt_nllb_malay	Women in Parliament	0.3181
321	bt_nllb_persian	Women in Parliament	0.3181
321	bt_nllb_russian	Women in parliaments	0.3181
321	bt_nllb_swahili	Women in Parliament	0.3181
321	bt_nllb_tamil	Women in parliaments	0.3181
322	-1	International Art Crime	0.0
323	-1	Literary/Journalistic Plagiarism	0.4955
323	bt_nllb_malay	Literary plagiarism	0.5595
323	bt_nllb_french	Literary and journalistic plagiarism	0.4955
323	bt_nllb_german	Literary and journalistic plagiarism	0.4955
323	bt_nllb_russian	Literary journalistic plagiarism	0.4955
324	-1	Argentine/British Relations	0.4472
324	bt_nllb_arabic	Argentine British relations	0.4472
324	bt_nllb_russian	Argentine British relations	0.4472
325	-1	Cult Lifestyles	0.2154
325	bt_nllb_german	The cult lifestyle	0.2154
326	-1	Ferry Sinkings	0.7825
326	bt_nllb_arabic	Sink in the ferry	0.7825
326	bt_nllb_german	Ferry sinks	0.7825
326	bt_nllb_korean	Ferry sinking	0.7825
327	-1	Modern Slavery	0.3102
327	bt_nllb_malay	Modern day Slavery	0.396
327	bt_nllb_arabic	Modern slavery	0.3102
327	bt_nllb_chinese_yue	Modern slavery	0.3102
327	bt_nllb_french	Modern Slavery	0.3102
327	bt_nllb_german	Modern Slavery	0.3102
327	bt_nllb_persian	Modern slavery	0.3102
327	bt_nllb_russian	Modern slavery	0.3102
327	bt_nllb_swahili	Modern Slavery	0.3102
327	bt_nllb_tamil	Modern slavery	0.3102
328	-1	Pope Beatifications	0.8198
328	bt_nllb_german	Beatification by the Pope	0.8198
329	-1	Mexican Air Pollution	0.2997
329	bt_nllb_arabic	Air pollution in Mexico	0.4192
329	bt_nllb_chinese_yue	Air pollution in Mexico	0.4192
329	bt_nllb_french	Air Pollution in Mexico	0.4192
329	bt_nllb_german	Air pollution in Mexico	0.4192
329	bt_nllb_korean	Air Pollution in Mexico	0.4192
329	bt_nllb_malay	Air Pollution in Mexico	0.4192
329	bt_nllb_persian	Air pollution in Mexico	0.4192
329	bt_nllb_russian	Air pollution in Mexico	0.4192
329	bt_nllb_swahili	Air Pollution in Mexico	0.4192
329	bt_nllb_tamil	Mexican air pollution	0.2997
330	-1	Iran-Iraq Cooperation	0.2185
330	bt_nllb_arabic	Iran Iraq cooperation	0.2185
330	bt_nllb_chinese_yue	Iran Iraq cooperation	0.2185
330	bt_nllb_french	Iran Iraq cooperation	0.2185
330	bt_nllb_korean	Iran Iraq cooperation	0.2185
330	bt_nllb_malay	Iran Iraq cooperation	0.2185
330	bt_nllb_persian	Iran Iraq cooperation	0.2185
330	bt_nllb_russian	Iran Iraq cooperation	0.2185
330	bt_nllb_swahili	Iran Iraq Cooperation	0.2185
330	bt_nllb_tamil	Iran Iraq cooperation	0.2185
331	-1	World Bank Criticism	0.3003
331	bt_nllb_arabic	Criticism of the World Bank	0.3003
331	bt_nllb_chinese_yue	The World Bank is critical	0.3003
331	bt_nllb_french	The criticism of the World Bank	0.3003
331	bt_nllb_german	The criticism of the World Bank	0.3003
331	bt_nllb_korean	Criticism of the World Bank	0.3003
331	bt_nllb_malay	Criticism of the World Bank	0.3003
331	bt_nllb_persian	Criticism of the World Bank	0.3003
331	bt_nllb_swahili	Criticism of the World Bank	0.3003
332	-1	Income Tax Evasion	0.053
332	bt_nllb_arabic	Evading income tax	0.0565
333	-1	Antibiotics Bacteria Disease	0.4773
333	bt_nllb_french	Antibiotics for bacteria	0.4951
333	bt_nllb_korean	Antibiotic bacteria disease	0.4773
334	-1	Export Controls Cryptography	0.1483
334	bt_nllb_arabic	Export control Encryption	0.7152
334	bt_nllb_tamil	Encryption of export controls	0.7152
334	bt_nllb_chinese_yue	Export controls the password	0.2658
334	bt_nllb_french	Control of exports of cryptography	0.1483
334	bt_nllb_german	Cryptography for export controls	0.1483
334	bt_nllb_malay	Control of the export of cryptography	0.1483
335	-1	Adoptive Biological Parents	0.5241
335	bt_nllb_arabic	Adopted biological parents	0.5241
335	bt_nllb_french	Adoptive biological parents	0.5241
335	bt_nllb_german	Adoptive biological parents	0.5241
335	bt_nllb_korean	Adopted biological parents	0.5241
335	bt_nllb_malay	Adoptive biological parents	0.5241
336	-1	Black Bear Attacks	0.2346
336	bt_nllb_arabic	Black bear attacks	0.2346
336	bt_nllb_chinese_yue	Black bear attacks	0.2346
336	bt_nllb_french	The attacks of the black bear	0.2346
336	bt_nllb_german	Black bear is attacking	0.2346
336	bt_nllb_korean	Black bear attack	0.2346
336	bt_nllb_malay	Black bear attacks	0.2346
336	bt_nllb_persian	The attack of the black bear	0.2346
336	bt_nllb_russian	Black bear attacks	0.2346
336	bt_nllb_tamil	The Black Bear Attack	0.2346
337	-1	Viral Hepatitis	0.3929
337	bt_nllb_arabic	Viral hepatitis	0.3929
337	bt_nllb_chinese_yue	Viral hepatitis	0.3929
337	bt_nllb_french	Viral hepatitis	0.3929
337	bt_nllb_german	Viral hepatitis	0.3929
337	bt_nllb_korean	Viral hepatitis	0.3929
337	bt_nllb_malay	Viral hepatitis	0.3929
337	bt_nllb_persian	Viral hepatitis	0.3929
337	bt_nllb_russian	Viral hepatitis	0.3929
338	-1	Risk of Aspirin	0.5856
338	bt_nllb_persian	The risks of aspirin use	0.6367
338	bt_nllb_russian	Risks of using aspirin	0.6367
338	bt_nllb_french	The Risks of Aspirin	0.5856
338	bt_nllb_german	Risks of aspirin	0.5856
338	bt_nllb_malay	The Risks of Aspirin	0.5856
339	-1	Alzheimer's Drug Treatment	0.4531
340	-1	Land Mine Ban	0.2317
340	bt_nllb_arabic	The landmine ban	0.3128
340	bt_nllb_french	Prohibition of landmines	0.2873
340	bt_nllb_german	Prohibition of landmines	0.2873
340	bt_nllb_persian	Prohibition of landmines	0.2873
340	bt_nllb_chinese_yue	Banned mines	0.2517
340	bt_nllb_korean	Mine ban	0.2517
341	-1	Airport Security	0.3983
341	bt_nllb_arabic	Airport security	0.3983
341	bt_nllb_chinese_yue	Airport security	0.3983
341	bt_nllb_french	Airport security	0.3983
341	bt_nllb_korean	Airport security	0.3983
341	bt_nllb_malay	Airport security	0.3983
341	bt_nllb_persian	Airport security	0.3983
341	bt_nllb_russian	Airport security	0.3983
341	bt_nllb_swahili	Airport Security	0.3983
341	bt_nllb_tamil	Airport security	0.3983
342	-1	Diplomatic Expulsion	0.3784
342	bt_nllb_arabic	The diplomatic expulsion	0.3784
342	bt_nllb_chinese_yue	Diplomatic expulsion	0.3784
342	bt_nllb_french	Diplomatic expulsion	0.3784
342	bt_nllb_korean	Diplomatic expulsion	0.3784
342	bt_nllb_malay	Diplomatic expulsion	0.3784
342	bt_nllb_russian	Diplomatic expulsion	0.3784
342	bt_nllb_tamil	Diplomatic expulsion	0.3784
343	-1	Police Deaths	0.0419
343	bt_nllb_arabic	Police deaths	0.0419
343	bt_nllb_french	The deaths of police	0.0419
343	bt_nllb_german	Police deaths	0.0419
343	bt_nllb_swahili	The Death of the Police	0.0419
343	bt_nllb_tamil	Police deaths	0.0419
344	-1	Abuses of E-Mail	0.5641
344	bt_nllb_malay	Breach of e mail	0.5985
344	bt_nllb_french	Abuse of e mail	0.5641
345	-1	Overseas Tobacco Sales	0.2289
345	bt_nllb_arabic	Tobacco sales outside	0.2762
345	bt_nllb_chinese_yue	I sell cigarettes abroad	0.2567
345	bt_nllb_french	Tobacco sales abroad	0.2479
345	bt_nllb_malay	Tobacco sales abroad	0.2479
345	bt_nllb_persian	The sale of tobacco abroad	0.2479
345	bt_nllb_russian	The sale of tobacco abroad	0.2479
345	bt_nllb_tamil	The sale of tobacco abroad	0.2479
345	bt_nllb_german	Overseas tobacco sales	0.2289
346	-1	Educational Standards	0.1543
346	bt_nllb_arabic	Educational standards	0.1543
346	bt_nllb_chinese_yue	The standard of education	0.1543
346	bt_nllb_german	Education standards	0.1543
346	bt_nllb_korean	The standard of education	0.1543
346	bt_nllb_malay	Education Standards	0.1543
346	bt_nllb_persian	Educational standards	0.1543
346	bt_nllb_russian	The standards of education	0.1543
346	bt_nllb_swahili	Educational Standards	0.1543
346	bt_nllb_tamil	Educational standards	0.1543
347	-1	Wildlife Extinction	0.1509
347	bt_nllb_korean	Extinction of the Wild	0.2346
347	bt_nllb_persian	Extinction of the wild	0.2346
347	bt_nllb_russian	Extinction of the wild	0.2346
347	bt_nllb_chinese_yue	Wildlife is disappearing	0.1841
347	bt_nllb_tamil	The destruction of wild animals	0.1664
347	bt_nllb_arabic	Extinction of wildlife	0.1509
347	bt_nllb_french	Extinction of the Wildlife	0.1509
347	bt_nllb_german	Extinction of the wildlife	0.1509
348	-1	Agoraphobia	0.9068
348	bt_nllb_french	Agoraphobia	0.9068
348	bt_nllb_german	Agoraphobia	0.9068
348	bt_nllb_korean	Agoraphobia	0.9068
348	bt_nllb_malay	Agoraphobia	0.9068
348	bt_nllb_russian	The Agoraphobia	0.9068
