qid	order	query	qld.recip_rank
1	-1	obama family tree	0.0
1	glove.topn3	obama family tree barack mccain father pine	1.0
1	wiki.topn3	obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama	1.0
1	conceptluster.topn5.3.bm25	obama family tree family barack obama death cellulos carbon restringido video	0.5
1	conceptluster.topn5.3.qld	obama family tree family barack obama git object	0.5
1	tagmee.topn3	obama family tree Family of Barack Obama	0.5
1	word2vec.topn3	obama family tree bama barack relatives tree	0.5
1	anchor.topn3	obama family tree barack obama strichnocera mekubetzet tree stern s diatomic sequ ssm a	0.3333
1	conceptnet.topn3	obama family tree Barack Hussein Obama obamaton obamacrat home group branch squirrel wood	0.25
1	anchor.topn3.replace	barack obama strichnocera family mekubetzet tree stern s diatomic sequ ssm a	0.2
1	wiki.topn3.replace	stanley armour dunham madelyn dunham barack obama sr family barack obama	0.2
1	tagmee.topn3.replace	Family of Barack Obama	0.1429
1	sensedisambiguation.replace	obama syndicate tree	0.0152
1	word2vec.topn3.replace	bama barack relatives tree	0.0149
10	-1	cheap internet	0.25
10	word2vec.topn3	cheap internet inexpensive low cost online intenet	1.0
10	word2vec.topn3.replace	inexpensive low cost online intenet	1.0
10	rm3.topn10.10.0.5.bm25	cheap internet	0.25
10	rm3.topn10.10.0.5.qld	cheap internet	0.25
10	sensedisambiguation	cheap internet	0.25
10	sensedisambiguation.replace	cheap internet	0.25
10	stem.krovetz	cheap internet	0.25
10	stem.lovins	cheap internet	0.25
10	stem.paicehusk	cheap internet	0.25
10	stem.porter	cheap internet	0.25
10	stem.porter2	cheap internet	0.25
10	stem.sstemmer	cheap internet	0.25
10	thesaurus.topn3	cheap internet	0.25
10	thesaurus.topn3.replace	cheap internet	0.25
11	-1	gmat prep classes	0.5
11	anchor.topn3	gmat prep classes al mojzel baico crosswat preparatori prep oahu	1.0
11	bertqe.topn10.bm25	studi guid gmat mathprep corpor	1.0
11	bertqe.topn10.qld	mlic manhattan gmat prep class	1.0
11	conceptluster.topn5.3.qld	gmat prep classes preschool graduate management admission test social class git object	1.0
11	docluster.topn10.3.qld	gmat prep classes git object trivia	1.0
11	sensedisambiguation	gmat prep homework classes course	1.0
11	termluster.topn5.3.qld	gmat prep classes git object	1.0
11	wordnet.topn3	gmat prep classes homework preparation form assort separate	1.0
11	conceptluster.topn5.3.bm25	gmat prep classes social class preschool graduate management admission test death cellulos carbon restringido video	0.5
11	docluster.topn10.3.bm25	gmat prep classes death cellulos carbon restringido video life trivia obama organ	0.5
11	relevancefeedback.topn10.bm25	gmat prep classes	0.5
