,qid,order,query,qld.recip_rank
0,INEX_LD-2009022,-1,Szechwan dish food cuisine,1.0
1,INEX_LD-2009039,-1,roman architecture,1.0
2,INEX_LD-2009053,-1,finland car industry manufacturer saab sisu,0.3333
3,INEX_LD-2009053,anchor.topn3,finland car industry manufacturer saab sisu estonia lithuania norway mashti lc used car x turbo x drakens nalle sisu lahore iii kb,1.0
4,INEX_LD-2009053,bt_bing_chinese_simplified,Sabosisu a Finnish manufacturer of the automotive industry,1.0
5,INEX_LD-2009053,bt_bing_korean,Finnish automotive industry manufacturer Saab Sisu,1.0
6,INEX_LD-2009053,bt_bing_russian,Finnish automotive manufacturer Saab Sisu,1.0
7,INEX_LD-2009053,bt_nllb_arabic,Finnish car manufacturing plant Sap Sisu,1.0
8,INEX_LD-2009053,bt_nllb_russian,Finnish manufacturer of automotive industry Saab Suzi,1.0
9,INEX_LD-2009053,bt_nllb_tamil,Sappha Sysu Finnish automotive manufacturer,1.0
10,INEX_LD-2009053,relevancefeedback.topn10.bm25,finland car industry manufacturer saab sisu patria motor automot associ,1.0
11,INEX_LD-2009053,stem.trunc5,finla car indus manuf saab sisu,1.0
12,INEX_LD-2009053,bt_bing_arabic,Finland manufacturer Saab Sisu,0.5
13,INEX_LD-2009053,bt_bing_french,Finnish car manufacturer Saab Sisu,0.5
14,INEX_LD-2009053,bt_bing_german,Finnish car manufacturer Saab Sisu,0.5
15,INEX_LD-2009053,bt_bing_swahili,Finnish auto industry manufacturer Saab Sisu,0.5
16,INEX_LD-2009053,bt_nllb_chinese_yue,Finnish car manufacturer Saab sisu,0.5
17,INEX_LD-2009053,bt_nllb_french,Finnish car manufacturer saab sisu,0.5
18,INEX_LD-2009053,bt_nllb_german,Finnish car manufacturer Saab sisu,0.5
19,INEX_LD-2009053,bt_nllb_malay,Finnish car manufacturer saab sisu,0.5
20,INEX_LD-2009053,bt_nllb_persian,Finnish car manufacturer Saab sisu,0.5
21,INEX_LD-2009053,bt_nllb_swahili,Finnish car manufacturer saab sisu,0.5
22,INEX_LD-2009053,conceptluster.topn5.3.bm25,finland car industry manufacturer saab sisu sisu auto automotive industry saab automobile finland,0.5
23,INEX_LD-2009053,conceptluster.topn5.3.qld,finland car industry manufacturer saab sisu saab automobile finland automotive industry sisu auto,0.5
