qid	order	query	bm25.recip_rank
8293	-1	why do men fantasized about raping women?	1.0
23464	-1	why girls are beautiful?	1.0
34041	-1	what are the symptoms of strep throat?	1.0
78762	-1	why do i have pterofobia?	0.0
100653	-1	how do i go about getting copies of letters of commendation prsented to me from city of san diego?	1.0
103830	-1	why do man arabs hate the west ?	1.0
143833	-1	what is the difference between coolant and anti-freeze?	1.0
159716	-1	how do i find an inmate at southwest detention center 30755 auld rd., murrieta, ca 92563?	1.0
172731	-1	how for is saturn from the sun?	1.0
204633	-1	why do you have memories?	0.3333
204633	pred.base.2	<extra_id_0> you have memories?	1.0
204633	pred.base.8	<extra_id_0>? So, why are you having memories?	1.0
204633	pred.base.9	<extra_id_0>, <extra_id_1> were you always told to have memories?	1.0
204963	-1	what does 5 by 5 mean?	1.0
224109	-1	what is citriscidal?	0.0
225575	-1	what does 'wet behind the ears' mean?	1.0
229303	-1	why  is  the   war continuing  in  afghanistan?	1.0
312215	-1	how good is apple pie when it is cold?	1.0
354733	-1	what are the names of some famous photographers and why do their work stand up?	0.5
354733	pred.base.6	<extra_id_0> tell us about some famous photographers and why do their photographs stand up?	1.0
354733	pred.base.7	<extra_id_0> some famous photographers. .	1.0
387874	-1	why does asparugus make your pee stink?	1.0
402514	-1	why do my baked potatos never taste near as good as when i get them in a nice restaurant?	1.0
421753	-1	how to get rid of a skunk?	1.0
443848	-1	does anybody know where i could get a free guide on how to train a siberian husky?	1.0
456214	-1	what is the importance of absolute zero temperature?	1.0
474417	-1	what does the prefix "cyclo" mean in greek mythology?	1.0
481173	-1	why live, when your in misery?	0.5
481173	pred.base.8	<extra_id_0> beauteous and miserable <extra_id_1> teach, but <extra_id_2> miserable? Why live, when your in misery?	1.0
481173	pred.base.9	<extra_id_0> dont you? Why live, when your in misery?	1.0
484496	-1	why a man float on water when he dies?	1.0
551239	-1	how do i find out if someone left me a life insurance policy?	1.0
558570	-1	my city just put a ban on pit bulls, how do we reverse the decision?	1.0
654124	-1	why am i not able to concentrate on my studies?	1.0
667488	-1	how soon can you drive on a newly paved driveway?	0.5
667488	pred.base.1	<extra_id_0> can you drive on a newly paved driveway?	1.0
667488	pred.base.10	<extra_id_0> who are you and <extra_id_1> driveway? Hello, <extra_id_2>a <extra_id_3> paved driveway? <extra_id_4>?	1.0
667488	pred.base.4	<extra_id_0> paved driveways start to care you drive? With Texas asphalt driveways, how soon can you start driving on a newly paved driveway?	1.0
667488	pred.base.5	<extra_id_0> when we say to our passengers <extra_id_1> newly paved driveway? <extra_id_2> how quickly can you drive on newly paved driveway?	1.0
667488	pred.base.6	<extra_id_0> new driveway for you? <extra_id_1> wondering, what’s something to do about it? And how fast can you drive a new driveway now that you’ve had it?	1.0
676028	-1	why do our elected federal senators and congressmen not have to live on regular s.s. like the rest of us?	1.0
707303	-1	how do people get hiccups, what are they, and what exactly is the best way to cure them?	1.0
714612	-1	why doesn't the water fall off  earth if it's round?	1.0
746920	-1	how do you get rid of wart on your hand a using home method?	1.0
761742	-1	how can i become a playa?	1.0
765138	-1	why does loving someone hurts like hell?	1.0
785823	-1	how is the library consider as a heart of university?	1.0
788976	-1	why did the bush admin cover up 9/11?	1.0
821387	-1	i have mice.how do i get rid of them humanely?	0.2
821387	pred.base.10	<extra_id_0> how do i get rid of mice? <extra_id_1> how do I get rid of mice. how would i get rid of them humanely?	1.0
821387	pred.base.7	<extra_id_0> i also have mice. <extra_id_1> i have mice.how do i get rid of them humanely?	1.0
821387	pred.base.4	<extra_id_0> i have mice. <extra_id_1> i do have mice,what do i do? how do i get rid of them humanely?	0.5
821387	pred.base.6	<extra_id_0> i have mice.how do i get rid of them humanely? <extra_id_1> ? i have mice..how do i get rid of them humanely?maid?what do mice do?Men do they come over?	0.3333
823384	-1	why did the army have personal cuts in the mid 1990's?	1.0
849221	-1	when it comes to religion why dont people realize history repeats itself?	0.5
849221	pred.base.2	<extra_id_0> stop complaining like this, <extra_id_1> why dont people realize history repeats itself <extra_id_2> when all you really put into a religion is history. Like Seriously!!! ? and <extra_id_3>? when dont people realize history repeats itself??	1.0
849221	pred.base.3	<extra_id_0> why dont people realize history repeats itself? when religion repeats itself <extra_id_1> human essence ? when people are religious why dont people realize history repeats itself ?	1.0
849221	pred.base.7	<extra_id_0> why dont people <extra_id_1> again? why dont people pay attention if history repeats itself? when people dont appreciate history repeats itself? ? when people dont do religion why dont people realize history repeats itself?	1.0
851124	-1	how is ego a part of our survival instincts?	1.0
896725	-1	what are some good exercises to get rid of those love handles?	0.5
896725	pred.base.10	<extra_id_0> are a few good exercises to get rid of those love handles? What should I do if I dont get rid of those love handles?	1.0
896725	pred.base.2	<extra_id_0> are some really good exercises to get rid of those love handles?	1.0
896725	pred.base.5	<extra_id_0> are some good exercises to get rid of those love handles? The big question is <extra_id_1> love handles?	1.0
896725	pred.base.9	<extra_id_0> are some good exercises to get rid of those love handles? Okay, well --- These love handles are golden!	1.0
922849	-1	why do some people take life so seriously?	1.0
949154	-1	can anybody tell me what is a butler?	1.0
953489	-1	why do i have to dumb myself down all the time though i am highly undereducated?	1.0
1015624	-1	what's the definition of a bloody mary?	1.0
1017690	-1	what is the history of indian music?	1.0
1035857	-1	why are liberals so quick to defend saddam?	1.0
1063812	-1	how do i grow taller?	1.0
1077370	-1	why do only humans have finger prints?	1.0
1082595	-1	what is meant by mobile technology?	0.5
1082595	pred.base.1	<extra_id_0> Mobile technology?	1.0
1082595	pred.base.10	<extra_id_0>. With mobile technology. Do you have any idea what this means?	1.0
1082595	pred.base.2	<extra_id_0> What is mobile technology? What is mobile technology really?	1.0
1082595	pred.base.7	<extra_id_0> Mobile enables decision making in terms of numbers or how device usage is defined?	1.0
1082595	pred.base.8	<extra_id_0> what is mobile technology?	1.0
1119420	-1	well the black light is uv light.so if it is "black" how can it be "light" ?	1.0
1152934	-1	why don't fat people have to pay more for air travel?	1.0
1167882	-1	what are the different types of sins and how are they caused?	1.0
1199639	-1	how to "lose"all body fat ?	1.0
1254390	-1	how do i deap fry chicken?	0.5
1254390	pred.base.2	<extra_id_0>. <extra_id_1>deap fry chicken? Or do i deap fry 3g chicken?	1.0
1254390	pred.base.9	<extra_id_0>..? <extra_id_1> which is when to deap fry chicken?	1.0
1262692	-1	how can i get rid of pimples on my back?	1.0
1282199	-1	how can i hide the cuts on my wrists?	1.0
1287437	-1	how can i lose 30 pounds by june3?	1.0
1290612	-1	why do anxiety and depression seem to coexist?	1.0
1292734	-1	what color you like the most and why?	1.0
1340574	-1	why do some people only go to church on easter sunday and never go again until christmas ?	1.0
1351675	-1	why must i have an uncracked winshield in order to for my car to pass a safety inspeciton?	1.0
1364894	-1	why do we need to tell customer service/operator about our sickness in order to make appointment w/ a doctor?	1.0
1373069	-1	freedom of speech - why don't people understand how to use it?	0.5
1373069	pred.base.3	<extra_id_0> Peace, freedom of expression - why dont people understand how to use it?	1.0
1373069	pred.base.5	<extra_id_0> We have not seen how to use the freedom of speech? Funny - why dont people understand how to use it?	1.0
1373069	pred.base.7	<extra_id_0> We shouldnt ever have a freedom of speech - why dont people understand how to use it as a freedom of expression?	1.0
1459749	-1	why don't i have an asthma attack during sex?	1.0
1477322	-1	why do people say germans are racists?	1.0
1502604	-1	how do crooks  make  fake   passports  ?	1.0
1509982	-1	how is th chemistry is a basic of science?	1.0
1582877	-1	why do we go to school if in the real world we dont use most of it?	1.0
1607728	-1	what causes gray facial hair in men?	1.0
1623623	-1	how do you improve fuel efficiency of a 2004, ford ikon?	1.0
1663853	-1	what is a wet dream?	1.0
1702151	-1	how patient a driver are you?	0.0435
1702151	pred.base.4	<extra_id_0> Be it a long distance driver, or a patient driver:?	0.2
1702151	pred.base.8	<extra_id_0> And <extra_id_1> a driver you like? yes Im a passenger, you obviously are!	0.1
1783010	-1	what is blaphsemy?	1.0
1794677	-1	how can i treat my acne scars?	1.0
1821193	-1	why do people feed poison (sugar) to their kids on easter, and why are there no chocolate jesuses?	1.0
1844896	-1	how to cook angus burgers?	1.0
1850323	-1	why some men never wash their hands after using the urinal/toilet?	1.0
1862795	-1	how does spending prolonged time in microgravity affect the bodies of astronauts?	0.5
1862795	pred.base.3	<extra_id_0> chronically in microgravity? &– &– &– • The new hypothesis examining the effects of microgravity seems likely to reveal the mechanisms that govern the lung and outer digestive features of astronauts? &– how does spending prolonged time in microgravity affect the bodies of astronaut	1.0
1862795	pred.base.6	<extra_id_0> this process affects the bodies of astronauts?	1.0
1862795	pred.base.9	<extra_id_0>? <extra_id_1> fast microgravity and <extra_id_2> in microgravity? <extra_id_3> active running <extra_id_4>? <extra_id_5>? — <extra_id_6>?	1.0
1866981	-1	i know how i got here, but how did you?	1.0
1880028	-1	what does "see leaflet" mean on ept pregnancy test?	1.0
1937374	-1	how to get 277 v ac ?	1.0
1944018	-1	why can't teenagers vote?	1.0
1957887	-1	how can i hunt down and punch the people that keep spamming me?	1.0
1964316	-1	what do you mean by "weed"?	1.0
1968489	-1	which auto insurance do you use and why?	1.0
1971899	-1	what is masturbat***?	1.0
1977054	-1	couscous is a food from what origin?	1.0
2008017	-1	why do black people like fried chicken somuch?	1.0
2018562	-1	why does my black lab howl to "law and order" theme song?	1.0
2142044	-1	what do you speculate happened to natalie holloway in aruba?	1.0
2180086	-1	what are mormens?	1.0
2182052	-1	why is lemonade at restaurants sometimes different?	1.0
2192891	-1	how are braces put on and do they hurt a lot?	1.0
2290758	-1	why do people ask questions they know?	0.1429
2290758	pred.base.1	<extra_id_0> do people ask questions they know?	1.0
2290758	pred.base.3	<extra_id_0> do people ask questions they know?	1.0
2290758	pred.base.4	<extra_id_0> do people ask questions they know? Because, when people ask non-got answers, the answer is a simple well-known one: what if I ask for secrets?	1.0
2290758	pred.base.5	<extra_id_0> people ask questions they know they know?	1.0
2290758	pred.base.6	<extra_id_0> people ask questions they know nothing about? And <extra_id_1> why do people ask questions they know nothing about?	1.0
2290758	pred.base.7	<extra_id_0> ask people questions they know?	1.0
2290758	pred.base.8	<extra_id_0> people ask questions they know they know, why do people ask questions they know they know?	1.0
2290758	pred.base.9	<extra_id_0> do people ask questions they know they know? So, why do people ask questions they know they know?	0.25
2291272	-1	how is catholicism not christianity?	1.0
2307305	-1	why do man rape little girls?	1.0
2309774	-1	why do i keep seeing people on here 'dissing' on the soldiers in iraq?	1.0
2380990	-1	why am i alive?	1.0
2382487	-1	what do i do if i have not started my period in like almost 6 months?	1.0
2418598	-1	why do wisdom varies from person to person?	1.0
2443586	-1	what is a bro?	1.0
2446614	-1	how could u get success?	0.3333
2446614	pred.base.2	<extra_id_0> u having success? in <extra_id_1> rarely to success?	1.0
2446614	pred.base.3	<extra_id_0> u get success? <extra_id_7> me to setup? ?	1.0
2446614	pred.base.7	<extra_id_0> i hope u totally get positive responses to that comment too? Hmmm, woy u got success?	1.0
2446614	pred.base.9	<extra_id_0> I want your quote...! Hacky by the way, can i get success ?	1.0
2446614	pred.base.10	<extra_id_0> u succeed? How would u get success?	0.5
2446614	pred.base.8	<extra_id_0> u be able to get success?	0.5
2452795	-1	how can i heat the water within a 150 gal tank that's open to the atmosphere in feb.?	1.0
2479423	-1	why is there brail on the keypads at drive up atm's?	1.0
2484180	-1	why do people judge a dog by what he looks like?	1.0
2528767	-1	how do i determine the charge of the iron ion in fecl3?	1.0
2529114	-1	since i have premature ejaculation problem, how to satisfy my girl?	1.0
2539741	-1	what cause the car to have white smoke coming from the muffler and making a kicking or knocking sounds?	1.0
2551845	-1	why is gw dogged for not getting obl yet killing zarkawi is a non-event?	1.0
2582920	-1	what is the difference in a dried plum and a dried prune?	1.0
2592121	-1	how to rollover 401k into real estate?	1.0
2619912	-1	how were you saved from sin-and born again as jesus says "except you repent, and be born again..." how didyou?	1.0
2634143	-1	what is direct borrowing, phonological borrowing, linguistic borrowing, cultural borrowing,intimate borrowing?	1.0
2643507	-1	why does milk cost more than gas per gallon?	1.0
2713171	-1	what does the sentence's mean?	0.2
2713171	pred.base.7	<extra_id_0> sentences? <extra_id_19>s meaning in the sentence? The sentences meaning?	1.0
2713171	pred.base.6	<extra_id_0>... <extra_id_1> the sentences purpose?	0.5
2713171	pred.base.8	<extra_id_0> if your sentence was optimistic and compelling <extra_id_1>? Hey Mommy, what does the sentences mean?	0.5
2722241	-1	why do some animals hide in a dark place b4 they die?	0.25
2722241	pred.base.10	<extra_id_0> other questions?.... <extra_id_1> difference in childhood medicines?............. <extra_id_2>... <extra_id_3> humans hide in dark places b4 they die?.. <extra_id_4>..? ?................ <extra_id_5> why do some animals hide in dark places b4 they die?... <extra_id_6>? like if all those animals hide in dark	1.0
2722241	pred.base.7	<extra_id_0> why some animals hide in dark places b4 they die? b4 why do some animals hide in dark place b4 they die?	1.0
2722241	pred.base.9	<extra_id_0> country divided by age <extra_id_1> why do some dogs sleep in dark place b4 they die? and how am i supposed to know why?	1.0
2722241	pred.base.1	<extra_id_0> why do some animals hide in dark places b4 they die? if they die really tessars?	0.5
2722241	pred.base.3	<extra_id_0>? Probably the same... <extra_id_1> b4 I die. Why? Why should a simple way that animals won the play?	0.3333
2783398	-1	what is a nucleus?	1.0
2785579	-1	if you could be an element of weather, which would you choose, and why?	1.0
2795030	-1	why do people drink cuervo when it tastes the same going down as coming up?	1.0
2797224	-1	muslims are the happiest people ever, why?	1.0
2799913	-1	what's the proper way to express sorrow at a funeral?	1.0
2814599	-1	what does the word remission mean when referring to cancer patients?	1.0
2814722	-1	why is the new jersey smoking ban not considered unconstitutional?	1.0
2815090	-1	how cloning will affects our community?	0.5
2815090	pred.base.3	<extra_id_0> cloning unseen will affect our unicampus community? No physical canaan nats wikis do cloning harm while cloning and/or cloning dont?	1.0
2815090	pred.base.9	<extra_id_0> cloning?	1.0
2838988	-1	how can i get a cork out of, not into, a wine bottle without a corkscrew?	1.0
2847807	-1	how can i get rid of the hicups?	1.0
2862887	-1	how to care for a spiked dragon and what to feed them?	1.0
2864267	-1	what exemplifies effective customer service?	1.0
2892478	-1	what factors cause the earth to heat unevenly?	1.0
2956570	-1	what are the words to write the sound of raindrops, moving train & scribbling w/ pencil on paper figuratively?	1.0
2976644	-1	how amoeba catches its prey?	1.0
3040435	-1	usa have snow, hurricanes, flood, earthquakes and politicians, brazil only have politicians, why?	1.0
3074429	-1	how can we understand islam and muslims better?	1.0
3078448	-1	how do you prevent chicken from drying out when you cook it?	1.0
3155314	-1	we have pork chops, veal chops, lamb chops, why is there not any beef chops ?	1.0
3206998	-1	how does disneyland make it snow?	1.0
3239329	-1	why do we wee a lot in the cold weather especially at night?	1.0
3269759	-1	what is artificial intelligence?	1.0
3278654	-1	why do kamikaze pilots wear helmets?	1.0
3280768	-1	why is islam so hated in america?	1.0
3295055	-1	what causes skin discoloration, specifically, whitening of the skin between fingers?	1.0
3301173	-1	how to design road crust for national highways?	1.0
3313308	-1	how can i enjoy my time alone?	0.1429
3313308	pred.base.10	<extra_id_0> Love me too. Can I have more fun when i hardly feel alone?	1.0
3313308	pred.base.3	<extra_id_0> i am a beginner with no internet... <extra_id_1> my time alone? What is the difference a beautiful person can make alone?	1.0
3313308	pred.base.7	<extra_id_0> i am not a big fan of the extra. <extra_id_1>? yep, how can i enjoy my time alone in my lonely time?	1.0
3313308	pred.base.6	<extra_id_0>, and <extra_id_1> alone?, <extra_id_2> time alone, <extra_id_3> time alone?, <extra_id_4> time alone? ?	0.5
3363149	-1	why do arabs and mexicans look alike?	1.0
3369088	-1	how can we stop the spread of islam?	1.0
3382736	-1	what is minimalist cubisium?	1.0
3385681	-1	if red bull is soo bad for people ,then why is it soo popular?	1.0
3389038	-1	why the media in us and europe is always attacking the arabs and islam without finding the truth about them?	0.25
3389038	pred.base.1	<extra_id_0> the media in us and europe is always saying we have deserts inside and outside islam without finding the truth about them?	1.0
3389038	pred.base.2	<extra_id_0> the media in the us and europe is always attacking the arabs and islam without finding the true story?	1.0
3389038	pred.base.8	<extra_id_0> we are often convinced that the media in countries like america and europe is attacking the arabs and islam without finding the truth about them?	1.0
3389038	pred.base.9	<extra_id_0> the media in us and europe is always attacking the arabs? Warum also the media in us and europe is always attacking the arabs and islam without finding the truth about them?	1.0
3389038	pred.base.10	<extra_id_0> the media in the u.s. and europe are always attacking the arabs and islam without finding the truth about them?	0.5
3389038	pred.base.3	<extra_id_0> not? Thats <extra_id_1> against the Arabs and islamic people? Why? One is why the media in the u.s. and europe is always attacking the arabs and islam without finding the truth about them?	0.5
3389038	pred.base.4	<extra_id_0> so our media is always attacking and questioning the arabs and islam without finding the truth about them?	0.5
3389038	pred.base.5	<extra_id_0> the media in the us2 europe is always attacking the arabs and islam without finding the truth about them?	0.5
3389038	pred.base.7	<extra_id_0> is this because the media in us and europe is always attacking the arabs and islam without finding the true truth about them?	0.5
3396066	-1	why do airplanes fly so high?	1.0
3411123	-1	why does'nt america regard foriegn credentials?	0.5
3411123	pred.base.10	<extra_id_0> the 45 dollar fact, <extra_id_1> america does not always account for credentials <extra_id_2>?.... Why do americans no mceen do foriegn credentials?	1.0
3411123	pred.base.2	<extra_id_0>? <extra_id_1> whyst america does not support foriegn credentials?	1.0
3411123	pred.base.5	<extra_id_0> usand why doest america regard foriegn credentials?	1.0
3411123	pred.base.7	<extra_id_0> and while America is glowing about your credentials because of having them did not america? Whats the history of ehimmed credentials?	1.0
3496147	-1	why was i punished for being christlike?	1.0
3499881	-1	why is gordon ramsey so popular?	1.0
3507491	-1	why is religious freedom more important today?	1.0
3552010	-1	why do parent put kids on restriction?	1.0
3554263	-1	why some people behave so rude without reason,is it due to their own problem?	1.0
3559048	-1	how do you sell a junk car without a title?	1.0
3577501	-1	what are some signs that puberty is beginning?	1.0
3639660	-1	why do most cigarettes have the yellow filter?	1.0
