qid	order	query	qld.ndcg
701	-1	U.S. oil industry history	0.0615
701	termluster.topn5.3.qld	u s oil industry history industri field oil field state social region	0.1826
701	docluster.topn10.3.qld	u s oil industry history industri counti	0.14
701	conceptluster.topn5.3.qld	u s oil industry history petroleum	0.1273
701	tagmee.topn3	u s oil industry history Petroleum	0.1273
701	relevancefeedback.topn10.qld	u s oil industry history industri counti ga	0.1076
702	-1	Pearl farming	0.1479
702	termluster.topn5.3.qld	pearl farming product fish	0.2205
702	wiki.topn3	pearl farming pearls jewellery components gemstone pearl	0.1697
702	tagmee.topn3	pearl farming Pearl	0.1522
704	-1	Green party political views	0.1567
704	termluster.topn5.3.qld	green party political views libertarian parti polit state polit nation state parti nation	0.1878
705	-1	Iraq foreign debt reduction	0.2549
705	tagmee.topn3	iraq foreign debt reduction Iraq External debt Debt	0.3895
705	tagmee.topn3.replace	Iraq External debt Debt	0.3569
706	-1	Controlling type II diabetes	0.1284
706	sensedisambiguation.replace	see type two diabetes	0.1453
707	-1	Aspirin cancer prevention	0.5656
708	-1	Decorative slate sources	0.3663
709	-1	Horse racing jockey weight	0.677
709	sensedisambiguation	Horse sawhorse racing rush jockey weight weight unit	0.7006
710	-1	Prostate cancer treatments	0.3479
711	-1	Train station security measures	0.2085
711	relevancefeedback.topn10.qld	train station security measures measur naval amtrak secur transport	0.4967
711	rm3.topn10.10.0.5.qld	train station security measures measur transit transport naval amtrak y	0.2526
711	rm3.topn10.10.0.5.bm25	train station security measures transport bart y emerg polic secur transit	0.2414
711	glove.topn3	train station security measures bus operated adding ensure steps	0.2189
712	-1	Pyramid scheme	0.3531
712	word2vec.topn3	pyramid scheme pyramid like	0.3581
712	sensedisambiguation	Pyramid scheme system	0.3548
713	-1	Chesapeake Bay Maryland clean	0.2295
713	sensedisambiguation	Chesapeake Bay true laurel Maryland clean clean and jerk	0.2498
713	relevancefeedback.topn10.qld	chesapeake bay maryland clean http marina bai	0.2459
714	-1	License restrictions older drivers	0.3261
714	docluster.topn10.3.qld	license restrictions older drivers renew driver restrict licens	0.4318
714	relevancefeedback.topn10.qld	license restrictions older drivers renew licens driver restrict	0.4318
714	rm3.topn10.10.0.5.qld	license restrictions older drivers driver renew licens	0.3894
715	-1	Schizophrenia drugs	0.2424
715	docluster.topn10.3.qld	schizophrenia drugs patient	0.2954
716	-1	Spammer arrest sue	0.2265
716	conceptluster.topn5.3.qld	spammer arrest sue arrest lawsuit spamming	0.328
716	tagmee.topn3	spammer arrest sue Spamming Arrest Lawsuit	0.328
716	sensedisambiguation.replace	spammer halt sue	0.2847
716	sensedisambiguation	Spammer arrest halt sue	0.249
716	tagmee.topn3.replace	Spamming Arrest Lawsuit	0.2459
717	-1	Gifted talented student programs	0.21
717	relevancefeedback.topn10.qld	gifted talented student programs gift g	0.2286
717	word2vec.topn3	gifted talented student programs talented skilled gifted skilled multi talented teacher programmes	0.2252
717	conceptluster.topn5.3.qld	gifted talented student programs student gifted education master business administration	0.2185
717	tagmee.topn3	gifted talented student programs Gifted education Student Master of Business Administration	0.2185
717	docluster.topn10.3.qld	gifted talented student programs gift	0.2118
717	rm3.topn10.10.0.5.qld	gifted talented student programs gift	0.2118
717	wordnet.topn3	gifted talented student programs talented give present gifted scholar bookman political program course of study	0.2118
717	termluster.topn5.3.qld	gifted talented student programs academ curriculum develop student school requir perform school talent texa teacher state	0.2106
718	-1	Controlling acid rain	0.197
719	-1	Cruise ship damage sea life	0.1314
719	tagmee.topn3	cruise ship damage sea life Cruise ship Marine biology	0.1693
719	tagmee.topn3.replace	Cruise ship Marine biology	0.1637
719	glove.topn3	cruise ship damage sea life ship vessel caused ocean waters lives even	0.1399
720	-1	Federal welfare reform	0.1376
720	docluster.topn10.3.qld	federal welfare reform welfar state	0.1749
720	rm3.topn10.10.0.5.bm25	federal welfare reform state welfar	0.1749
720	relevancefeedback.topn10.qld	federal welfare reform welfar immigr state we	0.1635
720	rm3.topn10.10.0.5.qld	federal welfare reform state welfar immigr	0.1605
721	-1	Census data applications	0.0605
721	stem.trunc5	censu data appli	0.0986
721	glove.topn3	census data applications population inhabitants information analysis applying	0.0677
721	tagmee.topn3	census data applications Census Data Application software	0.0608
722	-1	Iran terrorism	0.513
723	-1	Executive privilege	0.27
723	rm3.topn10.10.0.5.bm25	executive privilege privileg presid see attornei	0.4595
723	rm3.topn10.10.0.5.qld	executive privilege presid privileg	0.4587
723	relevancefeedback.topn10.qld	executive privilege v privileg staff session hospit document presid	0.2926
724	-1	Iran Contra	0.4552
724	rm3.topn10.10.0.5.bm25	iran contra casei cia defend record	0.5801
724	relevancefeedback.topn10.qld	iran contra defend cia casei	0.5664
724	rm3.topn10.10.0.5.qld	iran contra casei cia defend	0.5664
724	conceptnet.topn3	iran contra Nicaraguan	0.4729
725	-1	Low white blood cell count	0.2408
725	relevancefeedback.topn10.qld	low white blood cell count platelet your	0.2611
726	-1	Hubble telescope repairs	0.3459
727	-1	Church arson	0.5945
727	sensedisambiguation	Church church service arson	0.6453
728	-1	whales save endangered	0.2191
728	docluster.topn10.3.qld	whales save endangered whale	0.2316
728	relevancefeedback.topn10.qld	whales save endangered whale endang	0.2295
728	rm3.topn10.10.0.5.qld	whales save endangered whale endang	0.2295
729	-1	Whistle blower department of defense	0.0289
729	glove.topn3	whistle blower department defense blowing whistleblower administration defence	0.1927
729	conceptluster.topn5.3.qld	whistle blower department defense whistleblower united states department defense	0.1363
729	tagmee.topn3	whistle blower department defense Whistleblower United States Department of Defense	0.1363
729	glove.topn3.replace	blowing whistleblower administration defence	0.0988
729	word2vec.topn3	whistle blower department defense swanee whistle blowing dept defence	0.0867
729	tagmee.topn3.replace	Whistleblower United States Department of Defense	0.0433
729	termluster.topn5.3.qld	whistle blower department defense said new govern depart govern said whistl said new	0.0378
729	stem.paicehusk	whistl blow depart of defens	0.035
729	wiki.topn3	whistle blower department defense grounds termination employment insider trading conflict interest whistleblower nuclear weapons infrastructure united states military industrial complex government agencies established united states department defense	0.0347
729	word2vec.topn3.replace	swanee whistle blowing dept defence	0.0321
730	-1	Gastric bypass complications	0.5788
730	termluster.topn5.3.qld	gastric bypass complications bypass complic obes complic gastric obes weight veri surgeri	0.6383
730	rm3.topn10.10.0.5.bm25	gastric bypass complications you weight obes surgeri	0.6216
730	rm3.topn10.10.0.5.qld	gastric bypass complications you weight obes surgeri health	0.6201
730	relevancefeedback.topn10.qld	gastric bypass complications you surgeri obes weight oper	0.6186
730	conceptluster.topn5.3.qld	gastric bypass complications gastric bypass surgery complication medicine	0.6127
730	tagmee.topn3	gastric bypass complications Gastric bypass surgery Complication medicine	0.6127
730	docluster.topn10.3.qld	gastric bypass complications you weight surgeri	0.6118
730	tagmee.topn3.replace	Gastric bypass surgery Complication medicine	0.5815
731	-1	Kurds history	0.0953
731	word2vec.topn3	kurds history kurdish history	0.2741
731	conceptnet.topn3.replace	kurds past subject school	0.2478
731	glove.topn3	kurds history kurdish sunnis historical ever	0.2364
731	stem.paicehusk	kurd hist	0.2241
731	stem.trunc4	kurd hist	0.2241
731	stem.lovins	kurd histor	0.2028
731	word2vec.topn3.replace	kurdish history	0.1925
731	conceptnet.topn3	kurds history past subject school	0.1896
731	glove.topn3.replace	kurdish sunnis historical ever	0.1731
731	sensedisambiguation	Kurds kurd history	0.1549
731	wiki.topn3.replace	kurdistan mahabad mahabad kurds history academidisciplines literature history	0.1382
731	wordnet.topn3.replace	kurds account chronicle	0.1284
