qid	order	query	bm25.ndcg
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.6356
1015624	-1	What's the Definition of a bloody mary?	0.735
1017690	-1	what is the history of indian music?	0.6874
1035857	-1	Why are liberals so quick to defend Saddam?	0.544
103830	-1	Why do man Arabs hate the west ?	0.6497
1063812	-1	How do I grow taller?	0.5694
1077370	-1	Why do only Humans have Finger prints?	0.6868
1082595	-1	what is meant by mobile technology?	0.5763
1119420	-1	Well the black light is UV light.So if it is "black" how can it be "light" ?	0.7277
1152934	-1	Why don't fat people have to pay more for air travel?	0.479
1167882	-1	What are the different types of sins and how are they caused?	0.3019
1199639	-1	How to "LOSE"all body fat ?	0.6702
1254390	-1	how do i deap fry chicken?	0.4707
1262692	-1	How can I get rid of pimples on my back?	0.4722
1282199	-1	how can I hide the cuts on my wrists?	0.3831
1287437	-1	how can i lose 30 pounds by june3?	0.3099
1290612	-1	why do anxiety and depression seem to coexist?	0.6994
1292734	-1	what color you like the most and why?	0.0993
1340574	-1	Why do some people only go to church on Easter Sunday and never go again until Christmas ?	0.6639
1351675	-1	Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton?	0.399
1364894	-1	Why do we need to tell customer service/operator about our sickness in order to make appointment w/ a doctor?	0.43
1373069	-1	Freedom of Speech - why don't people understand how to use it?	0.4265
143833	-1	What is the difference between coolant and anti-freeze?	0.6958
1459749	-1	Why don't I have an asthma attack during sex?	0.6057
1477322	-1	Why do people say Germans are racists?	0.3655
1502604	-1	how do crooks  make  fake   passports  ?	0.5501
1509982	-1	How is th Chemistry is a basic of Science?	0.8008
1582877	-1	why do we go to school if in the real world we dont use most of it?	0.3136
159716	-1	How do I find an Inmate at Southwest Detention Center 30755 Auld Rd., Murrieta, CA 92563?	0.4618
1607728	-1	what causes gray facial hair in men?	0.7068
1623623	-1	How do you improve fuel efficiency of a 2004, Ford Ikon?	0.5539
1663853	-1	what is a wet dream?	0.6934
1702151	-1	How patient a driver are you?	0.3
172731	-1	how for is saturn from the sun?	0.5876
1783010	-1	What is Blaphsemy?	0.048
1794677	-1	How can I treat my Acne Scars?	0.7133
1821193	-1	Why do people feed poison (sugar) to their kids on Easter, and why are there no chocolate Jesuses?	0.3182
1844896	-1	How to cook Angus burgers?	0.7857
1850323	-1	Why some men never wash their hands after using the Urinal/Toilet?	0.4973
1862795	-1	How does spending prolonged time in microgravity affect the bodies of astronauts?	0.3583
1866981	-1	I know how I got here, but how did you?	0.1413
1880028	-1	What does "see Leaflet" mean on Ept Pregnancy test?	0.7117
1937374	-1	how to get 277 V AC ?	0.628
1944018	-1	Why can't teenagers vote?	0.2424
