qid	order	query	qld.ndcg
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.3464
100653	bt_bing_tamil	How do I get copies of appreciation letters sent to me from the city of San Diego	0.4577
100653	bt_bing_russian	How do I get copies of thank you letters from the City of San Diego	0.3997
100653	bt_nllb_korean	How do we get compliments from the city of San Diego	0.3924
100653	anchor.topn3	go getting copies letters commendation prsented city san diego c yalag noise a go teeley pyszczynski hnatiw royal san baghdatí srisamart vahinetua	0.3913
100653	stem.trunc5	how do i go about getti copie of lette of comme prsen to me from city of san diego	0.3899
100653	bt_bing_swahili	How do i get copies of congratulatory letters given to me from the city of san diego	0.3815
100653	bt_bing_german	How do I get copies of letters of recommendation provided to me by the City of San Diego	0.369
100653	termluster.topn5.3.bm25	go getting copies letters commendation prsented city san diego	0.3676
100653	termluster.topn5.3.qld	go getting copies letters commendation prsented city san diego	0.3676
100653	thesaurus.topn3	go getting copies letters commendation prsented city san diego	0.3676
100653	thesaurus.topn3.replace	go getting copies letters commendation prsented city san diego	0.3676
100653	bt_bing_malay	How can I get a copy of the letter of praise given to me from the city of San Diego	0.3663
100653	relevancefeedback.topn10.bm25	how do i go about getting copies of letters of commendation prsented to me from city of san diego you alwai diego court	0.3624
100653	tagmee.topn3	go getting copies letters commendation prsented city san diego Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego	0.3575
100653	bt_nllb_french	How do I get copies of congratulatory letters sent by the city of San Diego	0.3561
100653	stem.paicehusk	how do i go about get cop of let of commend prsent to me from city of san diego	0.3519
100653	bt_nllb_persian	How do I get the mail from San Diego City that s been sent to me	0.3494
100653	bt_bing_french	How do I get copies of the letters of recommendation sent to me by the City of San Diego	0.3483
1015624	-1	What's the Definition of a bloody mary?	0.7924
1015624	bertqe.topn10.qld	she known bloodi mari drink	0.8246
1015624	bt_bing_arabic	What is the definition of Bloody Mary	0.7946
1015624	bt_bing_chinese_simplified	What is the definition of a Bloody Mary	0.7946
1015624	bt_bing_french	What is the definition of a bloody mary	0.7946
1015624	bt_bing_german	What is the definition of a Bloody Mary	0.7946
1015624	bt_bing_korean	What is the definition of a Bloody Mary	0.7946
1015624	bt_bing_malay	What is the definition of bloody mary	0.7946
1015624	bt_bing_persian	What is the definition of the Bloody Mary	0.7946
1015624	bt_bing_russian	What is the definition of a Bloody Mary	0.7946
1015624	bt_bing_tamil	What is the definition of Bloody Mary	0.7946
1015624	bt_nllb_arabic	What is the definition of Bloody Mary	0.7946
1015624	bt_nllb_korean	What is the definition of a bloody Mary	0.7946
