qid	order	query	bm25.ndcg
1	-1	obama family tree	0.4473
1	bt_nllb_arabic	The Obama family tree	0.4473
1	bt_nllb_chinese_yue	The Obama family tree	0.4473
1	bt_nllb_french	Obama family tree	0.4473
1	bt_nllb_german	Obama family tree	0.4473
1	bt_nllb_korean	The Obama family tree	0.4473
1	bt_nllb_malay	Obama family tree	0.4473
1	bt_nllb_persian	The Obama family tree	0.4473
1	bt_nllb_swahili	Obama family tree	0.4473
1	bt_nllb_tamil	The Obama Family Tree	0.4473
10	-1	cheap internet	0.1326
10	bt_nllb_arabic	The internet is cheap	0.1326
10	bt_nllb_chinese_yue	Cheap Internet	0.1326
10	bt_nllb_french	The Internet is Cheap	0.1326
10	bt_nllb_german	cheap internet	0.1326
10	bt_nllb_korean	Cheap Internet	0.1326
10	bt_nllb_malay	cheap internet	0.1326
10	bt_nllb_persian	The Internet is cheap	0.1326
10	bt_nllb_russian	cheap internet	0.1326
10	bt_nllb_swahili	cheap internet	0.1326
10	bt_nllb_tamil	Cheap Internet	0.1326
11	-1	gmat prep classes	0.4662
11	bt_nllb_korean	Gmat prep class	0.4662
12	-1	djs	0.1652
12	bt_nllb_french	DJs	0.1652
12	bt_nllb_german	DJs	0.1652
13	-1	map	0.0788
13	bt_nllb_arabic	A map	0.0788
13	bt_nllb_chinese_yue	Map	0.0788
13	bt_nllb_french	map	0.0788
13	bt_nllb_german	Map	0.0788
13	bt_nllb_malay	map	0.0788
13	bt_nllb_swahili	map	0.0788
13	bt_nllb_tamil	map	0.0788
14	-1	dinosaurs	0.0243
14	bt_nllb_arabic	The dinosaurs	0.0243
14	bt_nllb_chinese_yue	The dinosaurs	0.0243
14	bt_nllb_french	the dinosaurs	0.0243
14	bt_nllb_korean	The dinosaurs	0.0243
14	bt_nllb_malay	The dinosaurs	0.0243
14	bt_nllb_persian	The dinosaurs	0.0243
14	bt_nllb_russian	The dinosaurs	0.0243
14	bt_nllb_swahili	dinosaurs	0.0243
14	bt_nllb_tamil	The Dinosaurs	0.0243
15	-1	espn sports	0.3206
16	-1	arizona game and fish	0.2793
16	bt_nllb_malay	Arizona games and fish	0.2793
16	bt_nllb_persian	Arizona game and fish	0.2793
16	bt_nllb_swahili	Arizona game and fish	0.2793
17	-1	poker tournaments	0.2159
17	bt_nllb_arabic	The poker tournaments	0.2159
17	bt_nllb_french	poker tournaments	0.2159
17	bt_nllb_german	Poker tournaments	0.2159
17	bt_nllb_korean	The poker tournament	0.2159
17	bt_nllb_malay	poker tournaments	0.2159
17	bt_nllb_persian	Poker tournaments	0.2159
17	bt_nllb_russian	poker tournaments	0.2159
17	bt_nllb_swahili	poker tournaments	0.2159
17	bt_nllb_tamil	Poker tournaments	0.2159
18	-1	wedding budget calculator	0.2122
18	bt_nllb_chinese_yue	A wedding budget is a calculator	0.2122
18	bt_nllb_german	Wedding budget calculator	0.2122
18	bt_nllb_persian	The wedding budget calculator	0.2122
18	bt_nllb_russian	The wedding budget calculator	0.2122
19	-1	the current	0.0
2	-1	french lick resort and casino	0.4274
2	bt_nllb_french	French Lick Resort and Casino	0.4274
2	bt_nllb_german	French Lick Resort and Casino	0.4274
2	bt_nllb_malay	French Lick Resort and Casino	0.4274
2	bt_nllb_swahili	French lick resort and casino	0.4274
20	-1	defender	0.0
21	-1	volvo	0.3456
21	bt_nllb_malay	volvo	0.3456
21	bt_nllb_persian	The Volvo	0.3456
21	bt_nllb_russian	Volvo is	0.3456
21	bt_nllb_swahili	volvo	0.3456
21	bt_nllb_tamil	The Volvo	0.3456
22	-1	rick warren	0.4438
22	bt_nllb_arabic	Rick Warren	0.4438
22	bt_nllb_french	Rick Warren	0.4438
22	bt_nllb_german	Rick Warren	0.4438
22	bt_nllb_persian	Rick Warren	0.4438
22	bt_nllb_russian	Rick Warren	0.4438
22	bt_nllb_swahili	Rick Warren	0.4438
22	bt_nllb_tamil	Rick Warren	0.4438
23	-1	yahoo	0.014
23	bt_nllb_german	Yahoo	0.014
23	bt_nllb_korean	Yahoo	0.014
23	bt_nllb_malay	Yahoo	0.014
23	bt_nllb_persian	Yahoo	0.014
23	bt_nllb_swahili	the yahoo	0.014
23	bt_nllb_tamil	the yahoo	0.014
24	-1	diversity	0.1555
24	bt_nllb_arabic	The diversity	0.1555
24	bt_nllb_french	diversity	0.1555
24	bt_nllb_german	The diversity	0.1555
24	bt_nllb_korean	Diversity	0.1555
24	bt_nllb_malay	The diversity	0.1555
24	bt_nllb_persian	Diversity	0.1555
24	bt_nllb_russian	The diversity	0.1555
24	bt_nllb_tamil	diversity	0.1555
25	-1	euclid	0.1608
25	bt_nllb_korean	Euclid	0.1608
25	bt_nllb_malay	Euclid	0.1608
25	bt_nllb_russian	Euclid	0.1608
25	bt_nllb_swahili	Euclid	0.1608
26	-1	lower heart rate	0.1359
26	bt_nllb_arabic	Lower heart rate	0.1359
26	bt_nllb_french	lower heart rate	0.1359
26	bt_nllb_german	lower heart rate	0.1359
26	bt_nllb_korean	And the heart rate is lower	0.1359
26	bt_nllb_malay	lower heart rate	0.1359
26	bt_nllb_persian	Lower heart rate	0.1359
27	-1	starbucks	0.1632
27	bt_nllb_chinese_yue	This is Starbucks	0.1632
27	bt_nllb_russian	The Starbucks	0.1632
27	bt_nllb_swahili	Starbucks	0.1632
27	bt_nllb_tamil	The Starbucks	0.1632
28	-1	inuyasha	0.1236
28	bt_nllb_arabic	Inuyasha	0.1236
28	bt_nllb_german	inuyasha	0.1236
28	bt_nllb_malay	Inuyasha	0.1236
28	bt_nllb_persian	Inuyasha	0.1236
28	bt_nllb_tamil	Inuyasha	0.1236
29	-1	ps 2 games	0.0543
29	bt_nllb_arabic	PS games	0.0543
29	bt_nllb_chinese_yue	PS game	0.0543
29	bt_nllb_french	PS games	0.0543
29	bt_nllb_german	PS Games	0.0543
29	bt_nllb_korean	PS game	0.0543
29	bt_nllb_malay	PS game	0.0543
29	bt_nllb_persian	PS game	0.0543
29	bt_nllb_russian	PS game	0.0543
29	bt_nllb_swahili	PS games	0.0543
29	bt_nllb_tamil	ps games	0.0543
3	-1	getting organized	0.3551
3	bt_nllb_korean	Get organized	0.3551
30	-1	diabetes education	0.2833
30	bt_nllb_arabic	The education of diabetes	0.2833
30	bt_nllb_chinese_yue	Diabetes education	0.2833
30	bt_nllb_french	education in diabetes	0.2833
30	bt_nllb_korean	Education for Diabetes	0.2833
