qid	order	query	qld.ndcg
INEX_LD-2009022	-1	Szechwan dish food cuisine	0.2251
INEX_LD-2009022	bt_bing_swahili	Diet cuisine of Szechwan	0.2194
INEX_LD-2009022	bt_nllb_french	Cooking of Szechwan dishes	0.2064
INEX_LD-2009022	bt_bing_tamil	Szechwan dish food	0.1934
INEX_LD-2009022	bt_nllb_swahili	Szechwan dishes food	0.1934
INEX_LD-2009022	bt_nllb_malay	Szechwan cuisine	0.1874
INEX_LD-2009022	bt_bing_arabic	Sichuan Platter Food	0.1248
INEX_LD-2009022	bt_nllb_korean	Cooking the dishes	0.0288
INEX_LD-2009022	bt_nllb_german	Chequan buffalo cuisine	0.0131
INEX_LD-2009022	bt_nllb_arabic	Seizuan food	0.0
INEX_LD-2009022	bt_nllb_chinese_yue	The recipe	0.0
INEX_LD-2009022	bt_nllb_persian	Cooking Sheep s Meals	0.0
INEX_LD-2009022	bt_nllb_russian	The kitchen of the sequoia	0.0
INEX_LD-2009022	bt_nllb_tamil	The food is cooked by Tshuang	0.0
INEX_LD-2009039	-1	roman architecture	0.3549
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.5735
INEX_LD-2009053	bt_bing_malay	Finnish car industry manufacturer Saab Sisu	0.4874
INEX_LD-2009053	bt_nllb_arabic	Finnish car manufacturing plant Sap Sisu	0.4793
INEX_LD-2009053	bt_bing_korean	Finnish automotive industry manufacturer Saab Sisu	0.4789
INEX_LD-2009053	bt_bing_swahili	Finnish auto industry manufacturer Saab Sisu	0.4483
INEX_LD-2009053	bt_nllb_russian	Finnish manufacturer of automotive industry Saab Suzi	0.2422
INEX_LD-2009053	bt_nllb_tamil	Sappha Sysu Finnish automotive manufacturer	0.2034
INEX_LD-2009053	bt_bing_persian	Finland subcisso automobile manufacturer	0.1721
INEX_LD-2009053	bt_bing_chinese_simplified	Sabosisu a Finnish manufacturer of the automotive industry	0.1395
INEX_LD-2009053	bt_nllb_korean	Finnish car manufacturer Sava Saassu	0.0582
INEX_LD-2009061	-1	france second world war normandy	0.4079
INEX_LD-2009061	bt_bing_arabic	France World War II Normandy	0.2844
INEX_LD-2009061	bt_bing_chinese_simplified	France World War II Normandy	0.2844
INEX_LD-2009061	bt_bing_french	France World War II Normandy	0.2844
INEX_LD-2009061	bt_bing_german	France World War II Normandy	0.2844
INEX_LD-2009061	bt_bing_persian	France World War II Normandy	0.2844
INEX_LD-2009061	bt_bing_russian	France World War II Normandy	0.2844
INEX_LD-2009061	bt_bing_tamil	France World War II Normandy	0.2844
INEX_LD-2009061	bt_nllb_tamil	France World War II Normandy	0.2844
INEX_LD-2009061	bt_nllb_chinese_yue	France World War II Normandy and the French	0.2283
INEX_LD-2009061	bt_nllb_korean	France during World War II Normandy	0.2096
INEX_LD-2009061	bt_bing_korean	French World War II Normandy	0.1981
INEX_LD-2009061	bt_bing_swahili	French World War II Normandy	0.1981
INEX_LD-2009061	bt_nllb_arabic	France World War II Normandy and the French and Indian War	0.1839
INEX_LD-2009062	-1	social network group selection	0.3438
INEX_LD-2009062	bt_nllb_malay	Choice of social networking group	0.2237
INEX_LD-2009062	bt_nllb_chinese_yue	Social media is a group	0.2048
INEX_LD-2009062	bt_bing_arabic	Choosing a social network group	0.1601
INEX_LD-2009062	bt_bing_korean	Choosing a social network group	0.1601
INEX_LD-2009062	bt_nllb_arabic	Choosing social network groups	0.1601
INEX_LD-2009062	bt_nllb_korean	Choose a social network group	0.1601
INEX_LD-2009062	bt_nllb_swahili	Choosing a social networking group	0.1601
INEX_LD-2009062	bt_bing_french	Selecting a Social Media Group	0.0871
INEX_LD-2009062	bt_bing_russian	Choosing a social media group	0.0715
INEX_LD-2009062	bt_nllb_persian	Choosing a social media group	0.0715
INEX_LD-2009063	-1	D-Day normandy invasion	0.327
INEX_LD-2009063	bt_bing_russian	D Day landings in Normandy	0.2925
INEX_LD-2009063	bt_bing_chinese_simplified	Normandy landings	0.2851
INEX_LD-2009063	bt_bing_french	Normandy landings	0.2851
INEX_LD-2009063	bt_nllb_persian	The Normandy attack on D Day	0.228
INEX_LD-2009063	bt_nllb_chinese_yue	The Norman invasion of D Day	0.0558
INEX_LD-2009063	bt_nllb_tamil	The D Day Norman invasion	0.0558
INEX_LD-2009074	-1	web ranking scoring algorithm	0.5827
INEX_LD-2009074	bt_nllb_arabic	The algorithm for registering rankings on the Internet	0.4949
INEX_LD-2009074	bt_bing_chinese_simplified	Network Ranking Scoring Algorithm	0.4022
INEX_LD-2009074	bt_bing_russian	Web Ranking Evaluation Algorithm	0.3849
INEX_LD-2009074	bt_bing_malay	web position scoring algorithm	0.2126
INEX_LD-2009074	bt_bing_swahili	Web level scoring algorithm	0.1585
INEX_LD-2009074	bt_nllb_russian	algorithm for rating of websites	0.1078
INEX_LD-2009074	bt_nllb_german	The following is the list of the categories of users of the service	0.0
INEX_LD-2009096	-1	Eiffel	0.6355
INEX_LD-2009096	bt_bing_french	Eiffel tower	0.4328
INEX_LD-2009096	bt_nllb_french	The Eiffel fire	0.4005
INEX_LD-2009096	bt_nllb_arabic	I m not	0.0
INEX_LD-2009096	bt_nllb_chinese_yue	I m not sure	0.0
INEX_LD-2009096	bt_nllb_german	Eggs	0.0
INEX_LD-2009096	bt_nllb_korean	The Epel	0.0
INEX_LD-2009096	bt_nllb_persian	I m going to the hospital	0.0
INEX_LD-2009096	bt_nllb_tamil	the ifel	0.0
INEX_LD-2009111	-1	europe solar power facility	0.2883
INEX_LD-2009111	bt_bing_malay	European Solar Energy Facilities	0.283
