qid	order	query	qld.ndcg
301	-1	International Organized Crime	0.064
302	-1	Poliomyelitis and Post-Polio	0.7466
303	-1	Hubble Telescope Achievements	0.5359
303	bt_nllb_swahili	The results of the Hubble Telescope	0.6248
304	-1	Endangered Species (Mammals)	0.1457
304	bt_nllb_swahili	Endangered Species Animals	0.1974
304	bt_nllb_chinese_yue	They are endangered	0.1859
304	bt_nllb_korean	Endangered species	0.1802
304	bt_nllb_persian	Endangered species clover	0.1654
305	-1	Most Dangerous Vehicles	0.0469
306	-1	African Civilian Deaths	0.1628
307	-1	New Hydroelectric Projects	0.384
308	-1	Implant Dentistry	0.4859
308	bt_nllb_german	Implant teeth	0.6367
308	bt_nllb_malay	Dental Implantation	0.6367
308	bt_nllb_persian	Dental implant	0.6367
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	0.3448
311	-1	Industrial Espionage	0.3748
312	-1	Hydroponics	0.9559
313	-1	Magnetic Levitation-Maglev	0.8784
314	-1	Marine Vegetation	0.0426
314	bt_nllb_persian	Seaweed	0.462
314	bt_nllb_swahili	Seaweed	0.462
314	bt_nllb_russian	Sea vegetation	0.1048
314	bt_nllb_arabic	Marine plants	0.1028
314	bt_nllb_german	Protection of the seas	0.0985
314	bt_nllb_chinese_yue	Sea plants	0.0601
314	bt_nllb_korean	Sea plants	0.0601
314	bt_nllb_malay	Sea plants	0.0601
314	bt_nllb_tamil	Sea plants	0.0601
315	-1	Unexplained Highway Accidents	0.0432
315	bt_nllb_chinese_yue	The cause of the accident is unknown	0.0848
315	bt_nllb_tamil	Unidentified road accidents	0.06
316	-1	Polygamy Polyandry Polygyny	0.7342
316	bt_nllb_chinese_yue	Polygamy polygamy polygamy and polygamy	0.7793
316	bt_nllb_french	Polygamy and polygamy	0.7793
316	bt_nllb_german	Polygamy and polygamy	0.7793
316	bt_nllb_malay	Polygamy Polygamy	0.7793
317	-1	Unsolicited Faxes	0.7038
318	-1	Best Retirement Country	0.053
319	-1	New Fuel Sources	0.1826
319	bt_nllb_german	New fuels	0.1841
320	-1	Undersea Fiber Optic Cable	0.2511
320	bt_nllb_french	Submarine fibre optic cable	0.286
321	-1	Women in Parliaments	0.3181
322	-1	International Art Crime	0.0
323	-1	Literary/Journalistic Plagiarism	0.4955
323	bt_nllb_malay	Literary plagiarism	0.5595
324	-1	Argentine/British Relations	0.4472
325	-1	Cult Lifestyles	0.2154
326	-1	Ferry Sinkings	0.7825
327	-1	Modern Slavery	0.3102
327	bt_nllb_malay	Modern day Slavery	0.396
328	-1	Pope Beatifications	0.8198
329	-1	Mexican Air Pollution	0.2997
329	bt_nllb_arabic	Air pollution in Mexico	0.4192
329	bt_nllb_chinese_yue	Air pollution in Mexico	0.4192
329	bt_nllb_french	Air Pollution in Mexico	0.4192
329	bt_nllb_german	Air pollution in Mexico	0.4192
329	bt_nllb_korean	Air Pollution in Mexico	0.4192
329	bt_nllb_malay	Air Pollution in Mexico	0.4192
329	bt_nllb_persian	Air pollution in Mexico	0.4192
329	bt_nllb_russian	Air pollution in Mexico	0.4192
329	bt_nllb_swahili	Air Pollution in Mexico	0.4192
330	-1	Iran-Iraq Cooperation	0.2185
331	-1	World Bank Criticism	0.3003
332	-1	Income Tax Evasion	0.053
332	bt_nllb_arabic	Evading income tax	0.0565
333	-1	Antibiotics Bacteria Disease	0.4773
333	bt_nllb_french	Antibiotics for bacteria	0.4951
334	-1	Export Controls Cryptography	0.1483
334	bt_nllb_arabic	Export control Encryption	0.7152
334	bt_nllb_tamil	Encryption of export controls	0.7152
334	bt_nllb_chinese_yue	Export controls the password	0.2658
335	-1	Adoptive Biological Parents	0.5241
336	-1	Black Bear Attacks	0.2346
337	-1	Viral Hepatitis	0.3929
338	-1	Risk of Aspirin	0.5856
338	bt_nllb_persian	The risks of aspirin use	0.6367
338	bt_nllb_russian	Risks of using aspirin	0.6367
339	-1	Alzheimer's Drug Treatment	0.4531
