,qid,order,query,qld.recip_rank
0,701,-1,U.S. oil industry history,0.2
1,701,bt_bing_arabic,History of the American oil industry,1.0
2,701,bt_nllb_arabic,The history of the American oil industry,1.0
3,701,bt_nllb_french,The history of the American oil industry,1.0
4,701,conceptluster.topn5.3.qld,u s oil industry history petroleum,1.0
5,701,docluster.topn10.3.qld,u s oil industry history industri counti,1.0
6,701,tagmee.topn3,u s oil industry history Petroleum,1.0
7,701,termluster.topn5.3.qld,u s oil industry history industri field oil field state social region,1.0
8,701,relevancefeedback.topn10.qld,u s oil industry history industri counti ga,0.5
9,701,bt_nllb_german,The history of the US oil industry,0.3333
10,701,bertqe.topn10.bm25,f ossil nergi e nvir,0.25
11,702,-1,Pearl farming,1.0
12,704,-1,Green party political views,0.5
13,705,-1,Iraq foreign debt reduction,1.0
14,706,-1,Controlling type II diabetes,0.2
15,706,sensedisambiguation,Controlling see type II two diabetes,1.0
16,706,sensedisambiguation.replace,see type two diabetes,1.0
17,706,bt_nllb_malay,Managing type diabetes,0.3333
18,707,-1,Aspirin cancer prevention,1.0
19,708,-1,Decorative slate sources,1.0
20,709,-1,Horse racing jockey weight,1.0
21,710,-1,Prostate cancer treatments,1.0
22,711,-1,Train station security measures,0.5
23,711,bt_bing_french,Security measures at stations,1.0
24,711,bt_bing_german,Security measures at the station,1.0
25,711,glove.topn3,train station security measures bus operated adding ensure steps,1.0
26,711,relevancefeedback.topn10.qld,train station security measures measur naval amtrak secur transport,1.0
27,712,-1,Pyramid scheme,1.0
28,713,-1,Chesapeake Bay Maryland clean,0.3333
29,713,relevancefeedback.topn10.qld,chesapeake bay maryland clean http marina bai,1.0
30,713,rm3.topn10.10.0.5.bm25,chesapeake bay maryland clean program bai plan water,1.0
31,713,stem.trunc5,chesa bay maryl clean,1.0
32,713,bt_bing_korean,Chesapeake Bay MD Clean,0.5
33,713,rm3.topn10.10.0.5.qld,chesapeake bay maryland clean marina bai island,0.5
34,713,sensedisambiguation.replace,Chesapeake true laurel maryland clean and jerk,0.5
35,714,-1,License restrictions older drivers,1.0
36,715,-1,Schizophrenia drugs,1.0
37,716,-1,Spammer arrest sue,0.125
38,716,bt_bing_arabic,Lawsuit against the arrest of spammers,1.0
39,716,bt_bing_chinese_simplified,Spammers are arrested and prosecuted,1.0
40,716,bt_bing_german,Spammer Arrest Lawsuit,1.0
41,716,bt_bing_russian,Spammer Arrest Lawsuit,1.0
42,716,bt_bing_tamil,Spammer Arrest Case,1.0
43,716,bt_nllb_chinese_yue,Arrest and prosecution of spam,1.0
44,716,bt_nllb_german,Spammer arrest lawsuit,1.0
45,716,bt_nllb_korean,Spammers arresting lawsuit,1.0
46,716,bt_nllb_swahili,Spammer arrested trial,1.0
47,716,bt_nllb_tamil,The case of the arrest of the spammers,1.0
48,716,conceptluster.topn5.3.qld,spammer arrest sue arrest lawsuit spamming,1.0
49,716,relevancefeedback.topn10.qld,spammer arrest sue spam mail hr consum re email,1.0
50,716,stem.lovins,spammer arrest su,1.0
51,716,tagmee.topn3,spammer arrest sue Spamming Arrest Lawsuit,1.0
52,716,tagmee.topn3.replace,Spamming Arrest Lawsuit,1.0
53,716,bt_bing_french,Arrest of a spammer,0.5
54,716,bt_bing_persian,Spammer Arrest Complaint,0.5
55,716,sensedisambiguation,Spammer arrest halt sue,0.5
56,716,sensedisambiguation.replace,spammer halt sue,0.5
57,716,conceptnet.topn3,spammer arrest sue sender obstructing justice action,0.3333
58,716,wordnet.topn3,spammer arrest sue nail contain stop litigate Eugene Sue,0.3333
59,716,bt_bing_malay,Spammer detained suit,0.25
60,716,docluster.topn10.3.qld,spammer arrest sue spam,0.25
61,716,rm3.topn10.10.0.5.qld,spammer arrest sue spam hr mail consum,0.2
62,716,termluster.topn5.3.qld,spammer arrest sue consum legisl requir,0.2
63,716,rm3.topn10.10.0.5.bm25,spammer arrest sue hr spam mail qmail consum,0.1667
64,716,wordnet.topn3.replace,spammer stoppage hold back apprehension process Eugene Sue litigate,0.1429
65,717,-1,Gifted talented student programs,1.0
66,718,-1,Controlling acid rain,1.0
67,719,-1,Cruise ship damage sea life,1.0
68,720,-1,Federal welfare reform,0.3333
69,720,bertqe.topn10.bm25,welfar reform how we know,1.0
70,720,bt_bing_german,Confederation Welfare Reform,1.0
71,720,conceptnet.topn3,federal welfare reform national wellbeing,1.0
72,720,relevancefeedback.topn10.qld,federal welfare reform welfar immigr state we,1.0
73,720,rm3.topn10.10.0.5.qld,federal welfare reform state welfar immigr,1.0
74,720,sensedisambiguation,Federal welfare wellbeing reform,1.0
75,720,termluster.topn5.3.qld,federal welfare reform work welfar support work support state assist famili feder,1.0
76,720,wiki.topn3,federal welfare reform constitutionalism representativdemocracy separation powers federalism manhattan institutfor policy research get thvote freto choose welfare reform,1.0
77,720,wordnet.topn3,federal welfare reform Federal soldier wellbeing eudaimonia straighten out regenerate,1.0
78,720,bt_bing_chinese_simplified,Federal benefits reform,0.5
79,720,bt_bing_french,Federal Social Assistance Reform,0.5
80,720,docluster.topn10.3.qld,federal welfare reform welfar state,0.5
81,720,rm3.topn10.10.0.5.bm25,federal welfare reform state welfar,0.5
82,720,sensedisambiguation.replace,federal wellbeing reform,0.5
83,721,-1,Census data applications,0.25
84,721,bt_bing_chinese_simplified,Census Data App,1.0
85,721,bt_bing_swahili,Use of census data,1.0
86,721,bt_nllb_korean,Apply for census data,1.0
87,721,glove.topn3,census data applications population inhabitants information analysis applying,1.0
88,721,stem.trunc5,censu data appli,1.0
89,722,-1,Iran terrorism,1.0
90,723,-1,Executive privilege,1.0
91,724,-1,Iran Contra,1.0
92,725,-1,Low white blood cell count,0.5
93,725,bt_nllb_chinese_yue,Low blood cell count,1.0
94,725,bt_nllb_german,Low blood protein counts,1.0
95,725,docluster.topn10.3.qld,low white blood cell count platelet,1.0
96,725,glove.topn3,low white blood cell count high higher black brown heart urine cellular,1.0
97,725,relevancefeedback.topn10.qld,low white blood cell count platelet your,1.0
98,725,sensedisambiguation,Low white blood cell cellular telephone count,1.0
99,726,-1,Hubble telescope repairs,1.0
100,727,-1,Church arson,1.0
101,728,-1,whales save endangered,1.0
102,729,-1,Whistle blower department of defense,0.0159
103,729,glove.topn3,whistle blower department defense blowing whistleblower administration defence,0.5
104,729,word2vec.topn3,whistle blower department defense swanee whistle blowing dept defence,0.3333
105,729,bt_nllb_korean,The Department of Defense is blowing a whistle,0.2
106,729,conceptluster.topn5.3.qld,whistle blower department defense whistleblower united states department defense,0.0833
107,729,tagmee.topn3,whistle blower department defense Whistleblower United States Department of Defense,0.0833
108,729,bt_bing_chinese_simplified,Whistleblower Ministry of Defense,0.0714
109,729,bt_bing_korean,Whistleblower Ministry of Defense,0.0714
110,729,bt_bing_russian,Ministry of Defense Whistleblower,0.0714
111,729,tagmee.topn3.replace,Whistleblower United States Department of Defense,0.0667
112,729,glove.topn3.replace,blowing whistleblower administration defence,0.0625
113,729,termluster.topn5.3.qld,whistle blower department defense said new govern depart govern said whistl said new,0.0435
114,729,bt_bing_malay,Department of Defense whistleblower,0.037
