qid	order	query	bm25.ndcg
INEX_LD-2009022	-1	Szechwan dish food cuisine	0.1838
INEX_LD-2009022	wordnet.topn3.replace	Sichuan Szechuan Szechwan province sweetheart dish out solid food food for thought culinary art	0.4455
INEX_LD-2009022	conceptluster.topn5.3.bm25	szechwan dish food cuisine food cuisine sichuan dish food	0.3792
INEX_LD-2009022	conceptluster.topn5.3.qld	szechwan dish food cuisine sichuan cuisine food dish food	0.3792
INEX_LD-2009022	tagmee.topn3	szechwan dish food cuisine Sichuan Dish food Food Cuisine	0.3792
INEX_LD-2009022	wordnet.topn3	szechwan dish food cuisine Szechuan Sichuan smasher beauty food for thought solid food nutrient culinary art	0.3762
INEX_LD-2009022	tagmee.topn3.replace	Sichuan Dish food Food Cuisine	0.3325
INEX_LD-2009022	anchor.topn3	szechwan dish food cuisine setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar	0.3131
INEX_LD-2009022	anchor.topn3.replace	setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar cuisine	0.3106
INEX_LD-2009022	conceptnet.topn3	szechwan dish food cuisine Szechuan China plate cake rice rechauffe	0.2903
INEX_LD-2009022	wiki.topn3	szechwan dish food cuisine sichuan shaanxi hunan sichuan list legumdishes past food batter cooking dish food foods cuisine meat food brunch veal veal cuisine	0.2888
INEX_LD-2009022	relevancefeedback.topn10.bm25	szechwan dish food cuisine cuisin chines veget rice pepper banitsa tabl pot pölsa octopu	0.2502
INEX_LD-2009022	wiki.topn3.replace	sichuan shaanxi hunan sichuan list legumdishes past food batter cooking dish food foods cuisine meat food brunch veal veal cuisine	0.2124
INEX_LD-2009022	conceptnet.topn3.replace	Szechuan China plate cake rice rechauffe	0.2052
INEX_LD-2009022	sensedisambiguation.replace	szechwan serve food cuisine	0.1869
INEX_LD-2009022	docluster.topn10.3.bm25	szechwan dish food cuisine	0.1838
INEX_LD-2009022	docluster.topn10.3.qld	szechwan dish food cuisine	0.1838
INEX_LD-2009022	rm3.topn10.10.0.5.bm25	Szechwan dish food cuisine	0.1838
INEX_LD-2009022	rm3.topn10.10.0.5.qld	Szechwan dish food cuisine	0.1838
INEX_LD-2009022	stem.krovetz	szechwan dish food cuisine	0.1838
INEX_LD-2009022	stem.porter	szechwan dish food cuisin	0.1838
INEX_LD-2009022	stem.porter2	szechwan dish food cuisin	0.1838
INEX_LD-2009022	stem.sstemmer	szechwan dish food cuisine	0.1838
INEX_LD-2009022	termluster.topn5.3.bm25	szechwan dish food cuisine	0.1838
INEX_LD-2009022	termluster.topn5.3.qld	szechwan dish food cuisine	0.1838
INEX_LD-2009022	thesaurus.topn3	szechwan dish food cuisine	0.1838
INEX_LD-2009022	thesaurus.topn3.replace	szechwan dish food cuisine	0.1838
INEX_LD-2009039	-1	roman architecture	0.2534
INEX_LD-2009039	conceptluster.topn5.3.bm25	roman architecture ancient roman architecture	0.3713
INEX_LD-2009039	conceptluster.topn5.3.qld	roman architecture ancient roman architecture	0.3713
INEX_LD-2009039	tagmee.topn3	roman architecture Ancient Roman architecture	0.3713
INEX_LD-2009039	tagmee.topn3.replace	Ancient Roman architecture	0.3561
INEX_LD-2009039	docluster.topn10.3.bm25	roman architecture	0.2534
INEX_LD-2009039	docluster.topn10.3.qld	roman architecture	0.2534
INEX_LD-2009039	rm3.topn10.10.0.5.bm25	roman architecture	0.2534
INEX_LD-2009039	rm3.topn10.10.0.5.qld	roman architecture	0.2534
INEX_LD-2009039	stem.krovetz	roman architecture	0.2534
INEX_LD-2009039	stem.lovins	roman architectur	0.2534
INEX_LD-2009039	stem.porter	roman architectur	0.2534
INEX_LD-2009039	stem.porter2	roman architectur	0.2534
INEX_LD-2009039	stem.sstemmer	roman architecture	0.2534
INEX_LD-2009039	termluster.topn5.3.bm25	roman architecture	0.2534
INEX_LD-2009039	termluster.topn5.3.qld	roman architecture	0.2534
INEX_LD-2009039	thesaurus.topn3	roman architecture	0.2534
INEX_LD-2009039	thesaurus.topn3.replace	roman architecture	0.2534
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.5709
INEX_LD-2009053	stem.lovins	finland car industr manufacturer saab sisu	0.602
INEX_LD-2009053	docluster.topn10.3.bm25	finland car industry manufacturer saab sisu	0.5709
INEX_LD-2009053	docluster.topn10.3.qld	finland car industry manufacturer saab sisu	0.5709
INEX_LD-2009053	rm3.topn10.10.0.5.bm25	finland car industry manufacturer saab sisu	0.5709
INEX_LD-2009053	rm3.topn10.10.0.5.qld	finland car industry manufacturer saab sisu	0.5709
INEX_LD-2009053	sensedisambiguation	finland car industry manufacturer saab sisu	0.5709
INEX_LD-2009053	sensedisambiguation.replace	finland car industry manufacturer saab sisu	0.5709
INEX_LD-2009053	stem.krovetz	finland car industry manufacturer saab sisu	0.5709
INEX_LD-2009053	stem.porter	finland car industri manufactur saab sisu	0.5709
INEX_LD-2009053	stem.porter2	finland car industri manufactur saab sisu	0.5709
INEX_LD-2009053	stem.sstemmer	finland car industry manufacturer saab sisu	0.5709
INEX_LD-2009053	termluster.topn5.3.bm25	finland car industry manufacturer saab sisu	0.5709
INEX_LD-2009053	termluster.topn5.3.qld	finland car industry manufacturer saab sisu	0.5709
INEX_LD-2009053	thesaurus.topn3	finland car industry manufacturer saab sisu	0.5709
INEX_LD-2009053	thesaurus.topn3.replace	finland car industry manufacturer saab sisu	0.5709
INEX_LD-2009061	-1	france second world war normandy	0.439
INEX_LD-2009061	wiki.topn3	france second world war normandy france southern europe italy france wars involving luxembourg wars involving poland wars involving netherlands world war ii wars involving luxembourg wars involving poland wars involving netherlands world war ii operation neptune normandy landings invasion normandy operation overlord	0.4577
INEX_LD-2009061	docluster.topn10.3.bm25	france second world war normandy	0.439
INEX_LD-2009061	docluster.topn10.3.qld	france second world war normandy	0.439
INEX_LD-2009061	rm3.topn10.10.0.5.bm25	france second world war normandy	0.439
INEX_LD-2009061	rm3.topn10.10.0.5.qld	france second world war normandy	0.439
INEX_LD-2009061	stem.krovetz	france second world war normandy	0.439
INEX_LD-2009061	stem.porter	franc second world war normandi	0.439
INEX_LD-2009061	stem.porter2	franc second world war normandi	0.439
INEX_LD-2009061	stem.sstemmer	france second world war normandy	0.439
INEX_LD-2009061	termluster.topn5.3.bm25	france second world war normandy	0.439
INEX_LD-2009061	termluster.topn5.3.qld	france second world war normandy	0.439
INEX_LD-2009061	thesaurus.topn3	france second world war normandy	0.439
INEX_LD-2009061	thesaurus.topn3.replace	france second world war normandy	0.439
INEX_LD-2009062	-1	social network group selection	0.0424
INEX_LD-2009062	sensedisambiguation.replace	social network group survival	0.068
INEX_LD-2009062	wordnet.topn3	social network group selection societal sociable meshwork electronic network mathematical group radical pick survival choice	0.0453
INEX_LD-2009062	conceptluster.topn5.3.bm25	social network group selection social network group selection	0.0424
INEX_LD-2009062	conceptluster.topn5.3.qld	social network group selection group selection social network	0.0424
INEX_LD-2009062	docluster.topn10.3.bm25	social network group selection	0.0424
INEX_LD-2009062	docluster.topn10.3.qld	social network group selection	0.0424
INEX_LD-2009062	rm3.topn10.10.0.5.bm25	social network group selection	0.0424
INEX_LD-2009062	rm3.topn10.10.0.5.qld	social network group selection	0.0424
INEX_LD-2009062	stem.krovetz	social network group selection	0.0424
INEX_LD-2009062	stem.porter	social network group select	0.0424
INEX_LD-2009062	stem.porter2	social network group select	0.0424
INEX_LD-2009062	stem.sstemmer	social network group selection	0.0424
INEX_LD-2009062	tagmee.topn3	social network group selection Social network Group selection	0.0424
INEX_LD-2009062	tagmee.topn3.replace	Social network Group selection	0.0424
INEX_LD-2009062	termluster.topn5.3.bm25	social network group selection	0.0424
INEX_LD-2009062	termluster.topn5.3.qld	social network group selection	0.0424
INEX_LD-2009062	thesaurus.topn3	social network group selection	0.0424
INEX_LD-2009062	thesaurus.topn3.replace	social network group selection	0.0424
INEX_LD-2009063	-1	D-Day normandy invasion	0.2959
INEX_LD-2009063	wiki.topn3	d day normandy invasion invasion normandy operation overlord battle caen normandy landings operation neptune normandy landings invasion normandy operation overlord omaha beach normandy landings utah beach invasion normandy	0.3682
INEX_LD-2009063	wiki.topn3.replace	invasion normandy operation overlord battle caen normandy landings operation neptune normandy landings invasion normandy operation overlord omaha beach normandy landings utah beach invasion normandy	0.3615
INEX_LD-2009063	relevancefeedback.topn10.bm25	d day normandy invasion airborn oper normandi utah bridg book ddai gold	0.3588
INEX_LD-2009063	relevancefeedback.topn10.qld	d day normandy invasion normandi invas book ddai oper airborn bridg utah	0.3533
INEX_LD-2009063	conceptluster.topn5.3.bm25	d day normandy invasion invasion normandy normandy landings operation overlord	0.3437
INEX_LD-2009063	conceptluster.topn5.3.qld	d day normandy invasion invasion normandy normandy landings operation overlord	0.3437
INEX_LD-2009063	tagmee.topn3	d day normandy invasion Normandy landings Operation Overlord Invasion of Normandy	0.3437
INEX_LD-2009063	tagmee.topn3.replace	Normandy landings Operation Overlord Invasion of Normandy	0.3231
INEX_LD-2009063	sensedisambiguation	D Day normandy normandie invasion	0.3092
INEX_LD-2009063	word2vec.topn3	d day normandy invasion normandy DDay stalingrad d day stalingrad jutland invading	0.3036
INEX_LD-2009063	wordnet.topn3	d day normandy invasion June encroachment intrusion	0.3025
INEX_LD-2009063	conceptnet.topn3	d day normandy invasion	0.2959
INEX_LD-2009063	conceptnet.topn3.replace	d day normandy invasion	0.2959
INEX_LD-2009063	docluster.topn10.3.bm25	d day normandy invasion	0.2959
INEX_LD-2009063	docluster.topn10.3.qld	d day normandy invasion	0.2959
INEX_LD-2009063	rm3.topn10.10.0.5.bm25	D-Day normandy invasion	0.2959
INEX_LD-2009063	rm3.topn10.10.0.5.qld	D-Day normandy invasion	0.2959
INEX_LD-2009063	sensedisambiguation.replace	d day normandie invasion	0.2959
INEX_LD-2009063	stem.krovetz	d day normandy invasion	0.2959
INEX_LD-2009063	stem.sstemmer	d day normandy invasion	0.2959
INEX_LD-2009063	termluster.topn5.3.bm25	d day normandy invasion	0.2959
INEX_LD-2009063	termluster.topn5.3.qld	d day normandy invasion	0.2959
INEX_LD-2009063	thesaurus.topn3	d day normandy invasion	0.2959
INEX_LD-2009063	thesaurus.topn3.replace	d day normandy invasion	0.2959
INEX_LD-2009074	-1	web ranking scoring algorithm	0.4032
INEX_LD-2009074	stem.lovins	web rank scor algorithm	0.5358
INEX_LD-2009074	stem.paicehusk	web rank scor algorithm	0.5358
INEX_LD-2009074	relevancefeedback.topn10.bm25	web ranking scoring algorithm aim browser cluster speech reput engin rank journal bossam certif	0.4061
INEX_LD-2009074	docluster.topn10.3.bm25	web ranking scoring algorithm	0.4032
INEX_LD-2009074	docluster.topn10.3.qld	web ranking scoring algorithm	0.4032
INEX_LD-2009074	rm3.topn10.10.0.5.bm25	web ranking scoring algorithm	0.4032
INEX_LD-2009074	rm3.topn10.10.0.5.qld	web ranking scoring algorithm	0.4032
INEX_LD-2009074	stem.krovetz	web ranking score algorithm	0.4032
INEX_LD-2009074	stem.porter	web rank score algorithm	0.4032
INEX_LD-2009074	stem.porter2	web rank score algorithm	0.4032
INEX_LD-2009074	stem.sstemmer	web ranking scoring algorithm	0.4032
INEX_LD-2009074	termluster.topn5.3.bm25	web ranking scoring algorithm	0.4032
INEX_LD-2009074	termluster.topn5.3.qld	web ranking scoring algorithm	0.4032
INEX_LD-2009074	thesaurus.topn3	web ranking scoring algorithm	0.4032
INEX_LD-2009074	thesaurus.topn3.replace	web ranking scoring algorithm	0.4032
INEX_LD-2009096	-1	Eiffel	0.5578
INEX_LD-2009096	wordnet.topn3	eiffel Alexandre Gustave Eiffel	0.5789
INEX_LD-2009096	conceptluster.topn5.3.bm25	eiffel	0.5578
INEX_LD-2009096	conceptluster.topn5.3.qld	eiffel	0.5578
INEX_LD-2009096	docluster.topn10.3.bm25	eiffel	0.5578
INEX_LD-2009096	docluster.topn10.3.qld	eiffel	0.5578
INEX_LD-2009096	rm3.topn10.10.0.5.bm25	Eiffel	0.5578
INEX_LD-2009096	rm3.topn10.10.0.5.qld	Eiffel	0.5578
INEX_LD-2009096	sensedisambiguation	Eiffel	0.5578
INEX_LD-2009096	sensedisambiguation.replace	eiffel	0.5578
INEX_LD-2009096	stem.krovetz	eiffel	0.5578
INEX_LD-2009096	stem.lovins	eiffel	0.5578
INEX_LD-2009096	stem.paicehusk	eiffel	0.5578
INEX_LD-2009096	stem.porter	eiffel	0.5578
INEX_LD-2009096	stem.porter2	eiffel	0.5578
INEX_LD-2009096	stem.sstemmer	eiffel	0.5578
INEX_LD-2009096	tagmee.topn3	eiffel	0.5578
INEX_LD-2009096	termluster.topn5.3.bm25	eiffel	0.5578
INEX_LD-2009096	termluster.topn5.3.qld	eiffel	0.5578
INEX_LD-2009096	thesaurus.topn3	eiffel	0.5578
INEX_LD-2009096	thesaurus.topn3.replace	eiffel	0.5578
INEX_LD-2009096	wiki.topn3	eiffel	0.5578
INEX_LD-2009111	-1	europe solar power facility	0.1792
INEX_LD-2009111	sensedisambiguation.replace	european union solar world power facility	0.3624
INEX_LD-2009111	word2vec.topn3.replace	germany european europe photovoltaic non solar power authority facilty	0.3313
INEX_LD-2009111	sensedisambiguation	europe european union solar power world power facility	0.331
INEX_LD-2009111	word2vec.topn3	europe solar power facility germany european europe photovoltaic non solar power authority facilty	0.3188
INEX_LD-2009111	conceptnet.topn3	europe solar power facility a kingdom continent a castle sun energy arboretum artifact menagerie	0.2183
INEX_LD-2009111	conceptluster.topn5.3.bm25	europe solar power facility solar power europe	0.2015
INEX_LD-2009111	conceptluster.topn5.3.qld	europe solar power facility solar power europe	0.2015
INEX_LD-2009111	tagmee.topn3	europe solar power facility Europe Solar power	0.2015
INEX_LD-2009111	glove.topn3	europe solar power facility european asia photovoltaic geothermal control addition	0.198
