,qid,order,query,bm25.map
0,301,-1,International Organized Crime,0.0096
1,301,wiki.topn3,international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime,0.0422
2,301,wiki.topn3.replace,constitutional law public international law criminal law international law extortion mafia money laundering organized crime,0.0391
3,301,anchor.topn3,international organized crime confédérat föderat kanusport anti corruption anti econom drug,0.0261
4,301,glove.topn3,international organized crime global which organised criminal,0.0202
5,301,word2vec.topn3,international organized crime national global domestic organised criminality,0.0155
6,301,bt_bing_arabic,International organized crime,0.0096
7,301,bt_bing_chinese_simplified,International Organized Crime,0.0096
8,301,bt_bing_french,International Organized Crime,0.0096
9,301,bt_bing_german,International Organized Crime,0.0096
10,301,bt_bing_korean,International Organized Crime,0.0096
11,301,bt_bing_persian,International Organized Crime,0.0096
12,301,bt_bing_russian,International organized crime,0.0096
13,301,bt_bing_tamil,International organized crime,0.0096
14,301,bt_nllb_arabic,International organized crime,0.0096
15,301,bt_nllb_chinese_yue,International organized crime,0.0096
16,301,bt_nllb_french,International organized crime,0.0096
17,301,bt_nllb_korean,International organized crime,0.0096
18,301,bt_nllb_persian,International organized crime,0.0096
19,301,bt_nllb_russian,International organized crime,0.0096
20,301,bt_nllb_tamil,International organized crime,0.0096
21,301,docluster.topn10.3.bm25,international organized crime,0.0096
22,301,docluster.topn10.3.qld,international organized crime,0.0096
23,301,original,International Organized Crime,0.0096
24,301,rm3.topn10.10.0.5.bm25,International Organized Crime,0.0096
25,301,rm3.topn10.10.0.5.qld,International Organized Crime,0.0096
26,301,stem.krovetz,international organized crime,0.0096
27,301,stem.porter2,intern organ crime,0.0096
28,301,stem.sstemmer,international organized crime,0.0096
29,301,termluster.topn5.3.bm25,international organized crime,0.0096
30,301,termluster.topn5.3.qld,international organized crime,0.0096
31,301,thesaurus.topn3,international organized crime,0.0096
32,301,thesaurus.topn3.replace,international organized crime,0.0096
33,301,anchor.topn3.replace,confédérat föderat kanusport organized anti corruption anti econom drug,0.0093
34,301,conceptnet.topn3,international organized crime re formed reorganised,0.008
35,301,conceptluster.topn5.3.bm25,international organized crime international law organized crime,0.0068
36,301,conceptluster.topn5.3.qld,international organized crime international law organized crime,0.0068
37,301,tagmee.topn3,international organized crime International law Organized crime,0.0068
38,301,bt_bing_malay,International Organised Crime,0.0055
39,301,bt_nllb_german,International organised crime,0.0055
40,301,glove.topn3.replace,global which organised criminal,0.0055
41,301,stem.trunc5,inter organ crime,0.0046
42,301,tagmee.topn3.replace,International law Organized crime,0.0039
43,301,wordnet.topn3,international organized crime external unionise prepare unionize criminal offense criminal offence law breaking,0.0035
44,301,sensedisambiguation,International Organized unionize Crime,0.0034
45,301,bt_bing_swahili,International Crime,0.0029
46,301,bt_nllb_swahili,International Crime,0.0029
47,301,word2vec.topn3.replace,national global domestic organised criminality,0.0018
48,301,relevancefeedback.topn10.qld,international organized crime protect organ it feder compens intellectu,0.0017
49,301,relevancefeedback.topn10.bm25,international organized crime state trade govern issu japan us,0.0014
50,301,sensedisambiguation.replace,international unionize crime,0.0014
51,301,stem.porter,intern organiz crime,0.001
52,301,bt_nllb_malay,Integrated Crime,0.0008
53,301,stem.lovins,intern organ crim,0.0006
54,301,wordnet.topn3.replace,external unionise prepare unionize criminal offense criminal offence law breaking,0.0002
55,301,bertqe.topn10.qld,intern affair materi from report,0.0001
56,301,bertqe.topn10.bm25,jansatta hindi cso articl chitra,0.0
57,301,conceptnet.topn3.replace,international re formed reorganised crime,0.0
58,301,stem.paicehusk,intern org crim,0.0
59,301,stem.trunc4,inte orga crim,0.0
60,302,-1,Poliomyelitis and Post-Polio,0.5026
61,302,relevancefeedback.topn10.qld,poliomyelitis and post polio case polio i health hi vaccin china percent,0.5532
62,302,relevancefeedback.topn10.bm25,poliomyelitis and post polio case polio i health vaccin china aid,0.545
63,302,wordnet.topn3,poliomyelitis post polio polio acute anterior poliomyelitis,0.525
64,302,glove.topn3,poliomyelitis post polio polio measles mangxamba http www kasparovchess com,0.5101
65,302,tagmee.topn3,poliomyelitis post polio Poliomyelitis Post polio syndrome,0.5031
66,302,anchor.topn3,poliomyelitis post polio kentuckyon rwjbarnaba lcmc,0.5026
67,302,bt_bing_chinese_simplified,Poliomyelitis and post polio,0.5026
68,302,bt_bing_german,Poliomyelitis and post polio,0.5026
69,302,bt_bing_swahili,Poliomyelitis and post polio,0.5026
70,302,conceptnet.topn3,poliomyelitis post polio,0.5026
71,302,conceptnet.topn3.replace,poliomyelitis post polio,0.5026
72,302,docluster.topn10.3.bm25,poliomyelitis and post polio,0.5026
73,302,docluster.topn10.3.qld,poliomyelitis and post polio,0.5026
74,302,original,Poliomyelitis and Post Polio,0.5026
75,302,rm3.topn10.10.0.5.bm25,Poliomyelitis and Post-Polio,0.5026
76,302,rm3.topn10.10.0.5.qld,Poliomyelitis and Post-Polio,0.5026
77,302,sensedisambiguation,Poliomyelitis and Post Polio,0.5026
78,302,sensedisambiguation.replace,poliomyelitis and Post Polio,0.5026
79,302,stem.krovetz,poliomyeliti and post polio,0.5026
80,302,stem.porter,poliomyel and post polio,0.5026
81,302,stem.porter2,poliomyel and post polio,0.5026
82,302,stem.sstemmer,poliomyeliti and post polio,0.5026
83,302,termluster.topn5.3.bm25,poliomyelitis post polio,0.5026
84,302,termluster.topn5.3.qld,poliomyelitis post polio,0.5026
85,302,thesaurus.topn3,poliomyelitis post polio,0.5026
86,302,thesaurus.topn3.replace,poliomyelitis post polio,0.5026
87,302,conceptluster.topn5.3.bm25,poliomyelitis post polio post polio syndrome,0.4355
88,302,conceptluster.topn5.3.qld,poliomyelitis post polio post polio syndrome,0.4355
89,302,wordnet.topn3.replace,polio acute anterior poliomyelitis post polio,0.4342
90,302,bt_nllb_chinese_yue,After polio and polio,0.4324
91,302,bt_nllb_malay,Polio and after polio,0.4324
92,302,bt_nllb_tamil,After polio and polio,0.4324
93,302,bt_bing_arabic,Polio and post polio,0.4228
94,302,bt_bing_persian,Polio and post polio,0.4228
95,302,bt_bing_tamil,Polio and post polio,0.4228
96,302,bt_nllb_french,Polio and the Post Polio,0.4228
97,302,stem.trunc5,polio and post polio,0.4228
98,302,bt_nllb_arabic,Polio and polio,0.4208
99,302,bt_nllb_german,Polio and postpolio,0.4208
