,qid,order,query,qld.map
0,301,-1,International Organized Crime,0.0104
1,301,glove.topn3,international organized crime global which organised criminal,0.0203
2,301,anchor.topn3,international organized crime confédérat föderat kanusport anti corruption anti econom drug,0.0194
3,301,word2vec.topn3,international organized crime national global domestic organised criminality,0.0156
4,301,wiki.topn3,international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime,0.0135
5,301,wiki.topn3.replace,constitutional law public international law criminal law international law extortion mafia money laundering organized crime,0.0134
6,302,-1,Poliomyelitis and Post-Polio,0.5115
7,302,relevancefeedback.topn10.qld,poliomyelitis and post polio case polio i health hi vaccin china percent,0.5762
8,302,relevancefeedback.topn10.bm25,poliomyelitis and post polio case polio i health vaccin china aid,0.5478
9,302,wordnet.topn3,poliomyelitis post polio polio acute anterior poliomyelitis,0.5277
10,302,tagmee.topn3,poliomyelitis post polio Poliomyelitis Post polio syndrome,0.518
11,303,-1,Hubble Telescope Achievements,0.1915
12,303,wiki.topn3,hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope,0.2933
13,303,wiki.topn3.replace,great observatories program hubble space telescope standard candles hubble space telescope,0.2863
14,303,bt_nllb_swahili,The results of the Hubble Telescope,0.2495
15,303,wordnet.topn3,hubble telescope achievements Edwin Hubble Edwin Powell Hubble scope accomplishment,0.1966
16,304,-1,Endangered Species (Mammals),0.037
17,304,bt_nllb_swahili,Endangered Species Animals,0.0606
18,304,bt_nllb_chinese_yue,They are endangered,0.0513
19,304,conceptluster.topn5.3.bm25,endangered species mammals endangered species,0.0471
20,304,conceptluster.topn5.3.qld,endangered species mammals endangered species,0.0471
21,304,bt_bing_malay,Endangered Species Mamalia,0.0457
22,304,bt_nllb_korean,Endangered species,0.0457
23,304,stem.lovins,endanger speci mam,0.0455
24,304,stem.paicehusk,endang specy mam,0.0455
25,304,bt_nllb_persian,Endangered species clover,0.04
26,305,-1,Most Dangerous Vehicles,0.0044
27,305,conceptluster.topn5.3.bm25,dangerous vehicles risk,0.0173
28,305,conceptluster.topn5.3.qld,dangerous vehicles risk,0.0173
29,305,wordnet.topn3,dangerous vehicles life threatening unsafe fomite,0.0159
30,305,sensedisambiguation,Most Dangerous Vehicles vehicle,0.0098
31,305,termluster.topn5.3.bm25,dangerous vehicles,0.0071
32,305,termluster.topn5.3.qld,dangerous vehicles,0.0071
33,305,thesaurus.topn3,dangerous vehicles,0.0071
34,305,thesaurus.topn3.replace,dangerous vehicles,0.0071
35,305,wiki.topn3,dangerous vehicles risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle,0.006
36,305,wiki.topn3.replace,risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle,0.0059
37,305,tagmee.topn3.replace,Risk Vehicle,0.0051
38,305,tagmee.topn3,dangerous vehicles Risk Vehicle,0.0049
39,306,-1,African Civilian Deaths,0.0527
40,307,-1,New Hydroelectric Projects,0.2124
41,307,tagmee.topn3,new hydroelectric projects Hydroelectricity Project,0.214
42,307,tagmee.topn3.replace,Hydroelectricity Project,0.2136
43,308,-1,Implant Dentistry,0.2812
44,308,bt_bing_arabic,Dental implants,0.5
45,308,bt_bing_persian,Dental implant,0.5
46,308,bt_bing_swahili,Dental implants,0.5
47,308,bt_nllb_german,Implant teeth,0.5
48,308,bt_nllb_malay,Dental Implantation,0.5
49,308,bt_nllb_persian,Dental implant,0.5
50,308,conceptluster.topn5.3.bm25,implant dentistry dental implant,0.5
51,308,conceptluster.topn5.3.qld,implant dentistry dental implant,0.5
52,308,word2vec.topn3.replace,implant dental dentists,0.5
53,308,wiki.topn3,implant dentistry soft tissue sinus lift sinus surgery dental implant cardiology physical therapy otolaryngology dentistry,0.3333
54,308,wiki.topn3.replace,soft tissue sinus lift sinus surgery dental implant cardiology physical therapy otolaryngology dentistry,0.3125
55,308,wordnet.topn3,implant dentistry embed plant odontology dental medicine,0.3056
56,309,-1,Rap and Crime,0.0
57,309,conceptnet.topn3,rap crime music hip hop,0.0076
58,309,wiki.topn3,rap crime reggaeton underground hip hop gangsta rap rapping,0.006
59,309,wiki.topn3.replace,reggaeton underground hip hop gangsta rap rapping,0.006
60,309,word2vec.topn3,rap crime hip hop hiphop criminality,0.0057
61,309,conceptnet.topn3.replace,music hip hop crime,0.0048
62,310,-1,Radio Waves and Brain Cancer,0.1362
63,311,-1,Industrial Espionage,0.2058
64,312,-1,Hydroponics,0.8553
65,313,-1,Magnetic Levitation-Maglev,0.768
66,313,relevancefeedback.topn10.bm25,magnetic levitation maglev magnet la would railwai project train car said,0.78
67,313,relevancefeedback.topn10.qld,magnetic levitation maglev magnet train railwai la said would project,0.7767
68,314,-1,Marine Vegetation,0.0019
69,314,bt_nllb_persian,Seaweed,0.1828
70,314,bt_nllb_swahili,Seaweed,0.1828
71,314,conceptluster.topn5.3.bm25,marine vegetation ocean,0.0489
72,314,conceptluster.topn5.3.qld,marine vegetation ocean,0.0489
73,314,wiki.topn3,marine vegetation ocean current seabed continental shelf ocean ecosystem biome biomes vegetation,0.0419
74,314,tagmee.topn3.replace,Ocean Vegetation,0.0318
75,314,tagmee.topn3,marine vegetation Ocean Vegetation,0.029
76,314,bt_nllb_russian,Sea vegetation,0.0254
77,314,bt_bing_korean,Marine Plants,0.0246
78,314,bt_bing_malay,Marine plants,0.0246
79,314,bt_bing_tamil,Marine plants,0.0246
80,314,bt_nllb_arabic,Marine plants,0.0246
81,314,wiki.topn3.replace,ocean current seabed continental shelf ocean ecosystem biome biomes vegetation,0.0246
82,314,bt_nllb_german,Protection of the seas,0.0234
83,314,bt_nllb_chinese_yue,Sea plants,0.006
84,314,bt_nllb_korean,Sea plants,0.006
85,314,bt_nllb_malay,Sea plants,0.006
86,314,bt_nllb_tamil,Sea plants,0.006
87,315,-1,Unexplained Highway Accidents,0.0035
88,315,conceptluster.topn5.3.bm25,unexplained highway accidents traffic collision,0.0099
89,315,conceptluster.topn5.3.qld,unexplained highway accidents traffic collision,0.0099
90,315,bt_nllb_chinese_yue,The cause of the accident is unknown,0.0085
91,315,tagmee.topn3,unexplained highway accidents Highway Traffic collision,0.0075
92,315,tagmee.topn3.replace,Highway Traffic collision,0.0056
93,315,wordnet.topn3,unexplained highway accidents main road chance event stroke,0.0052
