qid	order	query	bm25.ndcg
301	-1	International Organized Crime	0.0586
302	-1	Poliomyelitis and Post-Polio	0.7405
303	-1	Hubble Telescope Achievements	0.5126
303	bt_nllb_swahili	The results of the Hubble Telescope	0.5694
304	-1	Endangered Species (Mammals)	0.2081
305	-1	Most Dangerous Vehicles	0.0323
306	-1	African Civilian Deaths	0.1539
307	-1	New Hydroelectric Projects	0.3366
308	-1	Implant Dentistry	0.488
308	bt_nllb_german	Implant teeth	0.5856
308	bt_nllb_malay	Dental Implantation	0.5856
308	bt_nllb_persian	Dental implant	0.5856
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	0.3509
310	bt_nllb_chinese_yue	Radiation and brain cancer	0.3672
310	bt_nllb_korean	Radiation and Brain Cancer	0.3672
311	-1	Industrial Espionage	0.4199
312	-1	Hydroponics	0.9559
313	-1	Magnetic Levitation-Maglev	0.8249
314	-1	Marine Vegetation	0.0168
314	bt_nllb_persian	Seaweed	0.4804
314	bt_nllb_swahili	Seaweed	0.4804
314	bt_nllb_russian	Sea vegetation	0.1041
314	bt_nllb_arabic	Marine plants	0.0716
314	bt_nllb_german	Protection of the seas	0.0534
314	bt_nllb_chinese_yue	Sea plants	0.0312
314	bt_nllb_korean	Sea plants	0.0312
314	bt_nllb_malay	Sea plants	0.0312
314	bt_nllb_tamil	Sea plants	0.0312
315	-1	Unexplained Highway Accidents	0.1104
315	bt_nllb_chinese_yue	The cause of the accident is unknown	0.1882
316	-1	Polygamy Polyandry Polygyny	0.7496
316	bt_nllb_chinese_yue	Polygamy polygamy polygamy and polygamy	0.7715
316	bt_nllb_french	Polygamy and polygamy	0.7715
316	bt_nllb_german	Polygamy and polygamy	0.7715
316	bt_nllb_malay	Polygamy Polygamy	0.7715
317	-1	Unsolicited Faxes	0.7129
318	-1	Best Retirement Country	0.0276
319	-1	New Fuel Sources	0.1447
320	-1	Undersea Fiber Optic Cable	0.2138
320	bt_nllb_french	Submarine fibre optic cable	0.3073
321	-1	Women in Parliaments	0.3349
322	-1	International Art Crime	0.016
322	bt_nllb_french	International crime against art	0.0182
323	-1	Literary/Journalistic Plagiarism	0.435
323	bt_nllb_malay	Literary plagiarism	0.4689
324	-1	Argentine/British Relations	0.4965
324	bt_nllb_malay	The Argentine British relationship	0.4977
325	-1	Cult Lifestyles	0.2437
326	-1	Ferry Sinkings	0.7257
327	-1	Modern Slavery	0.3936
327	bt_nllb_malay	Modern day Slavery	0.4184
328	-1	Pope Beatifications	0.784
329	-1	Mexican Air Pollution	0.4808
329	bt_nllb_arabic	Air pollution in Mexico	0.6167
329	bt_nllb_chinese_yue	Air pollution in Mexico	0.6167
329	bt_nllb_french	Air Pollution in Mexico	0.6167
329	bt_nllb_german	Air pollution in Mexico	0.6167
329	bt_nllb_korean	Air Pollution in Mexico	0.6167
329	bt_nllb_malay	Air Pollution in Mexico	0.6167
329	bt_nllb_persian	Air pollution in Mexico	0.6167
329	bt_nllb_russian	Air pollution in Mexico	0.6167
329	bt_nllb_swahili	Air Pollution in Mexico	0.6167
330	-1	Iran-Iraq Cooperation	0.1171
330	bt_nllb_german	Cooperation between Iran and Iraq	0.1787
331	-1	World Bank Criticism	0.3363
332	-1	Income Tax Evasion	0.1474
333	-1	Antibiotics Bacteria Disease	0.4352
333	bt_nllb_french	Antibiotics for bacteria	0.4811
334	-1	Export Controls Cryptography	0.235
334	bt_nllb_arabic	Export control Encryption	0.73
334	bt_nllb_tamil	Encryption of export controls	0.73
334	bt_nllb_chinese_yue	Export controls the password	0.3833
335	-1	Adoptive Biological Parents	0.503
336	-1	Black Bear Attacks	0.1371
337	-1	Viral Hepatitis	0.3693
337	bt_nllb_tamil	Hepatitis is a viral disease	0.3752
338	-1	Risk of Aspirin	0.5585
338	bt_nllb_persian	The risks of aspirin use	0.5856
338	bt_nllb_russian	Risks of using aspirin	0.5856
339	-1	Alzheimer's Drug Treatment	0.4573
340	-1	Land Mine Ban	0.2795
340	bt_nllb_arabic	The landmine ban	0.313
340	bt_nllb_french	Prohibition of landmines	0.2949
340	bt_nllb_german	Prohibition of landmines	0.2949
