qid	order	query	qld.map
701	-1	U.S. oil industry history	0.008
701	bt_nllb_arabic	The history of the American oil industry	0.02
701	bt_nllb_french	The history of the American oil industry	0.02
701	bt_nllb_german	The history of the US oil industry	0.0166
701	bt_nllb_chinese_yue	The history of the U S oil industry	0.008
701	bt_nllb_korean	The history of the U S oil industry	0.008
701	bt_nllb_malay	History of the U S oil industry	0.008
701	bt_nllb_persian	The history of the U S oil industry	0.008
701	bt_nllb_russian	The history of the U S oil industry	0.008
701	bt_nllb_swahili	The history of the U S oil industry	0.008
701	bt_nllb_tamil	The history of the U S oil industry	0.008
702	-1	Pearl farming	0.0264
702	bt_nllb_french	Cultivation of pearls	0.0488
702	bt_nllb_chinese_yue	Pearl farming	0.0264
702	bt_nllb_german	Pearl farming	0.0264
702	bt_nllb_korean	Pearl farming	0.0264
702	bt_nllb_malay	Pearl farming	0.0264
702	bt_nllb_russian	Pearl farming	0.0264
702	bt_nllb_swahili	The pearl farm	0.0264
702	bt_nllb_tamil	pearl farming	0.0264
704	-1	Green party political views	0.0489
704	bt_nllb_arabic	The political views of the Green Party	0.0489
704	bt_nllb_french	The political views of the Green Party	0.0489
704	bt_nllb_korean	The political views of the Green Party	0.0489
704	bt_nllb_malay	Green Party political views	0.0489
704	bt_nllb_persian	The political views of the Green Party	0.0489
704	bt_nllb_russian	Political views of the Green Party	0.0489
704	bt_nllb_swahili	The political views of the Green Party	0.0489
704	bt_nllb_tamil	Green Party political views	0.0489
705	-1	Iraq foreign debt reduction	0.1034
705	bt_nllb_russian	Reducing Iraq s external debt	0.1946
705	bt_nllb_malay	Reduction of external debt to Iraq	0.1932
705	bt_nllb_french	Reduction of Iraq s external debt	0.1766
705	bt_nllb_chinese_yue	Iraq s foreign debt is falling	0.1303
705	bt_nllb_german	Reduction of foreign debt in Iraq	0.1034
706	-1	Controlling type II diabetes	0.0321
706	bt_nllb_french	Control of type II diabetes	0.0321
706	bt_nllb_german	Control of type II diabetes	0.0321
706	bt_nllb_russian	Control of type II diabetes	0.0321
706	bt_nllb_swahili	Control of type II diabetes	0.0321
706	bt_nllb_tamil	Control of type II diabetes	0.0321
707	-1	Aspirin cancer prevention	0.2795
707	bt_nllb_french	Prevention of cancer by aspirin	0.2795
707	bt_nllb_german	Aspirin for the Prevention of Cancer	0.2795
707	bt_nllb_malay	Aspirin to prevent cancer	0.2795
707	bt_nllb_russian	Prevention of cancer with aspirin	0.2795
708	-1	Decorative slate sources	0.1784
708	bt_nllb_korean	Decorative slate source	0.1784
709	-1	Horse racing jockey weight	0.6158
709	bt_nllb_french	Weight of the horse racing jockey	0.6158
709	bt_nllb_korean	Horse racing jockey weight	0.6158
709	bt_nllb_swahili	Weight of jockeys in horse racing	0.6158
710	-1	Prostate cancer treatments	0.2001
710	bt_nllb_arabic	Treatment for prostate cancer	0.2001
710	bt_nllb_chinese_yue	Treatment of prostate cancer	0.2001
710	bt_nllb_french	Treatment of prostate cancer	0.2001
710	bt_nllb_german	Treatment of prostate cancer	0.2001
710	bt_nllb_korean	Treatment for prostate cancer	0.2001
710	bt_nllb_malay	Treatment of prostate cancer	0.2001
710	bt_nllb_persian	Treatment for prostate cancer	0.2001
710	bt_nllb_russian	Treatment of prostate cancer	0.2001
710	bt_nllb_swahili	Treatment of prostate cancer	0.2001
710	bt_nllb_tamil	The treatment for prostate cancer	0.2001
711	-1	Train station security measures	0.0419
711	bt_nllb_chinese_yue	Security measures at the railway station	0.051
711	bt_nllb_malay	Railway station security measures	0.051
711	bt_nllb_tamil	Railway station security measures	0.051
711	bt_nllb_arabic	Security measures for the train station	0.0419
711	bt_nllb_korean	Security measures at the train station	0.0419
711	bt_nllb_persian	Security measures at the train station	0.0419
712	-1	Pyramid scheme	0.2003
712	bt_nllb_chinese_yue	The pyramid scheme	0.2003
712	bt_nllb_french	The pyramid scheme	0.2003
712	bt_nllb_korean	The pyramid scheme	0.2003
712	bt_nllb_malay	The Pyramid Scheme	0.2003
712	bt_nllb_persian	The pyramid scheme	0.2003
712	bt_nllb_russian	The pyramid scheme	0.2003
713	-1	Chesapeake Bay Maryland clean	0.0949
713	bt_nllb_arabic	Chesapeake Bay Maryland is clean	0.0949
713	bt_nllb_chinese_yue	Chesapeake Bay is clean in Maryland	0.0949
713	bt_nllb_french	Chesapeake Bay Maryland clean	0.0949
713	bt_nllb_german	Chesapeake Bay Maryland clean	0.0949
713	bt_nllb_korean	Chesapeake Bay Maryland is clean	0.0949
713	bt_nllb_malay	Chesapeake Bay Maryland is clean	0.0949
713	bt_nllb_russian	The clean Chesapeake Bay of Maryland	0.0949
713	bt_nllb_swahili	Chesapeake Bay Maryland clean	0.0949
714	-1	License restrictions older drivers	0.0769
714	bt_nllb_arabic	The restrictions on older drivers licenses	0.0769
714	bt_nllb_persian	Restrictions on older drivers licenses	0.0769
715	-1	Schizophrenia drugs	0.0737
715	bt_nllb_chinese_yue	Schizophrenia drugs	0.0737
715	bt_nllb_french	Drugs for schizophrenia	0.0737
715	bt_nllb_persian	The schizophrenia drugs	0.0737
716	-1	Spammer arrest sue	0.0532
716	bt_nllb_german	Spammer arrest lawsuit	0.1863
716	bt_nllb_korean	Spammers arresting lawsuit	0.1863
716	bt_nllb_tamil	The case of the arrest of the spammers	0.1355
716	bt_nllb_swahili	Spammer arrested trial	0.1209
716	bt_nllb_chinese_yue	Arrest and prosecution of spam	0.066
717	-1	Gifted talented student programs	0.1056
718	-1	Controlling acid rain	0.1113
718	bt_nllb_arabic	Control of acid rain	0.1113
718	bt_nllb_chinese_yue	Control the acid rain	0.1113
718	bt_nllb_french	Control of acid rain	0.1113
718	bt_nllb_german	Control of acid rain	0.1113
718	bt_nllb_persian	Acid rain control	0.1113
718	bt_nllb_russian	Control of acid rain	0.1113
718	bt_nllb_swahili	Control of acid rain	0.1113
719	-1	Cruise ship damage sea life	0.0312
719	bt_nllb_chinese_yue	Cruising ships are damaging marine life	0.0902
719	bt_nllb_french	Cruise ships are damaging marine life	0.0902
719	bt_nllb_korean	The damage to marine life on cruise ships	0.0902
719	bt_nllb_malay	Damage to the marine life cruise ship	0.0902
719	bt_nllb_persian	Cruise ships are damaging marine life	0.0902
719	bt_nllb_russian	Damage to marine life on cruise ships	0.0902
719	bt_nllb_german	Damage to marine structures of cruise ships	0.0882
720	-1	Federal welfare reform	0.0556
720	bt_nllb_arabic	Federal welfare reform	0.0556
720	bt_nllb_chinese_yue	Federal welfare reform	0.0556
720	bt_nllb_french	Federal welfare reform	0.0556
720	bt_nllb_german	Federal welfare reform	0.0556
720	bt_nllb_korean	Federal welfare reforms	0.0556
720	bt_nllb_malay	Federal Welfare Reform	0.0556
720	bt_nllb_persian	Federal welfare reforms	0.0556
720	bt_nllb_swahili	Reforms to federal welfare	0.0556
720	bt_nllb_tamil	Federal welfare reform	0.0556
721	-1	Census data applications	0.0088
721	bt_nllb_korean	Apply for census data	0.017
721	bt_nllb_french	Applications of census data	0.0088
721	bt_nllb_german	Applications for census data	0.0088
721	bt_nllb_tamil	Applications for census data	0.0088
722	-1	Iran terrorism	0.2975
722	bt_nllb_german	Terrorism in Iran	0.2975
