qid	order	query	bm25.recip_rank
INEX_LD-2009022	-1	Szechwan dish food cuisine	1.0
INEX_LD-2009022	bt_bing_korean	Sichuan cuisine food cooking	0.5
INEX_LD-2009022	bt_bing_persian	Sichuan Food	0.5
INEX_LD-2009022	bt_bing_german	Szechuan Dish Kitchen	0.3333
INEX_LD-2009022	bt_nllb_korean	Cooking the dishes	0.0435
INEX_LD-2009022	bt_bing_arabic	Sichuan Platter Food	0.04
INEX_LD-2009022	bt_nllb_german	Chequan buffalo cuisine	0.0139
INEX_LD-2009022	bt_nllb_arabic	Seizuan food	0.0
INEX_LD-2009022	bt_nllb_chinese_yue	The recipe	0.0
INEX_LD-2009022	bt_nllb_persian	Cooking Sheep s Meals	0.0
INEX_LD-2009022	bt_nllb_russian	The kitchen of the sequoia	0.0
INEX_LD-2009022	bt_nllb_tamil	The food is cooked by Tshuang	0.0
INEX_LD-2009039	-1	roman architecture	1.0
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3333
INEX_LD-2009053	bt_bing_swahili	Finnish auto industry manufacturer Saab Sisu	0.2
INEX_LD-2009053	bt_bing_russian	Finnish automotive manufacturer Saab Sisu	0.1667
INEX_LD-2009061	-1	france second world war normandy	1.0
INEX_LD-2009061	bt_bing_arabic	France World War II Normandy	0.5
INEX_LD-2009061	bt_bing_chinese_simplified	France World War II Normandy	0.5
INEX_LD-2009061	bt_bing_french	France World War II Normandy	0.5
INEX_LD-2009061	bt_bing_german	France World War II Normandy	0.5
INEX_LD-2009061	bt_bing_korean	French World War II Normandy	0.5
INEX_LD-2009061	bt_bing_persian	France World War II Normandy	0.5
INEX_LD-2009061	bt_bing_russian	France World War II Normandy	0.5
INEX_LD-2009061	bt_bing_swahili	French World War II Normandy	0.5
INEX_LD-2009061	bt_bing_tamil	France World War II Normandy	0.5
INEX_LD-2009061	bt_nllb_chinese_yue	France World War II Normandy and the French	0.5
INEX_LD-2009061	bt_nllb_tamil	France World War II Normandy	0.5
INEX_LD-2009061	bt_nllb_arabic	France World War II Normandy and the French and Indian War	0.25
INEX_LD-2009062	-1	social network group selection	0.1
INEX_LD-2009062	bt_nllb_chinese_yue	Social media is a group	0.0526
INEX_LD-2009062	bt_bing_arabic	Choosing a social network group	0.0
INEX_LD-2009062	bt_bing_french	Selecting a Social Media Group	0.0
INEX_LD-2009062	bt_bing_korean	Choosing a social network group	0.0
INEX_LD-2009062	bt_bing_russian	Choosing a social media group	0.0
INEX_LD-2009062	bt_nllb_arabic	Choosing social network groups	0.0
INEX_LD-2009062	bt_nllb_korean	Choose a social network group	0.0
INEX_LD-2009062	bt_nllb_malay	Choice of social networking group	0.0
INEX_LD-2009062	bt_nllb_persian	Choosing a social media group	0.0
INEX_LD-2009062	bt_nllb_swahili	Choosing a social networking group	0.0
INEX_LD-2009063	-1	D-Day normandy invasion	1.0
INEX_LD-2009063	bt_nllb_chinese_yue	The Norman invasion of D Day	0.0345
INEX_LD-2009063	bt_nllb_tamil	The D Day Norman invasion	0.0345
INEX_LD-2009074	-1	web ranking scoring algorithm	0.2
INEX_LD-2009074	bt_bing_swahili	Web level scoring algorithm	0.1667
INEX_LD-2009074	bt_bing_chinese_simplified	Network Ranking Scoring Algorithm	0.125
INEX_LD-2009074	bt_nllb_russian	algorithm for rating of websites	0.0208
INEX_LD-2009074	bt_nllb_german	The following is the list of the categories of users of the service	0.0
INEX_LD-2009096	-1	Eiffel	1.0
INEX_LD-2009096	bt_nllb_french	The Eiffel fire	0.04
INEX_LD-2009096	bt_nllb_arabic	I m not	0.0
INEX_LD-2009096	bt_nllb_chinese_yue	I m not sure	0.0
INEX_LD-2009096	bt_nllb_german	Eggs	0.0
INEX_LD-2009096	bt_nllb_korean	The Epel	0.0
INEX_LD-2009096	bt_nllb_persian	I m going to the hospital	0.0
INEX_LD-2009096	bt_nllb_tamil	the ifel	0.0
INEX_LD-2009111	-1	europe solar power facility	0.5
INEX_LD-2009111	bt_nllb_swahili	Europe solar power station	0.3333
INEX_LD-2009111	bt_bing_korean	Solar power generation facilities in Europe	0.25
INEX_LD-2009111	bt_bing_french	Solar power plant in Europe	0.2
INEX_LD-2009111	bt_bing_german	Solar power plant in Europe	0.2
INEX_LD-2009111	bt_bing_russian	Solar power plant in Europe	0.2
INEX_LD-2009111	bt_nllb_chinese_yue	Solar powered plants in Europe	0.2
INEX_LD-2009111	bt_nllb_german	Europe solar power plant	0.2
INEX_LD-2009111	bt_nllb_tamil	Europe solar powered	0.1111
INEX_LD-2009111	bt_nllb_french	The European Union	0.0
INEX_LD-2009115	-1	virtual museums	1.0
INEX_LD-2009115	bt_nllb_malay	The Mayan Museum	0.0
INEX_LD-2010004	-1	Indian food	0.3333
INEX_LD-2010014	-1	composer museum	0.5
INEX_LD-2010014	bt_nllb_persian	The Musical Museum	0.0189
INEX_LD-2010014	bt_nllb_tamil	The Musical Museum	0.0189
INEX_LD-2010014	bt_bing_swahili	Composer s Museum	0.0
INEX_LD-2010014	bt_nllb_arabic	The Museum of the Author	0.0
INEX_LD-2010014	bt_nllb_chinese_yue	The Musicians Museum	0.0
INEX_LD-2010014	bt_nllb_german	The composer s museum	0.0
INEX_LD-2010014	bt_nllb_korean	The composer s museum	0.0
INEX_LD-2010014	bt_nllb_malay	The Composer s Museum	0.0
INEX_LD-2010014	bt_nllb_swahili	museums of the writer	0.0
INEX_LD-2010019	-1	gallo roman architecture in paris	0.0185
INEX_LD-2010019	bt_bing_persian	Gallo s Roman architecture in Paris	0.0114
INEX_LD-2010019	bt_nllb_arabic	Gallo Romanesque architecture in Paris	0.0
INEX_LD-2010019	bt_nllb_persian	The architecture of the Gallo Rome in Paris	0.0
INEX_LD-2010019	bt_nllb_tamil	The architecture of the Calo Romanesque in Paris	0.0
INEX_LD-2010020	-1	electricity source in France	0.0714
INEX_LD-2010020	bt_nllb_arabic	Electricity supply in France	0.0169
INEX_LD-2010020	bt_nllb_korean	The electricity supply in France	0.0169
INEX_LD-2010020	bt_nllb_chinese_yue	French power supply	0.0
INEX_LD-2010020	bt_nllb_persian	Power supply in France	0.0
INEX_LD-2010037	-1	social network API	1.0
INEX_LD-2010037	bt_nllb_russian	API of social media	0.5
INEX_LD-2010043	-1	List of films from the surrealist category	1.0
