qid	order	query	bm25.map
701	-1	u.s. oil industry history	0.0137
701	pred.base.6	<extra_id_0> oil industry history. <extra_id_1> fossil oil industry history. oil industry history. u.s. oil industry history: dry ole field history u.s. oil industry history industrial history ole fields history ole fields history u.s. crude industry history oil and gas industry history oil	0.0299
701	pred.base.2	<extra_id_0> oil industry history history <extra_id_1> oil industry story <extra_id_2> oil industry history <extra_id_3> oil industry history food industry history <extra_id_4> oil industry history <extra_id_5> and <extra_id_6> u.s. <extra_id_7> history <extra_id_8> oil & gas exploration <extra_id_9> key <extra_id_10> U.s. oil industry history <extra_id_11> u.s. oil industry history history <extra_id_12> history oil	0.0271
701	pred.base.9	<extra_id_0> oil industry history and oil formulae history and history of oil industry history and oil industry history and oil industry history and petroleum history and history of oil industry history and history. u.s. oil industry history and history of oil industry history and history of u.s. oil industry history and history.	0.0229
701	pred.base.3	<extra_id_0> oil industry history ultimate history of the u.s. oil industry history. american oil industry history.	0.0207
701	pred.base.10	<extra_id_0> past and present oil industry history. <extra_id_1> oil industry history american oil industry history. crude industry history history american oil industry history u.s. oil industry history oil industry history u.s. petroleum industry history u.s. oil industry history oil industry history u.s. petroleum industry history	0.018
701	pred.base.5	<extra_id_0> oil industry history - <extra_id_1> oil industry history u.s. production c. <extra_id_2>. <extra_id_3> oil industry history history <extra_id_4> oil industry history u.s. oil program <extra_id_5> oil industry history <extra_id_6> oil industry history oil industry history u.s. <extra_id_7> history <extra_id_8> history <extra_id_9> chart <extra_id_10> history <extra_id_11> largest <extra_id_12>	0.0169
701	pred.base.4	<extra_id_0> oil industry history and sold value <extra_id_1> oil industry history and trade history news. <extra_id_2>. <extra_id_3> oil industry history and sold value <extra_id_4> oil industry history and <extra_id_5> oil industry history and <extra_id_6>. oil industry history u.s. history. <extra_id_7> history <extra_id_8> gas industry history u.s. <extra_id_9>. <extra_id_10> oil industry history	0.0146
702	-1	pearl farming	0.0199
702	pred.base.3	<extra_id_0> whole reef <extra_id_1>porralizing to low cost pearl farming factories. 3. Earned most of our pearl farming harvests and produce the biggest number of pearls in the world!	0.0431
702	pred.base.9	<extra_id_0> pearl farming and pearl farming <extra_id_1> pearl farming for pearl farming into pearl fishing (PALLEFAR-RA) in a World Agriculture Program (FAOP) in Flores, TMTB 468 of the World Heritage Trail markers planted over 82,000 per hectare in Flore <extra_id_7> and included in with	0.0305
702	pred.base.10	<extra_id_0> pearl farms (bambino followers) are any natural products produced from white grapes. Application processing a method for enabling the hatchery of artificial pearls to grow abundantly and produce a variety of pea aquaculture fruit and vegetables.	0.0252
702	pred.base.2	<extra_id_0> pearl farming <extra_id_1> pearl farming <extra_id_2> pearl farming <extra_id_3> pearl farming. Pearl farming is a form of pearl farming.	0.0219
702	pred.base.1	<extra_id_0> pearl farming and pearl farming.	0.0199
702	pred.base.6	<extra_id_0> pearl farm).	0.0199
704	-1	green party political views	0.0575
704	pred.base.6	<extra_id_0> parties political views on green party political issues. Green party politiques and ’green party’ political views, its true colours political views green party political views green party political views green party political views green party politics green party political views green party political views green party political views green party political views green party political views green party	0.0927
704	pred.base.10	<extra_id_0> political views <extra_id_1> political views green party politics checking party political parties political views green party political views phoning party political views green party political views green party political views green party political views green party political views, green party political views think <extra_id_9> green party green party politics green party political views green party political views traditional green party	0.0913
704	pred.base.8	<extra_id_0> leadership styles have struggled in the green party political views and according to green party political views political party registered ideas political views political views green party republican political views green party political views green party political views green party political views green party political views political views green party political views green party political views green party political views grassroots	0.0816
704	pred.base.5	<extra_id_0> primary opinion Green party political views green party politische views green party political views green party political views lettuce leaf green party political views green party political views green party political views green party political views green party political views green party political views green party political views green party ideological views green party political views green party social views green party political	0.0695
704	pred.base.7	<extra_id_0> political views political party green party campaigns politics views green party political views green party political views green party political views juridique issues green party political views green party political views green party political views green party political views <extra_id_21> views green party political views green party political views green party political views green party political views of liver party green party political	0.0654
704	pred.base.2	<extra_id_0> political views <extra_id_1> political views green party political views political views green party political views political views green party political views green party political views politics green party political views green party political views green party party political views politics green party party political views green party political views green party political views green party political views green party political views green party	0.0634
705	-1	iraq foreign debt reduction	0.1226
705	pred.base.7	<extra_id_0>. iraq foreign debt reduction, disbursement of foreign debt in iraq, iraq foreign parliament iraq foreign debt reduction, <extra_id_7>, iraqi debt reduction, iraqi bond reduction, ir	0.2459
705	pred.base.9	<extra_id_0> foreign debt. iraq foreign debt reduction incursions iraq foreign debt reduction iraqi iraqi foreign debt reduction iraqi iraqi iraqi stress reduction. iraq	0.242
705	pred.base.5	<extra_id_0>. <extra_id_1> of foreign debt iraqi foreign debt reduction war in iraq already has scope challenging another fatal debt (20iraq) reduction iraq foreign debt reduction concern examination cost reduced iraq outer debt reduction iraq foreign debt	0.1481
705	pred.base.10	<extra_id_0> iraq foreign debt reduction <extra_id_1> impediment <extra_id_2> iraq foreign debt reduction iraq foreign debt reduction iraq debt reduction iraq foreign debt reducing. iraq foreign theft intervention/pending tribute to ir	0.1326
706	-1	controlling type ii diabetes	0.025
706	pred.base.7	<extra_id_0> ii diabetes <extra_id_1> ii diabetes <extra_id_2> ii diabetes. controlling type ii diabetes in fish food regimens. controlling type i ii diabetes i f ⁇  ii Diabetes Control and Prevention: New York University.	0.0547
706	pred.base.9	<extra_id_0> ii diabetes <extra_id_1> and type ii diabetes making bankable the panacea of choice for diabetes and type ii diabetes rest in proper maintenance.	0.0412
706	pred.base.2	<extra_id_0> ii sufferers with type 2 diabetes <extra_id_1> type ii diabetes in a tailor-made PC with monitor glucose levels.	0.0299
706	pred.base.1	<extra_id_0> ii Sabla <extra_id_1>. <extra_id_2> ii diabetes. A guide with diabetes predictive diagnosis <extra_id_3> diabetes type II diabetes type ii Diabetes type ii diabetic diabetes control diet testinge diabetes type ii diabetes ii diabetes type ii diabetes type 1 diabetes type 2 diabetes type 2	0.0292
706	pred.base.3	<extra_id_0> ii diabetes.regularly managing type 2 diabetes by controlling and being confident. ii diabetes is controlled by insulin sgcp and insulin sgcp, with simple glucose mg monohydrate and sclerosensitivity monitors. ii diabetic type	0.0287
706	pred.base.10	<extra_id_0> ii diabetes <extra_id_1> type ii diabetes Ii diabetes : control and better manage diabetes type ii diabetes type stii controlled diabetes type ii diabetes type ii diabetes type ii diabetes type 2 diabetes type 2 diabetes type 2 diabetes type ii diabetes marryidos	0.027
706	pred.base.8	<extra_id_0> ii diabetes <extra_id_1> for 5 years and a quarter of a year, <extra_id_2> type ii diabetes under control. Type ii diabetes msg with fasting glucose treatment.	0.0252
707	-1	aspirin cancer prevention	0.1885
707	pred.base.8	<extra_id_0> melatonin data collection <extra_id_1> cancer prevention target preventing aspirin cancer prevention prevention prevention aspirin cancer gum disease prevention awareness and remission aspirin aspirin cancer cancer death prevention initiation aspirin drug patients at risk for cancer prevention valsartan. aspir	0.2121
707	pred.base.2	<extra_id_0> cancer prevention <extra_id_1> poli lookouts. aspirin cancer prevention. aspirin cancer cancer prevention. aspirin cancer prevention. aspirin treatment for aspirin cancer.	0.2026
708	-1	decorative slate sources	0.1026
708	pred.base.3	<extra_id_0> slate further <extra_id_1> slate sources <extra_id_2> decorative slate sources. Primary slate source. <extra_id_3> slate sources.ish decorative slate sources. Approximating slate sources. Diy slate sources are decorative slate sources. Tile sources. Decorative slate sources. Rich decorative slate sources.	0.1874
708	pred.base.6	<extra_id_0> dust <extra_id_1> slate, decorative slate sources Devonian slate surprises slate - slate decorative slate sources slate slate sources decorative slate sources decorative slate sources bordering decorative slate slate sources slate sources slate decorative slate heritage stone ornaments slate sources slate slate decorative slate sources slate decorative slate sources slate decorative slate sources slate slate decorative slate sources	0.1774
708	pred.base.10	<extra_id_0> decorative slate sources also decorative slate designer slate sources. The slate sources are decorative slate sources gold pit sources, long filtered slate sources, luster and decorative slate slate sources.	0.1738
708	pred.base.8	<extra_id_0> decorative slate sources comprising slate sources AIS acrylic options. Salted slate sources are decorative slate selections prezentate and sold on any slate decorative slate pattern and other slate trim sources, slate sources decorative slate leaf reports and slate decorative slate sources decorative slate sources decorative slate sources decorative slate secure slate slate sources decorative slate slate	0.1606
708	pred.base.9	<extra_id_0> slate sports <extra_id_1> decorative slate slate lighting ways and slate decorative slate sources. Psalm sources slate decorative slate sources slate decorative slate sources slate decorative slate sources slate decorative slate sources slate decorative slate sources decorative slate sources slate decorative slate sources slate decorative slate sources slate decorative slate sources slate source slate decorative slate sources slate decorative slate	0.1361
708	pred.base.1	<extra_id_0> from Bermuda.com <extra_id_1> decorative slate base sources. <extra_id_2> slate decorative slate supports. Slate decorative slate sources net slate decorative slate sources . slate decorative slate sources slate decorative slate sources decorative slate sources slate decorative slate sources slate decorative slate sources decorative slate sources decorative slate sources decorative slate source decorative slate sources slate decorative slate sources	0.1324
708	pred.base.7	<extra_id_0> decorative slate sources decorative slate slate sources decorative slate stones are decorative slate sources decorative slate sources decorative slate sources decorative slate information slate slate primary slate decorative slate decorative slate sources decorative slate slate sources decorative slate sources decorative slate sources decorative slate sources decorative slate sources decorative slate sources decorative slate sources slate decorative slate sources decorative slate sources decorative slate	0.128
708	pred.base.5	<extra_id_0> decorative slate slate sources <extra_id_1>/or decorative slate slate-from-slate mesh decorative slate sources decorative slate slate projects.	0.1203
708	pred.base.2	<extra_id_0> <extra_id_1> slate sources <extra_id_2> slate sources <extra_id_3> slate decorative slate sources <extra_id_4> slate sources. Or, slate sources help create slate <extra_id_5> slate sources to create decorative slate sources. <extra_id_6> slate sources for slate source are dincorporant slate sources.	0.1069
709	-1	horse racing jockey weight	0.6481
710	-1	prostate cancer treatments	0.2122
