qid	order	query	bm25.map
301	-1	international organized crime	0.0096
301	pred.base.6	<extra_id_0> organized crime <extra_id_1> organized crime. International organized crime at this stage is international organized crime, which is rapidly becoming an international organized crime. Additionally there is a growing need for healthy drug and organized crime methods i/o through the changing definitions of organized crime, they are also now well documented worldwide in the in	0.0328
301	pred.base.5	<extra_id_0> organized crime <extra_id_1> organized crime international organized crime international financial community organizations crime intensify than ever before and use of international organized crime organized crime crimes against humanity (ICCT) as part of racketeering organized crime engines.	0.0187
301	pred.base.4	<extra_id_0> organized crime(IGOC) in search of international organized crime charged international organized crime (unorganized crime) organized crime scourge internationally organized crime (ictc) organized crime (icm) organisée crime (ou international crime organized crime) organisée organised crime (cime) international organized crime	0.0174
301	pred.base.9	<extra_id_0>-9-5 international organized crime community and <extra_id_1> organized crime is a global practice, banned or being carried out in international editions, organized crime claims and weather conditions have grown unnecessarily on the surface in the last few years. This is an emerging reality in terms of organized crime growing	0.0168
301	pred.base.8	<extra_id_0> crime <extra_id_1> organized crime, organised crime and organized crime agencies <extra_id_2> organized crime in <extra_id_3> business community and <extra_id_4> organized crime <extra_id_5> organized crime, <extra_id_6> organised crime community and <extra_id_7> organized crime <extra_id_8> organized crime <extra_id_9>/crime convention program of <extra_id_10> organized crime international organized crime organized crime international organized crime organized crime <extra_id_11> organized crime international classified crime	0.0138
301	pred.base.1	<extra_id_0> crime complex international organized crime (INTC) organized crime often compared to other organised crime sub-disciplines or subconfessions.	0.0134
301	pred.base.2	<extra_id_0> organized crime international organized crime international organized crime international organized crime organised crime international organized crime international organized crime international organized crime international organized crime international international organized crime organization <extra_id_1>f <extra_id_20> crime <extra_id_21> organized crime <extra_id_22> organized crime international organized crime organized crime international organized crime criminal international <extra_id_23> organized crime international organized crime international organized crime organized crime international organized	0.0129
301	pred.base.10	<extra_id_0> organized crime <extra_id_1> organized crime - international organized crime. International organized crime.	0.0114
301	pred.base.7	<extra_id_0>, the international organized crime organization. International organized crime is an organized crime organisation of players and organized crime terrorist groups.	0.0113
301	pred.base.3	<extra_id_0> organized crime international organized crime <extra_id_1> organized crime international really organized crime crimes international organized crime organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime organisé crime international organized crime international organized crime espion	0.0107
302	-1	poliomyelitis and post-polio	0.5026
302	pred.base.7	<extra_id_0>, poliomyelitis eczema, polio-myelitis, Polio polio, post-poliomyelitis, post-poliomyelitis amyelitis, poliomyelitis, poliopoliomyelitis	0.5175
302	pred.base.4	<extra_id_0> and post-poliomyelitis. Post-polio and post-polio myelitis poliomyelitis.	0.5048
303	-1	hubble telescope achievements	0.1663
303	pred.base.9	<extra_id_0> telescope, telescope, hubble telescope and hubble telescope astronomy achievements! hubble telescope telescope achievements Hubble telescope achievements hubble telescope achievements hubble telescope achievements hubble telescope accomplishments hubble telescope achievements hubble telescope accomplishments hubble telescope achievements hubble telescope achievements hubble telescope accomplishments hubble telescope	0.2102
303	pred.base.4	<extra_id_0> telescope wonderful results, hubble telescope telescope achievements hubble telescope telescope achievements hubble telescope achievements hubble telescope achievements hubble telescope achievements results hubble telescope achievements hubble telescope achievements hubble telescope achievements hubble telescope achievements hubble telescope achievements hubble telescope achievements hubble telescope achievements hubble telescope achievements hubble telescope achievements	0.1691
304	-1	endangered species (mammals)	0.0591
305	-1	most dangerous vehicles	0.0013
305	pred.base.3	<extra_id_0> the most dangerous car to drive. <extra_id_1> cars. <extra_id_2>. <extra_id_3> Mrs. Kennedy. The safest vehicle in the world. The <extra_id_4>. The <extra_id_5>. The greenest vehicles.1 <extra_id_6>. The <extra_id_7>.2 - The <extra_id_8>.3 - The <extra_id_9>.5 The dirtiest vehicles.The	0.0156
305	pred.base.1	<extra_id_0> road traffic <extra_id_1> crash hazard <extra_id_2> worst cars – selection choice; Ram 1500, fully-loaded 2016 Rolls-Royce RS550, S240M, far-flower vehicles – have become the most dangerous vehicles, highly likely due to their unique and difficult driving skills.	0.015
305	pred.base.9	<extra_id_0> your vehicle which is most likely to cause auto traffic jams. Vegas safety rules – vehicles always require the safety of occupants, wear helmets and become the most dangerous for pedestrians.	0.0025
306	-1	african civilian deaths	0.0486
306	pred.base.10	<extra_id_0> civilian, the death of almost 400 African civilians before the 2009 census. There are more than 1000 deaths for African civilians in Africa to date, mostly in civil wars – healthy mongur civilians per capita.	0.0617
306	pred.base.7	<extra_id_0> civilian deaths of african civilians in african civil war, including 116 African civilian deaths during the last 20 years in Africa. 57 african civilian deaths, mostly in sub-Saharan Africa, killed by civilians and african civil wars in 2014-15 in 11 countries.	0.0609
306	pred.base.8	<extra_id_0> black civilian deaths. South african civilian deaths February 2009 Conzahl - 62 Anse <extra_id_6>. There have been 43,804 deaths in African civil civil North-South people since 1984, many of which are refugees. represents more than 4 incidences of city in general deaths in africa.	0.0577
306	pred.base.6	<extra_id_0>African civilian deaths, civilian deaths, and death of african civiles. At least eighteen African civilian deaths a year in rural and suburban africa.	0.0558
306	pred.base.1	<extra_id_0> Nigeria <extra_id_1> some civilians have been killed in civil war. <extra_id_2> of <extra_id_3> african civilian deaths affecting africa. Zimbabwean civilian deaths . Vigilance by civility laments millions of population in 2011.	0.0521
306	pred.base.3	<extra_id_0> all <extra_id_1> african civil deaths to <extra_id_2> african civilian deaths among african civilian deaths of african civilisation. More than 18% of afghan civilian deaths have come from african civil deaths.	0.0511
306	pred.base.5	<extra_id_0> african civilian deaths; almost all civilian deaths caused by civil war in africa are overwhelmingly civilian incidents. civil war in african cities has an estimated 26 000 to 300,000 are also a year lang.	0.0486
307	-1	new hydroelectric projects	0.1656
307	pred.base.4	<extra_id_0> hydroelectric projects <extra_id_1> hydroelectric projects that are the culmination of several successful and important hydroelectric projects recently completed.	0.1882
307	pred.base.3	<extra_id_0>s hydroelectric projects. <extra_id_1> projects. Or, there may be several hydroelectric projects of very low cost, while another hydroelectric project would completely recover old hydroproject hydroelectric effects of their expropriation.	0.1738
307	pred.base.5	<extra_id_0> hydroelectric projects or new hydroelectric projects in the Philippines. This new hydroelectric project will add further hydroelectric projects in the Philippines.	0.1687
308	-1	implant dentistry	0.2833
308	pred.base.5	<extra_id_0> dental implants. Dog implants are considered of special quality and are certainly recognized for long term dental implants. Implant dentistry may prevent implant teeth from falling into dental implants.	0.5
308	pred.base.10	<extra_id_0> implant dentistry <extra_id_1> care teeth on popular implant dentistry patients. Dental implants are an important part of implant dentistry.	0.4167
308	pred.base.1	<extra_id_0> implant dentistry to a patient <extra_id_1> full smile over implant dentistry results.	0.375
308	pred.base.9	<extra_id_0> implant dentistry. <extra_id_1> implant dentistry. <extra_id_2> Implant dentistry. Implant Dentists. implant dentistry. dental implant dentistry. implant dentistry.	0.3214
308	pred.base.2	<extra_id_0> implant dentistry dentistry <extra_id_1> implant dentistry <extra_id_2> Retinaplasty.com makes implant dentistry as advanced as dental implants.	0.3056
308	pred.base.8	<extra_id_0> dentistry aims to help patients experiencing dental implants.	0.3
309	-1	rap and crime	0.0
310	-1	radio waves and brain cancer	0.1455
310	pred.base.10	<extra_id_0> have a prime cause in the relation to brain cancer. Exponential exposure to radio waves in vitro and brain cancer treaties will reduce the impact of radio waves and brain cancer.	0.2474
310	pred.base.2	<extra_id_0> and brain cancer. Radio wave and the brain cancer site of 2/3rd brain tumour. Radio waves and brain cancer: the causal interaction of brain radiation, radio waves and brain cancer.	0.1936
310	pred.base.4	<extra_id_0>; men’s interactions with radio waves and brain cancer; radio waves and brain cancer; and brain cancer: radio waves and and brain cancer.	0.1502
310	pred.base.9	<extra_id_0> and <extra_id_1> and brain cancer. Smoke radio waves and brain cancer: relationship to brain cancer, radio waves and radio waves (neodymium), brain cancer, and radio waves.	0.1502
311	-1	industrial espionage	0.2708
311	pred.base.9	<extra_id_0> big or small <extra_id_1> is routine in the pharmaceutical industry and criminal acts are perpetrated by <extra_id_2>. <extra_id_3>. <extra_id_4> is a form of <extra_id_5> or <extra_id_6>. <extra_id_7>. <extra_id_8>. ...industrial espionage. Industrial espionage. Industrial espionage. Industrial es	0.3684
311	pred.base.3	<extra_id_0> and industrial espionage. Industrial espionage.	0.2708
312	-1	hydroponics	0.8553
312	pred.base.6	<extra_id_0> is <extra_id_1> aquaponics <extra_id_2>onics with controlled shrimp as a hydroponics radical introduced into the water by makoliko scripts. The use of hydroponics in hydroponics isotopes is a method of hydrotherapy.	0.9071
312	pred.base.2	<extra_id_0>. <extra_id_1>es <extra_id_2>ix processing plant to make hydroponics. Hydroponics combines technorecycling, hydroponics with traditional hydronics methods.	0.8966
312	pred.base.8	<extra_id_0> plants permit efficiently processing -- 4 different types of hydroponics in bloom, rowdyhydronic farming), microorganism hydroponics will be used to create hydroponic systems.	0.8713
313	-1	magnetic levitation-maglev	0.7034
314	-1	marine vegetation	0.0007
314	pred.base.2	<extra_id_0> websites that are viewed online or offline, when available, often replace them with marine vegetation throughout the year. Plant species include coral reef coral plants and marine birds, due to the remote marine vegetation.	0.031
314	pred.base.3	<extra_id_0> marine vegetation, marine vegetation and coral reef vegetation <extra_id_1> marine vegetation by altitude. Tropical vegetation thrives in heavily bewirtschafted areas such as in the Caribbean Sea.	0.0177
314	pred.base.5	<extra_id_0> plants. Thoughtful management, which is a clear, unfavorable staff statement. Coral reef vegetation is exceptionally fertile form fresh marine vegetation mainly found and cultivated in the greater Vancouver area.	0.0151
314	pred.base.4	<extra_id_0> vegetation along marine reefs arid areas. (Manatee] Marine vegetation marine vegetation is marine vegetation that grows aquatically.	0.0067
314	pred.base.8	<extra_id_0> plants. Accessed 5 May 2015. <extra_id_1> marine vegetation, marine foliage , marine vegetation etc...	0.0033
314	pred.base.6	<extra_id_0> marine vegetation <extra_id_1> marine marine vegetation <extra_id_2> marine vegetation marine vegetation area <extra_id_3> coral reef vegetation and marine vegetation. Another marine vegetation zone that is east of the origins of many maritime vegetation, especially marine vegetation, as well as marine animals.	0.0028
314	pred.base.7	<extra_id_0> rock systems and <extra_id_1> coral reefs. <extra_id_2> marine vegetation. Marine vegetation. Marine vegetation. Vegetation marine vegetation. Marine vegetation. marine vegetation. Vegetation marine vegetation.	0.0028
314	pred.base.1	<extra_id_0> to accommodate <extra_id_1> marine vegetation. marine vegetation marine vegetation marine vegetation marine vegetation marine vegetation marine vegetation marine vegetation marine vegetation marine vegetation vegetation marine vegetation vegetation marine vegetation vegetation marine vegetation vegetation marine vegetation vegetation vegetation florifera ethiopia osprey vegetation marine vegetation vegetation marine vegetation vegetation marine vegetation	0.0016
314	pred.base.9	<extra_id_0> marine vegetation <extra_id_1> marine vegetation in the deep Caribbean. Free-going marine vegetation neotropical marine vegetation tooth life epiphysis.	0.0014
315	-1	unexplained highway accidents	0.0136
315	pred.base.7	<extra_id_0> often occur on unrelated costs of driving. Many could be treated as serious accidents due to unexecuted, unreported injuries, relatively mild injuries or complications attributed to concentrated traffic on the danger area.	0.0211
315	pred.base.1	<extra_id_0> terrible, and <extra_id_1> unconstitutional Grenz accidents, not to mention frequently times bike-riding motorists ejection at the speed limit, or light-speedingway accidents in these age old, and unexplained highway accidents .6 Thousands of unaccounted for unreported fatal	0.0168
315	pred.base.8	<extra_id_0> and accidents occuring unexplained on and off highways causing preliminary injuries & deaths. Countless unexplained accidents & events around the country causing unexplained highway accidents due to unexplained road accidents on unexplained highways	0.0161
316	-1	polygamy polyandry polygyny	0.5935
316	pred.base.4	<extra_id_0> polygamy polyandry polygynyy polyandry polygamy polygamy polygyny polyandry polygyny polygamy polygamy polybaby polygony polyandry polygyny polygyny polygyn	0.6372
316	pred.base.10	<extra_id_0> polygamy polyofomy polygamy pygyny polygamy polygyny polygamy polygamy polygamy polygamy polyonic polygamy polygyny polygroupry polygyny polygony polygyny	0.6334
316	pred.base.8	<extra_id_0> polygamy polycyny polygyny polygamy polygamy polygamy polyhygiene polygamy polysex polygony polygamy polyhygia polyandry polygamy polyandry polygyny polyandry poly	0.6192
316	pred.base.3	<extra_id_0> polygamy polygamy polygamency polygamia polygamy polyochny polygamy polygamy polycy-is poly-andry polygamy polygamy polypolygamy polyylation polyfoundation polyamie polypigy natural polyprimarily polyand	0.5939
317	-1	unsolicited faxes	0.525
317	pred.base.5	<extra_id_0> and unsolicited faxes. faxes.un, receiving unsolicited faxes.	0.5374
317	pred.base.9	<extra_id_0> unsolicited faxes . Unsponsored faxes . unsolicited faxes . unsolicited faxes unsolicited faxes unsolicited faxes unsolicited faxes unsolicited faxes Ihnene	0.525
318	-1	best retirement country	0.0016
318	pred.base.2	<extra_id_0> best retirement world. Germany is the best retirement country for retirees who are quick to retire. ... <extra_id_1> retirement country you can choose between great retirement interest country and country that suits you.	0.0303
318	pred.base.7	<extra_id_0> retirement country for retirement . best retirement country for retirement . best retirement country best retirement country for retirement . best retirement country for retirement . last place you will be choosing .	0.0162
318	pred.base.1	<extra_id_0> best retirement countries home in the mai best retirement country in the world for good retirement years.	0.0074
318	pred.base.8	<extra_id_0> best retirement country. The worlds best retirement country for retirement.	0.0049
318	pred.base.3	<extra_id_0> field guide to <extra_id_1> best retirement country to be retired best retirement country best retirement home country to retire best retirement country the best retirement country best retirement country best retirement country.	0.0039
318	pred.base.6	<extra_id_0> best retirement country for retirement <extra_id_1> best retirement country to retire to; worlds best retirement country to retire best entertainment country for best retirement country for the best retirement company for best retirement country for best retirement country for most 85 years the United States.	0.0034
318	pred.base.9	<extra_id_0> best retirement country. <extra_id_1> best retirement country for retirement - the best retirement country for best retirement country.	0.0028
318	pred.base.4	<extra_id_0> best retirement age – the best retirement country.	0.002
318	pred.base.5	<extra_id_0> retirement age of 50 and over . Sitting on the edge of your favorite retirement location.	0.0016
319	-1	new fuel sources	0.037
319	pred.base.7	<extra_id_0> renewable fuel is one of the most reliable, up to 20% faster than currently available, and as fuel for an alternative fuel source works, propane offers an alternative to the current fuel-hungry-fuel combustion method which is already used by the automotive industry. More fuel sources are being explored and energy efficiency is just the	0.0506
