qid	order	query	qld.recip_rank
301	-1	International Organized Crime	0.25
301	bt_nllb_malay	Integrated Crime	1.0
301	bt_nllb_german	International organised crime	0.5
302	-1	Poliomyelitis and Post-Polio	1.0
303	-1	Hubble Telescope Achievements	0.5
303	bt_nllb_swahili	The results of the Hubble Telescope	1.0
304	-1	Endangered Species (Mammals)	0.25
304	bt_nllb_korean	Endangered species	1.0
304	bt_nllb_tamil	The species in danger of extinction type	1.0
304	bt_nllb_chinese_yue	They are endangered	0.5
304	bt_nllb_persian	Endangered species clover	0.5
304	bt_nllb_swahili	Endangered Species Animals	0.5
305	-1	Most Dangerous Vehicles	0.0833
305	bt_nllb_arabic	The most dangerous cars	0.0909
305	bt_nllb_chinese_yue	The most dangerous car	0.0909
305	bt_nllb_swahili	The Most Dangerous Cars	0.0909
306	-1	African Civilian Deaths	1.0
307	-1	New Hydroelectric Projects	1.0
308	-1	Implant Dentistry	1.0
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	1.0
311	-1	Industrial Espionage	1.0
312	-1	Hydroponics	1.0
313	-1	Magnetic Levitation-Maglev	1.0
314	-1	Marine Vegetation	0.0303
314	bt_nllb_arabic	Marine plants	1.0
314	bt_nllb_german	Protection of the seas	1.0
314	bt_nllb_persian	Seaweed	1.0
314	bt_nllb_russian	Sea vegetation	1.0
314	bt_nllb_swahili	Seaweed	1.0
314	bt_nllb_chinese_yue	Sea plants	0.1667
314	bt_nllb_korean	Sea plants	0.1667
314	bt_nllb_malay	Sea plants	0.1667
314	bt_nllb_tamil	Sea plants	0.1667
315	-1	Unexplained Highway Accidents	0.1667
316	-1	Polygamy Polyandry Polygyny	1.0
317	-1	Unsolicited Faxes	1.0
318	-1	Best Retirement Country	0.1429
318	bt_nllb_tamil	The country with the best pension	0.1667
319	-1	New Fuel Sources	0.3333
319	bt_nllb_german	New fuels	0.5
320	-1	Undersea Fiber Optic Cable	0.125
320	bt_nllb_arabic	The fiber optic cable is underwater	0.1667
320	bt_nllb_malay	Underwater fiber optic cables	0.1667
