qid	order	query	bm25.map
8293	-1	why do men fantasized about raping women?	0.5076
8293	pred.bt.1	men fantasized raping women	0.7858
8293	pred.bt.10	men fantasized raping women	0.7858
8293	pred.bt.2	men fantasized raping women	0.7858
8293	pred.bt.3	men fantasized raping women	0.7858
8293	pred.bt.4	men fantasized raping women	0.7858
8293	pred.bt.5	men fantasized raping women	0.7858
8293	pred.bt.6	men fantasized raping women	0.7858
8293	pred.bt.7	men fantasized raping women	0.7858
8293	pred.bt.8	men fantasized raping women	0.7858
8293	pred.bt.9	men fantasized raping women	0.7858
23464	-1	why girls are beautiful?	0.6181
23464	pred.bt.1	girls beautiful	0.6684
23464	pred.bt.10	girls beautiful	0.6684
23464	pred.bt.2	girls beautiful	0.6684
23464	pred.bt.3	girls beautiful	0.6684
23464	pred.bt.4	girls beautiful	0.6684
23464	pred.bt.5	girls beautiful	0.6684
23464	pred.bt.6	girls beautiful	0.6684
23464	pred.bt.7	girls beautiful	0.6684
23464	pred.bt.8	girls beautiful	0.6684
23464	pred.bt.9	girls beautiful	0.6684
34041	-1	what are the symptoms of strep throat?	0.7152
34041	pred.bt.1	what are the symptoms of strep throat?	0.7152
34041	pred.bt.10	what are the symptoms of strep throat?	0.7152
34041	pred.bt.2	what are the symptoms of strep throat?	0.7152
34041	pred.bt.3	what are the symptoms of strep throat?	0.7152
34041	pred.bt.4	what are the symptoms of strep throat?	0.7152
34041	pred.bt.5	what are the symptoms of strep throat?	0.7152
34041	pred.bt.6	what are the symptoms of strep throat?	0.7152
34041	pred.bt.7	what are the symptoms of strep throat?	0.7152
34041	pred.bt.8	what are the symptoms of strep throat?	0.7152
34041	pred.bt.9	what are the symptoms of strep throat?	0.7152
78762	-1	why do i have pterofobia?	0.0
78762	pred.bt.1	why do i have pterofobia?	0.0
78762	pred.bt.10	why do i have pterofobia?	0.0
78762	pred.bt.2	why do i have pterofobia?	0.0
78762	pred.bt.3	why do i have pterofobia?	0.0
78762	pred.bt.4	why do i have pterofobia?	0.0
78762	pred.bt.5	why do i have pterofobia?	0.0
78762	pred.bt.6	why do i have pterofobia?	0.0
78762	pred.bt.7	why do i have pterofobia?	0.0
78762	pred.bt.8	why do i have pterofobia?	0.0
78762	pred.bt.9	why do i have pterofobia?	0.0
100653	-1	how do i go about getting copies of letters of commendation prsented to me from city of san diego?	0.491
100653	pred.bt.1	go getting copies letters commendation prsented city san diego	0.5367
100653	pred.bt.10	go getting copies letters commendation prsented city san diego	0.5367
100653	pred.bt.2	go getting copies letters commendation prsented city san diego	0.5367
100653	pred.bt.3	go getting copies letters commendation prsented city san diego	0.5367
100653	pred.bt.4	go getting copies letters commendation prsented city san diego	0.5367
