,qid,order,query,qld.ndcg
0,701,-1,U.S. oil industry history,0.0615
1,701,termluster.topn5.3.qld,u s oil industry history industri field oil field state social region,0.1826
2,701,docluster.topn10.3.qld,u s oil industry history industri counti,0.14
3,701,conceptluster.topn5.3.qld,u s oil industry history petroleum,0.1273
4,701,tagmee.topn3,u s oil industry history Petroleum,0.1273
5,701,bt_bing_arabic,History of the American oil industry,0.1147
6,701,bt_nllb_arabic,The history of the American oil industry,0.1147
7,701,bt_nllb_french,The history of the American oil industry,0.1147
8,701,relevancefeedback.topn10.qld,u s oil industry history industri counti ga,0.1076
9,701,bt_nllb_german,The history of the US oil industry,0.0978
10,701,bt_bing_chinese_simplified,History of the U S oil industry,0.0615
11,701,bt_bing_french,History of the U S Oil Industry,0.0615
12,701,bt_bing_german,History of the U S Oil Industry,0.0615
13,701,bt_bing_korean,History of the U S Oil Industry,0.0615
14,701,bt_bing_malay,History of the U S oil industry,0.0615
15,701,bt_bing_persian,History of the U S Oil Industry,0.0615
16,701,bt_bing_russian,History of the U S Oil Industry,0.0615
17,701,bt_bing_swahili,History of the U S oil industry,0.0615
18,701,bt_bing_tamil,History of the U S oil industry,0.0615
19,701,bt_nllb_chinese_yue,The history of the U S oil industry,0.0615
20,701,bt_nllb_korean,The history of the U S oil industry,0.0615
21,701,bt_nllb_malay,History of the U S oil industry,0.0615
22,701,bt_nllb_persian,The history of the U S oil industry,0.0615
23,701,bt_nllb_russian,The history of the U S oil industry,0.0615
24,701,bt_nllb_swahili,The history of the U S oil industry,0.0615
25,701,bt_nllb_tamil,The history of the U S oil industry,0.0615
26,701,original,U S oil industry history,0.0615
27,701,stem.krovetz,u s oil industry history,0.0615
28,701,stem.porter,u s oil industri histori,0.0615
29,701,stem.porter2,u s oil industri histori,0.0615
30,701,stem.sstemmer,u s oil industry history,0.0615
31,701,thesaurus.topn3,u s oil industry history,0.0615
32,701,thesaurus.topn3.replace,u s oil industry history,0.0615
33,701,sensedisambiguation,U S united states government oil vegetable oil industry history,0.0495
34,701,word2vec.topn3,u s oil industry history usa u s american petroleum industy history,0.04
35,701,rm3.topn10.10.0.5.qld,u s oil industry history fuel ga energi price,0.0355
36,701,wiki.topn3,u s oil industry history glassforming liquids melts oil natural gas petroleum,0.0286
37,701,sensedisambiguation.replace,united states government vegetable oil industry history,0.0264
38,701,rm3.topn10.10.0.5.bm25,u s oil industry history energi opec,0.0174
39,701,bertqe.topn10.bm25,f ossil nergi e nvir,0.017
40,701,glove.topn3,u s oil industry history us u s crude petroleum business historical ever,0.014
41,701,bertqe.topn10.qld,e nvir onment al dv,0.0134
42,701,conceptnet.topn3,u s oil industry history liquid black fuel commercial enterprise past subject school,0.0088
43,701,word2vec.topn3.replace,usa u s american petroleum industy history,0.0068
44,701,wordnet.topn3,u s oil industry history USA United States United States government rock oil petroleum oil color manufacture diligence account chronicle,0.0054
45,701,anchor.topn3,u s oil industry history us c alphabet elektrivõrgud sooju recuyel seeg théodrat,0.0
46,701,anchor.topn3.replace,us c alphabet elektrivõrgud sooju industry recuyel seeg théodrat,0.0
47,701,conceptnet.topn3.replace,u s liquid black fuel commercial enterprise past subject school,0.0
48,701,glove.topn3.replace,us u s crude petroleum business historical ever,0.0
49,701,stem.lovins,u s oil industr histor,0.0
50,701,stem.paicehusk,u s oil industry hist,0.0
51,701,stem.trunc4,u s oil indu hist,0.0
52,701,stem.trunc5,u s oil indus histo,0.0
53,701,tagmee.topn3.replace,Petroleum,0.0
54,701,wiki.topn3.replace,glassforming liquids melts oil natural gas petroleum,0.0
55,701,wordnet.topn3.replace,United States government USA US anoint vegetable oil crude manufacture story chronicle,0.0
56,702,-1,Pearl farming,0.1479
57,702,bt_bing_tamil,Pearl culture,0.3087
58,702,termluster.topn5.3.qld,pearl farming product fish,0.2205
59,702,wiki.topn3,pearl farming pearls jewellery components gemstone pearl,0.1697
60,702,tagmee.topn3,pearl farming Pearl,0.1522
61,702,bt_bing_chinese_simplified,Pearl farming,0.1479
62,702,bt_bing_french,Pearl farming,0.1479
63,702,bt_bing_german,Pearl farming,0.1479
64,702,bt_bing_korean,Pearl Farming,0.1479
65,702,bt_bing_malay,Pearl farming,0.1479
66,702,bt_bing_russian,Pearl farming,0.1479
67,702,bt_bing_swahili,Pearl farming,0.1479
68,702,bt_nllb_chinese_yue,Pearl farming,0.1479
