qid	order	query	bm25.ndcg
INEX_LD-2009022	-1	Szechwan dish food cuisine	0.1838
INEX_LD-2009022	wordnet.topn3.replace	Sichuan Szechuan Szechwan province sweetheart dish out solid food food for thought culinary art	0.4455
INEX_LD-2009022	conceptluster.topn5.3.bm25	szechwan dish food cuisine food cuisine sichuan dish food	0.3792
INEX_LD-2009022	conceptluster.topn5.3.qld	szechwan dish food cuisine sichuan cuisine food dish food	0.3792
INEX_LD-2009022	tagmee.topn3	szechwan dish food cuisine Sichuan Dish food Food Cuisine	0.3792
INEX_LD-2009022	wordnet.topn3	szechwan dish food cuisine Szechuan Sichuan smasher beauty food for thought solid food nutrient culinary art	0.3762
INEX_LD-2009022	tagmee.topn3.replace	Sichuan Dish food Food Cuisine	0.3325
INEX_LD-2009022	anchor.topn3	szechwan dish food cuisine setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar	0.3131
INEX_LD-2009022	anchor.topn3.replace	setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar cuisine	0.3106
INEX_LD-2009022	conceptnet.topn3	szechwan dish food cuisine Szechuan China plate cake rice rechauffe	0.2903
INEX_LD-2009022	wiki.topn3	szechwan dish food cuisine sichuan shaanxi hunan sichuan list legumdishes past food batter cooking dish food foods cuisine meat food brunch veal veal cuisine	0.2888
INEX_LD-2009022	relevancefeedback.topn10.bm25	szechwan dish food cuisine cuisin chines veget rice pepper banitsa tabl pot pölsa octopu	0.2502
INEX_LD-2009022	wiki.topn3.replace	sichuan shaanxi hunan sichuan list legumdishes past food batter cooking dish food foods cuisine meat food brunch veal veal cuisine	0.2124
INEX_LD-2009022	conceptnet.topn3.replace	Szechuan China plate cake rice rechauffe	0.2052
INEX_LD-2009022	sensedisambiguation.replace	szechwan serve food cuisine	0.1869
INEX_LD-2009039	-1	roman architecture	0.2534
INEX_LD-2009039	conceptluster.topn5.3.bm25	roman architecture ancient roman architecture	0.3713
INEX_LD-2009039	conceptluster.topn5.3.qld	roman architecture ancient roman architecture	0.3713
INEX_LD-2009039	tagmee.topn3	roman architecture Ancient Roman architecture	0.3713
INEX_LD-2009039	tagmee.topn3.replace	Ancient Roman architecture	0.3561
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.5709
INEX_LD-2009053	stem.lovins	finland car industr manufacturer saab sisu	0.602
INEX_LD-2009061	-1	france second world war normandy	0.439
INEX_LD-2009061	wiki.topn3	france second world war normandy france southern europe italy france wars involving luxembourg wars involving poland wars involving netherlands world war ii wars involving luxembourg wars involving poland wars involving netherlands world war ii operation neptune normandy landings invasion normandy operation overlord	0.4577
INEX_LD-2009062	-1	social network group selection	0.0424
INEX_LD-2009062	sensedisambiguation.replace	social network group survival	0.068
INEX_LD-2009062	wordnet.topn3	social network group selection societal sociable meshwork electronic network mathematical group radical pick survival choice	0.0453
INEX_LD-2009063	-1	D-Day normandy invasion	0.2959
INEX_LD-2009063	wiki.topn3	d day normandy invasion invasion normandy operation overlord battle caen normandy landings operation neptune normandy landings invasion normandy operation overlord omaha beach normandy landings utah beach invasion normandy	0.3682
INEX_LD-2009063	wiki.topn3.replace	invasion normandy operation overlord battle caen normandy landings operation neptune normandy landings invasion normandy operation overlord omaha beach normandy landings utah beach invasion normandy	0.3615
INEX_LD-2009063	relevancefeedback.topn10.bm25	d day normandy invasion airborn oper normandi utah bridg book ddai gold	0.3588
INEX_LD-2009063	relevancefeedback.topn10.qld	d day normandy invasion normandi invas book ddai oper airborn bridg utah	0.3533
INEX_LD-2009063	conceptluster.topn5.3.bm25	d day normandy invasion invasion normandy normandy landings operation overlord	0.3437
INEX_LD-2009063	conceptluster.topn5.3.qld	d day normandy invasion invasion normandy normandy landings operation overlord	0.3437
INEX_LD-2009063	tagmee.topn3	d day normandy invasion Normandy landings Operation Overlord Invasion of Normandy	0.3437
INEX_LD-2009063	tagmee.topn3.replace	Normandy landings Operation Overlord Invasion of Normandy	0.3231
INEX_LD-2009063	sensedisambiguation	D Day normandy normandie invasion	0.3092
INEX_LD-2009063	word2vec.topn3	d day normandy invasion normandy DDay stalingrad d day stalingrad jutland invading	0.3036
INEX_LD-2009063	wordnet.topn3	d day normandy invasion June encroachment intrusion	0.3025
INEX_LD-2009074	-1	web ranking scoring algorithm	0.4032
INEX_LD-2009074	stem.lovins	web rank scor algorithm	0.5358
INEX_LD-2009074	stem.paicehusk	web rank scor algorithm	0.5358
INEX_LD-2009074	relevancefeedback.topn10.bm25	web ranking scoring algorithm aim browser cluster speech reput engin rank journal bossam certif	0.4061
INEX_LD-2009096	-1	Eiffel	0.5578
INEX_LD-2009096	wordnet.topn3	eiffel Alexandre Gustave Eiffel	0.5789
INEX_LD-2009111	-1	europe solar power facility	0.1792
INEX_LD-2009111	sensedisambiguation.replace	european union solar world power facility	0.3624
INEX_LD-2009111	word2vec.topn3.replace	germany european europe photovoltaic non solar power authority facilty	0.3313
INEX_LD-2009111	sensedisambiguation	europe european union solar power world power facility	0.331
INEX_LD-2009111	word2vec.topn3	europe solar power facility germany european europe photovoltaic non solar power authority facilty	0.3188
INEX_LD-2009111	conceptnet.topn3	europe solar power facility a kingdom continent a castle sun energy arboretum artifact menagerie	0.2183
INEX_LD-2009111	conceptluster.topn5.3.bm25	europe solar power facility solar power europe	0.2015
INEX_LD-2009111	conceptluster.topn5.3.qld	europe solar power facility solar power europe	0.2015
INEX_LD-2009111	tagmee.topn3	europe solar power facility Europe Solar power	0.2015
INEX_LD-2009111	glove.topn3	europe solar power facility european asia photovoltaic geothermal control addition	0.198
INEX_LD-2009111	relevancefeedback.topn10.bm25	europe solar power facility radar univers energi centrosolar advanc	0.1923
INEX_LD-2009111	wiki.topn3	europe solar power facility cultural concepts peninsulas asia europe europe solar energy solar power alternative energy solar power	0.184
INEX_LD-2009115	-1	virtual museums	0.8029
INEX_LD-2010004	-1	Indian food	0.3178
INEX_LD-2010014	-1	composer museum	0.2056
INEX_LD-2010019	-1	gallo roman architecture in paris	0.028
INEX_LD-2010019	wiki.topn3	gallo roman architecture paris amphitheatrof ththregauls praetorian prefecture gaul roman gaul gallo roman culture outlinof classical architecture frigidarium peristyle ancient roman architecture world heritage sites france rd century bestablishments companions liberation paris	0.4916
INEX_LD-2010019	wiki.topn3.replace	amphitheatrof ththregauls praetorian prefecture gaul roman gaul gallo roman culture outlinof classical architecture frigidarium peristyle ancient roman architecture world heritage sites france rd century bestablishments companions liberation paris	0.4856
INEX_LD-2010019	tagmee.topn3.replace	Gallo Roman culture Ancient Roman architecture Paris	0.2927
INEX_LD-2010019	conceptluster.topn5.3.bm25	gallo roman architecture paris paris ancient roman architecture gallo roman culture	0.2588
INEX_LD-2010019	conceptluster.topn5.3.qld	gallo roman architecture paris gallo roman culture ancient roman architecture paris	0.2588
INEX_LD-2010019	tagmee.topn3	gallo roman architecture paris Gallo Roman culture Ancient Roman architecture Paris	0.2588
INEX_LD-2010019	conceptnet.topn3.replace	gallo roman gaulish roman column the Eiffel tower France a cafe	0.1198
INEX_LD-2010019	conceptnet.topn3	gallo roman architecture paris gallo roman gaulish column the Eiffel tower France a cafe	0.0996
INEX_LD-2010019	wordnet.topn3	gallo roman architecture paris roman print papistical roman letters computer architecture capital of France French capital genus Paris	0.0789
INEX_LD-2010019	sensedisambiguation	gallo roman architecture computer architecture in paris	0.0327
INEX_LD-2010020	-1	electricity source in France	0.1658
INEX_LD-2010020	wordnet.topn3	electricity source france electrical energy rootage germ generator Jacques Anatole Francois Thibault French Republic	0.3458
INEX_LD-2010020	glove.topn3	electricity source france generators utilities according french paris	0.2298
INEX_LD-2010037	-1	social network API	0.4347
INEX_LD-2010037	conceptnet.topn3	social network api party	0.4673
INEX_LD-2010043	-1	List of films from the surrealist category	0.2715
INEX_LD-2010043	conceptluster.topn5.3.bm25	list films surrealist category film surrealist cinema	0.3977
INEX_LD-2010043	conceptluster.topn5.3.qld	list films surrealist category film surrealist cinema	0.3977
INEX_LD-2010043	tagmee.topn3	list films surrealist category Film Surrealist cinema	0.3977
INEX_LD-2010043	tagmee.topn3.replace	Film Surrealist cinema	0.3722
INEX_LD-2010043	termluster.topn5.3.bm25	list films surrealist category	0.3444
INEX_LD-2010043	termluster.topn5.3.qld	list films surrealist category	0.3444
INEX_LD-2010043	thesaurus.topn3	list films surrealist category	0.3444
INEX_LD-2010043	thesaurus.topn3.replace	list films surrealist category	0.3444
INEX_LD-2010043	wiki.topn3	list films surrealist category film art media media formats film french impressionist cinema reversmotion collagfilm surrealist cinema	0.3191
INEX_LD-2010057	-1	Einstein Relativity theory	0.5798
INEX_LD-2010069	-1	summer flowers	0.0893
INEX_LD-2010069	sensedisambiguation	summer flowers flower	0.1046
INEX_LD-2010100	-1	house concrete wood	0.1814
INEX_LD-2010100	wordnet.topn3.replace	household planetary house home concrete wood	0.2831
INEX_LD-2010100	stem.paicehusk	hous concret wood	0.2447
INEX_LD-2010100	stem.porter	hous concret wood	0.2447
INEX_LD-2010100	stem.porter2	hous concret wood	0.2447
INEX_LD-2010100	conceptnet.topn3	house concrete wood home room tree material paper	0.2378
INEX_LD-2010100	wiki.topn3	house concrete wood houses residential area building house heterogeneous chemical mixtures concrete composite materials concrete woodworking materials clay biodegradable materials wood	0.2234
INEX_LD-2010100	wiki.topn3.replace	houses residential area building house heterogeneous chemical mixtures concrete composite materials concrete woodworking materials clay biodegradable materials wood	0.1982
INEX_LD-2010100	conceptnet.topn3.replace	home room concrete tree material paper	0.1937
INEX_LD-2010106	-1	organic food advantages disadvantages	0.0
INEX_LD-2010106	tagmee.topn3.replace	Organic food	0.4014
INEX_LD-2010106	wiki.topn3.replace	organic farming organic movement local food organic food	0.3923
INEX_LD-2010106	stem.lovins	organ food advant disadvant	0.2817
INEX_LD-2010106	wiki.topn3	organic food advantages disadvantages organic farming organic movement local food organic food	0.2743
INEX_LD-2010106	stem.trunc5	organ food advan disad	0.1451
INEX_LD-2010106	wordnet.topn3.replace	constitutional organic fertilizer constituent solid food food for thought reward vantage disfavor disfavour	0.1336
INEX_LD-2010106	wordnet.topn3	organic food advantages disadvantages constitutive organic fertilizer organic fertiliser food for thought solid food nutrient reward vantage disfavour disfavor	0.0419
INEX_LD-2010106	relevancefeedback.topn10.qld	organic food advantages disadvantages cattl swot advantag societi strateg sourc design pesticid oxid metal	0.0268
INEX_LD-2010106	anchor.topn3	organic food advantages disadvantages supported ungarinjin brevispirif neophobia food foods cross solfar	0.0252
INEX_LD-20120111	-1	vietnam war movie	0.4729
INEX_LD-20120111	conceptluster.topn5.3.bm25	vietnam war movie vietnam war war film	0.6132
INEX_LD-20120111	conceptluster.topn5.3.qld	vietnam war movie war film vietnam war	0.6132
INEX_LD-20120111	tagmee.topn3	vietnam war movie Vietnam War War film	0.6132
INEX_LD-20120111	sensedisambiguation	vietnam vietnam war war movie	0.5232
INEX_LD-20120111	sensedisambiguation.replace	vietnam war war movie	0.5028
INEX_LD-20120112	-1	vietnam war facts	0.1296
INEX_LD-20120112	tagmee.topn3.replace	Vietnam War	0.2853
INEX_LD-20120112	stem.trunc4	viet war fact	0.219
INEX_LD-20120112	conceptnet.topn3	vietnam war facts in Asia battle	0.2173
INEX_LD-20120112	conceptluster.topn5.3.bm25	vietnam war facts vietnam war	0.2086
INEX_LD-20120112	conceptluster.topn5.3.qld	vietnam war facts vietnam war	0.2086
INEX_LD-20120112	tagmee.topn3	vietnam war facts Vietnam War	0.2086
INEX_LD-20120112	glove.topn3	vietnam war facts laos vietnamese conflict truth	0.1932
INEX_LD-20120112	word2vec.topn3	vietnam war facts Veitnam cambodia conflict non facts truths	0.1869
INEX_LD-20120112	glove.topn3.replace	laos vietnamese conflict truth	0.143
INEX_LD-20120112	sensedisambiguation.replace	vietnam war war fact	0.1369
INEX_LD-20120112	wiki.topn3	vietnam war facts wars involving north korea united states army vietnam war laotian civil war vietnam war	0.1303
INEX_LD-20120121	-1	vietnam food recipes	0.1789
INEX_LD-20120121	conceptnet.topn3	vietnam food recipes in Asia cake plate rice found in cookbooks passed from generation to generation	0.3406
INEX_LD-20120121	relevancefeedback.topn10.qld	vietnam food recipes joei cook recip icarli carrot raw vietnames bánh	0.2709
INEX_LD-20120122	-1	vietnamese food blog	0.2857
INEX_LD-20120131	-1	vietnam travel national park	0.0989
INEX_LD-20120131	conceptluster.topn5.3.bm25	vietnam travel national park vietnam national park tourism	0.2123
INEX_LD-20120131	conceptluster.topn5.3.qld	vietnam travel national park vietnam tourism national park	0.2123
INEX_LD-20120131	tagmee.topn3	vietnam travel national park Vietnam Tourism National park	0.2123
INEX_LD-20120132	-1	vietnam travel airports	0.4023
INEX_LD-20120211	-1	guitar chord tuning	0.6403
INEX_LD-20120211	relevancefeedback.topn10.qld	guitar chord tuning tune d	0.6531
INEX_LD-20120211	sensedisambiguation	guitar chord tuning tune	0.6494
INEX_LD-20120212	-1	guitar chord minor	0.3671
INEX_LD-20120212	conceptluster.topn5.3.bm25	guitar chord minor guitar chord minor scale	0.4266
INEX_LD-20120212	conceptluster.topn5.3.qld	guitar chord minor minor scale guitar chord	0.4266
INEX_LD-20120212	tagmee.topn3	guitar chord minor Guitar chord Minor scale	0.4266
INEX_LD-20120212	tagmee.topn3.replace	Guitar chord Minor scale	0.4167
INEX_LD-20120212	wiki.topn3	guitar chord minor guitar chords major chord minor chord guitar chord glissando major scale legato minor scale	0.4017
INEX_LD-20120221	-1	guitar classical flamenco	0.6399
INEX_LD-20120221	tagmee.topn3.replace	Guitar Classical guitar Flamenco	0.6456
INEX_LD-20120221	conceptluster.topn5.3.bm25	guitar classical flamenco flamenco guitar classical guitar	0.6434
INEX_LD-20120221	conceptluster.topn5.3.qld	guitar classical flamenco classical guitar flamenco guitar	0.6434
