qid	order	query	bm25.ndcg
701	-1	U.S. oil industry history	0.0338
702	-1	Pearl farming	0.1361
702	bt_bing_arabic	Pearl cultivation	0.069
702	bt_nllb_french	Cultivation of pearls	0.069
702	bt_nllb_arabic	The pearl planting	0.0158
702	bt_bing_persian	Pearl Agriculture	0.007
702	bt_nllb_persian	The Pearl of the Caribbean	0.0
704	-1	Green party political views	0.1912
704	bt_bing_persian	The Green Party s Political Views	0.16
704	bt_nllb_chinese_yue	The Green Party s political views	0.16
704	bt_bing_chinese_simplified	The Greens political views	0.0341
704	bt_bing_german	Political views of the Greens	0.0341
704	bt_nllb_german	Political views of the Greens	0.0341
705	-1	Iraq foreign debt reduction	0.2949
705	bt_bing_chinese_simplified	Iraq s external debt relief	0.2025
705	bt_bing_swahili	Reducing Iraq s foreign debt	0.1955
705	bt_nllb_persian	Reducing Iraq s foreign debt	0.1955
705	bt_nllb_swahili	Reducing Iraq s foreign debt	0.1955
705	bt_bing_korean	Reduction of Iraq s foreign debt	0.1945
705	bt_bing_malay	Reduction of Iraq s foreign debt	0.1945
705	bt_nllb_korean	Iraq s foreign debt reduction	0.1945
705	bt_nllb_tamil	Iraq s foreign debt reduction	0.1945
705	bt_nllb_arabic	Cut the foreign debt in Iraq	0.0667
706	-1	Controlling type II diabetes	0.1037
706	bt_bing_swahili	Managing Type II Diabetes	0.1033
706	bt_nllb_malay	Managing type diabetes	0.089
707	-1	Aspirin cancer prevention	0.4535
707	bt_nllb_tamil	Aspirin is used to prevent cancer	0.4346
707	bt_nllb_korean	Aspirin is a cancer prevention drug	0.4315
707	bt_nllb_chinese_yue	The anti cancer aspirin	0.3802
707	bt_nllb_swahili	How to fight cancer with aspirin	0.2147
707	bt_nllb_arabic	Prevention of cancer	0.0206
707	bt_nllb_persian	Spraying for cancer prevention	0.0049
708	-1	Decorative slate sources	0.3088
708	bt_bing_french	Decorative slate springs	0.1865
708	bt_bing_german	Decorative slate springs	0.1865
708	bt_nllb_swahili	The origins of the decorative slate	0.148
708	bt_bing_russian	Sources of Ornamental Slate	0.0594
708	bt_bing_korean	Slate sauce for garnish	0.0
708	bt_bing_persian	Decorative Boulder Sources	0.0
708	bt_bing_swahili	Sources of jewelry	0.0
708	bt_nllb_arabic	Sources for the decorative pages	0.0
708	bt_nllb_chinese_yue	Sources of the decoration of the stone tablets	0.0
708	bt_nllb_french	Sources of decorative clay	0.0
708	bt_nllb_german	Other articles of heading	0.0
708	bt_nllb_malay	Sources of decorative plates	0.0
708	bt_nllb_persian	Sources of fertility	0.0
708	bt_nllb_russian	The sources of decorative leaves	0.0
708	bt_nllb_tamil	The decorative silk pieces	0.0
709	-1	Horse racing jockey weight	0.722
709	bt_bing_chinese_simplified	Horse jockey weight	0.7162
709	bt_bing_swahili	Weight of horse jockey	0.7162
709	bt_bing_german	Horse racing jockey s weight	0.7092
709	bt_bing_russian	Weight Jockey Races	0.7073
709	bt_bing_persian	Weight Horse Racing	0.6243
709	bt_nllb_german	Weight of horse racing	0.6243
709	bt_nllb_russian	Weight of the horse race	0.6243
709	bt_nllb_malay	Heavy jockey horse racing	0.5748
709	bt_nllb_tamil	The weight of the horse racing team	0.5391
709	bt_nllb_persian	A joke weight in a horse race	0.4939
709	bt_bing_arabic	Weight Knight Horse Racing	0.4643
709	bt_nllb_arabic	Weight of the front runners in horse racing	0.2169
709	bt_nllb_chinese_yue	The weight of the race car	0.0
710	-1	Prostate cancer treatments	0.3634
711	-1	Train station security measures	0.2482
711	bt_bing_tamil	Railway Station Security Measures	0.143
711	bt_nllb_chinese_yue	Security measures at the railway station	0.143
711	bt_nllb_malay	Railway station security measures	0.143
711	bt_nllb_tamil	Railway station security measures	0.143
711	bt_nllb_french	Safety measures at railway stations	0.0769
711	bt_nllb_german	Safety measures for railway stations	0.0769
711	bt_nllb_russian	Safety measures at railway stations	0.0769
711	bt_bing_french	Security measures at stations	0.0685
711	bt_bing_german	Security measures at the station	0.0685
711	bt_bing_malay	Train station safety measures	0.0115
711	bt_bing_swahili	Train station safety measures	0.0115
711	bt_nllb_swahili	Safety measures at the train station	0.0115
712	-1	Pyramid scheme	0.3626
712	bt_bing_persian	Pyramid Plan	0.1962
712	bt_bing_russian	Pyramid	0.1245
712	bt_nllb_arabic	The pyramid system	0.02
712	bt_nllb_swahili	The pyramidal system	0.02
712	bt_nllb_tamil	The Pyramid Project	0.013
712	bt_bing_arabic	Pyramid diagram	0.0
712	bt_bing_chinese_simplified	MLM	0.0
712	bt_nllb_german	The following is the list of the categories of products	0.0
713	-1	Chesapeake Bay Maryland clean	0.2573
713	bt_bing_korean	Chesapeake Bay MD Clean	0.134
713	bt_nllb_tamil	Chesapeake Bay is Maryland s cleanest	0.1013
713	bt_nllb_persian	Chesapeake Bay Maryland is clear	0.0604
713	bt_bing_swahili	Cherry Blossom Bay Clean	0.0
714	-1	License restrictions older drivers	0.3352
714	bt_nllb_malay	Restrictions on older driver s licenses	0.2202
714	bt_nllb_swahili	Restrictions on older driver s licenses	0.2202
714	bt_bing_chinese_simplified	Driver s license restrictions for older drivers	0.2201
714	bt_bing_french	Driver s License Restrictions for Older Drivers	0.2201
714	bt_bing_german	Driving licence restrictions older drivers	0.155
714	bt_nllb_french	Restrictions on driving licences for older drivers	0.155
714	bt_nllb_russian	Limitations on driving rights for older drivers	0.1513
