qid	order	query	bm25.map
INEX_LD-2009022	-1	Szechwan dish food cuisine	0.118
INEX_LD-2009022	wordnet.topn3.replace	Sichuan Szechuan Szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	wordnet.topn3	szechwan dish food cuisine Szechuan Sichuan smasher beauty food for thought solid food nutrient culinary art	0.243
INEX_LD-2009022	conceptluster.topn5.3.bm25	szechwan dish food cuisine food cuisine sichuan dish food	0.2286
INEX_LD-2009022	conceptluster.topn5.3.qld	szechwan dish food cuisine sichuan cuisine food dish food	0.2286
INEX_LD-2009022	tagmee.topn3	szechwan dish food cuisine Sichuan Dish food Food Cuisine	0.2286
INEX_LD-2009022	anchor.topn3	szechwan dish food cuisine setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar	0.166
INEX_LD-2009022	tagmee.topn3.replace	Sichuan Dish food Food Cuisine	0.1611
INEX_LD-2009022	conceptnet.topn3	szechwan dish food cuisine Szechuan China plate cake rice rechauffe	0.1544
INEX_LD-2009022	anchor.topn3.replace	setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar cuisine	0.1383
INEX_LD-2009022	docluster.topn10.3.bm25	szechwan dish food cuisine	0.118
INEX_LD-2009022	docluster.topn10.3.qld	szechwan dish food cuisine	0.118
INEX_LD-2009022	rm3.topn10.10.0.5.bm25	Szechwan dish food cuisine	0.118
INEX_LD-2009022	rm3.topn10.10.0.5.qld	Szechwan dish food cuisine	0.118
INEX_LD-2009022	stem.krovetz	szechwan dish food cuisine	0.118
INEX_LD-2009022	stem.porter	szechwan dish food cuisin	0.118
INEX_LD-2009022	stem.porter2	szechwan dish food cuisin	0.118
INEX_LD-2009022	stem.sstemmer	szechwan dish food cuisine	0.118
INEX_LD-2009022	termluster.topn5.3.bm25	szechwan dish food cuisine	0.118
INEX_LD-2009022	termluster.topn5.3.qld	szechwan dish food cuisine	0.118
INEX_LD-2009022	thesaurus.topn3	szechwan dish food cuisine	0.118
INEX_LD-2009022	thesaurus.topn3.replace	szechwan dish food cuisine	0.118
INEX_LD-2009039	-1	roman architecture	0.0851
INEX_LD-2009039	conceptluster.topn5.3.bm25	roman architecture ancient roman architecture	0.1929
INEX_LD-2009039	conceptluster.topn5.3.qld	roman architecture ancient roman architecture	0.1929
INEX_LD-2009039	tagmee.topn3	roman architecture Ancient Roman architecture	0.1929
INEX_LD-2009039	tagmee.topn3.replace	Ancient Roman architecture	0.1716
INEX_LD-2009039	wiki.topn3	roman architecture outlinof classical architecture frigidarium peristyle ancient roman architecture	0.0953
INEX_LD-2009039	docluster.topn10.3.bm25	roman architecture	0.0851
INEX_LD-2009039	docluster.topn10.3.qld	roman architecture	0.0851
INEX_LD-2009039	rm3.topn10.10.0.5.bm25	roman architecture	0.0851
INEX_LD-2009039	rm3.topn10.10.0.5.qld	roman architecture	0.0851
INEX_LD-2009039	stem.krovetz	roman architecture	0.0851
