qid	order	query	bm25.recip_rank
701	-1	u.s. oil industry history	0.5
702	-1	pearl farming	1.0
704	-1	green party political views	1.0
705	-1	iraq foreign debt reduction	1.0
706	-1	controlling type ii diabetes	0.1667
706	pred.bt.1	see type two diabetes	1.0
706	pred.bt.10	see type two diabetes	1.0
706	pred.bt.2	see type two diabetes	1.0
706	pred.bt.3	see type two diabetes	1.0
706	pred.bt.4	see type two diabetes	1.0
706	pred.bt.5	see type two diabetes	1.0
706	pred.bt.6	see type two diabetes	1.0
706	pred.bt.7	see type two diabetes	1.0
706	pred.bt.8	see type two diabetes	1.0
706	pred.bt.9	see type two diabetes	1.0
707	-1	aspirin cancer prevention	1.0
708	-1	decorative slate sources	1.0
709	-1	horse racing jockey weight	1.0
710	-1	prostate cancer treatments	1.0
711	-1	train station security measures	0.25
711	pred.bt.1	train station security measures measur naval amtrak secur transport	1.0
711	pred.bt.10	train station security measures measur naval amtrak secur transport	1.0
711	pred.bt.2	train station security measures measur naval amtrak secur transport	1.0
711	pred.bt.3	train station security measures measur naval amtrak secur transport	1.0
711	pred.bt.4	train station security measures measur naval amtrak secur transport	1.0
711	pred.bt.5	train station security measures measur naval amtrak secur transport	1.0
711	pred.bt.6	train station security measures measur naval amtrak secur transport	1.0
711	pred.bt.7	train station security measures measur naval amtrak secur transport	1.0
711	pred.bt.8	train station security measures measur naval amtrak secur transport	1.0
711	pred.bt.9	train station security measures measur naval amtrak secur transport	1.0
712	-1	pyramid scheme	1.0
713	-1	chesapeake bay maryland clean	1.0
714	-1	license restrictions older drivers	1.0
715	-1	schizophrenia drugs	0.5
715	pred.bt.1	schizophrenia drugs patient	1.0
715	pred.bt.10	schizophrenia drugs patient	1.0
715	pred.bt.2	schizophrenia drugs patient	1.0
715	pred.bt.3	schizophrenia drugs patient	1.0
715	pred.bt.4	schizophrenia drugs patient	1.0
715	pred.bt.5	schizophrenia drugs patient	1.0
715	pred.bt.6	schizophrenia drugs patient	1.0
715	pred.bt.7	schizophrenia drugs patient	1.0
715	pred.bt.8	schizophrenia drugs patient	1.0
715	pred.bt.9	schizophrenia drugs patient	1.0
716	-1	spammer arrest sue	0.3333
716	pred.bt.1	spammer arrest sue arrest lawsuit spamming	1.0
716	pred.bt.10	spammer arrest sue arrest lawsuit spamming	1.0
716	pred.bt.2	spammer arrest sue arrest lawsuit spamming	1.0
716	pred.bt.3	spammer arrest sue arrest lawsuit spamming	1.0
716	pred.bt.4	spammer arrest sue arrest lawsuit spamming	1.0
716	pred.bt.5	spammer arrest sue arrest lawsuit spamming	1.0
716	pred.bt.6	spammer arrest sue arrest lawsuit spamming	1.0
716	pred.bt.7	spammer arrest sue arrest lawsuit spamming	1.0
716	pred.bt.8	spammer arrest sue arrest lawsuit spamming	1.0
716	pred.bt.9	spammer arrest sue arrest lawsuit spamming	1.0
717	-1	gifted talented student programs	1.0
718	-1	controlling acid rain	1.0
719	-1	cruise ship damage sea life	0.1429
719	pred.bt.1	cruise ship damage sea life ship vessel caused ocean waters lives even	1.0
719	pred.bt.10	cruise ship damage sea life ship vessel caused ocean waters lives even	1.0
719	pred.bt.2	cruise ship damage sea life ship vessel caused ocean waters lives even	1.0
719	pred.bt.3	cruise ship damage sea life ship vessel caused ocean waters lives even	1.0
719	pred.bt.4	cruise ship damage sea life ship vessel caused ocean waters lives even	1.0
719	pred.bt.5	cruise ship damage sea life ship vessel caused ocean waters lives even	1.0
719	pred.bt.6	cruise ship damage sea life ship vessel caused ocean waters lives even	1.0
719	pred.bt.7	cruise ship damage sea life ship vessel caused ocean waters lives even	1.0
719	pred.bt.8	cruise ship damage sea life ship vessel caused ocean waters lives even	1.0
719	pred.bt.9	cruise ship damage sea life ship vessel caused ocean waters lives even	1.0
720	-1	federal welfare reform	0.2
720	pred.bt.1	federal welfare reform welfar state	0.25
720	pred.bt.10	federal welfare reform welfar state	0.25
720	pred.bt.2	federal welfare reform welfar state	0.25
720	pred.bt.3	federal welfare reform welfar state	0.25
720	pred.bt.4	federal welfare reform welfar state	0.25
720	pred.bt.5	federal welfare reform welfar state	0.25
720	pred.bt.6	federal welfare reform welfar state	0.25
720	pred.bt.7	federal welfare reform welfar state	0.25
720	pred.bt.8	federal welfare reform welfar state	0.25
720	pred.bt.9	federal welfare reform welfar state	0.25
721	-1	census data applications	0.1111
721	pred.bt.1	census data applications area counti number ani total	1.0
721	pred.bt.10	census data applications area counti number ani total	1.0
721	pred.bt.2	census data applications area counti number ani total	1.0
721	pred.bt.3	census data applications area counti number ani total	1.0
721	pred.bt.4	census data applications area counti number ani total	1.0
721	pred.bt.5	census data applications area counti number ani total	1.0
721	pred.bt.6	census data applications area counti number ani total	1.0
721	pred.bt.7	census data applications area counti number ani total	1.0
721	pred.bt.8	census data applications area counti number ani total	1.0
721	pred.bt.9	census data applications area counti number ani total	1.0
722	-1	iran terrorism	1.0
723	-1	executive privilege	1.0
724	-1	iran contra	0.1667
724	pred.bt.1	iran contra casei cia defend record	1.0
724	pred.bt.10	iran contra casei cia defend record	1.0
724	pred.bt.2	iran contra casei cia defend record	1.0
724	pred.bt.3	iran contra casei cia defend record	1.0
724	pred.bt.4	iran contra casei cia defend record	1.0
724	pred.bt.5	iran contra casei cia defend record	1.0
724	pred.bt.6	iran contra casei cia defend record	1.0
724	pred.bt.7	iran contra casei cia defend record	1.0
724	pred.bt.8	iran contra casei cia defend record	1.0
724	pred.bt.9	iran contra casei cia defend record	1.0
725	-1	low white blood cell count	0.3333
726	-1	hubble telescope repairs	1.0
727	-1	church arson	1.0
728	-1	whales save endangered	1.0
729	-1	whistle blower department of defense	0.0
729	pred.bt.1	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.bt.10	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.bt.2	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.bt.3	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.bt.4	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.bt.5	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.bt.6	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.bt.7	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.bt.8	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.bt.9	whistle blower department defense blowing whistleblower administration defence	0.25
730	-1	gastric bypass complications	1.0
731	-1	kurds history	0.0833
731	pred.bt.1	kurds past subject school	1.0
731	pred.bt.10	kurds past subject school	1.0
731	pred.bt.2	kurds past subject school	1.0
731	pred.bt.3	kurds past subject school	1.0
731	pred.bt.4	kurds past subject school	1.0
731	pred.bt.5	kurds past subject school	1.0
731	pred.bt.6	kurds past subject school	1.0
731	pred.bt.7	kurds past subject school	1.0
731	pred.bt.8	kurds past subject school	1.0
731	pred.bt.9	kurds past subject school	1.0
732	-1	u.s. cheese production	1.0
733	-1	airline overbooking	1.0
734	-1	recycling successes	0.5
735	-1	afghan women condition	0.3333
736	-1	location bse infections	1.0
737	-1	enron california energy crisis	1.0
738	-1	anthrax hoaxes	1.0
739	-1	habitat for humanity	0.3333
740	-1	regulate assisted living maryland	1.0
741	-1	artificial intelligence	0.04
741	pred.bt.1	artificial intelligence learning united states intelligence agency	1.0
741	pred.bt.10	artificial intelligence learning united states intelligence agency	1.0
741	pred.bt.2	artificial intelligence learning united states intelligence agency	1.0
741	pred.bt.3	artificial intelligence learning united states intelligence agency	1.0
741	pred.bt.4	artificial intelligence learning united states intelligence agency	1.0
741	pred.bt.5	artificial intelligence learning united states intelligence agency	1.0
741	pred.bt.6	artificial intelligence learning united states intelligence agency	1.0
741	pred.bt.7	artificial intelligence learning united states intelligence agency	1.0
741	pred.bt.8	artificial intelligence learning united states intelligence agency	1.0
741	pred.bt.9	artificial intelligence learning united states intelligence agency	1.0
742	-1	hedge funds fraud protection	1.0
743	-1	freighter ship registration	0.0357
743	pred.bt.1	under flag conveni nation secur	1.0
743	pred.bt.10	under flag conveni nation secur	1.0
743	pred.bt.2	under flag conveni nation secur	1.0
743	pred.bt.3	under flag conveni nation secur	1.0
743	pred.bt.4	under flag conveni nation secur	1.0
743	pred.bt.5	under flag conveni nation secur	1.0
743	pred.bt.6	under flag conveni nation secur	1.0
743	pred.bt.7	under flag conveni nation secur	1.0
743	pred.bt.8	under flag conveni nation secur	1.0
743	pred.bt.9	under flag conveni nation secur	1.0
744	-1	counterfeit id punishments	0.0115
744	pred.bt.1	counterfeit id punishments fake identification meted	0.25
744	pred.bt.10	counterfeit id punishments fake identification meted	0.25
744	pred.bt.2	counterfeit id punishments fake identification meted	0.25
744	pred.bt.3	counterfeit id punishments fake identification meted	0.25
744	pred.bt.4	counterfeit id punishments fake identification meted	0.25
744	pred.bt.5	counterfeit id punishments fake identification meted	0.25
744	pred.bt.6	counterfeit id punishments fake identification meted	0.25
744	pred.bt.7	counterfeit id punishments fake identification meted	0.25
744	pred.bt.8	counterfeit id punishments fake identification meted	0.25
744	pred.bt.9	counterfeit id punishments fake identification meted	0.25
745	-1	doomsday cults	0.1429
745	pred.bt.1	doomsday cults cult aum sects	1.0
745	pred.bt.10	doomsday cults cult aum sects	1.0
745	pred.bt.2	doomsday cults cult aum sects	1.0
745	pred.bt.3	doomsday cults cult aum sects	1.0
745	pred.bt.4	doomsday cults cult aum sects	1.0
745	pred.bt.5	doomsday cults cult aum sects	1.0
745	pred.bt.6	doomsday cults cult aum sects	1.0
745	pred.bt.7	doomsday cults cult aum sects	1.0
745	pred.bt.8	doomsday cults cult aum sects	1.0
745	pred.bt.9	doomsday cults cult aum sects	1.0
746	-1	outsource job india	1.0
747	-1	library computer oversight	1.0
748	-1	nuclear reactor types	0.5
749	-1	puerto rico state	1.0
750	-1	john edwards womens issues	0.3333
751	-1	scrabble players	1.0
752	-1	dam removal	1.0
753	-1	bullying prevention programs	0.5
753	pred.bt.1	bullying prevention programs bulli program school	1.0
753	pred.bt.10	bullying prevention programs bulli program school	1.0
753	pred.bt.2	bullying prevention programs bulli program school	1.0
753	pred.bt.3	bullying prevention programs bulli program school	1.0
753	pred.bt.4	bullying prevention programs bulli program school	1.0
753	pred.bt.5	bullying prevention programs bulli program school	1.0
753	pred.bt.6	bullying prevention programs bulli program school	1.0
753	pred.bt.7	bullying prevention programs bulli program school	1.0
753	pred.bt.8	bullying prevention programs bulli program school	1.0
753	pred.bt.9	bullying prevention programs bulli program school	1.0
754	-1	domestic adoption laws	1.0
755	-1	scottish highland games	1.0
756	-1	volcanic activity	0.1429
756	pred.bt.1	volcanic activity volcan volcano lake erupt activ	0.25
756	pred.bt.10	volcanic activity volcan volcano lake erupt activ	0.25
756	pred.bt.2	volcanic activity volcan volcano lake erupt activ	0.25
756	pred.bt.3	volcanic activity volcan volcano lake erupt activ	0.25
756	pred.bt.4	volcanic activity volcan volcano lake erupt activ	0.25
756	pred.bt.5	volcanic activity volcan volcano lake erupt activ	0.25
756	pred.bt.6	volcanic activity volcan volcano lake erupt activ	0.25
756	pred.bt.7	volcanic activity volcan volcano lake erupt activ	0.25
756	pred.bt.8	volcanic activity volcan volcano lake erupt activ	0.25
756	pred.bt.9	volcanic activity volcan volcano lake erupt activ	0.25
757	-1	murals	0.25
