,qid,order,query,qld.map
0,1,-1,obama family tree,0.0
1,10,-1,cheap internet,0.0075
2,10,glove.topn3,cheap internet inexpensive cheaper web online,0.0002
3,10,anchor.topn3,cheap internet gar restrictions ot nowiki ot installshield theory censorship,0.0
4,10,anchor.topn3.replace,gar restrictions ot nowiki ot installshield theory censorship,0.0
5,10,bertqe.topn10.bm25,dom tutori dom home dom,0.0
6,10,bertqe.topn10.qld,format rfc txt rfc txt pdf,0.0
7,10,conceptluster.topn5.3.bm25,cheap internet generic top level domain internet death cellulos carbon restringido video,0.0
8,10,conceptluster.topn5.3.qld,cheap internet generic top level domain internet git object,0.0
9,10,conceptnet.topn3,cheap internet sale dirt cheap,0.0
10,10,conceptnet.topn3.replace,sale dirt cheap internet,0.0
11,10,docluster.topn10.3.bm25,cheap internet death cellulos carbon restringido video life trivia obama organ,0.0
12,10,docluster.topn10.3.qld,cheap internet git object trivia,0.0
13,10,glove.topn3.replace,inexpensive cheaper web online,0.0
14,10,relevancefeedback.topn10.bm25,cheap internet furnitur you onlin dom tip,0.0
15,10,relevancefeedback.topn10.qld,cheap internet string furnitur object,0.0
16,10,stem.trunc4,chea inte,0.0
17,10,stem.trunc5,cheap inter,0.0
18,10,tagmee.topn3,cheap internet Generic top level domain Internet,0.0
19,10,tagmee.topn3.replace,Generic top level domain Internet,0.0
20,10,termluster.topn5.3.bm25,cheap internet death cellulos carbon restringido video,0.0
21,10,termluster.topn5.3.qld,cheap internet git object,0.0
22,10,wiki.topn3,cheap internet sponsored top level domain info sunrisperiod generic top level domain internet introductions virtual reality internet,0.0
23,10,wiki.topn3.replace,sponsored top level domain info sunrisperiod generic top level domain internet introductions virtual reality internet,0.0
24,10,wordnet.topn3,cheap internet gaudy loud brassy net cyberspace,0.0
25,10,wordnet.topn3.replace,gaudy loud brassy net cyberspace,0.0
26,11,-1,gmat prep classes,0.1851
27,11,docluster.topn10.3.qld,gmat prep classes git object trivia,0.1826
28,11,termluster.topn5.3.bm25,gmat prep classes death cellulos carbon restringido video,0.1814
29,11,word2vec.topn3,gmat prep classes courses,0.1697
30,11,docluster.topn10.3.bm25,gmat prep classes death cellulos carbon restringido video life trivia obama organ,0.1394
31,11,sensedisambiguation,gmat prep homework classes course,0.1201
32,11,conceptluster.topn5.3.qld,gmat prep classes preschool graduate management admission test social class git object,0.1184
33,11,bt_bing_french,GMAT Prep Courses,0.1162
34,11,bt_bing_russian,GMAT Preparation Classes,0.1162
35,11,bt_bing_tamil,GMAT Preparation Classes,0.1162
36,11,bt_nllb_malay,Gmat preparation class,0.1162
37,11,bt_nllb_swahili,a preparation class for gmat,0.1162
38,11,word2vec.topn3.replace,gmat prep courses,0.1162
39,11,anchor.topn3,gmat prep classes al mojzel baico crosswat preparatori prep oahu,0.1072
