qid	order	query	bm25.ndcg
301	-1	International Organized Crime	0.0586
302	-1	Poliomyelitis and Post-Polio	0.7405
303	-1	Hubble Telescope Achievements	0.5126
304	-1	Endangered Species (Mammals)	0.2081
305	-1	Most Dangerous Vehicles	0.0323
306	-1	African Civilian Deaths	0.1539
307	-1	New Hydroelectric Projects	0.3366
308	-1	Implant Dentistry	0.488
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	0.3509
311	-1	Industrial Espionage	0.4199
312	-1	Hydroponics	0.9559
313	-1	Magnetic Levitation-Maglev	0.8249
314	-1	Marine Vegetation	0.0168
315	-1	Unexplained Highway Accidents	0.1104
316	-1	Polygamy Polyandry Polygyny	0.7496
317	-1	Unsolicited Faxes	0.7129
318	-1	Best Retirement Country	0.0276
319	-1	New Fuel Sources	0.1447
320	-1	Undersea Fiber Optic Cable	0.2138
321	-1	Women in Parliaments	0.3349
322	-1	International Art Crime	0.016
323	-1	Literary/Journalistic Plagiarism	0.435
324	-1	Argentine/British Relations	0.4965
325	-1	Cult Lifestyles	0.2437
326	-1	Ferry Sinkings	0.7257
327	-1	Modern Slavery	0.3936
328	-1	Pope Beatifications	0.784
329	-1	Mexican Air Pollution	0.4808
330	-1	Iran-Iraq Cooperation	0.1171
331	-1	World Bank Criticism	0.3363
332	-1	Income Tax Evasion	0.1474
333	-1	Antibiotics Bacteria Disease	0.4352
334	-1	Export Controls Cryptography	0.235
335	-1	Adoptive Biological Parents	0.503
336	-1	Black Bear Attacks	0.1371
337	-1	Viral Hepatitis	0.3693
338	-1	Risk of Aspirin	0.5585
339	-1	Alzheimer's Drug Treatment	0.4573
340	-1	Land Mine Ban	0.2795
341	-1	Airport Security	0.4103
342	-1	Diplomatic Expulsion	0.2892
343	-1	Police Deaths	0.0191
344	-1	Abuses of E-Mail	0.4393
345	-1	Overseas Tobacco Sales	0.2642
346	-1	Educational Standards	0.1869
347	-1	Wildlife Extinction	0.1563
348	-1	Agoraphobia	0.9068
349	-1	Metabolism	0.3448
350	-1	Health and Computer Terminals	0.2143
351	-1	Falkland petroleum exploration	0.5303
352	-1	British Chunnel impact	0.1282
353	-1	Antarctica exploration	0.4228
354	-1	journalist risks	0.0584
355	-1	ocean remote sensing	0.3238
356	-1	postmenopausal estrogen Britain	0.0665
357	-1	territorial waters dispute	0.2927
358	-1	blood-alcohol fatalities	0.4478
359	-1	mutual fund predictors	0.1173
360	-1	drug legalization benefits	0.1964
361	-1	clothing sweatshops	0.5154
362	-1	human smuggling	0.206
363	-1	transportation tunnel disasters	0.0904
364	-1	rabies	0.8024
365	-1	El Nino	0.7619
366	-1	commercial cyanide uses	0.5668
367	-1	piracy	0.1046
368	-1	in vitro fertilization	0.5288
369	-1	anorexia nervosa bulimia	0.5514
370	-1	food/drug laws	0.0337
371	-1	health insurance holistic	0.0
372	-1	Native American casino	0.2904
373	-1	encryption equipment export	0.3178
374	-1	Nobel prize winners	0.2025
375	-1	hydrogen energy	0.3653
376	-1	World Court	0.0981
377	-1	cigar smoking	0.5449
378	-1	euro opposition	0.0149
379	-1	mainstreaming	0.1962
380	-1	obesity medical treatment	0.4656
381	-1	alternative medicine	0.1839
382	-1	hydrogen fuel automobiles	0.7232
383	-1	mental illness drugs	0.0837
384	-1	space station moon	0.3348
385	-1	hybrid fuel cars	0.4636
386	-1	teaching disabled children	0.1252
387	-1	radioactive waste	0.2274
388	-1	organic soil enhancement	0.1132
389	-1	illegal technology transfer	0.0935
390	-1	orphan drugs	0.1861
391	-1	R&D drug prices	0.3673
392	-1	robotics	0.5104
393	-1	mercy killing	0.2064
394	-1	home schooling	0.0797
395	-1	tourism	0.1378
396	-1	sick building syndrome	0.2999
397	-1	automobile recalls	0.0659
398	-1	dismantling Europe's arsenal	0.0868
399	-1	oceanographic vessels	0.2946
400	-1	Amazon rain forest	0.4859
401	-1	foreign minorities, Germany	0.0777
402	-1	behavioral genetics	0.2505
403	-1	osteoporosis	0.661
404	-1	Ireland, peace talks	0.1501
405	-1	cosmic events	0.1929
406	-1	Parkinson's disease	0.69
407	-1	poaching, wildlife preserves	0.4172
