,qid,order,query,bm25.ndcg
0,1,-1,obama family tree,0.4473
1,1,tagmee.topn3.replace,Family of Barack Obama,0.4386
2,1,conceptnet.topn3,obama family tree Barack Hussein Obama obamaton obamacrat home group branch squirrel wood,0.4317
3,1,anchor.topn3,obama family tree barack obama strichnocera mekubetzet tree stern s diatomic sequ ssm a,0.4306
4,1,word2vec.topn3,obama family tree bama barack relatives tree,0.4168
5,1,anchor.topn3.replace,barack obama strichnocera family mekubetzet tree stern s diatomic sequ ssm a,0.2957
6,1,glove.topn3,obama family tree barack mccain father pine,0.2175
7,1,conceptnet.topn3.replace,Barack Hussein Obama obamaton obamacrat home group branch squirrel wood,0.1884
8,1,conceptluster.topn5.3.bm25,obama family tree family barack obama death cellulos carbon restringido video,0.0267
9,1,word2vec.topn3.replace,bama barack relatives tree,0.013
10,1,sensedisambiguation,obama family syndicate tree,0.005
11,1,bertqe.topn10.bm25,automobil accid tree messag board,0.0
12,1,bertqe.topn10.qld,master trivia master trivia profil,0.0
13,1,bt_nllb_russian,The Tree of Joy,0.0
14,1,docluster.topn10.3.bm25,obama family tree death cellulos carbon restringido video life trivia organ,0.0
15,1,docluster.topn10.3.qld,obama family tree git object trivia,0.0
16,1,glove.topn3.replace,barack mccain father pine,0.0
17,1,relevancefeedback.topn10.bm25,obama family tree death cellulos carbon restringido video life trivia organ,0.0
18,1,relevancefeedback.topn10.qld,obama family tree git object trivia,0.0
19,1,sensedisambiguation.replace,obama syndicate tree,0.0
20,1,stem.lovins,obam fam tre,0.0
21,1,stem.paicehusk,obam famy tre,0.0
22,1,stem.trunc4,obam fami tree,0.0
23,1,stem.trunc5,obama famil tree,0.0
24,1,termluster.topn5.3.bm25,obama family tree death cellulos carbon restringido video,0.0
25,1,termluster.topn5.3.qld,obama family tree git object,0.0
26,1,wordnet.topn3,obama family tree sept crime syndicate kinsperson corner,0.0
27,1,wordnet.topn3.replace,obama sept crime syndicate kinsperson corner,0.0
28,10,-1,cheap internet,0.1326
29,10,conceptluster.topn5.3.bm25,cheap internet generic top level domain internet death cellulos carbon restringido video,0.0063
30,10,anchor.topn3,cheap internet gar restrictions ot nowiki ot installshield theory censorship,0.0
31,10,anchor.topn3.replace,gar restrictions ot nowiki ot installshield theory censorship,0.0
32,10,bertqe.topn10.bm25,dom tutori dom home dom,0.0
33,10,bertqe.topn10.qld,format rfc txt rfc txt pdf,0.0
34,10,conceptluster.topn5.3.qld,cheap internet generic top level domain internet git object,0.0
35,10,conceptnet.topn3,cheap internet sale dirt cheap,0.0
36,10,conceptnet.topn3.replace,sale dirt cheap internet,0.0
37,10,docluster.topn10.3.bm25,cheap internet death cellulos carbon restringido video life trivia obama organ,0.0
38,10,docluster.topn10.3.qld,cheap internet git object trivia,0.0
39,10,glove.topn3,cheap internet inexpensive cheaper web online,0.0
40,10,glove.topn3.replace,inexpensive cheaper web online,0.0
41,10,relevancefeedback.topn10.bm25,cheap internet furnitur you onlin dom tip,0.0
42,10,relevancefeedback.topn10.qld,cheap internet string furnitur object,0.0
43,10,stem.trunc4,chea inte,0.0
44,10,stem.trunc5,cheap inter,0.0
45,10,tagmee.topn3,cheap internet Generic top level domain Internet,0.0
46,10,tagmee.topn3.replace,Generic top level domain Internet,0.0
47,10,termluster.topn5.3.bm25,cheap internet death cellulos carbon restringido video,0.0
48,10,termluster.topn5.3.qld,cheap internet git object,0.0
49,10,wiki.topn3,cheap internet sponsored top level domain info sunrisperiod generic top level domain internet introductions virtual reality internet,0.0
50,10,wiki.topn3.replace,sponsored top level domain info sunrisperiod generic top level domain internet introductions virtual reality internet,0.0
51,10,wordnet.topn3,cheap internet gaudy loud brassy net cyberspace,0.0
52,10,wordnet.topn3.replace,gaudy loud brassy net cyberspace,0.0
53,11,-1,gmat prep classes,0.4662
54,11,termluster.topn5.3.qld,gmat prep classes git object,0.4376
55,11,docluster.topn10.3.qld,gmat prep classes git object trivia,0.3925
