qid	order	query	qld.map
INEX_LD-2009022	-1	Szechwan dish food cuisine	0.1299
INEX_LD-2009022	bt_nllb_malay	Szechwan cuisine	0.1252
INEX_LD-2009022	bt_bing_tamil	Szechwan dish food	0.1193
INEX_LD-2009022	bt_nllb_swahili	Szechwan dishes food	0.1193
INEX_LD-2009022	bt_nllb_french	Cooking of Szechwan dishes	0.1161
INEX_LD-2009022	bt_bing_arabic	Sichuan Platter Food	0.0158
INEX_LD-2009022	bt_nllb_korean	Cooking the dishes	0.0012
INEX_LD-2009022	bt_nllb_german	Chequan buffalo cuisine	0.0009
INEX_LD-2009022	bt_nllb_arabic	Seizuan food	0.0
INEX_LD-2009022	bt_nllb_chinese_yue	The recipe	0.0
INEX_LD-2009022	bt_nllb_persian	Cooking Sheep s Meals	0.0
INEX_LD-2009022	bt_nllb_russian	The kitchen of the sequoia	0.0
INEX_LD-2009022	bt_nllb_tamil	The food is cooked by Tshuang	0.0
INEX_LD-2009039	-1	roman architecture	0.2
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3034
INEX_LD-2009053	bt_bing_french	Finnish car manufacturer Saab Sisu	0.2926
INEX_LD-2009053	bt_bing_german	Finnish car manufacturer Saab Sisu	0.2926
INEX_LD-2009053	bt_nllb_chinese_yue	Finnish car manufacturer Saab sisu	0.2926
INEX_LD-2009053	bt_nllb_french	Finnish car manufacturer saab sisu	0.2926
INEX_LD-2009053	bt_nllb_german	Finnish car manufacturer Saab sisu	0.2926
INEX_LD-2009053	bt_nllb_malay	Finnish car manufacturer saab sisu	0.2926
INEX_LD-2009053	bt_nllb_persian	Finnish car manufacturer Saab sisu	0.2926
INEX_LD-2009053	bt_nllb_swahili	Finnish car manufacturer saab sisu	0.2926
INEX_LD-2009053	bt_bing_arabic	Finland manufacturer Saab Sisu	0.276
INEX_LD-2009053	bt_bing_russian	Finnish automotive manufacturer Saab Sisu	0.2375
INEX_LD-2009053	bt_bing_malay	Finnish car industry manufacturer Saab Sisu	0.1889
INEX_LD-2009053	bt_nllb_arabic	Finnish car manufacturing plant Sap Sisu	0.1739
INEX_LD-2009053	bt_bing_korean	Finnish automotive industry manufacturer Saab Sisu	0.1576
INEX_LD-2009053	bt_bing_swahili	Finnish auto industry manufacturer Saab Sisu	0.1565
INEX_LD-2009053	bt_nllb_russian	Finnish manufacturer of automotive industry Saab Suzi	0.075
INEX_LD-2009053	bt_nllb_tamil	Sappha Sysu Finnish automotive manufacturer	0.0563
INEX_LD-2009053	bt_bing_chinese_simplified	Sabosisu a Finnish manufacturer of the automotive industry	0.0442
INEX_LD-2009053	bt_bing_persian	Finland subcisso automobile manufacturer	0.0321
INEX_LD-2009053	bt_nllb_korean	Finnish car manufacturer Sava Saassu	0.0113
INEX_LD-2009061	-1	france second world war normandy	0.1967
INEX_LD-2009061	bt_bing_arabic	France World War II Normandy	0.1023
INEX_LD-2009061	bt_bing_chinese_simplified	France World War II Normandy	0.1023
INEX_LD-2009061	bt_bing_french	France World War II Normandy	0.1023
INEX_LD-2009061	bt_bing_german	France World War II Normandy	0.1023
INEX_LD-2009061	bt_bing_persian	France World War II Normandy	0.1023
INEX_LD-2009061	bt_bing_russian	France World War II Normandy	0.1023
INEX_LD-2009061	bt_bing_tamil	France World War II Normandy	0.1023
INEX_LD-2009061	bt_nllb_tamil	France World War II Normandy	0.1023
INEX_LD-2009061	bt_nllb_chinese_yue	France World War II Normandy and the French	0.0912
INEX_LD-2009061	bt_bing_korean	French World War II Normandy	0.076
INEX_LD-2009061	bt_bing_swahili	French World War II Normandy	0.076
INEX_LD-2009061	bt_nllb_korean	France during World War II Normandy	0.069
INEX_LD-2009061	bt_nllb_arabic	France World War II Normandy and the French and Indian War	0.0638
INEX_LD-2009062	-1	social network group selection	0.1094
INEX_LD-2009062	bt_nllb_chinese_yue	Social media is a group	0.0604
INEX_LD-2009062	bt_nllb_malay	Choice of social networking group	0.0397
INEX_LD-2009062	bt_bing_arabic	Choosing a social network group	0.0211
INEX_LD-2009062	bt_bing_korean	Choosing a social network group	0.0211
INEX_LD-2009062	bt_nllb_arabic	Choosing social network groups	0.0211
INEX_LD-2009062	bt_nllb_korean	Choose a social network group	0.0211
INEX_LD-2009062	bt_nllb_swahili	Choosing a social networking group	0.0211
INEX_LD-2009062	bt_bing_french	Selecting a Social Media Group	0.0147
INEX_LD-2009062	bt_bing_russian	Choosing a social media group	0.0087
INEX_LD-2009062	bt_nllb_persian	Choosing a social media group	0.0087
INEX_LD-2009063	-1	D-Day normandy invasion	0.1245
INEX_LD-2009063	bt_bing_russian	D Day landings in Normandy	0.0894
INEX_LD-2009063	bt_bing_chinese_simplified	Normandy landings	0.0713
INEX_LD-2009063	bt_bing_french	Normandy landings	0.0713
INEX_LD-2009063	bt_nllb_persian	The Normandy attack on D Day	0.0586
INEX_LD-2009063	bt_nllb_chinese_yue	The Norman invasion of D Day	0.0046
INEX_LD-2009063	bt_nllb_tamil	The D Day Norman invasion	0.0046
INEX_LD-2009074	-1	web ranking scoring algorithm	0.2542
INEX_LD-2009074	bt_nllb_arabic	The algorithm for registering rankings on the Internet	0.211
INEX_LD-2009074	bt_bing_russian	Web Ranking Evaluation Algorithm	0.1891
INEX_LD-2009074	bt_bing_chinese_simplified	Network Ranking Scoring Algorithm	0.0996
INEX_LD-2009074	bt_bing_malay	web position scoring algorithm	0.0546
INEX_LD-2009074	bt_bing_swahili	Web level scoring algorithm	0.023
INEX_LD-2009074	bt_nllb_russian	algorithm for rating of websites	0.0086
INEX_LD-2009074	bt_nllb_german	The following is the list of the categories of users of the service	0.0
INEX_LD-2009096	-1	Eiffel	0.3177
INEX_LD-2009096	bt_bing_french	Eiffel tower	0.1439
INEX_LD-2009096	bt_nllb_french	The Eiffel fire	0.142
INEX_LD-2009096	bt_nllb_arabic	I m not	0.0
INEX_LD-2009096	bt_nllb_chinese_yue	I m not sure	0.0
INEX_LD-2009096	bt_nllb_german	Eggs	0.0
INEX_LD-2009096	bt_nllb_korean	The Epel	0.0
INEX_LD-2009096	bt_nllb_persian	I m going to the hospital	0.0
INEX_LD-2009096	bt_nllb_tamil	the ifel	0.0
INEX_LD-2009111	-1	europe solar power facility	0.1228
INEX_LD-2009111	bt_bing_malay	European Solar Energy Facilities	0.116
INEX_LD-2009111	bt_bing_persian	European Solar Energy Facility	0.116
INEX_LD-2009111	bt_nllb_swahili	Europe solar power station	0.0963
INEX_LD-2009111	bt_bing_korean	Solar power generation facilities in Europe	0.0632
INEX_LD-2009111	bt_nllb_french	The European Union	0.0
INEX_LD-2009115	-1	virtual museums	0.4025
INEX_LD-2009115	bt_nllb_malay	The Mayan Museum	0.0
INEX_LD-2010004	-1	Indian food	0.2021
INEX_LD-2010004	bt_bing_chinese_simplified	Indian cuisine	0.1629
INEX_LD-2010004	bt_bing_french	Indian Cuisine	0.1629
INEX_LD-2010004	bt_bing_russian	Indian Cuisine	0.1629
INEX_LD-2010014	-1	composer museum	0.0472
INEX_LD-2010014	bt_bing_tamil	Music Composer Museum	0.0156
INEX_LD-2010014	bt_bing_swahili	Composer s Museum	0.0054
INEX_LD-2010014	bt_nllb_german	The composer s museum	0.0054
INEX_LD-2010014	bt_nllb_korean	The composer s museum	0.0054
INEX_LD-2010014	bt_nllb_malay	The Composer s Museum	0.0054
INEX_LD-2010014	bt_nllb_persian	The Musical Museum	0.0034
INEX_LD-2010014	bt_nllb_tamil	The Musical Museum	0.0034
INEX_LD-2010014	bt_nllb_swahili	museums of the writer	0.0031
INEX_LD-2010014	bt_nllb_chinese_yue	The Musicians Museum	0.0029
INEX_LD-2010014	bt_nllb_arabic	The Museum of the Author	0.001
INEX_LD-2010019	-1	gallo roman architecture in paris	0.0045
INEX_LD-2010019	bt_bing_persian	Gallo s Roman architecture in Paris	0.0038
INEX_LD-2010019	bt_nllb_arabic	Gallo Romanesque architecture in Paris	0.0
INEX_LD-2010019	bt_nllb_persian	The architecture of the Gallo Rome in Paris	0.0
INEX_LD-2010019	bt_nllb_tamil	The architecture of the Calo Romanesque in Paris	0.0
INEX_LD-2010020	-1	electricity source in France	0.0364
INEX_LD-2010020	bt_nllb_persian	Power supply in France	0.0115
INEX_LD-2010020	bt_nllb_arabic	Electricity supply in France	0.0065
INEX_LD-2010020	bt_nllb_korean	The electricity supply in France	0.0065
INEX_LD-2010020	bt_nllb_chinese_yue	French power supply	0.0035
INEX_LD-2010037	-1	social network API	0.2202
INEX_LD-2010037	bt_nllb_russian	API of social media	0.0637
INEX_LD-2010043	-1	List of films from the surrealist category	0.2303
INEX_LD-2010043	bt_bing_swahili	List of films from the surrealist community	0.2023
INEX_LD-2010043	bt_nllb_swahili	List of films from the surrealist community	0.2023
INEX_LD-2010043	bt_bing_tamil	List of films in the Surrealist genre	0.1759
INEX_LD-2010043	bt_nllb_chinese_yue	A list of movies in the surrealist category	0.0311
INEX_LD-2010043	bt_bing_german	List of films from the category Surrealism	0.0217
INEX_LD-2010043	bt_bing_russian	List of films from the category Surrealism	0.0217
INEX_LD-2010043	bt_bing_arabic	List of films in the surreal category	0.0205
INEX_LD-2010043	bt_bing_korean	List of films in the category of surrealism	0.0205
INEX_LD-2010057	-1	Einstein Relativity theory	0.3512
INEX_LD-2010057	bt_bing_arabic	Einstein s theory of relativity	0.3375
INEX_LD-2010057	bt_bing_chinese_simplified	Einstein s theory of relativity	0.3375
INEX_LD-2010057	bt_bing_french	Einstein s Theory of Relativity	0.3375
INEX_LD-2010057	bt_bing_german	Einstein s Theory of Relativity	0.3375
INEX_LD-2010057	bt_bing_korean	Einstein s theory of relativity	0.3375
INEX_LD-2010057	bt_bing_malay	Einstein s Theory of Relativity	0.3375
INEX_LD-2010057	bt_bing_persian	Einstein s Theory of Relativity	0.3375
INEX_LD-2010057	bt_bing_russian	Einstein s theory of relativity	0.3375
INEX_LD-2010057	bt_bing_tamil	Einstein s theory of relativity	0.3375
INEX_LD-2010057	bt_nllb_french	Einstein s theory of relativity	0.3375
INEX_LD-2010057	bt_nllb_german	Einstein s theory of relativity	0.3375
INEX_LD-2010057	bt_nllb_korean	Einstein s theory of relativity is	0.3375
INEX_LD-2010057	bt_nllb_persian	Einstein s theory of relativity is	0.3375
INEX_LD-2010057	bt_nllb_russian	Einstein s theory of relativity	0.3375
INEX_LD-2010057	bt_nllb_tamil	The theory of Einstein s theory of relativity is that the universe is made up of all things	0.1733
INEX_LD-2010057	bt_nllb_swahili	Einstein s Theory of Relation	0.0617
INEX_LD-2010069	-1	summer flowers	0.0149
INEX_LD-2010100	-1	house concrete wood	0.1371
INEX_LD-2010100	bt_nllb_russian	wood from a concrete house	0.1348
INEX_LD-2010100	bt_bing_swahili	Real wood house	0.1157
INEX_LD-2010100	bt_bing_chinese_simplified	houses of concrete timber	0.0324
INEX_LD-2010100	bt_nllb_persian	The house is concrete	0.0133
INEX_LD-2010100	bt_nllb_chinese_yue	Concrete for the room	0.0093
INEX_LD-2010100	bt_nllb_arabic	Home wood	0.0
INEX_LD-2010100	bt_nllb_german	Other of a kind used for the manufacture of goods of heading	0.0
INEX_LD-2010100	bt_nllb_swahili	a concrete wooden house	0.0
INEX_LD-2010106	-1	organic food advantages disadvantages	0.0
INEX_LD-20120111	-1	vietnam war movie	0.3114
INEX_LD-20120111	bt_bing_chinese_simplified	Vietnam War films	0.298
INEX_LD-20120111	bt_bing_malay	Vietnam War Films	0.298
INEX_LD-20120111	bt_bing_swahili	Vietnam War films	0.298
INEX_LD-20120111	bt_nllb_german	Vietnam War Film	0.298
INEX_LD-20120111	bt_nllb_tamil	The Vietnam War Film	0.298
INEX_LD-20120111	bt_bing_french	Movie about the Vietnam War	0.2487
INEX_LD-20120111	bt_nllb_russian	A movie about the Vietnam War	0.2487
INEX_LD-20120111	bt_bing_russian	A film about the Vietnam War	0.1295
INEX_LD-20120111	bt_nllb_korean	A film about the Vietnam War	0.1295
INEX_LD-20120111	bt_nllb_french	Vietnamese war film	0.1033
INEX_LD-20120111	bt_nllb_swahili	Vietnamese war film	0.1033
INEX_LD-20120112	-1	vietnam war facts	0.1152
INEX_LD-20120112	bt_nllb_german	Facts from the Vietnam War	0.0953
INEX_LD-20120112	bt_nllb_korean	The Vietnam War is real	0.0822
INEX_LD-20120112	bt_bing_russian	Facts about the Vietnam War	0.044
INEX_LD-20120112	bt_nllb_tamil	The Vietnam War was a war of attrition	0.0237
INEX_LD-20120112	bt_bing_swahili	The Truth of the Vietnam War	0.0236
INEX_LD-20120112	bt_nllb_swahili	The Truth About the Vietnam War	0.005
INEX_LD-20120121	-1	vietnam food recipes	0.1341
INEX_LD-20120121	bt_nllb_korean	Vietnamese cuisine	0.0972
INEX_LD-20120121	bt_nllb_tamil	Vietnamese cuisine	0.0972
INEX_LD-20120121	bt_bing_arabic	Vietnam Recipes	0.0927
INEX_LD-20120121	bt_bing_russian	Vietnamese Cuisine Recipes	0.0924
INEX_LD-20120121	bt_nllb_arabic	Vietnamese recipes	0.0891
INEX_LD-20120121	bt_nllb_german	Vietnamese recipes	0.0891
INEX_LD-20120121	bt_nllb_russian	Vietnamese recipes	0.0891
INEX_LD-20120122	-1	vietnamese food blog	0.0646
INEX_LD-20120122	bt_bing_korean	Vietnam Food Blog	0.0066
INEX_LD-20120122	bt_bing_malay	Vietnam Food Blog	0.0066
INEX_LD-20120131	-1	vietnam travel national park	0.1168
INEX_LD-20120131	bt_nllb_arabic	Vietnamese national park	0.1052
INEX_LD-20120131	bt_nllb_french	Vietnamese national park	0.1052
INEX_LD-20120131	bt_nllb_malay	Vietnamese Travel National Park	0.0548
INEX_LD-20120131	bt_bing_chinese_simplified	Vietnam Tourist National Park	0.0521
INEX_LD-20120131	bt_bing_tamil	Vietnam Tourism National Park	0.0467
INEX_LD-20120131	bt_nllb_chinese_yue	Vietnamese National Park for tourism	0.015
INEX_LD-20120132	-1	vietnam travel airports	0.4514
INEX_LD-20120132	bt_bing_chinese_simplified	Vietnam Tourist Airport	0.2843
INEX_LD-20120132	bt_nllb_chinese_yue	Vietnamese tourist airport	0.1801
INEX_LD-20120211	-1	guitar chord tuning	0.5169
INEX_LD-20120211	bt_nllb_arabic	The tuning on the guitar	0.4591
INEX_LD-20120211	bt_bing_malay	Tuning the guitar cord	0.38
INEX_LD-20120211	bt_nllb_german	Guitar chords	0.2724
INEX_LD-20120211	bt_nllb_french	adjustment of the guitar chords	0.2125
INEX_LD-20120211	bt_nllb_malay	guitar chord adjustment	0.2125
INEX_LD-20120211	bt_nllb_russian	the guitar chord setup	0.2035
INEX_LD-20120211	bt_bing_persian	Guitar Chords Set	0.1972
INEX_LD-20120211	bt_nllb_persian	Guitar chord set	0.1972
INEX_LD-20120211	bt_nllb_chinese_yue	The guitar strings	0.061
INEX_LD-20120211	bt_nllb_tamil	The guitar is played in the key of E	0.0544
INEX_LD-20120211	bt_nllb_korean	Guitar	0.016
INEX_LD-20120212	-1	guitar chord minor	0.2699
INEX_LD-20120212	bt_nllb_chinese_yue	The chord of the guitar	0.2355
INEX_LD-20120212	bt_bing_korean	Guitar Chord Miner	0.2335
INEX_LD-20120212	bt_bing_arabic	Lesser guitar chord	0.1781
INEX_LD-20120212	bt_nllb_persian	A small chord guitar	0.1413
INEX_LD-20120212	bt_nllb_swahili	small chord guitar	0.1413
INEX_LD-20120212	bt_bing_malay	Minor Cord Guitar	0.0456
INEX_LD-20120212	bt_nllb_arabic	Guitar strings	0.0387
INEX_LD-20120212	bt_nllb_tamil	The guitar is a small print	0.0005
INEX_LD-20120212	bt_nllb_german	Guitar recorder	0.0004
INEX_LD-20120221	-1	guitar classical flamenco	0.4129
INEX_LD-20120221	bt_nllb_arabic	It s a classic flamenco guitar	0.3853
INEX_LD-20120221	bt_bing_tamil	Guitar Classical Flamengo	0.0114
INEX_LD-20120222	-1	guitar classical bach	0.3691
INEX_LD-20120222	bt_bing_swahili	Bach s Classical Guitar	0.2986
INEX_LD-20120222	bt_nllb_persian	The classical guitar	0.0693
INEX_LD-20120222	bt_nllb_arabic	It s a classic guitar	0.0612
INEX_LD-20120222	bt_bing_tamil	Guitar Classical Pak	0.0176
INEX_LD-20120222	bt_nllb_french	The classic bass guitar	0.0072
INEX_LD-20120222	bt_nllb_korean	The classic guitar barch	0.005
INEX_LD-20120231	-1	guitar origin Russia	0.0434
INEX_LD-20120231	bt_bing_korean	Other Origin Russia	0.0
INEX_LD-20120231	bt_nllb_korean	Other origin Russia	0.0
INEX_LD-20120232	-1	guitar origin blues	0.1444
INEX_LD-20120232	bt_nllb_french	blues from the origin of the guitar	0.1302
INEX_LD-20120232	bt_nllb_chinese_yue	Guitar is blue	0.1231
INEX_LD-20120232	bt_nllb_german	Guitar blues	0.1231
INEX_LD-20120232	bt_nllb_russian	The guitar blues	0.1231
INEX_LD-20120232	bt_bing_russian	Blues Guitars Oregin	0.0988
INEX_LD-20120232	bt_nllb_malay	Blues from the guitar	0.0805
INEX_LD-20120232	bt_bing_korean	Other Origins Blues	0.0334
INEX_LD-20120232	bt_nllb_persian	The Nile guitar	0.0
INEX_LD-20120311	-1	tango culture movies	0.1046
INEX_LD-20120311	bt_nllb_persian	The Tangos	0.062
INEX_LD-20120311	bt_nllb_swahili	the movie culture of the cucumber	0.0
INEX_LD-20120312	-1	tango culture countries	0.3056
INEX_LD-20120312	bt_bing_korean	Tango Culture Nation	0.2986
INEX_LD-20120312	bt_nllb_korean	Tangos culture nation	0.2986
INEX_LD-20120312	bt_nllb_german	Countries with tangos	0.2241
INEX_LD-20120312	bt_bing_russian	Countries involved in tango culture	0.1977
INEX_LD-20120312	bt_nllb_swahili	Countries of the cucumber culture	0.0
INEX_LD-20120312	bt_nllb_tamil	The country of the Tang culture	0.0
INEX_LD-20120321	-1	tango music  composers	0.3866
INEX_LD-20120321	bt_nllb_arabic	Tango musicians	0.1838
INEX_LD-20120321	bt_nllb_tamil	The first is the Tango of the singer	0.0105
INEX_LD-20120321	bt_nllb_swahili	Composers of the cucumber music	0.0
INEX_LD-20120322	-1	tango music instruments	0.3282
