,qid,order,query,qld.ndcg
0,INEX_LD-2009022,-1,Szechwan dish food cuisine,0.2251
1,INEX_LD-2009022,bt_bing_french,Sichuan Dish Cuisine,0.6823
2,INEX_LD-2009022,bt_bing_chinese_simplified,Sichuan cuisine,0.6297
3,INEX_LD-2009022,bt_bing_russian,Sichuan Dish Food Cuisine,0.5289
4,INEX_LD-2009022,wordnet.topn3.replace,Sichuan Szechuan Szechwan province sweetheart dish out solid food food for thought culinary art,0.4335
5,INEX_LD-2009022,bt_bing_korean,Sichuan cuisine food cooking,0.4262
6,INEX_LD-2009022,bt_bing_german,Szechuan Dish Kitchen,0.3923
7,INEX_LD-2009022,wordnet.topn3,szechwan dish food cuisine Szechuan Sichuan smasher beauty food for thought solid food nutrient culinary art,0.3808
8,INEX_LD-2009022,conceptluster.topn5.3.bm25,szechwan dish food cuisine food cuisine sichuan dish food,0.3567
9,INEX_LD-2009022,conceptluster.topn5.3.qld,szechwan dish food cuisine sichuan cuisine food dish food,0.3567
10,INEX_LD-2009022,tagmee.topn3,szechwan dish food cuisine Sichuan Dish food Food Cuisine,0.3567
11,INEX_LD-2009022,conceptnet.topn3,szechwan dish food cuisine Szechuan China plate cake rice rechauffe,0.3357
12,INEX_LD-2009022,tagmee.topn3.replace,Sichuan Dish food Food Cuisine,0.3353
13,INEX_LD-2009022,anchor.topn3,szechwan dish food cuisine setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar,0.3332
14,INEX_LD-2009022,anchor.topn3.replace,setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar cuisine,0.3233
15,INEX_LD-2009022,bt_bing_persian,Sichuan Food,0.2949
16,INEX_LD-2009022,conceptnet.topn3.replace,Szechuan China plate cake rice rechauffe,0.2946
17,INEX_LD-2009022,relevancefeedback.topn10.bm25,szechwan dish food cuisine cuisin chines veget rice pepper banitsa tabl pot pölsa octopu,0.2906
18,INEX_LD-2009022,wiki.topn3,szechwan dish food cuisine sichuan shaanxi hunan sichuan list legumdishes past food batter cooking dish food foods cuisine meat food brunch veal veal cuisine,0.2591
19,INEX_LD-2009039,-1,roman architecture,0.3549
20,INEX_LD-2009039,conceptluster.topn5.3.bm25,roman architecture ancient roman architecture,0.4563
21,INEX_LD-2009039,conceptluster.topn5.3.qld,roman architecture ancient roman architecture,0.4563
22,INEX_LD-2009039,tagmee.topn3,roman architecture Ancient Roman architecture,0.4563
23,INEX_LD-2009039,tagmee.topn3.replace,Ancient Roman architecture,0.4094
24,INEX_LD-2009053,-1,finland car industry manufacturer saab sisu,0.5735
25,INEX_LD-2009053,stem.lovins,finland car industr manufacturer saab sisu,0.6303
26,INEX_LD-2009053,bt_bing_russian,Finnish automotive manufacturer Saab Sisu,0.6139
27,INEX_LD-2009053,bt_bing_french,Finnish car manufacturer Saab Sisu,0.5987
28,INEX_LD-2009053,bt_bing_german,Finnish car manufacturer Saab Sisu,0.5987
29,INEX_LD-2009053,bt_nllb_chinese_yue,Finnish car manufacturer Saab sisu,0.5987
30,INEX_LD-2009053,bt_nllb_french,Finnish car manufacturer saab sisu,0.5987
31,INEX_LD-2009053,bt_nllb_german,Finnish car manufacturer Saab sisu,0.5987
32,INEX_LD-2009053,bt_nllb_malay,Finnish car manufacturer saab sisu,0.5987
33,INEX_LD-2009053,bt_nllb_persian,Finnish car manufacturer Saab sisu,0.5987
34,INEX_LD-2009053,bt_nllb_swahili,Finnish car manufacturer saab sisu,0.5987
35,INEX_LD-2009053,anchor.topn3,finland car industry manufacturer saab sisu estonia lithuania norway mashti lc used car x turbo x drakens nalle sisu lahore iii kb,0.5954
36,INEX_LD-2009053,bt_bing_arabic,Finland manufacturer Saab Sisu,0.582
37,INEX_LD-2009053,stem.paicehusk,finland car industry manufact saab sisu,0.5739
38,INEX_LD-2009061,-1,france second world war normandy,0.4079
39,INEX_LD-2009061,relevancefeedback.topn10.qld,france second world war normandy commando beach bridg cemeteri divis caen battl,0.4861
40,INEX_LD-2009062,-1,social network group selection,0.3438
41,INEX_LD-2009062,sensedisambiguation.replace,social network group survival,0.3545
42,INEX_LD-2009063,-1,D-Day normandy invasion,0.327
43,INEX_LD-2009063,wiki.topn3,d day normandy invasion invasion normandy operation overlord battle caen normandy landings operation neptune normandy landings invasion normandy operation overlord omaha beach normandy landings utah beach invasion normandy,0.3882
44,INEX_LD-2009063,wiki.topn3.replace,invasion normandy operation overlord battle caen normandy landings operation neptune normandy landings invasion normandy operation overlord omaha beach normandy landings utah beach invasion normandy,0.3844
45,INEX_LD-2009063,sensedisambiguation,D Day normandy normandie invasion,0.3667
46,INEX_LD-2009063,relevancefeedback.topn10.qld,d day normandy invasion normandi invas book ddai oper airborn bridg utah,0.3665
47,INEX_LD-2009063,conceptluster.topn5.3.bm25,d day normandy invasion invasion normandy normandy landings operation overlord,0.3626
48,INEX_LD-2009063,conceptluster.topn5.3.qld,d day normandy invasion invasion normandy normandy landings operation overlord,0.3626
49,INEX_LD-2009063,tagmee.topn3,d day normandy invasion Normandy landings Operation Overlord Invasion of Normandy,0.3626
50,INEX_LD-2009063,relevancefeedback.topn10.bm25,d day normandy invasion airborn oper normandi utah bridg book ddai gold,0.3625
51,INEX_LD-2009063,tagmee.topn3.replace,Normandy landings Operation Overlord Invasion of Normandy,0.3581
52,INEX_LD-2009074,-1,web ranking scoring algorithm,0.5827
53,INEX_LD-2009074,bt_bing_arabic,Web ranking recording algorithm,0.6093
54,INEX_LD-2009074,bt_nllb_french,web ranking algorithm,0.6076
55,INEX_LD-2009074,bt_nllb_korean,Web ranking algorithm,0.6076
56,INEX_LD-2009074,bt_nllb_malay,algorithm for ranking the web,0.6076
57,INEX_LD-2009074,bt_nllb_chinese_yue,The ranking algorithm for websites,0.5923
58,INEX_LD-2009096,-1,Eiffel,0.6355
59,INEX_LD-2009096,wordnet.topn3,eiffel Alexandre Gustave Eiffel,0.6375
60,INEX_LD-2009111,-1,europe solar power facility,0.2883
61,INEX_LD-2009111,bt_nllb_korean,European solar power plants,0.4551
62,INEX_LD-2009111,bt_nllb_persian,European solar power plants,0.4551
63,INEX_LD-2009111,bt_nllb_russian,European solar power plant,0.4551
64,INEX_LD-2009111,word2vec.topn3.replace,germany european europe photovoltaic non solar power authority facilty,0.4395
65,INEX_LD-2009111,word2vec.topn3,europe solar power facility germany european europe photovoltaic non solar power authority facilty,0.4088
66,INEX_LD-2009111,sensedisambiguation,europe european union solar power world power facility,0.4061
67,INEX_LD-2009111,sensedisambiguation.replace,european union solar world power facility,0.3898
68,INEX_LD-2009111,bt_nllb_tamil,Europe solar powered,0.3406
69,INEX_LD-2009111,tagmee.topn3.replace,Europe Solar power,0.3406
70,INEX_LD-2009111,bt_bing_french,Solar power plant in Europe,0.3287
71,INEX_LD-2009111,bt_bing_german,Solar power plant in Europe,0.3287
72,INEX_LD-2009111,bt_bing_russian,Solar power plant in Europe,0.3287
73,INEX_LD-2009111,bt_nllb_chinese_yue,Solar powered plants in Europe,0.3287
74,INEX_LD-2009111,bt_nllb_german,Europe solar power plant,0.3287
75,INEX_LD-2009111,conceptluster.topn5.3.bm25,europe solar power facility solar power europe,0.3251
76,INEX_LD-2009111,conceptluster.topn5.3.qld,europe solar power facility solar power europe,0.3251
77,INEX_LD-2009111,tagmee.topn3,europe solar power facility Europe Solar power,0.3251
78,INEX_LD-2009111,bt_bing_chinese_simplified,European solar power facilities,0.3223
79,INEX_LD-2009111,bt_nllb_malay,European solar power facilities,0.3223
80,INEX_LD-2009111,wiki.topn3.replace,cultural concepts peninsulas asia europe europe solar energy solar power alternative energy solar power,0.3127
81,INEX_LD-2009111,relevancefeedback.topn10.bm25,europe solar power facility radar univers energi centrosolar advanc,0.3117
82,INEX_LD-2009111,wiki.topn3,europe solar power facility cultural concepts peninsulas asia europe europe solar energy solar power alternative energy solar power,0.3071
83,INEX_LD-2009111,glove.topn3,europe solar power facility european asia photovoltaic geothermal control addition,0.2991
84,INEX_LD-2009111,bt_bing_swahili,European Solar Power Station,0.2894
85,INEX_LD-2009111,conceptnet.topn3,europe solar power facility a kingdom continent a castle sun energy arboretum artifact menagerie,0.2886
86,INEX_LD-2009115,-1,virtual museums,0.6456
87,INEX_LD-2010004,-1,Indian food,0.3536
88,INEX_LD-2010014,-1,composer museum,0.2239
89,INEX_LD-2010019,-1,gallo roman architecture in paris,0.0536
90,INEX_LD-2010019,wiki.topn3,gallo roman architecture paris amphitheatrof ththregauls praetorian prefecture gaul roman gaul gallo roman culture outlinof classical architecture frigidarium peristyle ancient roman architecture world heritage sites france rd century bestablishments companions liberation paris,0.4563
91,INEX_LD-2010019,wiki.topn3.replace,amphitheatrof ththregauls praetorian prefecture gaul roman gaul gallo roman culture outlinof classical architecture frigidarium peristyle ancient roman architecture world heritage sites france rd century bestablishments companions liberation paris,0.4261
92,INEX_LD-2010019,conceptluster.topn5.3.bm25,gallo roman architecture paris paris ancient roman architecture gallo roman culture,0.2378
93,INEX_LD-2010019,conceptluster.topn5.3.qld,gallo roman architecture paris gallo roman culture ancient roman architecture paris,0.2378
94,INEX_LD-2010019,tagmee.topn3,gallo roman architecture paris Gallo Roman culture Ancient Roman architecture Paris,0.2378
95,INEX_LD-2010019,tagmee.topn3.replace,Gallo Roman culture Ancient Roman architecture Paris,0.222
96,INEX_LD-2010019,bt_nllb_chinese_yue,Ancient Roman architecture in Paris,0.213
97,INEX_LD-2010019,wordnet.topn3,gallo roman architecture paris roman print papistical roman letters computer architecture capital of France French capital genus Paris,0.1404
98,INEX_LD-2010019,conceptnet.topn3,gallo roman architecture paris gallo roman gaulish column the Eiffel tower France a cafe,0.1103
99,INEX_LD-2010019,conceptnet.topn3.replace,gallo roman gaulish roman column the Eiffel tower France a cafe,0.1004
100,INEX_LD-2010019,anchor.topn3,gallo roman architecture paris filogamo astepho anganuzzi romanization mongolian nuko wąbrzeźno parise turner hal sirabella,0.0567
101,INEX_LD-2010020,-1,electricity source in France,0.1984
102,INEX_LD-2010020,bt_nllb_tamil,Electricity in France,0.5253
103,INEX_LD-2010020,glove.topn3,electricity source france generators utilities according french paris,0.2913
104,INEX_LD-2010020,wordnet.topn3,electricity source france electrical energy rootage germ generator Jacques Anatole Francois Thibault French Republic,0.2635
105,INEX_LD-2010037,-1,social network API,0.5758
106,INEX_LD-2010037,conceptluster.topn5.3.bm25,social network api social network application programming interface,0.6026
107,INEX_LD-2010037,conceptluster.topn5.3.qld,social network api application programming interface social network,0.6026
108,INEX_LD-2010037,tagmee.topn3,social network api Social network Application programming interface,0.6026
109,INEX_LD-2010043,-1,List of films from the surrealist category,0.4581
110,INEX_LD-2010043,bt_bing_persian,List of Surrealist films,0.4785
111,INEX_LD-2010043,bt_nllb_persian,List of Surrealist films,0.4785
112,INEX_LD-2010043,bt_nllb_tamil,List of Surrealist films,0.4785
113,INEX_LD-2010043,bt_bing_chinese_simplified,List of films in the surrealist category,0.4646
114,INEX_LD-2010043,bt_bing_french,List of films in the Surrealist category,0.4646
115,INEX_LD-2010043,bt_nllb_arabic,List of films of the Surrealist category,0.4646
116,INEX_LD-2010043,bt_nllb_french,List of films in the Surrealist category,0.4646
117,INEX_LD-2010043,bt_nllb_german,List of films in the Surrealist category,0.4646
118,INEX_LD-2010043,bt_nllb_korean,List of films in the surrealist category,0.4646
119,INEX_LD-2010043,termluster.topn5.3.bm25,list films surrealist category,0.4646
120,INEX_LD-2010043,termluster.topn5.3.qld,list films surrealist category,0.4646
121,INEX_LD-2010043,thesaurus.topn3,list films surrealist category,0.4646
122,INEX_LD-2010043,thesaurus.topn3.replace,list films surrealist category,0.4646
123,INEX_LD-2010043,conceptluster.topn5.3.bm25,list films surrealist category film surrealist cinema,0.462
124,INEX_LD-2010043,conceptluster.topn5.3.qld,list films surrealist category film surrealist cinema,0.462
125,INEX_LD-2010043,tagmee.topn3,list films surrealist category Film Surrealist cinema,0.462
126,INEX_LD-2010057,-1,Einstein Relativity theory,0.6154
127,INEX_LD-2010057,conceptluster.topn5.3.bm25,einstein relativity theory theory relativity albert einstein,0.6335
128,INEX_LD-2010057,conceptluster.topn5.3.qld,einstein relativity theory albert einstein theory relativity,0.6335
129,INEX_LD-2010057,tagmee.topn3,einstein relativity theory Albert Einstein Theory of relativity,0.6335
130,INEX_LD-2010069,-1,summer flowers,0.0852
131,INEX_LD-2010100,-1,house concrete wood,0.2998
132,INEX_LD-2010100,stem.paicehusk,hous concret wood,0.3723
133,INEX_LD-2010100,stem.porter,hous concret wood,0.3723
134,INEX_LD-2010100,stem.porter2,hous concret wood,0.3723
135,INEX_LD-2010100,conceptnet.topn3,house concrete wood home room tree material paper,0.3537
136,INEX_LD-2010100,conceptnet.topn3.replace,home room concrete tree material paper,0.3104
