qid	order	query	bm25.map
INEX_LD-2009022	-1	Szechwan dish food cuisine	0.118
INEX_LD-2009039	-1	roman architecture	0.0851
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3173
INEX_LD-2009061	-1	france second world war normandy	0.204
INEX_LD-2009062	-1	social network group selection	0.0053
INEX_LD-2009062	bt_nllb_chinese_yue	Social media is a group	0.0061
INEX_LD-2009063	-1	D-Day normandy invasion	0.1125
INEX_LD-2009074	-1	web ranking scoring algorithm	0.1757
INEX_LD-2009074	bt_nllb_french	web ranking algorithm	0.2577
INEX_LD-2009074	bt_nllb_korean	Web ranking algorithm	0.2577
INEX_LD-2009074	bt_nllb_malay	algorithm for ranking the web	0.2577
INEX_LD-2009074	bt_nllb_chinese_yue	The ranking algorithm for websites	0.2323
INEX_LD-2009096	-1	Eiffel	0.2587
INEX_LD-2009111	-1	europe solar power facility	0.0582
INEX_LD-2009111	bt_nllb_malay	European solar power facilities	0.1193
INEX_LD-2009111	bt_nllb_korean	European solar power plants	0.1125
INEX_LD-2009111	bt_nllb_persian	European solar power plants	0.1125
INEX_LD-2009111	bt_nllb_russian	European solar power plant	0.1125
INEX_LD-2009111	bt_nllb_chinese_yue	Solar powered plants in Europe	0.0706
INEX_LD-2009111	bt_nllb_german	Europe solar power plant	0.0706
INEX_LD-2009115	-1	virtual museums	0.5854
INEX_LD-2010004	-1	Indian food	0.1679
INEX_LD-2010014	-1	composer museum	0.0605
INEX_LD-2010019	-1	gallo roman architecture in paris	0.0019
INEX_LD-2010019	bt_nllb_chinese_yue	Ancient Roman architecture in Paris	0.0801
INEX_LD-2010020	-1	electricity source in France	0.0447
INEX_LD-2010020	bt_nllb_tamil	Electricity in France	0.143
INEX_LD-2010037	-1	social network API	0.1535
INEX_LD-2010037	bt_nllb_arabic	Social networking	0.2418
INEX_LD-2010043	-1	List of films from the surrealist category	0.0875
INEX_LD-2010043	bt_nllb_arabic	List of films of the Surrealist category	0.121
INEX_LD-2010043	bt_nllb_french	List of films in the Surrealist category	0.121
INEX_LD-2010043	bt_nllb_german	List of films in the Surrealist category	0.121
INEX_LD-2010043	bt_nllb_korean	List of films in the surrealist category	0.121
INEX_LD-2010043	bt_nllb_persian	List of Surrealist films	0.121
INEX_LD-2010043	bt_nllb_tamil	List of Surrealist films	0.121
INEX_LD-2010057	-1	Einstein Relativity theory	0.3017
INEX_LD-2010069	-1	summer flowers	0.0149
INEX_LD-2010100	-1	house concrete wood	0.0631
INEX_LD-2010106	-1	organic food advantages disadvantages	0.0
INEX_LD-2010106	bt_nllb_persian	The benefits of organic food	0.0011
INEX_LD-2010106	bt_nllb_swahili	benefits of organic food loss	0.0007
INEX_LD-20120111	-1	vietnam war movie	0.2274
INEX_LD-20120112	-1	vietnam war facts	0.0322
