qid	order	query	qld.map
1	-1	obama family tree	0.0
1	wiki.topn3	obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama	0.404
1	anchor.topn3	obama family tree barack obama strichnocera mekubetzet tree stern s diatomic sequ ssm a	0.3333
1	tagmee.topn3	obama family tree Family of Barack Obama	0.3136
1	conceptluster.topn5.3.qld	obama family tree family barack obama git object	0.3076
1	conceptluster.topn5.3.bm25	obama family tree family barack obama death cellulos carbon restringido video	0.3068
1	wiki.topn3.replace	stanley armour dunham madelyn dunham barack obama sr family barack obama	0.284
1	word2vec.topn3	obama family tree bama barack relatives tree	0.2495
1	anchor.topn3.replace	barack obama strichnocera family mekubetzet tree stern s diatomic sequ ssm a	0.2412
1	glove.topn3	obama family tree barack mccain father pine	0.2319
1	conceptnet.topn3	obama family tree Barack Hussein Obama obamaton obamacrat home group branch squirrel wood	0.2112
1	tagmee.topn3.replace	Family of Barack Obama	0.1891
1	sensedisambiguation.replace	obama syndicate tree	0.0001
1	word2vec.topn3.replace	bama barack relatives tree	0.0001
10	-1	cheap internet	0.0075
10	word2vec.topn3	cheap internet inexpensive low cost online intenet	0.0782
10	word2vec.topn3.replace	inexpensive low cost online intenet	0.0757
11	-1	gmat prep classes	0.1851
11	termluster.topn5.3.qld	gmat prep classes git object	0.2032
12	-1	djs	0.0226
13	-1	map	0.0504
14	-1	dinosaurs	0.0098
14	glove.topn3	dinosaurs reptiles	0.0176
14	conceptnet.topn3	dinosaurs ancient reptiles	0.0119
15	-1	espn sports	0.1485
16	-1	arizona game and fish	0.0906
16	conceptluster.topn5.3.bm25	arizona game fish fish arizona arizona game fish department death cellulos carbon restringido video	0.1006
16	tagmee.topn3.replace	Arizona Arizona Game and Fish Department Fish	0.1004
16	tagmee.topn3	arizona game fish Arizona Arizona Game and Fish Department Fish	0.0971
16	conceptluster.topn5.3.qld	arizona game fish fish arizona game fish department arizona git object	0.0941
17	-1	poker tournaments	0.0353
17	sensedisambiguation	poker tournaments tournament	0.0414
18	-1	wedding budget calculator	0.068
19	-1	the current	0.0
2	-1	french lick resort and casino	0.1714
2	sensedisambiguation	french lick salt lick resort and casino	0.1864
2	conceptluster.topn5.3.bm25	french lick resort casino casino french lick resort casino french lick indiana	0.1833
2	conceptluster.topn5.3.qld	french lick resort casino french lick resort casino casino french lick indiana	0.1833
2	tagmee.topn3	french lick resort casino French Lick Indiana French Lick Resort Casino Casino	0.1833
2	tagmee.topn3.replace	French Lick Indiana French Lick Resort Casino Casino	0.1794
20	-1	defender	0.0
21	-1	volvo	0.1711
22	-1	rick warren	0.213
22	bt_nllb_malay	Rick Warren is here	0.222
23	-1	yahoo	0.0
23	wiki.topn3	yahoo alibaba group websites company companies based sunnyvale california yahoo	0.0205
23	wiki.topn3.replace	alibaba group websites company companies based sunnyvale california yahoo	0.0158
23	bt_nllb_chinese_yue	Yahoo is a website	0.0012
24	-1	diversity	0.0572
25	-1	euclid	0.0642
25	relevancefeedback.topn10.bm25	euclid video i geometri	0.067
25	wiki.topn3	euclid data euclid diophantus archimedes euclid	0.0644
26	-1	lower heart rate	0.0761
27	-1	starbucks	0.0508
28	-1	inuyasha	0.0419
28	anchor.topn3	inuyasha sesshomaru totosai kikyo	0.0489
29	-1	ps 2 games	0.013
3	-1	getting organized	0.0772
30	-1	diabetes education	0.0551
31	-1	atari	0.1633
32	-1	website design hosting	0.0272
33	-1	elliptical trainer	0.1452
33	sensedisambiguation	elliptical elliptic trainer	0.1657
34	-1	cell phones	0.0078
34	glove.topn3	cell phones cellular telephones cellphones	0.0549
34	word2vec.topn3	cell phones cellular telephones handsets	0.0305
34	conceptluster.topn5.3.bm25	cell phones mg manag fungi your plan	0.0211
34	termluster.topn5.3.bm25	cell phones mg manag fungi your plan	0.0211
34	docluster.topn10.3.bm25	cell phones mg manag fungi your plan busi should	0.0183
34	wordnet.topn3	cell phones mobile phone cellular telephone cellular phone call ring speech sound	0.0144
34	relevancefeedback.topn10.qld	cell phones phone revers	0.0089
35	-1	hoboken	0.2209
35	tagmee.topn3	hoboken Hoboken New Jersey	0.235
36	-1	gps	0.0343
36	glove.topn3	gps positioning navigation	0.058
36	wiki.topn3	gps missile guidance geographical technology radio navigation global positioning system	0.0346
37	-1	pampered chef	0.0349
37	termluster.topn5.3.bm25	pampered chef mg manag fungi your plan	0.0625
37	conceptluster.topn5.3.bm25	pampered chef pampered chef mg manag fungi your plan	0.0417
37	sensedisambiguation	pampered pamper chef	0.0356
38	-1	dogs for adoption	0.0265
39	-1	disneyland hotel	0.0325
39	tagmee.topn3	disneyland hotel Disneyland Hotel California	0.0564
39	conceptluster.topn5.3.qld	disneyland hotel disneyland hotel california standard student object	0.0543
39	relevancefeedback.topn10.qld	disneyland hotel la anaheim	0.0509
39	tagmee.topn3.replace	Disneyland Hotel California	0.045
39	conceptluster.topn5.3.bm25	disneyland hotel disneyland hotel california mg manag fungi your plan	0.0445
39	bertqe.topn10.qld	anaheim near disneyland motel	0.0393
4	-1	toilet	0.0424
40	-1	michworks	0.0397
40	relevancefeedback.topn10.qld	michworks resum michigan bike i search work counti	0.0522
40	relevancefeedback.topn10.bm25	michworks michigan search work bike counti	0.04
41	-1	orange county convention center	0.0464
42	-1	the music man	0.0
43	-1	the secret garden	0.2108
43	wiki.topn3	secret garden novels frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey secret garden	0.5131
43	wiki.topn3.replace	novels frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey secret garden	0.4032
44	-1	map of the united states	0.0202
45	-1	solar panels	0.0774
45	relevancefeedback.topn10.qld	solar panels panel	0.085
45	sensedisambiguation	solar panels panel	0.085
46	-1	alexian brothers hospital	0.3116
47	-1	indexed annuity	0.1203
47	sensedisambiguation	indexed index annuity	0.1339
48	-1	wilson antenna	0.0253
48	relevancefeedback.topn10.qld	wilson antenna cb http	0.0903
48	tagmee.topn3	wilson antenna Robert Woodrow Wilson Antenna radio	0.0304
48	conceptluster.topn5.3.qld	wilson antenna robert woodrow wilson antenna radio dusseldorf room apart	0.0288
48	bt_nllb_tamil	The first is the Wilson antenna	0.0268
48	conceptluster.topn5.3.bm25	wilson antenna antenna radio robert woodrow wilson bed toilet dusseldorf hote	0.0264
49	-1	flame designs	0.101
49	relevancefeedback.topn10.bm25	flame designs nebula game clipart	0.2341
5	-1	mitchell college	0.0013
50	-1	dog heat	0.0107
50	bt_nllb_french	heat from the dog	0.0134
50	conceptnet.topn3	dog heat bark pet fire temperature	0.0112
6	-1	kcs	0.0
7	-1	air travel information	0.0943
8	-1	appraisals	0.0006
8	conceptnet.topn3	appraisals establish a worth	0.0031
9	-1	used car parts	0.0519
9	conceptluster.topn5.3.qld	used car parts part	0.0797
9	termluster.topn5.3.qld	used car parts part	0.0797
9	docluster.topn10.3.qld	used car parts part figur us auto	0.0705
9	relevancefeedback.topn10.qld	used car parts part figur us auto	0.0705
9	bt_nllb_chinese_yue	With car parts	0.0691
9	bt_nllb_russian	parts for cars	0.0691
9	docluster.topn10.3.bm25	used car parts figur auto direct game object part string f you	0.0628
9	relevancefeedback.topn10.bm25	used car parts figur auto direct game object part string f you	0.0628
51	-1	horse hooves	0.1857
52	-1	avp	0.1039
53	-1	discovery channel store	0.0405
54	-1	president of the united states	0.0531
54	relevancefeedback.topn10.qld	president of the united states state larg articl shall	0.1166
54	wiki.topn3.replace	presidency united states cabinet united states democratiparty vice presidents united states president united states	0.086
54	word2vec.topn3	president united states vice president unified sates states	0.0797
54	wiki.topn3	president united states presidency united states cabinet united states democratiparty vice presidents united states president united states	0.0705
55	-1	iron	0.0041
55	wordnet.topn3	iron smoothing iron atomic number	0.0533
56	-1	uss yorktown charleston sc	0.0058
56	tagmee.topn3.replace	USS Yorktown CV Charleston South Carolina	0.0381
56	bertqe.topn10.qld	yorktown jcpenni yorktown yorktown theater	0.0249
56	tagmee.topn3	uss yorktown charleston sc USS Yorktown CV Charleston South Carolina	0.0247
56	conceptluster.topn5.3.bm25	uss yorktown charleston sc charleston south carolina uss yorktown cv univers wand us math hunt	0.0224
56	conceptluster.topn5.3.qld	uss yorktown charleston sc charleston south carolina uss yorktown cv depauw colleg mi	0.0133
56	relevancefeedback.topn10.bm25	uss yorktown charleston sc carolina program aircraft pleasant discharg museum	0.013
56	docluster.topn10.3.bm25	uss yorktown charleston sc univers wand us math hunt we can annapoli danc data	0.0096
56	relevancefeedback.topn10.qld	uss yorktown charleston sc n pleasant aircraft carolina	0.0071
56	wordnet.topn3	uss yorktown charleston sc US USA United States siege of Yorktown capital of West Virginia scandium South Carolina	0.0064
57	-1	ct jobs	0.1536
58	-1	penguins	0.0536
59	-1	how to build a fence	0.0063
59	relevancefeedback.topn10.bm25	how to build a fence fenc shed you dog weapon	0.025
59	tagmee.topn3	build fence	0.0126
59	thesaurus.topn3	build fence	0.0126
59	thesaurus.topn3.replace	build fence	0.0126
59	wiki.topn3	build fence	0.0126
59	conceptnet.topn3	build fence construct a board make gate get an sword post	0.012
59	relevancefeedback.topn10.qld	how to build a fence fenc home	0.0089
60	-1	bellevue	0.049
61	-1	worm	0.0139
62	-1	texas border patrol	0.3436
62	wiki.topn3.replace	texas states confederate states america louisiana texas united states border patrol el paso intelligenccenter u s customs border protection united states border patrol	0.3955
62	wiki.topn3	texas border patrol texas states confederate states america louisiana texas united states border patrol el paso intelligenccenter u s customs border protection united states border patrol	0.3793
62	tagmee.topn3.replace	Texas United States Border Patrol	0.3724
62	tagmee.topn3	texas border patrol Texas United States Border Patrol	0.3675
62	conceptluster.topn5.3.qld	texas border patrol united states border patrol texas c	0.3673
62	conceptluster.topn5.3.bm25	texas border patrol united states border patrol texas c print dropbox read team	0.3639
63	-1	flushing	0.0512
63	tagmee.topn3	flushing Flushing Queens	0.1299
63	conceptluster.topn5.3.qld	flushing flushing queens c	0.1148
63	conceptluster.topn5.3.bm25	flushing flushing queens c print dropbox read team	0.1
63	tagmee.topn3.replace	Flushing Queens	0.0759
64	-1	moths	0.0855
65	-1	korean language	0.1061
65	glove.topn3	korean language korea word	0.3234
65	wiki.topn3	korean language languages north korea languages korea buyeo languages korean language	0.2728
65	wiki.topn3.replace	languages north korea languages korea buyeo languages korean language	0.2689
65	relevancefeedback.topn10.qld	korean language languag word peopl talk said	0.1462
65	stem.krovetz	korea language	0.1252
66	-1	income tax return online	0.0014
66	termluster.topn5.3.bm25	income tax return online c print dropbox read team	0.0034
66	docluster.topn10.3.bm25	income tax return online c print dropbox read team set imag	0.003
66	bt_nllb_chinese_yue	Tax returns online	0.002
67	-1	vldl levels	0.1023
67	stem.trunc4	vldl leve	0.131
68	-1	pvc	0.0338
68	tagmee.topn3	pvc Polyvinyl chloride	0.1006
68	wordnet.topn3	pvc premature ventricular contraction polyvinyl chloride	0.0861
68	conceptluster.topn5.3.qld	pvc polyvinyl chloride c	0.0755
68	wordnet.topn3.replace	premature ventricular contraction polyvinyl chloride	0.0679
68	conceptluster.topn5.3.bm25	pvc polyvinyl chloride c print dropbox read team	0.063
68	wiki.topn3	pvc polystyrene polyethylene acrylonitrilbutadienstyrene polyvinyl chloride	0.0478
68	glove.topn3	pvc polyvinyl polypropylene	0.0405
68	tagmee.topn3.replace	Polyvinyl chloride	0.0379
69	-1	sewing instructions	0.1257
70	-1	to be or not to be that is the question	0.0
71	-1	living in india	0.0
71	word2vec.topn3	living india non living pakistan indian nepal	0.011
71	conceptnet.topn3	living india home room house a temple a country in Asia a very populous country	0.0027
71	wiki.topn3	living india states territories established india hindustani speaking countries territories india	0.0027
71	word2vec.topn3.replace	non living pakistan indian nepal	0.0027
71	wiki.topn3.replace	states territories established india hindustani speaking countries territories india	0.0023
71	glove.topn3	living india indian pakistan	0.0012
71	relevancefeedback.topn10.qld	living in india object live exam hplc bangalor tv	0.0008
71	wordnet.topn3	living india populate dwell experience Republic of India Bharat	0.0008
71	glove.topn3.replace	living indian pakistan	0.0007
71	wordnet.topn3.replace	populate dwell experience Republic of India Bharat	0.0006
71	tagmee.topn3	living india India	0.0003
71	bt_nllb_chinese_yue	I live in India	0.0002
71	bt_nllb_korean	I live in India	0.0002
71	conceptluster.topn5.3.bm25	living india india energi acceler object	0.0001
72	-1	the sun	0.0
72	sensedisambiguation	the sun sunlight	0.0011
72	glove.topn3	sun bright sky	0.0008
72	word2vec.topn3	sun sunlight sunshine sun	0.0006
72	word2vec.topn3.replace	sunlight sunshine sun	0.0002
73	-1	neil young	0.1458
73	conceptluster.topn5.3.qld	neil young neil young air	0.1516
74	-1	kiwi	0.0007
74	word2vec.topn3	kiwi kiwifruit	0.0437
74	word2vec.topn3.replace	kiwifruit	0.0141
74	conceptnet.topn3	kiwi edible fruit	0.0093
74	wordnet.topn3	kiwi apteryx Chinese gooseberry Actinidia deliciosa	0.0028
74	wordnet.topn3.replace	apteryx Chinese gooseberry Actinidia deliciosa	0.0021
75	-1	tornadoes	0.1873
76	-1	raised gardens	0.1493
77	-1	bobcat	0.0272
78	-1	dieting	0.0002
78	wiki.topn3	dieting food faddism junk food macrobiotic diet dieting	0.0218
78	wiki.topn3.replace	food faddism junk food macrobiotic diet dieting	0.0199
78	conceptluster.topn5.3.bm25	dieting dieting energi acceler object	0.0017
78	conceptluster.topn5.3.qld	dieting dieting air	0.0006
78	termluster.topn5.3.qld	dieting air	0.0003
79	-1	voyager	0.007
79	wiki.topn3	voyager missions uranus missions neptune missions saturn voyager program	0.2602
79	wiki.topn3.replace	missions uranus missions neptune missions saturn voyager program	0.1732
79	conceptluster.topn5.3.bm25	voyager voyager program energi acceler object	0.1022
79	tagmee.topn3	voyager Voyager program	0.0535
79	tagmee.topn3.replace	Voyager program	0.0457
79	conceptluster.topn5.3.qld	voyager voyager program air	0.0104
79	bertqe.topn10.qld	free encyclopedia voyag from	0.0078
80	-1	keyboard reviews	0.0786
81	-1	afghanistan	0.0319
81	anchor.topn3	afghanistan junbish عالی present	0.0941
81	bt_nllb_chinese_yue	Afghanistan is a country	0.0691
81	wordnet.topn3	afghanistan Islamic State of Afghanistan	0.0533
82	-1	joints	0.0015
82	glove.topn3	joints tendons aching	0.005
83	-1	memory	0.0
83	glove.topn3	memory remembering	0.0457
83	conceptnet.topn3	memory remembering something brain	0.016
83	conceptnet.topn3.replace	remembering something brain	0.0049
83	word2vec.topn3	memory recollection	0.001
84	-1	continental plates	0.309
85	-1	milwaukee journal sentinel	0.0516
85	conceptluster.topn5.3.qld	milwaukee journal sentinel milwaukee journal sentinel perform apprais art how	0.0607
85	conceptluster.topn5.3.bm25	milwaukee journal sentinel milwaukee journal sentinel art system apprais f	0.0533
86	-1	bart sf	0.3296
87	-1	who invented music	0.0043
87	tagmee.topn3	invented music The Who The Music	0.0585
87	thesaurus.topn3	invented music	0.0435
87	thesaurus.topn3.replace	invented music	0.0435
87	conceptnet.topn3.replace	invented dance record rock	0.0359
87	conceptnet.topn3	invented music dance record rock	0.0355
87	wiki.topn3	invented music throlling stones fleetwood mac led zeppelin weakness nonof business good good people makit last music	0.0346
87	bt_nllb_chinese_yue	The people who invented music	0.0118
87	conceptluster.topn5.3.qld	invented music music perform apprais art how	0.0049
88	-1	forearm pain	0.0763
89	-1	ocd	0.1167
90	-1	mgb	0.0832
90	relevancefeedback.topn10.bm25	mgb part busi group regist british mine metro	0.179
91	-1	er tv show	0.0227
91	tagmee.topn3	er tv show ER TV series ER TV series Television program	0.0551
91	conceptluster.topn5.3.bm25	er tv show er tv series television program figur auto direct game object	0.0451
91	conceptluster.topn5.3.qld	er tv show television program er tv series part car	0.0431
91	tagmee.topn3.replace	ER TV series ER TV series Television program	0.0421
92	-1	the wall	0.0
92	word2vec.topn3	wall wall brick	0.0007
93	-1	raffles	0.0399
94	-1	titan	0.0028
96	-1	rice	0.0477
97	-1	south africa	0.0047
97	wiki.topn3	south africa afrikaans speaking countries territories south africa bantu countries territories south africa	0.0759
97	wiki.topn3.replace	afrikaans speaking countries territories south africa bantu countries territories south africa	0.0571
97	conceptnet.topn3	south africa in the south a continent a village an elephant	0.0065
97	bertqe.topn10.qld	south african nation cricket captain	0.0059
98	-1	sat	0.0451
99	-1	satellite	0.0
99	bertqe.topn10.qld	technolog space satellit amateur observ	0.0148
99	wordnet.topn3	satellite artificial satellite planet	0.0144
99	wordnet.topn3.replace	artificial satellite planet	0.013
99	glove.topn3	satellite launch	0.0074
99	relevancefeedback.topn10.bm25	satellite satellit semant studi motion glonass	0.0035
99	glove.topn3.replace	launch	0.0004
101	-1	ritz carlton lake las vegas	0.0664
101	anchor.topn3	ritz carlton lake las vegas iż żgħira calender van gunnison kalausa halawet spreyton yanama yungay lake landslid	0.0695
102	-1	fickle creek farm	0.0021
103	-1	madam cj walker	0.0247
103	tagmee.topn3.replace	Madam C J Walker	0.1552
103	conceptluster.topn5.3.bm25	madam cj walker madam c j walker death cellulos carbon restringido video	0.0579
103	bt_nllb_russian	Madam K W Walker please	0.0559
103	conceptluster.topn5.3.qld	madam cj walker madam c j walker git object	0.0522
103	conceptnet.topn3.replace	madam j chief justice walker	0.0508
103	tagmee.topn3	madam cj walker Madam C J Walker	0.0499
103	docluster.topn10.3.bm25	madam cj walker death cellulos carbon restringido video life trivia obama organ	0.0395
103	wiki.topn3	madam cj walker bondagand freedom negro academy legal rights association madam c j walker	0.0346
103	termluster.topn5.3.bm25	madam cj walker death cellulos carbon restringido video	0.0335
103	wiki.topn3.replace	bondagand freedom negro academy legal rights association madam c j walker	0.0305
103	stem.paicehusk	madam cj walk	0.0281
103	stem.trunc5	madam cj walke	0.0281
104	-1	indiana child support	0.0232
104	relevancefeedback.topn10.qld	indiana child support percent	0.1156
104	wiki.topn3	indiana child support indiana ohio cities indiana indiana noncustodial parent geduldig v aiello child abusprevention treatment act child support united states	0.0573
104	conceptnet.topn3	indiana child support daughter toy column help a column	0.0556
104	bt_nllb_german	Child support from Indiana	0.0317
104	wiki.topn3.replace	indiana ohio cities indiana indiana noncustodial parent geduldig v aiello child abusprevention treatment act child support united states	0.0254
105	-1	sonoma county medical services	0.0664
105	conceptluster.topn5.3.bm25	sonoma county medical services sonoma county california health care death cellulos carbon restringido video	0.0828
105	bt_nllb_chinese_yue	Health services in Sonoma County	0.0816
105	bt_nllb_korean	Sonoma County Health Services	0.0816
105	tagmee.topn3	sonoma county medical services Sonoma County California Health care Health care	0.0761
106	-1	universal animal cuts reviews	0.0111
107	-1	cass county missouri	0.0046
107	docluster.topn10.3.qld	cass county missouri git object trivia	0.0358
107	docluster.topn10.3.bm25	cass county missouri death cellulos carbon restringido video life trivia obama organ	0.0113
108	-1	ralph owen brewster	0.44
108	bertqe.topn10.qld	from senat ralph owen brewster	0.4614
109	-1	mayo clinic jacksonville fl	0.0009
109	conceptnet.topn3	mayo clinic jacksonville fl mayonnaise yukon territory eye clinic hospital Florida	0.002
109	conceptluster.topn5.3.bm25	mayo clinic jacksonville fl mayo clinic jacksonville florida death cellulos carbon restringido video	0.0014
109	conceptluster.topn5.3.qld	mayo clinic jacksonville fl mayo clinic jacksonville florida git object	0.0014
109	tagmee.topn3	mayo clinic jacksonville fl Mayo Clinic Jacksonville Florida	0.0014
109	bt_nllb_arabic	The Mayo Jacksonville clinic in Florida	0.0011
109	bt_nllb_french	The Mayo Clinic in Jacksonville Florida	0.0011
109	tagmee.topn3.replace	Mayo Clinic Jacksonville Florida	0.0011
110	-1	map of brazil	0.055
111	-1	lymphoma in dogs	0.3224
111	tagmee.topn3	lymphoma dogs Lymphoma in animals	0.3383
112	-1	kenmore gas water heater	0.0
113	-1	hp mini 2140	0.0
113	rm3.topn10.10.0.5.bm25	hp mini 2140	0.0043
113	rm3.topn10.10.0.5.qld	hp mini 2140	0.0043
114	-1	adobe indian houses	0.0178
