,qid,order,query,bm25.map
0,100653,-1,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.491
1,100653,termluster.topn5.3.bm25,go getting copies letters commendation prsented city san diego,0.5367
2,100653,termluster.topn5.3.qld,go getting copies letters commendation prsented city san diego,0.5367
3,100653,thesaurus.topn3,go getting copies letters commendation prsented city san diego,0.5367
4,100653,thesaurus.topn3.replace,go getting copies letters commendation prsented city san diego,0.5367
5,100653,bt_bing_german,How do I get copies of letters of recommendation provided to me by the City of San Diego,0.5223
6,100653,bt_bing_russian,How do I get copies of thank you letters from the City of San Diego,0.5217
7,100653,bt_nllb_french,How do I get copies of congratulatory letters sent by the city of San Diego,0.5194
8,100653,bt_bing_korean,How do I get a copy of a letter of commendation from the City of San Diego to me,0.5056
9,100653,bt_bing_swahili,How do i get copies of congratulatory letters given to me from the city of san diego,0.5017
10,100653,bt_nllb_korean,How do we get compliments from the city of San Diego,0.4978
11,100653,bt_bing_french,How do I get copies of the letters of recommendation sent to me by the City of San Diego,0.4955
12,100653,stem.trunc5,how do i go about getti copie of lette of comme prsen to me from city of san diego,0.4916
13,100653,docluster.topn10.3.bm25,how do i go about getting copies of letters of commendation prsented to me from city of san diego,0.491
14,100653,docluster.topn10.3.qld,how do i go about getting copies of letters of commendation prsented to me from city of san diego,0.491
15,100653,original,how do I go about getting copies of letters of commendation prsented to me from city of san diego,0.491
16,100653,rm3.topn10.10.0.5.bm25,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.491
17,100653,rm3.topn10.10.0.5.qld,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.491
18,100653,stem.krovetz,how do i go about get copy of letters of commendation prsente to me from city of san diego,0.491
19,100653,stem.porter2,how do i go about get copi of letter of commend prsent to me from citi of san diego,0.491
20,100653,stem.sstemmer,how do i go about getting copy of letter of commendation prsented to me from city of san diego,0.491
21,1015624,-1,What's the Definition of a bloody mary?,0.7116
22,1015624,bt_bing_arabic,What is the definition of Bloody Mary,0.7319
23,1015624,bt_bing_chinese_simplified,What is the definition of a Bloody Mary,0.7319
24,1015624,bt_bing_french,What is the definition of a bloody mary,0.7319
25,1015624,bt_bing_german,What is the definition of a Bloody Mary,0.7319
26,1015624,bt_bing_korean,What is the definition of a Bloody Mary,0.7319
27,1015624,bt_bing_malay,What is the definition of bloody mary,0.7319
28,1015624,bt_bing_persian,What is the definition of the Bloody Mary,0.7319
29,1015624,bt_bing_russian,What is the definition of a Bloody Mary,0.7319
30,1015624,bt_bing_tamil,What is the definition of Bloody Mary,0.7319
31,1015624,bt_nllb_arabic,What is the definition of Bloody Mary,0.7319
32,1015624,bt_nllb_korean,What is the definition of a bloody Mary,0.7319
33,1015624,bt_nllb_persian,What is the definition of bloody Mary,0.7319
34,1015624,bt_nllb_swahili,What is the definition of bloody Mary,0.7319
35,1015624,bt_nllb_tamil,What is the definition of a bloody Mary,0.7319
36,1015624,rm3.topn10.10.0.5.bm25,Whats the Definition of a bloody mary?,0.7319
37,1015624,rm3.topn10.10.0.5.qld,Whats the Definition of a bloody mary?,0.7319
38,1015624,bt_nllb_malay,What s the definition of bloody Mary,0.7116
39,1015624,bt_nllb_russian,What s the definition of Bloody Mary,0.7116
40,1015624,docluster.topn10.3.bm25,what s the definition of a bloody mary,0.7116
41,1015624,docluster.topn10.3.qld,what s the definition of a bloody mary,0.7116
42,1015624,original,What s the Definition of a bloody mary,0.7116
43,1015624,sensedisambiguation,What s the Definition of a bloody mary,0.7116
44,1015624,sensedisambiguation.replace,What s the definition of a bloody mary,0.7116
45,1015624,stem.krovetz,what s the definition of a bloody mary,0.7116
46,1015624,stem.paicehusk,what s the definit of a bloody mary,0.7116
47,1015624,stem.porter,what s the definit of a bloodi mari,0.7116
48,1015624,stem.porter2,what s the definit of a bloodi mari,0.7116
49,1015624,stem.sstemmer,what s the definition of a bloody mary,0.7116
50,1017690,-1,what is the history of indian music?,0.5752
51,1017690,conceptluster.topn5.3.bm25,history indian music,0.6199
52,1017690,conceptluster.topn5.3.qld,history indian music,0.6199
53,1017690,tagmee.topn3,history indian music,0.6199
54,1017690,termluster.topn5.3.bm25,history indian music,0.6199
55,1017690,termluster.topn5.3.qld,history indian music,0.6199
56,1017690,thesaurus.topn3,history indian music,0.6199
57,1017690,thesaurus.topn3.replace,history indian music,0.6199
58,1017690,wiki.topn3,history indian music,0.6199
59,1017690,bt_bing_arabic,What is the history of Indian music,0.5752
60,1017690,bt_bing_chinese_simplified,What is the history of Indian music,0.5752
61,1017690,bt_bing_french,What is the history of Indian music,0.5752
62,1017690,bt_bing_german,What is the history of Indian music,0.5752
63,1017690,bt_bing_korean,What is the history of Indian music,0.5752
64,1017690,bt_bing_malay,What is the history of Indian music,0.5752
65,1017690,bt_bing_russian,What is the history of Indian music,0.5752
66,1017690,bt_bing_swahili,What is the history of Indian music,0.5752
67,1017690,bt_bing_tamil,What is the history of Indian music,0.5752
68,1017690,bt_nllb_arabic,What is the history of Indian music,0.5752
69,1017690,bt_nllb_chinese_yue,What is the history of Indian music,0.5752
70,1017690,bt_nllb_french,What is the history of Indian music,0.5752
71,1017690,bt_nllb_german,What is the history of Indian music,0.5752
72,1017690,bt_nllb_korean,What is the history of Indian music,0.5752
73,1017690,bt_nllb_malay,What is the history of Indian music,0.5752
74,1017690,bt_nllb_persian,What is the history of Indian music,0.5752
75,1017690,bt_nllb_russian,What is the history of Indian music,0.5752
76,1017690,bt_nllb_swahili,What is the history of Indian music,0.5752
77,1017690,bt_nllb_tamil,What is the history of Indian music,0.5752
78,1017690,docluster.topn10.3.bm25,what is the history of indian music,0.5752
79,1017690,docluster.topn10.3.qld,what is the history of indian music,0.5752
80,1017690,original,what is the history of indian music,0.5752
81,1017690,rm3.topn10.10.0.5.bm25,what is the history of indian music?,0.5752
82,1017690,rm3.topn10.10.0.5.qld,what is the history of indian music?,0.5752
83,1017690,sensedisambiguation,what is the history of indian music,0.5752
84,1017690,sensedisambiguation.replace,what is the history of indian music,0.5752
85,1017690,stem.krovetz,what is the history of indian music,0.5752
86,1017690,stem.porter,what is the histori of indian music,0.5752
87,1017690,stem.porter2,what is the histori of indian music,0.5752
88,1017690,stem.sstemmer,what is the history of indian music,0.5752
89,1035857,-1,Why are liberals so quick to defend Saddam?,0.3804
90,1035857,termluster.topn5.3.bm25,liberals quick defend saddam,0.4898
91,1035857,termluster.topn5.3.qld,liberals quick defend saddam,0.4898
92,1035857,thesaurus.topn3,liberals quick defend saddam,0.4898
93,1035857,thesaurus.topn3.replace,liberals quick defend saddam,0.4898
94,1035857,stem.porter2,whi are liber so quick to defend saddam,0.3897
95,1035857,bt_bing_french,Why are liberals so quick to defend Saddam,0.3804
96,1035857,bt_bing_german,Why are liberals so quick to defend Saddam,0.3804
97,1035857,bt_bing_malay,Why are liberals so quick to defend Saddam,0.3804
98,1035857,bt_bing_russian,Why are liberals so quick to defend Saddam,0.3804
99,1035857,bt_bing_swahili,Why are liberals so quick to defend Saddam,0.3804
100,1035857,bt_nllb_arabic,Why are liberals so quick to defend Saddam,0.3804
101,1035857,bt_nllb_german,Why are the liberals so quick to defend Saddam,0.3804
102,1035857,bt_nllb_korean,Why are liberals so quick to defend Saddam,0.3804
103,1035857,bt_nllb_malay,Why are liberals so quick to defend Saddam,0.3804
104,1035857,bt_nllb_swahili,Why are liberals so quick to defend Saddam,0.3804
105,1035857,bt_nllb_tamil,Why are liberals so quick to defend Saddam,0.3804
106,1035857,docluster.topn10.3.bm25,why are liberals so quick to defend saddam,0.3804
107,1035857,docluster.topn10.3.qld,why are liberals so quick to defend saddam,0.3804
108,1035857,original,Why are liberals so quick to defend Saddam,0.3804
109,1035857,rm3.topn10.10.0.5.bm25,Why are liberals so quick to defend Saddam?,0.3804
110,1035857,rm3.topn10.10.0.5.qld,Why are liberals so quick to defend Saddam?,0.3804
111,1035857,stem.krovetz,why are liberal so quick to defend saddam,0.3804
112,1035857,stem.sstemmer,why are liberal so quick to defend saddam,0.3804
113,103830,-1,Why do man Arabs hate the west ?,0.496
114,103830,termluster.topn5.3.bm25,man arabs hate west,0.674
115,103830,termluster.topn5.3.qld,man arabs hate west,0.674
116,103830,thesaurus.topn3,man arabs hate west,0.674
117,103830,thesaurus.topn3.replace,man arabs hate west,0.674
118,103830,stem.porter2,whi do man arab hate the west,0.5678
119,103830,bt_bing_tamil,Man Why do Arabs hate the West,0.496
120,103830,docluster.topn10.3.bm25,why do man arabs hate the west,0.496
