qid	order	query	bm25.recip_rank
701	-1	U.S. oil industry history	0.125
701	bt_bing_arabic	History of the American oil industry	1.0
701	bt_nllb_arabic	The history of the American oil industry	1.0
701	bt_nllb_french	The history of the American oil industry	1.0
701	bt_nllb_german	The history of the US oil industry	1.0
701	relevancefeedback.topn10.qld	u s oil industry history industri counti ga	1.0
701	docluster.topn10.3.qld	u s oil industry history industri counti	0.5
701	termluster.topn5.3.qld	u s oil industry history industri field oil field state social region	0.5
701	wiki.topn3	u s oil industry history glassforming liquids melts oil natural gas petroleum	0.5
701	wordnet.topn3	u s oil industry history USA United States United States government rock oil petroleum oil color manufacture diligence account chronicle	0.25
701	bertqe.topn10.bm25	f ossil nergi e nvir	0.125
701	bt_bing_chinese_simplified	History of the U S oil industry	0.125
701	bt_bing_french	History of the U S Oil Industry	0.125
701	bt_bing_german	History of the U S Oil Industry	0.125
701	bt_bing_korean	History of the U S Oil Industry	0.125
701	bt_bing_malay	History of the U S oil industry	0.125
701	bt_bing_persian	History of the U S Oil Industry	0.125
701	bt_bing_russian	History of the U S Oil Industry	0.125
701	bt_bing_swahili	History of the U S oil industry	0.125
701	bt_bing_tamil	History of the U S oil industry	0.125
701	bt_nllb_chinese_yue	The history of the U S oil industry	0.125
701	bt_nllb_korean	The history of the U S oil industry	0.125
701	bt_nllb_malay	History of the U S oil industry	0.125
701	bt_nllb_persian	The history of the U S oil industry	0.125
701	bt_nllb_russian	The history of the U S oil industry	0.125
701	bt_nllb_swahili	The history of the U S oil industry	0.125
701	bt_nllb_tamil	The history of the U S oil industry	0.125
701	conceptluster.topn5.3.qld	u s oil industry history petroleum	0.125
701	stem.krovetz	u s oil industry history	0.125
701	stem.porter	u s oil industri histori	0.125
701	stem.porter2	u s oil industri histori	0.125
701	stem.sstemmer	u s oil industry history	0.125
701	tagmee.topn3	u s oil industry history Petroleum	0.125
701	thesaurus.topn3	u s oil industry history	0.125
701	thesaurus.topn3.replace	u s oil industry history	0.125
701	word2vec.topn3	u s oil industry history usa u s american petroleum industy history	0.125
702	-1	Pearl farming	1.0
702	bt_bing_chinese_simplified	Pearl farming	1.0
702	bt_bing_french	Pearl farming	1.0
702	bt_bing_german	Pearl farming	1.0
702	bt_bing_korean	Pearl Farming	1.0
702	bt_bing_malay	Pearl farming	1.0
702	bt_bing_russian	Pearl farming	1.0
702	bt_bing_swahili	Pearl farming	1.0
702	bt_bing_tamil	Pearl culture	1.0
702	bt_nllb_chinese_yue	Pearl farming	1.0
702	bt_nllb_german	Pearl farming	1.0
702	bt_nllb_korean	Pearl farming	1.0
702	bt_nllb_malay	Pearl farming	1.0
702	bt_nllb_russian	Pearl farming	1.0
702	bt_nllb_swahili	The pearl farm	1.0
702	bt_nllb_tamil	pearl farming	1.0
702	conceptluster.topn5.3.qld	pearl farming	1.0
702	docluster.topn10.3.qld	pearl farming farm	1.0
702	sensedisambiguation	Pearl farming	1.0
702	sensedisambiguation.replace	pearl farming	1.0
702	stem.krovetz	pearl farming	1.0
702	stem.lovins	pearl farm	1.0
702	stem.paicehusk	pearl farm	1.0
702	stem.porter	pearl farm	1.0
702	stem.porter2	pearl farm	1.0
702	stem.sstemmer	pearl farming	1.0
702	tagmee.topn3	pearl farming Pearl	1.0
702	tagmee.topn3.replace	Pearl	1.0
702	termluster.topn5.3.qld	pearl farming product fish	1.0
702	thesaurus.topn3	pearl farming	1.0
702	thesaurus.topn3.replace	pearl farming	1.0
702	wiki.topn3	pearl farming pearls jewellery components gemstone pearl	1.0
704	-1	Green party political views	1.0
704	bt_bing_arabic	Political views of the Green Party	1.0
704	bt_bing_chinese_simplified	The Greens political views	1.0
704	bt_bing_french	Green Party Political Views	1.0
704	bt_bing_german	Political views of the Greens	1.0
704	bt_bing_korean	Political views of the Green Party	1.0
704	bt_bing_malay	Green party political views	1.0
704	bt_bing_russian	Political views of the Green Party	1.0
704	bt_bing_swahili	Political views of the Green Party	1.0
704	bt_bing_tamil	Green Party political views	1.0
704	bt_nllb_arabic	The political views of the Green Party	1.0
704	bt_nllb_french	The political views of the Green Party	1.0
704	bt_nllb_german	Political views of the Greens	1.0
704	bt_nllb_korean	The political views of the Green Party	1.0
704	bt_nllb_malay	Green Party political views	1.0
704	bt_nllb_persian	The political views of the Green Party	1.0
704	bt_nllb_russian	Political views of the Green Party	1.0
704	bt_nllb_swahili	The political views of the Green Party	1.0
704	bt_nllb_tamil	Green Party political views	1.0
704	docluster.topn10.3.qld	green party political views parti	1.0
704	relevancefeedback.topn10.qld	green party political views parti	1.0
704	rm3.topn10.10.0.5.qld	green party political views parti	1.0
704	sensedisambiguation	Green party political views view	1.0
704	sensedisambiguation.replace	green party political view	1.0
704	stem.krovetz	green party politics view	1.0
704	stem.paicehusk	green party polit view	1.0
704	stem.porter	green parti polit view	1.0
704	stem.porter2	green parti polit view	1.0
704	stem.sstemmer	green party political view	1.0
704	stem.trunc5	green party polit views	1.0
704	termluster.topn5.3.qld	green party political views libertarian parti polit state polit nation state parti nation	1.0
704	thesaurus.topn3	green party political views	1.0
704	thesaurus.topn3.replace	green party political views	1.0
704	wiki.topn3	green party political views natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology	1.0
705	-1	Iraq foreign debt reduction	1.0
705	bt_bing_arabic	Iraq s external debt reduction	1.0
705	bt_bing_chinese_simplified	Iraq s external debt relief	1.0
705	bt_bing_french	Reduction of Iraq s external debt	1.0
705	bt_bing_german	Reduction of Iraq s external debt	1.0
705	bt_bing_persian	Reducing Iraq s External Debt	1.0
705	bt_bing_russian	Reduction of Iraq s external debt	1.0
705	bt_bing_tamil	Iraqi Foreign Debt Reduction	1.0
705	bt_nllb_chinese_yue	Iraq s foreign debt is falling	1.0
705	bt_nllb_french	Reduction of Iraq s external debt	1.0
705	bt_nllb_german	Reduction of foreign debt in Iraq	1.0
705	bt_nllb_malay	Reduction of external debt to Iraq	1.0
705	bt_nllb_russian	Reducing Iraq s external debt	1.0
705	docluster.topn10.3.qld	iraq foreign debt reduction	1.0
705	glove.topn3	iraq foreign debt reduction iraqi baghdad overseas ministry repay reducing	1.0
705	relevancefeedback.topn10.qld	iraq foreign debt reduction develop	1.0
705	rm3.topn10.10.0.5.bm25	iraq foreign debt reduction develop we	1.0
705	rm3.topn10.10.0.5.qld	iraq foreign debt reduction develop	1.0
705	sensedisambiguation	Iraq foreign debt reduction	1.0
705	sensedisambiguation.replace	iraq foreign debt reduction	1.0
705	stem.krovetz	iraq foreign debt reduction	1.0
705	stem.porter	iraq foreign debt reduct	1.0
705	stem.porter2	iraq foreign debt reduct	1.0
705	stem.sstemmer	iraq foreign debt reduction	1.0
705	stem.trunc5	iraq forei debt reduc	1.0
705	tagmee.topn3	iraq foreign debt reduction Iraq External debt Debt	1.0
705	tagmee.topn3.replace	Iraq External debt Debt	1.0
705	termluster.topn5.3.qld	iraq foreign debt reduction debt depart state depart iraq state unit state servic	1.0
705	thesaurus.topn3	iraq foreign debt reduction	1.0
705	thesaurus.topn3.replace	iraq foreign debt reduction	1.0
705	word2vec.topn3	iraq foreign debt reduction iraq afghanistan iraqi domestic international indebtedness reducing	1.0
705	word2vec.topn3.replace	iraq afghanistan iraqi domestic international indebtedness reducing	1.0
706	-1	Controlling type II diabetes	0.1667
706	bt_bing_swahili	Managing Type II Diabetes	1.0
706	bt_nllb_malay	Managing type diabetes	1.0
706	sensedisambiguation.replace	see type two diabetes	1.0
706	bt_bing_korean	Type Diabetes Control	0.5
706	bt_nllb_arabic	Control of type diabetes	0.5
