qid	order	query	bm25.map
701	-1	U.S. oil industry history	0.0025
701	bt_nllb_german	The history of the US oil industry	0.0505
701	bt_nllb_arabic	The history of the American oil industry	0.0153
701	bt_nllb_french	The history of the American oil industry	0.0153
702	-1	Pearl farming	0.0199
704	-1	Green party political views	0.0575
705	-1	Iraq foreign debt reduction	0.1226
705	bt_nllb_malay	Reduction of external debt to Iraq	0.2287
705	bt_nllb_russian	Reducing Iraq s external debt	0.1818
705	bt_nllb_french	Reduction of Iraq s external debt	0.1743
705	bt_nllb_chinese_yue	Iraq s foreign debt is falling	0.1501
706	-1	Controlling type II diabetes	0.025
706	bt_nllb_arabic	Control of type diabetes	0.0398
706	bt_nllb_chinese_yue	Control of type diabetes	0.0398
706	bt_nllb_korean	Control of type diabetes	0.0398
706	bt_nllb_persian	Control of type diabetes	0.0398
707	-1	Aspirin cancer prevention	0.1885
708	-1	Decorative slate sources	0.1026
709	-1	Horse racing jockey weight	0.6481
710	-1	Prostate cancer treatments	0.2122
711	-1	Train station security measures	0.0812
712	-1	Pyramid scheme	0.2062
713	-1	Chesapeake Bay Maryland clean	0.1163
714	-1	License restrictions older drivers	0.0787
715	-1	Schizophrenia drugs	0.0574
716	-1	Spammer arrest sue	0.0541
716	bt_nllb_german	Spammer arrest lawsuit	0.1645
716	bt_nllb_korean	Spammers arresting lawsuit	0.1645
716	bt_nllb_tamil	The case of the arrest of the spammers	0.1295
716	bt_nllb_swahili	Spammer arrested trial	0.1069
716	bt_nllb_chinese_yue	Arrest and prosecution of spam	0.0605
717	-1	Gifted talented student programs	0.0881
718	-1	Controlling acid rain	0.1068
719	-1	Cruise ship damage sea life	0.0176
719	bt_nllb_chinese_yue	Cruising ships are damaging marine life	0.0508
719	bt_nllb_french	Cruise ships are damaging marine life	0.0508
719	bt_nllb_korean	The damage to marine life on cruise ships	0.0508
719	bt_nllb_malay	Damage to the marine life cruise ship	0.0508
719	bt_nllb_persian	Cruise ships are damaging marine life	0.0508
719	bt_nllb_russian	Damage to marine life on cruise ships	0.0508
719	bt_nllb_german	Damage to marine structures of cruise ships	0.0299
720	-1	Federal welfare reform	0.0517
721	-1	Census data applications	0.0056
721	bt_nllb_russian	Applications for the population census data	0.0116
722	-1	Iran terrorism	0.1881
723	-1	Executive privilege	0.1263
724	-1	Iran Contra	0.0931
725	-1	Low white blood cell count	0.126
726	-1	Hubble telescope repairs	0.1488
727	-1	Church arson	0.2281
727	bt_nllb_french	The Church Fire	0.2409
727	bt_nllb_german	Church fire	0.2409
727	bt_nllb_persian	The church fire	0.2409
727	bt_nllb_russian	Fire in the church	0.2409
727	bt_nllb_tamil	The Church Fire	0.2409
728	-1	whales save endangered	0.1045
728	bt_nllb_arabic	The whales protect the endangered	0.1139
729	-1	Whistle blower department of defense	0.0
729	bt_nllb_korean	The Department of Defense is blowing a whistle	0.054
730	-1	Gastric bypass complications	0.4323
731	-1	Kurds history	0.0279
731	bt_nllb_chinese_yue	Kurdish history	0.0713
731	bt_nllb_german	Kurdish history	0.0713
731	bt_nllb_malay	Kurdish history	0.0713
732	-1	U.S. cheese production	0.0059
732	bt_nllb_arabic	Cheese production in the United States	0.026
732	bt_nllb_french	Cheese production in the United States	0.026
732	bt_nllb_korean	The production of cheese in the United States	0.026
732	bt_nllb_persian	The production of cheese in the United States	0.026
732	bt_nllb_swahili	Cheese production in the United States	0.026
732	bt_nllb_russian	Cheese production in the US	0.0113
732	bt_nllb_german	The production of cheese in the USA	0.0084
732	bt_nllb_malay	U S manufacturing of cheese	0.0082
