qid	order	query	bm25.recip_rank
301	-1	international organized crime	0.5
301	pred.bt.1	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.bt.10	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.bt.2	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.bt.3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.bt.4	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.bt.5	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.bt.6	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.bt.7	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.bt.8	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.bt.9	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
302	-1	poliomyelitis and post-polio	1.0
302	pred.bt.1	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.bt.10	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.bt.2	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.bt.3	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.bt.4	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.bt.5	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.bt.6	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.bt.7	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.bt.8	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.bt.9	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
303	-1	hubble telescope achievements	0.5
303	pred.bt.1	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.bt.10	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.bt.2	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.bt.3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.bt.4	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.bt.5	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.bt.6	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.bt.7	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.bt.8	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.bt.9	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
304	-1	endangered species (mammals)	1.0
304	pred.bt.1	endangered species mammals endangered species	1.0
304	pred.bt.10	endangered species mammals endangered species	1.0
304	pred.bt.2	endangered species mammals endangered species	1.0
304	pred.bt.3	endangered species mammals endangered species	1.0
304	pred.bt.4	endangered species mammals endangered species	1.0
304	pred.bt.5	endangered species mammals endangered species	1.0
