,qid,order,query,bm25.ndcg
0,INEX_LD-2009022,-1,Szechwan dish food cuisine,0.1838
1,INEX_LD-2009022,bt_bing_french,Sichuan Dish Cuisine,0.6952
2,INEX_LD-2009022,bt_bing_chinese_simplified,Sichuan cuisine,0.6772
3,INEX_LD-2009022,bt_bing_russian,Sichuan Dish Food Cuisine,0.5639
4,INEX_LD-2009022,bt_bing_korean,Sichuan cuisine food cooking,0.4823
5,INEX_LD-2009022,wordnet.topn3.replace,Sichuan Szechuan Szechwan province sweetheart dish out solid food food for thought culinary art,0.4455
6,INEX_LD-2009022,conceptluster.topn5.3.bm25,szechwan dish food cuisine food cuisine sichuan dish food,0.3792
7,INEX_LD-2009022,conceptluster.topn5.3.qld,szechwan dish food cuisine sichuan cuisine food dish food,0.3792
8,INEX_LD-2009022,tagmee.topn3,szechwan dish food cuisine Sichuan Dish food Food Cuisine,0.3792
9,INEX_LD-2009022,wordnet.topn3,szechwan dish food cuisine Szechuan Sichuan smasher beauty food for thought solid food nutrient culinary art,0.3762
10,INEX_LD-2009022,bt_bing_german,Szechuan Dish Kitchen,0.3565
11,INEX_LD-2009022,tagmee.topn3.replace,Sichuan Dish food Food Cuisine,0.3325
12,INEX_LD-2009022,anchor.topn3,szechwan dish food cuisine setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar,0.3131
13,INEX_LD-2009022,anchor.topn3.replace,setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar cuisine,0.3106
14,INEX_LD-2009022,conceptnet.topn3,szechwan dish food cuisine Szechuan China plate cake rice rechauffe,0.2903
15,INEX_LD-2009022,wiki.topn3,szechwan dish food cuisine sichuan shaanxi hunan sichuan list legumdishes past food batter cooking dish food foods cuisine meat food brunch veal veal cuisine,0.2888
16,INEX_LD-2009022,bt_bing_persian,Sichuan Food,0.2856
17,INEX_LD-2009022,relevancefeedback.topn10.bm25,szechwan dish food cuisine cuisin chines veget rice pepper banitsa tabl pot pölsa octopu,0.2502
18,INEX_LD-2009022,wiki.topn3.replace,sichuan shaanxi hunan sichuan list legumdishes past food batter cooking dish food foods cuisine meat food brunch veal veal cuisine,0.2124
19,INEX_LD-2009022,conceptnet.topn3.replace,Szechuan China plate cake rice rechauffe,0.2052
20,INEX_LD-2009022,bt_nllb_french,Cooking of Szechwan dishes,0.1911
21,INEX_LD-2009022,sensedisambiguation.replace,szechwan serve food cuisine,0.1869
22,INEX_LD-2009022,bt_bing_swahili,Diet cuisine of Szechwan,0.1849
23,INEX_LD-2009039,-1,roman architecture,0.2534
24,INEX_LD-2009039,conceptluster.topn5.3.bm25,roman architecture ancient roman architecture,0.3713
25,INEX_LD-2009039,conceptluster.topn5.3.qld,roman architecture ancient roman architecture,0.3713
26,INEX_LD-2009039,tagmee.topn3,roman architecture Ancient Roman architecture,0.3713
27,INEX_LD-2009039,tagmee.topn3.replace,Ancient Roman architecture,0.3561
28,INEX_LD-2009053,-1,finland car industry manufacturer saab sisu,0.5709
29,INEX_LD-2009053,stem.lovins,finland car industr manufacturer saab sisu,0.602
30,INEX_LD-2009061,-1,france second world war normandy,0.439
31,INEX_LD-2009061,wiki.topn3,france second world war normandy france southern europe italy france wars involving luxembourg wars involving poland wars involving netherlands world war ii wars involving luxembourg wars involving poland wars involving netherlands world war ii operation neptune normandy landings invasion normandy operation overlord,0.4577
32,INEX_LD-2009062,-1,social network group selection,0.0424
33,INEX_LD-2009062,sensedisambiguation.replace,social network group survival,0.068
34,INEX_LD-2009062,bt_nllb_chinese_yue,Social media is a group,0.0631
35,INEX_LD-2009062,wordnet.topn3,social network group selection societal sociable meshwork electronic network mathematical group radical pick survival choice,0.0453
36,INEX_LD-2009063,-1,D-Day normandy invasion,0.2959
37,INEX_LD-2009063,wiki.topn3,d day normandy invasion invasion normandy operation overlord battle caen normandy landings operation neptune normandy landings invasion normandy operation overlord omaha beach normandy landings utah beach invasion normandy,0.3682
38,INEX_LD-2009063,wiki.topn3.replace,invasion normandy operation overlord battle caen normandy landings operation neptune normandy landings invasion normandy operation overlord omaha beach normandy landings utah beach invasion normandy,0.3615
39,INEX_LD-2009063,relevancefeedback.topn10.bm25,d day normandy invasion airborn oper normandi utah bridg book ddai gold,0.3588
40,INEX_LD-2009063,relevancefeedback.topn10.qld,d day normandy invasion normandi invas book ddai oper airborn bridg utah,0.3533
41,INEX_LD-2009063,conceptluster.topn5.3.bm25,d day normandy invasion invasion normandy normandy landings operation overlord,0.3437
42,INEX_LD-2009063,conceptluster.topn5.3.qld,d day normandy invasion invasion normandy normandy landings operation overlord,0.3437
43,INEX_LD-2009063,tagmee.topn3,d day normandy invasion Normandy landings Operation Overlord Invasion of Normandy,0.3437
