qid	order	query	bm25.recip_rank
INEX_LD-2009022	-1	Szechwan dish food cuisine	1.0
INEX_LD-2009022	bt_nllb_french	Cooking of Szechwan dishes	1.0
INEX_LD-2009022	bt_nllb_malay	Szechwan cuisine	1.0
INEX_LD-2009022	bt_nllb_swahili	Szechwan dishes food	1.0
INEX_LD-2009039	-1	roman architecture	1.0
INEX_LD-2009039	bt_nllb_arabic	Roman architecture	1.0
INEX_LD-2009039	bt_nllb_chinese_yue	Roman architecture	1.0
INEX_LD-2009039	bt_nllb_french	Roman architecture	1.0
INEX_LD-2009039	bt_nllb_german	Roman architecture	1.0
INEX_LD-2009039	bt_nllb_korean	Roman architecture	1.0
INEX_LD-2009039	bt_nllb_malay	Roman architecture	1.0
INEX_LD-2009039	bt_nllb_persian	Roman architecture	1.0
INEX_LD-2009039	bt_nllb_russian	Roman architecture	1.0
INEX_LD-2009039	bt_nllb_swahili	Roman architecture	1.0
INEX_LD-2009039	bt_nllb_tamil	Roman architecture	1.0
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3333
INEX_LD-2009053	bt_nllb_arabic	Finnish car manufacturing plant Sap Sisu	1.0
INEX_LD-2009053	bt_nllb_russian	Finnish manufacturer of automotive industry Saab Suzi	1.0
INEX_LD-2009053	bt_nllb_tamil	Sappha Sysu Finnish automotive manufacturer	0.5
INEX_LD-2009053	bt_nllb_chinese_yue	Finnish car manufacturer Saab sisu	0.3333
INEX_LD-2009053	bt_nllb_french	Finnish car manufacturer saab sisu	0.3333
INEX_LD-2009053	bt_nllb_german	Finnish car manufacturer Saab sisu	0.3333
INEX_LD-2009053	bt_nllb_korean	Finnish car manufacturer Sava Saassu	0.3333
INEX_LD-2009053	bt_nllb_malay	Finnish car manufacturer saab sisu	0.3333
INEX_LD-2009053	bt_nllb_persian	Finnish car manufacturer Saab sisu	0.3333
INEX_LD-2009053	bt_nllb_swahili	Finnish car manufacturer saab sisu	0.3333
INEX_LD-2009061	-1	france second world war normandy	1.0
INEX_LD-2009061	bt_nllb_french	France Second World War Normandy	1.0
INEX_LD-2009061	bt_nllb_german	France Second World War Normandy	1.0
INEX_LD-2009061	bt_nllb_korean	France during World War II Normandy	1.0
INEX_LD-2009061	bt_nllb_malay	France Second World War Normandy	1.0
INEX_LD-2009061	bt_nllb_persian	France the Second World War Normandy	1.0
INEX_LD-2009061	bt_nllb_russian	France Second World War Normandy	1.0
INEX_LD-2009061	bt_nllb_swahili	France Second World War Normandy	1.0
INEX_LD-2009062	-1	social network group selection	0.1
INEX_LD-2009062	bt_nllb_french	selection of social network group	0.1
INEX_LD-2009062	bt_nllb_german	Selection of groups in the social network	0.1
INEX_LD-2009062	bt_nllb_russian	selection of groups in social networks	0.1
INEX_LD-2009062	bt_nllb_tamil	Social networking group selection	0.1
INEX_LD-2009063	-1	D-Day normandy invasion	1.0
INEX_LD-2009063	bt_nllb_arabic	The Normandy invasion on D Day	1.0
INEX_LD-2009063	bt_nllb_french	Invasion of Normandy on D Day	1.0
INEX_LD-2009063	bt_nllb_german	The invasion of Normandy on D Day	1.0
INEX_LD-2009063	bt_nllb_korean	D Day invasion of Normandy	1.0
INEX_LD-2009063	bt_nllb_malay	D Day invasion of Normandy	1.0
INEX_LD-2009063	bt_nllb_persian	The Normandy attack on D Day	1.0
INEX_LD-2009063	bt_nllb_russian	The invasion of Normandy on D Day	1.0
INEX_LD-2009063	bt_nllb_swahili	D Day invasion of Normandy	1.0
INEX_LD-2009074	-1	web ranking scoring algorithm	0.2
INEX_LD-2009074	bt_nllb_chinese_yue	The ranking algorithm for websites	1.0
INEX_LD-2009074	bt_nllb_french	web ranking algorithm	1.0
INEX_LD-2009074	bt_nllb_korean	Web ranking algorithm	1.0
INEX_LD-2009074	bt_nllb_malay	algorithm for ranking the web	1.0
INEX_LD-2009074	bt_nllb_arabic	The algorithm for registering rankings on the Internet	0.5
INEX_LD-2009074	bt_nllb_persian	The algorithm for web ranking scores	0.2
INEX_LD-2009074	bt_nllb_swahili	web ranking scoring algorithm	0.2
INEX_LD-2009074	bt_nllb_tamil	Web ranking score algorithm	0.2
INEX_LD-2009096	-1	Eiffel	1.0
INEX_LD-2009096	bt_nllb_malay	The Eiffel	1.0
INEX_LD-2009096	bt_nllb_russian	The Eiffel	1.0
INEX_LD-2009096	bt_nllb_swahili	Eiffel	1.0
INEX_LD-2009111	-1	europe solar power facility	0.5
INEX_LD-2009111	bt_nllb_malay	European solar power facilities	1.0
INEX_LD-2009111	bt_nllb_arabic	Europe solar power facility	0.5
INEX_LD-2009111	bt_nllb_korean	European solar power plants	0.5
INEX_LD-2009111	bt_nllb_persian	European solar power plants	0.5
INEX_LD-2009111	bt_nllb_russian	European solar power plant	0.5
INEX_LD-2009115	-1	virtual museums	1.0
INEX_LD-2009115	bt_nllb_arabic	Virtual museums	1.0
INEX_LD-2009115	bt_nllb_chinese_yue	A virtual museum	1.0
INEX_LD-2009115	bt_nllb_french	virtual museums	1.0
INEX_LD-2009115	bt_nllb_german	Virtual museums	1.0
INEX_LD-2009115	bt_nllb_korean	Virtual museum	1.0
INEX_LD-2009115	bt_nllb_persian	Virtual museums	1.0
INEX_LD-2009115	bt_nllb_russian	virtual museums	1.0
INEX_LD-2009115	bt_nllb_swahili	virtual museums	1.0
INEX_LD-2009115	bt_nllb_tamil	Virtual museums	1.0
INEX_LD-2010004	-1	Indian food	0.3333
INEX_LD-2010004	bt_nllb_arabic	Indian food	0.3333
