qid	order	query	bm25.ndcg
1	-1	obama family tree	0.4473
1	bt_nllb_russian	The Tree of Joy	0.0
10	-1	cheap internet	0.1326
11	-1	gmat prep classes	0.4662
11	bt_bing_french	GMAT Prep Courses	0.31
11	bt_bing_russian	GMAT Preparation Classes	0.2556
11	bt_bing_tamil	GMAT Preparation Classes	0.2556
11	bt_nllb_malay	Gmat preparation class	0.2556
11	bt_nllb_swahili	a preparation class for gmat	0.2556
11	bt_nllb_german	Preparation hours for the Gmat study	0.1452
11	bt_nllb_tamil	Gmat ready classes	0.1377
11	bt_bing_german	GMAT Preparation Courses	0.1166
11	bt_bing_malay	GMAT preparatory classes	0.0883
11	bt_bing_persian	GMAT Preparatory Classes	0.0883
11	bt_nllb_arabic	Teacher preparation classes	0.0
11	bt_nllb_chinese_yue	Pre K through grade	0.0
11	bt_nllb_french	Preparatory courses for secondary education	0.0
11	bt_nllb_persian	Preparatory classes	0.0
11	bt_nllb_russian	Classes on preparation for gymnasium	0.0
12	-1	djs	0.1652
12	bt_bing_chinese_simplified	DJ service	0.039
12	bt_nllb_arabic	The DGS	0.0
12	bt_nllb_chinese_yue	Other things	0.0
12	bt_nllb_korean	I m not a DJ	0.0
12	bt_nllb_malay	The D J S	0.0
12	bt_nllb_persian	J J	0.0
12	bt_nllb_russian	I m not a jazz player	0.0
12	bt_nllb_swahili	The D J S	0.0
12	bt_nllb_tamil	The Bible is a book of scriptures	0.0
13	-1	map	0.0788
13	bt_nllb_korean	Map of the world	0.0
13	bt_nllb_persian	The plan	0.0
13	bt_nllb_russian	Map of the city	0.0
14	-1	dinosaurs	0.0243
14	bt_nllb_german	Other animals	0.0
15	-1	espn sports	0.3206
15	bt_nllb_arabic	Sports	0.0
15	bt_nllb_chinese_yue	Exercise	0.0
15	bt_nllb_french	sports	0.0
15	bt_nllb_german	Sports	0.0
15	bt_nllb_korean	Sports	0.0
15	bt_nllb_malay	sports	0.0
15	bt_nllb_persian	Sports	0.0
15	bt_nllb_russian	sports	0.0
15	bt_nllb_swahili	sports spn	0.0
15	bt_nllb_tamil	game	0.0
16	-1	arizona game and fish	0.2793
16	bt_nllb_french	Arizona hunting and fishing	0.1563
16	bt_nllb_tamil	Arizona hunting and fishing	0.1563
16	bt_nllb_arabic	Arizona fishing and boating	0.1207
16	bt_nllb_russian	Arizona and Fish	0.1103
16	bt_nllb_chinese_yue	Arizona wildlife and fish	0.0293
16	bt_nllb_korean	Arizona wildlife and fish	0.0293
16	bt_nllb_german	Arizona Wild and Fish	0.0038
16	bt_bing_french	Arizona Gambling Fishing	0.0
17	-1	poker tournaments	0.2159
17	bt_bing_german	Tournaments	0.0
17	bt_nllb_chinese_yue	The Cup	0.0
18	-1	wedding budget calculator	0.2122
18	bt_nllb_arabic	Accounting for the wedding budget	0.0874
18	bt_nllb_swahili	financial wedding calculator	0.0076
18	bt_nllb_french	marriage budget calculator	0.0032
18	bt_nllb_korean	The marriage budget calculator	0.0032
18	bt_nllb_malay	marriage estimate calculator	0.0
18	bt_nllb_tamil	Marriage budgeting	0.0
19	-1	the current	0.0
2	-1	french lick resort and casino	0.4274
2	bt_bing_malay	France Lick Resorts and Casinos	0.3836
2	bt_nllb_persian	French resort and casino	0.2203
2	bt_nllb_russian	French resort and casino	0.2203
2	bt_nllb_tamil	French League Resort and Casino	0.0847
2	bt_nllb_korean	French Richey Resorts and Casinos	0.0641
2	bt_bing_arabic	French Lake Resort Casino	0.0459
2	bt_nllb_arabic	French Lake Resort and Casino	0.0459
2	bt_bing_chinese_simplified	French Lic Cresoté Andercassino Lic Casino Resort France	0.0
2	bt_nllb_chinese_yue	French pubs and casinos	0.0
20	-1	defender	0.0
21	-1	volvo	0.3456
21	bt_nllb_chinese_yue	Volvo is a car	0.0637
21	bt_nllb_arabic	What	0.0
21	bt_nllb_french	back to	0.0
21	bt_nllb_german	The Commission shall adopt implementing acts in accordance with Article of this Regulation	0.0
21	bt_nllb_korean	Let s see	0.0
22	-1	rick warren	0.4438
22	bt_nllb_malay	Rick Warren is here	0.3323
22	bt_nllb_chinese_yue	Rick Warren is the author of	0.2762
22	bt_nllb_korean	Rick Warren you know what	0.2412
23	-1	yahoo	0.014
23	bt_nllb_chinese_yue	Yahoo is a website	0.0058
23	bt_bing_russian	yokel	0.0
23	bt_nllb_arabic	Oh yeah	0.0
23	bt_nllb_french	the count	0.0
23	bt_nllb_russian	What is it	0.0
24	-1	diversity	0.1555
24	bt_bing_persian	Variety	0.0
24	bt_bing_russian	variety	0.0
24	bt_bing_swahili	Difference	0.0
24	bt_nllb_chinese_yue	Diversity is a big thing	0.0
24	bt_nllb_swahili	difference	0.0
25	-1	euclid	0.1608
25	bt_bing_persian	Udclyde	0.0
25	bt_nllb_arabic	The key	0.0
25	bt_nllb_chinese_yue	Acid	0.0
25	bt_nllb_french	Euclidean	0.0
25	bt_nllb_german	Other	0.0
25	bt_nllb_persian	I m going to take a look	0.0
25	bt_nllb_tamil	Eclidis	0.0
26	-1	lower heart rate	0.1359
26	bt_bing_korean	Low heart rate	0.0746
26	bt_bing_swahili	Low heart rate	0.0746
26	bt_nllb_swahili	low heart rate	0.0746
26	bt_bing_tamil	Reduced heart rate	0.0185
26	bt_bing_arabic	Decreased heart rate	0.0134
26	bt_bing_french	Decreased heart rate	0.0134
26	bt_bing_russian	decreased heart rate	0.0134
26	bt_nllb_russian	decreased heart rate	0.0134
26	bt_nllb_tamil	Heart rate decreases	0.0134
26	bt_nllb_chinese_yue	My heart is racing	0.0
27	-1	starbucks	0.1632
27	bt_nllb_malay	Starbucks is a great place to start	0.0784
27	bt_nllb_arabic	I m not	0.0
27	bt_nllb_french	the stars	0.0
27	bt_nllb_german	Other articles of heading No	0.0
27	bt_nllb_korean	I m not going to say	0.0
27	bt_nllb_persian	I m going to start	0.0
28	-1	inuyasha	0.1236
28	bt_nllb_chinese_yue	Inouasha	0.0
28	bt_nllb_french	at the same time	0.0
28	bt_nllb_korean	I m not going to lie	0.0
28	bt_nllb_russian	Innuendous	0.0
28	bt_nllb_swahili	It s a fire	0.0
29	-1	ps 2 games	0.0543
3	-1	getting organized	0.3551
3	bt_nllb_tamil	How to Organize	0.0636
3	bt_nllb_chinese_yue	Organize yourself	0.0131
3	bt_bing_arabic	marshalling	0.0
3	bt_bing_chinese_simplified	In order	0.0
3	bt_bing_german	Organize	0.0
3	bt_bing_malay	Orderly	0.0
3	bt_bing_persian	Organized	0.0
3	bt_bing_russian	How to Clean Up	0.0
3	bt_bing_swahili	Organized	0.0
3	bt_nllb_arabic	The organization	0.0
3	bt_nllb_french	get settled	0.0
3	bt_nllb_german	to organize themselves	0.0
3	bt_nllb_malay	organized	0.0
3	bt_nllb_persian	They re organized	0.0
3	bt_nllb_russian	organizing	0.0
3	bt_nllb_swahili	to be organized	0.0
30	-1	diabetes education	0.2833
30	bt_nllb_german	Education in the field of diabetes	0.0157
30	bt_nllb_russian	education in the field of diabetes	0.0157
31	-1	atari	0.3462
31	bt_nllb_korean	Atari please	0.036
31	bt_nllb_arabic	I m not going to	0.0
31	bt_nllb_chinese_yue	Itari	0.0
31	bt_nllb_french	the flow rate	0.0
31	bt_nllb_german	Other	0.0
31	bt_nllb_persian	You know you re a father	0.0
31	bt_nllb_russian	The atrium	0.0
31	bt_nllb_swahili	the heavens	0.0
31	bt_nllb_tamil	the battery	0.0
32	-1	website design hosting	0.1528
32	bt_nllb_arabic	Hosting the site design	0.0771
32	bt_nllb_chinese_yue	Design hosting and hosting	0.0501
32	bt_bing_arabic	Web Design Hosting	0.0459
32	bt_bing_swahili	web design host	0.0459
32	bt_bing_tamil	Web Design Hosting	0.0459
32	bt_nllb_french	web design hosting	0.0459
32	bt_nllb_german	Web design hosting	0.0459
32	bt_nllb_korean	Web design hosting	0.0459
32	bt_nllb_persian	Web design hosting	0.0459
32	bt_nllb_swahili	web design host	0.0459
32	bt_nllb_tamil	Web design hosting	0.0459
32	bt_bing_persian	Web Hosting	0.0
32	bt_nllb_russian	Web hosting	0.0
33	-1	elliptical trainer	0.3701
33	bt_bing_chinese_simplified	Elliptical	0.2868
33	bt_bing_french	elliptical cross trainer	0.2838
33	bt_bing_malay	Ellipsed trainer	0.0431
33	bt_nllb_korean	The Eliptic Trainer	0.0237
33	bt_bing_arabic	Elliptical coach	0.0108
33	bt_nllb_russian	The elliptical coach	0.0108
33	bt_bing_tamil	Ellipsis Trainer	0.0
33	bt_nllb_arabic	The purple trainer	0.0
33	bt_nllb_chinese_yue	Form training	0.0
33	bt_nllb_tamil	The elephant training	0.0
34	-1	cell phones	0.0865
34	bt_bing_korean	cellular phone	0.006
34	bt_bing_arabic	Phones	0.0
34	bt_bing_french	Phones	0.0
34	bt_bing_malay	mobile phone	0.0
34	bt_bing_persian	Mobile	0.0
34	bt_bing_swahili	Mobile phones	0.0
34	bt_nllb_chinese_yue	The phone	0.0
34	bt_nllb_french	mobile phones	0.0
34	bt_nllb_german	Mobile phones	0.0
34	bt_nllb_korean	I m going to use my cell phone	0.0
34	bt_nllb_russian	The mobile phones	0.0
34	bt_nllb_swahili	mobile phones	0.0
35	-1	hoboken	0.2831
35	bt_nllb_arabic	Hopokin	0.0
35	bt_nllb_chinese_yue	It s not	0.0
35	bt_nllb_french	happiness	0.0
35	bt_nllb_german	Keyword	0.0
35	bt_nllb_malay	excited	0.0
35	bt_nllb_russian	The match	0.0
35	bt_nllb_tamil	Hopkone	0.0
36	-1	gps	0.1522
36	bt_bing_chinese_simplified	global positioning system	0.0061
36	bt_bing_korean	Safe Safes	0.0
36	bt_nllb_arabic	The information detectors	0.0
36	bt_nllb_chinese_yue	GPS is the key	0.0
36	bt_nllb_korean	GPS is on the way	0.0
37	-1	pampered chef	0.2491
37	bt_bing_malay	pampered cook	0.0963
37	bt_bing_arabic	Spoiled Chef	0.0
37	bt_bing_german	spoiled chef	0.0
37	bt_bing_persian	Chef Pomperd	0.0
37	bt_bing_russian	Spoiled Chef	0.0
37	bt_bing_swahili	The Chef is a Chef	0.0
37	bt_bing_tamil	Beloved Chef	0.0
37	bt_nllb_arabic	A cooking obsessed	0.0
37	bt_nllb_chinese_yue	The teacher of eating	0.0
37	bt_nllb_french	lazy cook	0.0
37	bt_nllb_german	Nice cook	0.0
37	bt_nllb_korean	A cook	0.0
37	bt_nllb_malay	The series chef	0.0
37	bt_nllb_persian	She s a great cook	0.0
37	bt_nllb_russian	The fat chef	0.0
37	bt_nllb_swahili	A lovely chef	0.0
37	bt_nllb_tamil	The cook is a delightful cook	0.0
38	-1	dogs for adoption	0.176
38	bt_bing_arabic	For adoption	0.0
38	bt_nllb_chinese_yue	Keeping dogs	0.0
38	bt_nllb_persian	Dogs for the well	0.0
38	bt_nllb_swahili	breeding dog	0.0
38	bt_nllb_tamil	Dogs to Be Raised	0.0
39	-1	disneyland hotel	0.1777
4	-1	toilet	0.1464
4	bt_bing_chinese_simplified	lavatory	0.0
4	bt_nllb_korean	The bathroom	0.0
40	-1	michworks	0.1598
40	bt_bing_arabic	MicWorks	0.0
40	bt_bing_korean	MIHIWORKS	0.0
40	bt_bing_persian	Mix	0.0
40	bt_bing_russian	Meechworks	0.0
40	bt_bing_tamil	Misworks	0.0
40	bt_nllb_arabic	Projects	0.0
40	bt_nllb_chinese_yue	The factory	0.0
40	bt_nllb_french	the factories	0.0
40	bt_nllb_german	Meworks	0.0
40	bt_nllb_korean	The Mitchwork	0.0
40	bt_nllb_malay	work	0.0
40	bt_nllb_persian	Industrial workshops	0.0
40	bt_nllb_russian	Michelle	0.0
40	bt_nllb_tamil	The Bible is a source of inspiration	0.0
41	-1	orange county convention center	0.4081
41	bt_nllb_malay	orange district convention center	0.1077
41	bt_nllb_tamil	Orange District Convention Center	0.1077
41	bt_nllb_chinese_yue	The State Convention Center	0.0149
42	-1	the music man	0.0
43	-1	the secret garden	0.357
44	-1	map of the united states	0.1338
44	bt_bing_russian	Map of the United States of America	0.1004
44	bt_bing_korean	USA Map	0.0649
44	bt_bing_arabic	United States Chart	0.0
45	-1	solar panels	0.3349
45	bt_nllb_tamil	Solar powered boxes	0.0226
45	bt_nllb_german	Solar cells	0.0135
45	bt_nllb_swahili	Sunspots	0.0
46	-1	alexian brothers hospital	0.5065
46	bt_nllb_tamil	The hospital of the Brotherhood of Alexians	0.4935
46	bt_nllb_arabic	The hospital of the Elks Brothers	0.1993
46	bt_bing_chinese_simplified	Blossoms Horspittal Alex County Alex Brothers Hospital	0.0
46	bt_bing_tamil	Alexion Brothers Hospital	0.0
46	bt_nllb_french	the Alexia brothers hospital	0.0
46	bt_nllb_german	The Alexic Brothers Hospital	0.0
46	bt_nllb_persian	The hospital of the Alexins	0.0
46	bt_nllb_swahili	Brother Alexia s hospital	0.0
47	-1	indexed annuity	0.3647
47	bt_nllb_korean	The indexed annual rate	0.0232
47	bt_bing_arabic	Indexed pension	0.0
47	bt_bing_french	Indexed pension	0.0
47	bt_bing_german	Indexed pension	0.0
47	bt_bing_persian	Annual Index	0.0
47	bt_nllb_arabic	The revised annual	0.0
47	bt_nllb_chinese_yue	The indexed pension	0.0
47	bt_nllb_persian	Indicated yearly	0.0
47	bt_nllb_tamil	Indicative annual amount	0.0
48	-1	wilson antenna	0.1414
48	bt_nllb_tamil	The first is the Wilson antenna	0.1256
48	bt_bing_swahili	Antenna ya Wilson	0.1241
48	bt_bing_malay	Wilson s antenna	0.0978
48	bt_bing_russian	Wilson s antenna	0.0978
