,qid,order,query,bm25.map
0,INEX_LD-2009022,-1,Szechwan dish food cuisine,0.118
1,INEX_LD-2009022,sensedisambiguation,Szechwan dish serve food cuisine,0.1143
2,INEX_LD-2009022,sensedisambiguation.replace,szechwan serve food cuisine,0.1124
3,INEX_LD-2009022,wiki.topn3,szechwan dish food cuisine sichuan shaanxi hunan sichuan list legumdishes past food batter cooking dish food foods cuisine meat food brunch veal veal cuisine,0.1092
4,INEX_LD-2009022,bt_bing_tamil,Szechwan dish food,0.1086
5,INEX_LD-2009022,bt_nllb_swahili,Szechwan dishes food,0.1086
6,INEX_LD-2009022,bt_bing_persian,Sichuan Food,0.1079
7,INEX_LD-2009022,bt_nllb_french,Cooking of Szechwan dishes,0.1065
8,INEX_LD-2009022,bt_nllb_malay,Szechwan cuisine,0.0995
9,INEX_LD-2009022,bt_bing_swahili,Diet cuisine of Szechwan,0.0942
10,INEX_LD-2009022,stem.lovins,szechwan dish food cuis,0.0746
11,INEX_LD-2009022,conceptnet.topn3.replace,Szechuan China plate cake rice rechauffe,0.0592
12,INEX_LD-2009022,relevancefeedback.topn10.bm25,szechwan dish food cuisine cuisin chines veget rice pepper banitsa tabl pot pölsa octopu,0.0584
13,INEX_LD-2009022,glove.topn3,szechwan dish food cuisine mangxamba localweather dessert supplies dishes,0.0571
14,INEX_LD-2009022,wiki.topn3.replace,sichuan shaanxi hunan sichuan list legumdishes past food batter cooking dish food foods cuisine meat food brunch veal veal cuisine,0.0515
15,INEX_LD-2009022,relevancefeedback.topn10.qld,szechwan dish food cuisine cuisin chines veget pepper rice tabl indian,0.0432
16,INEX_LD-2009022,word2vec.topn3.replace,szechwan cuisine dessert foodstuffs cusine,0.0276
17,INEX_LD-2009022,word2vec.topn3,szechwan dish food cuisine cuisine dessert foodstuffs cusine,0.0272
18,INEX_LD-2009022,bt_bing_arabic,Sichuan Platter Food,0.0202
19,INEX_LD-2009022,bertqe.topn10.qld,attribut indian singaporean cuisin refer,0.0016
20,INEX_LD-2009022,bertqe.topn10.bm25,pot nabeyaki yosenab soup nabe,0.0012
21,INEX_LD-2009022,bt_nllb_korean,Cooking the dishes,0.0012
22,INEX_LD-2009022,stem.paicehusk,szechw dish food cuisin,0.0009
23,INEX_LD-2009022,bt_nllb_german,Chequan buffalo cuisine,0.0004
24,INEX_LD-2009022,bt_nllb_arabic,Seizuan food,0.0
25,INEX_LD-2009022,bt_nllb_chinese_yue,The recipe,0.0
26,INEX_LD-2009022,bt_nllb_persian,Cooking Sheep s Meals,0.0
