qid	order	query	qld.recip_rank
INEX_LD-2009022	-1	Szechwan dish food cuisine	1.0
INEX_LD-2009039	-1	roman architecture	1.0
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3333
INEX_LD-2009053	anchor.topn3	finland car industry manufacturer saab sisu estonia lithuania norway mashti lc used car x turbo x drakens nalle sisu lahore iii kb	1.0
INEX_LD-2009053	bt_nllb_arabic	Finnish car manufacturing plant Sap Sisu	1.0
INEX_LD-2009053	bt_nllb_russian	Finnish manufacturer of automotive industry Saab Suzi	1.0
INEX_LD-2009053	bt_nllb_tamil	Sappha Sysu Finnish automotive manufacturer	1.0
INEX_LD-2009053	relevancefeedback.topn10.bm25	finland car industry manufacturer saab sisu patria motor automot associ	1.0
INEX_LD-2009053	stem.trunc5	finla car indus manuf saab sisu	1.0
INEX_LD-2009053	bt_nllb_chinese_yue	Finnish car manufacturer Saab sisu	0.5
INEX_LD-2009053	bt_nllb_french	Finnish car manufacturer saab sisu	0.5
INEX_LD-2009053	bt_nllb_german	Finnish car manufacturer Saab sisu	0.5
INEX_LD-2009053	bt_nllb_malay	Finnish car manufacturer saab sisu	0.5
INEX_LD-2009053	bt_nllb_persian	Finnish car manufacturer Saab sisu	0.5
INEX_LD-2009053	bt_nllb_swahili	Finnish car manufacturer saab sisu	0.5
INEX_LD-2009053	conceptluster.topn5.3.bm25	finland car industry manufacturer saab sisu sisu auto automotive industry saab automobile finland	0.5
INEX_LD-2009053	conceptluster.topn5.3.qld	finland car industry manufacturer saab sisu saab automobile finland automotive industry sisu auto	0.5
INEX_LD-2009053	conceptnet.topn3	finland car industry manufacturer saab sisu a country drive commercial enterprise food manufacturer saab monte carlo turbo a brand of car will finnish perseverance	0.5
INEX_LD-2009053	relevancefeedback.topn10.qld	finland car industry manufacturer saab sisu motor patria automot sweden	0.5
INEX_LD-2009053	stem.trunc4	finl car indu manu saab sisu	0.5
INEX_LD-2009053	tagmee.topn3	finland car industry manufacturer saab sisu Finland Automotive industry Automotive industry Saab Automobile Sisu Auto	0.5
INEX_LD-2009053	wiki.topn3	finland car industry manufacturer saab sisu finnish speaking countries territories finland states territories established finland list automobilmanufacturers daimler ag vehiclidentification number automotive industry list automobilmanufacturers daimler ag vehiclidentification number automotive industry car manufacturers sweden motor vehicle manufacturers sweden saab saab automobile sisu motor vehicle manufacturers finland sisu ra ds sisu auto	0.5
