qid	order	query	bm25.ndcg
8293	-1	why do men fantasized about raping women?	0.7256
8293	pred.base.1	<extra_id_0> do men fantasize about raping women?	0.7975
8293	pred.base.2	<extra_id_0> do men fantasize about raping women ?	0.7975
8293	pred.base.7	<extra_id_0> men fantasized so often about raping women?	0.7891
8293	pred.base.4	<extra_id_0> do men fantasize around raping women?	0.7814
8293	pred.base.8	<extra_id_0> women fantasized about raping women?	0.7406
8293	pred.base.9	<extra_id_0> do hapless men fantasize so much about raping women? Canada and Australian women do not believe women should be raped?	0.7278
23464	-1	why girls are beautiful?	0.7106
23464	pred.base.10	<extra_id_0> I <extra_id_1> beautiful girls?  <extra_id_2> why girls are beautiful?	0.7464
23464	pred.base.1	<extra_id_0> girls are beautiful?	0.7432
34041	-1	what are the symptoms of strep throat?	0.8702
34041	pred.base.4	<extra_id_0> strep throat symptoms? ? What are the symptoms of strep throat?	0.8703
78762	-1	why do i have pterofobia?	0.0
100653	-1	how do i go about getting copies of letters of commendation prsented to me from city of san diego?	0.6356
103830	-1	why do man arabs hate the west ?	0.6497
103830	pred.base.9	ATTENTIVELY do arabs hate the west ?	0.7007
143833	-1	what is the difference between coolant and anti-freeze?	0.6958
159716	-1	how do i find an inmate at southwest detention center 30755 auld rd., murrieta, ca 92563?	0.4618
159716	pred.base.6	<extra_id_0> completed levels 6 and 7? <extra_id_1> 92563? <extra_id_2> ca 92563? when is i supposed to find an inmate? how do i find an inmate at southwest detention center?	0.6133
159716	pred.base.1	<extra_id_0>. http://quadrantin.bellcube.com/ <extra_id_1>. <extra_id_2> inmate conditions? Where can i find inmate information at southwest detention center? Where can i get info on an inmate?	0.5087
172731	-1	how for is saturn from the sun?	0.5876
172731	pred.base.1	<extra_id_0> is saturn from the sun?	0.6011
172731	pred.base.2	<extra_id_0> saturn from the sun?	0.6011
172731	pred.base.9	<extra_id_0> saturn from the sun? How for is saturn from the sun?	0.5994
172731	pred.base.5	<extra_id_0> to offset saturn from the sun?.?	0.596
204633	-1	why do you have memories?	0.1826
204633	pred.base.8	<extra_id_0>? So, why are you having memories?	0.3778
204633	pred.base.2	<extra_id_0> you have memories?	0.3635
